dates,oahu0109_0001,oahu0109_0002,oahu0109_0003,oahu0109_0004,oahu0109_0005,oahu0109_0006,oahu0109_0007,oahu0109_0008,oahu0109_0009,oahu0109_0010,oahu0109_0011,oahu0109_0012,oahu0109_0013,oahu0109_0014,oahu0109_0015,oahu0109_0016,oahu0109_0017,oahu0109_0018,oahu0109_0019,oahu0109_0020,oahu0109_0021,oahu0109_0022,oahu0109_0023,oahu0109_0024,oahu0109_0025,oahu0109_0026,oahu0109_0027,oahu0109_0028,oahu0109_0029,oahu0109_0030,oahu0109_0031,oahu0109_0032,oahu0109_0033,oahu0109_0034,oahu0109_0035,oahu0109_0036,oahu0109_0037,oahu0109_0038,oahu0109_0039,oahu0109_0040,oahu0109_0041,oahu0109_0042,oahu0109_0043,oahu0109_0044,oahu0109_0045,oahu0109_0046,oahu0109_0047,oahu0109_0048,oahu0109_0049,oahu0109_0050,oahu0109_0051,oahu0109_0052,oahu0109_0053,satname
1991-12-03 20:24:42+00:00,22.01367705885285,24.66620602393873,23.33223609444825,23.781916965963127,25.76753927636789,26.342147979816414,27.13246960441612,30.320956297202915,29.06314222338485,29.2943910097112,,,52.94835237733086,50.611446017193934,44.87905577219721,38.665942242325,32.55948640763315,28.039231771011845,25.405696782689866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-12 20:18:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1999-07-10 20:53:01+00:00,,,,,,,,,,,,,,,,,,37.99333641213891,42.84130930827459,45.11314440866198,56.23033979074537,62.067598264682886,63.12219327368948,55.44148182471831,47.252512547732906,46.52694501471255,45.4291085949731,47.26192828575522,51.31960114014473,50.138897262097984,48.50126574605774,,81.88624231471178,74.0157799142941,67.44181056343974,67.76164281745459,68.11533687476295,70.20032491346345,68.24668922549363,66.1318148919502,64.25131088333198,51.52853228991917,54.22796976174943,49.27087255078642,43.59814879076263,43.28829258055026,45.02420686642495,51.64303345789393,55.45457309075504,59.52966995654728,66.09709390106225,,,L7
1999-07-26 20:53:05+00:00,43.50828824554621,42.270654617803686,33.34879142191341,31.024959088976896,31.81235357657629,34.482959371295514,39.935528729625645,46.6071044780251,53.12932968231851,61.25425016156517,69.379627653966,76.99689908876832,82.03981909053354,78.8827193481644,75.1476724759041,73.89148845126985,68.4279710635816,59.43347392427792,44.89231915974528,41.83144050907514,41.56803121440676,53.18898796221329,59.95656904058053,56.251077112640246,49.06555460796333,45.2792063129065,42.3547161629956,40.34096179692817,38.39562999400942,36.89879936068935,36.13656644844912,75.86320993361002,83.94433966526293,78.38343924911777,72.23030715279994,72.33556282811603,70.31863789541953,69.19690743299648,70.7161686038618,70.13330408595237,72.19213397063248,61.09677881057249,59.05578189544397,53.69984810080415,47.89121103873761,51.97597054217645,56.64142546257749,64.86892674374624,63.68790525151191,65.58493503545245,72.083863373409,,60.56755160506217,L7
1999-09-12 20:53:05+00:00,34.02098951636175,31.37174577268805,28.692416999763683,26.177858866402385,26.56315555730016,26.374252534506976,24.68182589361012,26.54639244037591,30.134824992758265,39.290703742508086,49.41424767340099,49.604243412194016,39.16432505444661,,,26.435441452452224,26.606903801013228,25.26662494160679,36.02154439425551,39.56523839895606,43.85743825713276,53.55494919961152,55.70212976887536,53.7342650543,51.65453629613472,54.63690517181789,53.64987759367325,53.23011448177194,51.747513099102406,48.36504611993116,39.20219211516501,72.90519528357733,87.61815029236192,85.61070557121711,86.04168132114881,88.7908196956816,86.33248354405751,81.52972291894271,77.4431567014699,74.02447867658152,73.6290771039616,62.488889060215946,56.56415588971301,52.07903544847848,45.49824912139521,49.75878797459541,51.85323060806609,50.99550892015853,50.85749795069852,53.41959454000069,60.47677894106314,66.47887042255601,58.913870335798265,L7
1999-11-15 20:53:07+00:00,,31.124849455574243,27.504889281989453,26.614399427185777,28.19548687569716,37.29903416913543,44.226005592654026,49.96735592797177,54.641992854803206,56.25821879089886,63.88680321491329,69.42960810032092,73.51217431017669,68.94585583931227,64.06492335875897,60.37990410988988,50.248939420821365,45.83819295330875,44.869887837789584,43.41338127035728,42.21028615865709,40.73834366839948,42.43794235110386,37.463246501493366,33.29234518706049,33.19367687285427,32.94561266071516,38.709732131058985,39.45652117502588,39.526355857799096,38.02284426309061,75.7131979041714,90.03192912176783,85.4836022506819,82.27562902286034,84.65796021570846,81.40488796614774,76.2079222019484,70.64122011953934,66.78215144069128,65.17080486753501,52.57485807289953,51.89751061461548,46.10662799349036,40.13539574864104,38.79529460083439,40.62776845654688,43.49683655017978,40.395093143819714,37.20590315467865,,39.52081481521675,36.644091078489616,L7
1999-12-01 20:53:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,51.58575620967386,47.51533404491902,55.0002894335657,55.42777683638052,53.855132985942205,93.20881397865958,108.34957708064675,97.4239091525357,88.06269285529916,87.0564396197184,81.02145905918859,74.1408006651523,68.55481131668404,67.22156917186184,65.29218610650713,56.651988507932586,56.48811095936085,51.56916143901767,46.1054312276078,53.434528328765296,57.80500222252791,56.42264138295039,55.9065638051145,59.04223193231565,66.43499373710783,72.4138093161832,73.27941839217665,L7
2000-01-02 20:53:03+00:00,47.7798147083373,50.24272093347953,48.739692990467184,47.273647700454006,47.66611401671034,50.01387331265731,56.150152363391975,61.92026691933231,62.57374647385285,61.956972246014914,63.30249348901238,67.99397072600961,76.05909826381172,80.1749939734719,75.06973415308946,71.09046028029256,64.56782947992143,56.98831238691499,52.611293900552354,45.84549078406343,42.97137119708524,42.102673881382174,41.27896072829439,36.30548776397282,32.812483000255924,38.77218902278234,41.38026193377269,43.301115308921126,46.85241918609846,48.810598405766726,47.38180099797872,88.34434139420874,102.37310114806252,87.76594349744927,75.23119021573821,73.92335798296408,71.81921801992222,68.44755244279617,63.92969726646477,60.569892819837136,59.82108369261434,50.005654589680255,51.255955647380645,46.161681381425936,40.27440446577916,39.8893089346628,45.13783472291009,44.23558418078009,47.6370064290382,48.24439768418989,55.21419360661948,53.127342579352806,51.05614723753157,L7
2000-02-19 20:52:54+00:00,55.23589188459172,55.48591637076656,54.16117383128445,53.44457170371435,54.70299944837352,57.59160083860661,61.87849225345588,67.90809657767768,69.30515894070749,68.79341498771146,72.22239344917236,73.72407755764524,80.96355647124861,78.03682593232442,73.9632052139909,69.17059307210522,61.90052664407408,54.23940065546585,52.48238406490045,49.02717897776432,42.94891414872059,40.30372522992233,36.93622086144328,31.734188204367708,31.772492447952057,41.66729009846273,47.42567856385093,46.40088872982116,51.92094027752701,50.942851354542185,51.88622420408987,93.80662871735348,110.28336299906069,105.32329371247502,87.59773143301514,82.88731668712515,73.6663398608959,67.63057484004509,63.04923952279129,60.50116231215275,60.199221619769965,52.79183852115519,58.31516455092613,52.770451928648576,48.62435350979076,52.45783161198666,54.61036939268965,54.246542889431424,53.47874835025582,57.04066737709415,62.72841565720744,70.06360035936768,59.54959187416041,L7
2000-03-22 20:52:50+00:00,39.71324948172677,38.71784885118776,36.674195145608415,38.4327288970046,41.67168190673575,45.84854214400803,51.07584792707871,57.08833899803192,60.56189209899022,57.124283381920726,57.96172985607658,61.67968436929284,64.89786768514834,67.00620691895544,61.86525556058343,58.58895494779683,53.1605624525682,47.8774788987134,44.42054292175333,42.92653395178921,42.58963582935133,42.94215730600193,41.59532206736359,35.52284046172799,29.81253918494429,29.17276040946881,28.11269767943038,28.354581861103306,,49.541792287980606,48.304647709041454,89.39856698827653,100.545525253197,88.58826074163888,72.39190185422028,71.0794202144844,66.19970236917332,53.96384193832442,48.33480464914765,43.00351146060584,43.40647601005938,36.63802973092272,33.63167611302893,31.907520734760887,29.551937585386035,29.63610278438646,29.1338715111618,35.3233999811457,36.12277051812606,35.55082055741793,43.32468950038276,45.712889499554656,43.68337029823927,L7
