dates,oahu0112_0001,oahu0112_0002,oahu0112_0003,oahu0112_0004,oahu0112_0005,oahu0112_0006,oahu0112_0007,oahu0112_0008,oahu0112_0009,oahu0112_0010,oahu0112_0011,oahu0112_0012,oahu0112_0013,oahu0112_0014,oahu0112_0015,oahu0112_0016,oahu0112_0017,oahu0112_0018,oahu0112_0019,oahu0112_0020,oahu0112_0021,oahu0112_0022,oahu0112_0023,oahu0112_0024,oahu0112_0025,oahu0112_0026,oahu0112_0027,oahu0112_0028,oahu0112_0029,oahu0112_0030,oahu0112_0031,oahu0112_0032,oahu0112_0033,oahu0112_0034,oahu0112_0035,oahu0112_0036,oahu0112_0037,oahu0112_0038,oahu0112_0039,oahu0112_0040,oahu0112_0041,oahu0112_0042,oahu0112_0043,oahu0112_0044,satname
1999-07-10 20:53:01+00:00,23.90879181718909,29.11543250035698,36.90985672561751,48.17029508700325,55.06624621027059,56.351420886042526,52.51225720308669,56.53872308749919,53.39209204552141,49.73297895509032,50.18089870022064,48.91392018489211,35.3832374984015,34.33646640996277,35.02881951383205,36.29856113607448,38.62316548340506,30.767854130533,29.153600938417203,29.071754480208927,27.96647072676569,43.10451325558101,41.69607113764136,40.2009287501519,47.94112687008093,53.41820749371792,50.77113145117371,43.3867202652856,36.82388726616544,34.880083744907864,46.7631997502084,49.93172351381678,49.94060736093692,48.63753671503172,49.63087462825475,53.47419962884212,53.26924739313914,53.576811221204125,52.98524568959512,50.70936545677705,34.11270527342245,32.73483814276665,34.18256019812398,35.1383140467716,L7
1999-07-26 20:53:05+00:00,29.429757373411288,30.07383920696777,35.78998900575956,44.76110058004736,49.838668596461225,51.706777722747866,52.03071301659429,56.40668841398516,54.1690699580191,49.87890132983201,49.878488937156646,51.135553999503614,38.06228506543584,38.0679482780254,39.30485635179093,40.67231451741439,38.94524918996842,29.63009563615286,26.86551744558788,26.683174287401947,27.42027446100043,44.69361622584078,44.17384116535796,43.75041445708593,53.23700166130137,59.681566084771895,56.79100019453485,51.328144432165125,45.437995224198566,43.385692962240185,46.81392787013112,49.52021709745973,50.15123095062357,49.69104092902162,50.81797616276305,54.68170868196424,53.39769217156393,52.037993674896285,48.08784964477884,47.5029546223337,32.39044136668302,30.360803704829163,34.95225613403475,40.527338260066095,L7
1999-08-11 20:53:07+00:00,29.042326511511444,34.89686607187797,35.646438543516574,43.20747315264546,46.64206957695532,47.20613776724036,46.23220289490666,49.896600662927405,50.81482326993589,47.19597252930017,43.363443213993015,40.429918126502606,29.63378038905948,30.491178876654484,30.49858932790224,30.07896550877905,32.51742310435303,25.96519524023808,26.991567975016263,27.21185525293719,27.71749242944092,42.99083567090946,40.70115801288619,38.03371724071774,43.05544777865826,55.09409217025007,53.32361399881467,48.16073904717376,40.054730664212606,38.52077993253571,40.72194216238863,45.54333104907752,51.81810288164849,55.26891309844373,65.32415260413585,69.80321130511496,68.85623843370912,67.44776859081047,63.938506065110765,50.04603038472522,44.63865951843656,42.53165418684948,41.67796608719356,40.584960879867815,L7
1999-11-15 20:53:07+00:00,26.64999255289156,32.17045044711531,37.77798211572357,42.93946611176559,46.20159408276872,43.66799637498882,41.970707223593074,48.05261198783696,47.15695218711073,47.25706350392712,48.78551093623433,51.88768068658361,39.29087939209246,37.12537001549821,37.039325372534485,37.04317303351778,48.07217070253008,38.27700594727316,32.82326134221647,30.592674820671945,31.655500603985445,50.85483322153619,50.681388109851945,51.96093808541081,58.336035705670646,62.40459689121905,58.82178320361383,52.16609638376172,43.98240163486248,42.412176219989774,44.454205454635016,47.00673471506009,48.133413952115184,46.97722743744698,45.62238217997275,49.05557666982859,47.55154806826746,48.36909635430165,47.6893469847735,46.73397359335014,38.85278867269456,37.21902034576311,38.665419613920406,42.031353667746686,L7
2000-01-02 20:53:03+00:00,28.15765254540447,33.38868837402075,39.19481595232976,48.91476656016265,54.22161459963748,53.117856472867125,49.4417578181869,50.77138496971362,47.04822703068772,43.36601283533997,51.32508863668937,57.88746388440562,60.2333903887599,60.75128089084448,60.022950673564175,53.9018028325491,46.61080492124809,37.86610383876138,34.67540459193433,35.56538945999564,36.26409579414451,50.75833964861695,47.21968659522884,40.3033633907587,37.6075159640144,39.34939031653376,36.064780793868586,31.14539678784627,34.09014105916816,33.20885745176716,37.65299368147926,37.26622930570697,36.945201058039686,37.85736398497267,40.17217282577712,47.29747381387119,47.47370669105654,46.08483895441795,45.683032615240776,44.46522902294085,40.93701749368824,39.65232699854417,40.33318853577594,38.77354989602118,L7
2000-01-18 20:53:00+00:00,22.43447749849957,27.68192177171748,33.55170471338179,41.557942343139615,47.172019362461285,47.55876543298863,45.46486520359279,48.63030173360517,47.72364119698904,45.511637786176586,47.74477472362208,52.98147055847075,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8726457476527,37.36041208026428,35.01145847316868,34.581302235293,32.15724961682049,L7
2000-02-19 20:52:54+00:00,31.334498289741006,37.486256759967496,43.9876947370706,52.6428722154713,59.13213785102679,50.22834586536994,47.5085639838857,50.39366856376267,48.05998101345929,46.85057280513991,53.01971932474449,56.7055504455996,58.08144671919696,52.11804231497568,50.949389667317405,47.997645298283686,42.031242582522566,32.28641104616271,28.9825768012098,31.943680893318607,32.241904576097795,47.45659518049969,42.854379743811975,39.386390891621744,41.1460009552626,45.10388050817064,41.56505806037125,38.43779281350649,34.55031125284717,34.16659477647995,36.31249103600153,35.75620652023963,34.37368889820582,33.821689979493286,34.337840747981204,44.523560293510776,45.18378136230966,44.01974420348807,43.80898078887967,42.76677777644704,38.61964047232846,37.01064629504275,38.02239974986178,37.22852059926646,L7
2000-03-06 20:52:49+00:00,29.39169376936504,33.20215603227893,38.58707084974556,43.77786898460543,48.97559948018137,48.624167180145584,45.42669306416624,48.24035799607721,48.69474810825761,46.284639265076144,49.15351363224017,52.595532828114536,57.25448625030506,60.57451628162959,60.92069718578387,59.42766408291719,52.94820745468771,42.37828865005945,35.3098338622046,32.766415599398464,32.918612441346674,44.74212843095112,41.524861099565705,38.22898189054955,42.399742858919154,44.263833724744494,38.87121485826584,32.72233552917193,27.330624124530857,26.121353910909416,29.7399761986544,29.613241245675816,31.86319994243015,28.43009160735569,27.080917520509782,,,,,,,,,,L7
2000-04-07 20:52:39+00:00,31.251180992357263,37.87613170947034,44.38737218678999,51.96283377630442,58.216977651325664,50.52201161092127,47.185286130714005,50.385896943265706,50.54171765043415,56.33329013886741,58.37931887704602,63.09650794091441,62.47543547802789,61.0245345598253,58.81240974506095,53.86351953323432,47.9773653506758,38.76850064390538,35.40731441832217,34.463813622908205,30.14141505036445,41.39408523387709,36.01284303478798,33.12506009495904,38.08559981187685,46.1818836835523,43.65490145177984,39.02056483344296,33.46624695263678,30.890759016651028,34.95812312917167,32.569900024097336,33.26929493590731,34.66391060231236,36.75623603255319,47.17387778619258,47.87102949150058,44.94272257053895,45.58782387890311,44.56497357103953,42.07091364579995,40.78044181525742,42.1333109642684,39.01441302273148,L7
2000-04-23 20:52:33+00:00,17.7005519980691,22.36330245007026,27.716191252774724,36.72352048788432,41.87683822764111,42.08767494208579,38.876485764179634,41.323272168531375,39.57618669769977,36.78909379433913,36.759247830881016,39.29016945541967,40.16382192673123,40.59372754299922,41.91818579553687,41.02256959625912,36.49853778877245,27.44395618083349,24.91421068893492,24.073151207720752,24.251332844468884,38.48236135567382,29.44390866533893,26.45931047293495,30.649289064381108,36.889778612453306,34.761952781083764,28.54840398590148,21.43519847237803,19.335018411378048,22.96166099285286,22.929509003308887,23.69404280453839,22.738808120109013,28.77463966857917,31.92858824662796,33.014364676231246,32.91176806055187,33.1792579515487,36.24259380548366,33.624464859761254,31.42536200548889,31.466745089853003,29.242733936239173,L7
