dates,oahu0090_0001,oahu0090_0002,oahu0090_0003,oahu0090_0004,oahu0090_0005,oahu0090_0006,oahu0090_0007,oahu0090_0008,oahu0090_0009,satname
1990-08-19 20:14:00+00:00,,73.12944256152834,75.70766154611059,69.19688825502286,56.343827683552256,53.24896667975264,50.91578472168815,51.160158337587454,49.1972654665582,L5
1990-09-11 20:20:05+00:00,49.52560541886533,52.20039418855388,58.97847701784923,54.90514002659853,39.66452208908344,35.94646388238009,38.19919872163798,35.285314830907105,30.153857824822857,L5
1990-09-20 20:13:50+00:00,29.35910741604287,,32.10581804686939,34.19951752361784,25.137645492554377,22.769856302758345,19.29157053597229,15.099954211516335,8.50173525864469,L5
1991-12-03 20:24:42+00:00,52.74990143352921,54.82799704829262,59.3869522116954,55.07407206052166,43.11872613964876,39.40640654861841,37.68052715557072,33.76862714983915,28.56223540086341,L5
1991-12-12 20:18:31+00:00,39.24745956982641,38.72464007697829,39.4370523036671,36.96010040644381,28.901312198938395,27.15555163772228,26.98781279366732,23.36367266604509,17.354534973797605,L5
1991-12-28 20:18:23+00:00,51.03277152079308,50.447084033502,50.873293267205256,41.39129476159827,29.086292117138765,24.67844641065543,25.792815113006046,24.306570720274607,23.26584854225084,L5
1999-07-03 20:46:48+00:00,69.03888998792117,61.265755610556006,64.02937057574522,45.4853645856029,32.03362010899379,30.738913576273667,39.67597971690953,36.37441300614683,37.39189210790074,L7
1999-07-10 20:53:01+00:00,52.525419578615846,51.98108547324704,52.038107285743,42.876951335328464,28.81024965302644,24.09747042072708,23.526624697279537,22.188836264171783,17.63593973194305,L7
1999-07-26 20:53:05+00:00,58.77246799602706,55.37985333956762,53.93065758756315,43.16317153182713,29.235983565768954,25.19933364693819,24.603225257723945,23.45853968947309,27.30349071909004,L7
1999-08-11 20:53:07+00:00,61.40456289119167,58.7613753826917,59.610131608550695,53.237718585268176,38.83689020890293,31.179952824519383,29.382593603804875,25.404537474029173,25.54078689108921,L7
1999-09-05 20:46:59+00:00,53.63514417438498,53.44438986967161,60.98761999470317,44.41920158414957,30.18148618399552,25.581715134526416,25.318051033311143,25.070117371041885,28.88353141251624,L7
1999-09-12 20:53:05+00:00,50.34716972426837,50.78101631797679,54.049971842893314,43.64050266749651,29.776165201101083,28.125945313519995,33.84825035018263,30.2103534851436,28.50384408819776,L7
1999-09-21 20:46:59+00:00,69.54273826380621,65.07005948568096,65.3704114420419,47.73720693376525,31.84432537069494,26.05212275836356,25.624088020765576,25.879876765932167,26.225455660089747,L7
1999-10-14 20:53:13+00:00,64.3799029956551,62.27382133292066,64.79329244871694,53.7871529188458,34.75364815772283,30.455297515666807,34.89086793157198,31.760473053848315,28.411216918004616,L7
1999-11-08 20:46:58+00:00,68.97089405827272,67.49812021071416,67.22439365341164,54.13877129082123,34.21124749709343,34.67393256248391,38.24038986335068,32.532062809207794,27.83435221161423,L7
1999-11-15 20:53:07+00:00,64.05045052632765,61.32432647894655,66.05708820373476,58.446435774985815,43.10948901840079,36.02940913097317,38.9959602852367,34.30495028026164,32.712586883764786,L7
1999-12-17 20:53:11+00:00,,72.90251410796907,72.13147843003667,65.15563873565702,39.38496334948738,40.0385729223413,44.31473122666284,37.63367528957584,37.38642563269418,L7
1999-12-26 20:46:52+00:00,60.9925518939946,59.87883413690354,61.20092991736293,49.6178018976665,33.147855667526485,30.370339520661947,37.16882841542568,34.76707946593744,34.171476165283785,L7
2000-01-02 20:53:03+00:00,67.8682044541104,63.082874487604094,62.91682711650723,49.31921294019487,33.8631924014142,36.992063262531424,39.73461339050175,32.29287195671428,31.13370171179512,L7
2000-01-18 20:53:00+00:00,,62.94310418578063,63.44734598862552,53.89111985645668,38.58929522570961,40.91597947490424,42.59871318956188,35.431929762425014,34.23067099904817,L7
2000-01-27 20:46:52+00:00,65.55040710150202,60.76971637350503,62.24994444468879,43.78006536955184,30.102404887945248,26.62413067807288,39.70140290843225,39.63684278808927,44.10210448930048,L7
2000-02-12 20:46:47+00:00,66.02643618034477,63.674674446275645,65.44418751496244,48.65790583911678,29.767286630346927,32.557127574970444,39.29948071905179,32.57998449919583,34.101898850927846,L7
