dates,oahu0044_0001,oahu0044_0002,oahu0044_0003,oahu0044_0004,oahu0044_0005,oahu0044_0006,oahu0044_0007,satname
1991-12-28 20:18:23+00:00,137.81390595609503,133.9522388000544,137.55890875457317,149.27969003728944,160.76952716278777,163.30631208979054,161.96536715089115,L5
1999-07-03 20:46:48+00:00,164.6520938428166,167.86902239379725,166.36629475437533,169.70266420253827,178.28743282586282,175.66859839762293,181.16509723635383,L7
1999-09-05 20:46:59+00:00,165.10281175001927,160.3010202729983,163.33312142006153,166.1683870985084,170.27570838843502,169.8173370773973,163.19482511244956,L7
2000-02-12 20:46:47+00:00,160.1646623483122,161.9709484959269,163.34971298554456,167.9508181249295,176.50976686782462,173.89975439347708,174.13775795493927,L7
2000-06-03 20:45:56+00:00,165.320204351036,166.77522793533515,169.6982647642696,173.69516319898568,175.82760572491506,174.20796524829285,180.0924422564125,L7
2000-09-23 20:44:31+00:00,164.7771613825966,161.82123323068976,166.55647606131737,169.667084512762,174.26674125706717,172.78731576835168,169.85556695187026,L7
2000-10-09 20:44:25+00:00,158.115231167859,158.0551393969789,162.2748545948002,164.6120046400837,169.07195334694651,167.3597668774351,161.22039012676092,L7
2000-11-10 20:44:23+00:00,,,,,,,,L7
2000-12-12 20:44:27+00:00,155.310400454994,150.17111773215538,154.2546045501262,159.69222906605694,165.8504044932876,166.74624269033905,161.56897516580162,L7
2000-12-28 20:44:30+00:00,150.95625899307925,148.63427845188252,151.67966578648134,158.64534183546613,161.74002529077487,164.66294011306857,157.2048482008451,L7
2001-02-14 20:44:29+00:00,,,,,,,,L7
2001-03-02 20:44:23+00:00,162.23987556291058,165.7617881183127,167.75642611714102,172.56077567103057,176.90864198338937,172.17424141410532,172.91068349495544,L7
2001-03-18 20:44:17+00:00,159.4493738099004,156.9374548827404,165.80402468222826,170.24123665743585,173.17563644726238,170.86558164616466,171.13195482028752,L7
2001-09-10 20:42:38+00:00,165.41005529821797,161.99997174241742,165.3296379726013,167.55242641002928,172.32848364674743,171.81660288184258,176.42045239762118,L7
2001-09-26 20:42:29+00:00,154.1329574945644,155.0992871089369,161.6509306926384,165.7788888479299,165.6263215606963,165.71037130493133,157.22974293418733,L7
2001-10-12 20:42:13+00:00,175.871799009245,173.33360045090933,169.4437474117098,164.86175273766955,160.4351869899986,159.6957161580692,149.7883422339907,L7
2001-12-31 20:42:36+00:00,156.61340946951822,152.2274116272986,154.16025916111047,160.32443750978737,164.2241909094595,166.4741195066261,164.25096935495307,L7
2002-01-16 20:42:50+00:00,158.0461011459235,155.19180826658223,160.64723593609796,164.86753487125554,168.9933200994023,168.6908406538008,168.5921286908206,L7
