dates,oahu0066_0001,oahu0066_0002,oahu0066_0003,oahu0066_0004,oahu0066_0005,oahu0066_0006,oahu0066_0007,oahu0066_0008,oahu0066_0009,oahu0066_0010,oahu0066_0011,oahu0066_0012,oahu0066_0013,oahu0066_0014,oahu0066_0015,oahu0066_0016,oahu0066_0017,oahu0066_0018,oahu0066_0019,oahu0066_0020,oahu0066_0021,oahu0066_0022,oahu0066_0023,oahu0066_0024,oahu0066_0025,oahu0066_0026,oahu0066_0027,oahu0066_0028,oahu0066_0029,oahu0066_0030,oahu0066_0031,oahu0066_0032,oahu0066_0033,oahu0066_0034,oahu0066_0035,oahu0066_0036,oahu0066_0037,oahu0066_0038,oahu0066_0039,oahu0066_0040,oahu0066_0041,oahu0066_0042,oahu0066_0043,oahu0066_0044,oahu0066_0045,oahu0066_0046,oahu0066_0047,oahu0066_0048,oahu0066_0049,oahu0066_0050,oahu0066_0051,oahu0066_0052,oahu0066_0053,oahu0066_0054,oahu0066_0055,oahu0066_0056,oahu0066_0057,oahu0066_0058,oahu0066_0059,oahu0066_0060,oahu0066_0061,oahu0066_0062,oahu0066_0063,oahu0066_0064,oahu0066_0065,oahu0066_0066,oahu0066_0067,oahu0066_0068,oahu0066_0069,oahu0066_0070,oahu0066_0071,oahu0066_0072,oahu0066_0073,oahu0066_0074,oahu0066_0075,oahu0066_0076,oahu0066_0077,oahu0066_0078,oahu0066_0079,oahu0066_0080,oahu0066_0081,oahu0066_0082,oahu0066_0083,oahu0066_0084,oahu0066_0085,oahu0066_0086,oahu0066_0087,oahu0066_0088,oahu0066_0089,oahu0066_0090,oahu0066_0091,oahu0066_0092,oahu0066_0093,oahu0066_0094,oahu0066_0095,oahu0066_0096,oahu0066_0097,oahu0066_0098,oahu0066_0099,oahu0066_0100,oahu0066_0101,oahu0066_0102,oahu0066_0103,oahu0066_0104,oahu0066_0105,oahu0066_0106,oahu0066_0107,oahu0066_0108,oahu0066_0109,oahu0066_0110,oahu0066_0111,oahu0066_0112,oahu0066_0113,oahu0066_0114,oahu0066_0115,oahu0066_0116,oahu0066_0117,oahu0066_0118,oahu0066_0119,satname
1990-08-19 20:14:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10396101061778,28.85526190242175,24.801684606306143,25.25801214193494,23.76447502095613,34.25999567726299,28.732633136046378,26.775690665634563,28.495211166061768,27.51217179248329,21.31564624625424,16.51094418194047,14.319223826964397,13.30522997064249,9.354904214646478,14.86971610546072,13.8883490747565,9.536436000398975,8.671570509139652,11.780021702774336,13.246486284151516,10.923271855386774,12.075812742789156,18.020855306651367,23.95822656195844,24.640858565213072,14.215295163513725,7.888923614504318,7.324907341456557,7.1822468519181495,13.99628445752714,18.27191868300944,26.73001241938149,30.157672794231505,22.882469435018752,14.171871340713375,12.617901299352065,11.572205320452236,7.930238942463362,12.358062387809923,25.05347448194229,26.93035732359353,17.042195214842366,10.55478586335021,17.298389929919974,14.76153856858981,19.67263690815304,21.122320719405867,26.83680208904582,26.994092811325377,23.84724370749128,18.854561059789496,11.699831970359565,8.022416314398876,3.1452393439269906,2.921859345901288,8.591339939022966,16.544995758404863,19.096203655720167,15.610635136737068,13.905955810788742,16.896426139179965,21.35777774456632,26.506472559654448,32.6688891512283,L5
1990-09-20 20:13:50+00:00,,,,,,,,,,,8.584415470521558,10.009112972274703,7.527164631461135,6.396815268468535,10.202581456804715,6.2693908195797565,0.8794682055672374,8.363139297202894,10.347934403388752,25.87181639556728,,,,,,,29.3764888620287,15.342132914731357,15.527931236843,22.70186878948825,25.749763186170448,22.90482722605369,30.43593072877708,31.8680782791454,31.564497306661416,36.06055243058842,33.790598320190696,29.263367415214653,27.60803229556491,26.522479021083,26.71207267934913,36.12828198428452,,,,,,,,,,,,34.09039687056096,16.375312259739417,8.526115860381779,8.91450966715704,23.57642520823809,28.98387949750052,39.72994279255662,36.52049445215245,36.64005841425719,38.31873824632779,,,32.97797806318196,19.49037812102405,14.657580660402967,10.189704380436307,15.04304021965904,12.855028690239193,8.210462024482998,10.135666357233877,15.18882169761415,14.635145090356517,12.046348975450712,11.527910776083614,15.731040217338508,20.188758810667004,22.239503411203778,15.635119355599723,8.868813947354143,6.472668967913661,7.086609681516547,13.437160644089507,17.555674341443872,24.783648942806007,23.81304439072206,15.691622986299851,8.631537331114918,8.832673657586492,8.055380174677731,4.389787244824399,8.186281551994304,17.784136389746905,17.446833286816045,6.776777260596559,-2.4720616940270914,3.274331590553006,2.7598114425671723,-0.1946894649678632,-1.633720185371009,1.952154346438784,11.726307506652985,,-0.7732346167277426,1.0173562782201082,,,,,3.1833330374695827,1.683153132928107,-7.879543191259726,-8.435808122604715,2.119613084697163,10.43962671006065,17.257400203511555,20.61700269538736,L5
1991-10-09 20:18:07+00:00,6.9346042218181045,,,,,,,,,,,,,,,16.239474648183545,7.408852259142942,14.925146700221282,16.304009182472832,21.28149888536733,25.846278498507417,22.48264320104964,26.173685469036187,28.19956347095883,26.448224656215366,25.203354374156586,26.08764345222981,21.57384967519432,21.663488146324383,16.47492454990966,13.102076320929552,12.921074108597784,16.536836595116178,11.847700857327265,16.229953301691523,20.870678669540368,22.88622460104719,23.10723080597586,25.587278121490485,20.84596070083173,21.531809080689108,23.50571542198217,20.14234761332468,25.430716201987423,20.34851475079456,22.82033923926501,20.10999873823921,21.59212833990236,21.27895411875189,19.546271237968043,21.73727641395275,26.461446515502168,27.5954543568769,28.1554070034866,17.58284225387498,13.273135491288542,14.880454851384242,16.579032536095276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07342036626092,10.512504046891086,17.135805968772566,-2.3263878082972,-11.74636166001719,,,,,,,,,,,,,,,,,,,8.068137566366035,24.09520478099297,,L5
1991-11-10 20:18:16+00:00,6.746234741739783,9.372154327496558,16.22955073336035,12.772463124506746,10.9667120587089,12.721016075850466,10.832273172713355,7.752379134592348,4.202227472109299,7.253926953085648,15.201464736733945,12.659242918078954,10.925646120818245,9.521607459458371,10.31972906255223,10.631488538425298,-1.1524357324304588,5.626804629680794,9.84841207214876,11.050661604450188,15.467802691160722,11.416004150714803,9.656335576392324,8.999315502189674,12.465241540414755,14.89779844340531,15.718365533103968,13.410027531512148,14.997360035810043,13.94394365247957,19.025244589227647,16.80704390314901,17.808505644321908,23.3757589449832,23.6393485467067,24.81012394971388,24.04243121851237,22.198297154827586,23.81554468870037,20.11294689424754,19.46494958207224,21.040174035803982,19.54144347143554,23.43281236748093,17.71501084426804,22.330313339472585,19.17131048195765,20.57846174204128,21.92823595681317,19.685601481348623,21.88006585576418,24.70589248684796,25.05883789426338,23.86052954357133,12.730755872123058,8.072449225691532,8.054894842802739,13.897136395844615,15.644877390273027,25.30420171976999,18.67439836485162,13.25837429387814,9.919596971146294,11.378558452944366,10.510860006914063,6.632683263289091,4.027668242424965,3.903687130559642,3.605096285047671,3.233821852140255,2.8048719027378786,1.9743522214958764,3.7164565867322414,7.80671444426252,9.945229189503946,7.805019850541163,6.508665619041369,8.855666762648827,13.647483977376565,17.255620011426085,9.907211017322949,3.6300778290450486,-0.4992916285900762,-0.9984411647529122,4.019531956780965,8.471952227806433,16.818986399082245,23.5516084686242,24.87723824221676,23.14796666273553,22.506928467423496,20.316516740165305,13.12285072337951,12.714093595078406,21.876537106510543,20.411098282767707,4.984711628753366,0.007159221760552,13.377369738640242,17.227877575198168,15.833957599813198,9.424007997447188,9.157126208345364,13.001302052147976,13.71067162016834,5.547893800916621,1.1239859271303871,3.1939178630217304,,,,,-2.8021164190586143,2.946525097269901,5.744284089589946,9.387458816513472,11.67954732974714,16.965743137449973,24.386484133869057,L5
1999-07-03 20:46:48+00:00,4.242756133435185,7.442788032724179,5.941437880050879,9.22548340269392,9.18290485949484,10.53177991092664,9.688422999083118,5.609860529618887,4.981714126156208,4.889795678302937,7.612797977736468,12.832192268895737,9.354601828468946,14.319548839929965,9.362891925097331,7.5111803536848765,-1.937013541599767,2.260692953142788,7.3182525767476445,9.018711348649248,5.7519183191361005,9.497229593068722,9.428259511034518,6.452801635082819,7.791242787886626,8.126438605429403,7.0088550542283965,8.842407804752481,14.910303957764064,12.859195192323952,11.391257111648171,12.065466013931449,22.3217624680003,15.119199864144305,12.22933884352487,12.440712950925024,17.67688203920046,12.68056496930915,17.47647512874318,15.564091679684578,14.607912216568163,21.815725867711727,20.27354072107985,17.061143933087845,7.47463836380931,11.434472148310295,11.018437932765572,15.386633738262963,17.512276959383325,14.878048857232868,17.292784713753452,19.01749581263844,18.14810369204385,15.30627211106906,5.464297498983841,1.062370665839866,-0.6023882059205108,-2.403035149056345,1.925613171580634,19.138332274389374,19.93809206203628,16.45463117125384,11.912141111553572,9.901963392050408,6.716763402704025,3.708688285142789,,-1.4166562412945027,0.5713390850919793,-0.2994100415848266,-0.7669878037716118,-3.6610192595511983,-0.7550590056679476,4.7838206217075,8.831762398426426,8.63624230154399,10.36149630594895,14.76564727896496,17.779763148704337,21.723868397450392,11.429503113932382,4.431427973778236,2.6921744611261547,6.466001746091619,13.903544972044823,15.497703754087343,24.98582048010655,21.822239101337548,20.48569454968802,10.258829377577444,8.985206359520062,8.177966778384109,-3.6011999750020487,1.996659415368606,6.67609700508825,7.997390987424959,8.567630858366364,-0.0827246660361906,10.046462945482434,5.54384322945876,8.868596312995832,11.009202780333716,22.43375751324612,17.481803477332708,11.499340225856848,4.844129895974325,,,-5.532393874470014,-3.651672658829425,-2.0946105905792813,-1.4889769745901966,-3.124135076317357,7.520728583736544,7.294502568419487,4.936317973528121,4.685914981313855,6.360609402090583,,L7
1999-08-20 20:46:55+00:00,1.4074010979857394,0.7696280787766969,-0.1976499657904089,-2.272391957143964,0.2520946529958069,5.394811184803394,4.602485320625173,-2.903668875157682,1.2681524915865043,5.9148565214119655,3.954913724383892,9.231391516900286,6.270683302305129,2.3576622453768428,6.19157279887479,-1.3983243117434594,-7.693944394242899,-4.710683324698626,-3.806101337884844,3.879117753253964,0.4493481041494245,-4.923064440062089,-3.798284921785141,-4.364692547659282,-2.1534488328769408,,,,0.2570798046557729,2.6208559843921355,5.47383330974561,3.2850597146022045,6.90678637832083,5.397311566861709,7.43694942751432,6.057999360413024,10.246830146857407,13.068069634931325,8.058308536910262,9.729105934869288,9.599534637303536,6.857585292400674,2.825424764916863,17.525506015723316,16.514665834259503,15.55237064364754,8.936907809855926,7.69465444613198,6.796635786975076,6.713925186453699,11.961700995288243,17.62771108896912,19.53026286542388,19.605155279655275,6.955502559038652,-0.0536910258947227,0.2063468065988043,0.6209544555095607,-1.3950998994965655,6.007303017780745,,,,,,,,,-12.037118032490447,-5.567626819522501,-0.6090819577264754,-0.8435511494724655,2.800561075324264,7.850022175250454,6.809822960781929,4.880845693871044,3.068916191269696,7.545969583912181,11.574062764768868,8.000434978369602,3.00588370143955,-2.37788085279836,-9.106525358800187,3.830811193842716,13.506753954336396,16.65526347001438,25.66321125038537,24.27130124643836,18.004863569414425,6.912193802686558,8.721833112736883,8.614369730810756,-0.3018974295368803,0.6275456174978042,7.346385612370347,17.054970171673553,9.108126263546495,-1.635098428559748,6.809973733659877,3.3414189601142104,3.5753236656997585,9.469567487132016,17.257061557956945,16.73583169116383,6.050877253546925,0.0242181738755484,,,-6.907230050571244,,-1.1179756503826124,0.0210191846275431,-2.203705990835248,,,,,,,L7
1999-10-23 20:46:55+00:00,2.3562533673153414,3.63725071837608,11.48709183625561,5.392731850273835,4.961140672664984,7.745841166959559,10.53211719723379,5.852925669915697,1.487963913395342,5.437578864595244,15.86287088774944,12.238649475581695,5.061741553809332,2.341639295085906,5.892915093565742,2.5913343856313937,-9.228234174439049,5.170358956325311,9.673644970091043,5.751787652775816,2.680928188681465,-4.012250404141353,-8.801063038053865,,-2.237776823164334,4.637542627004509,5.005576300350027,6.760857011715965,12.766918048778043,9.490844344455374,15.424682976589144,11.098222859406954,12.643444608387846,20.56683633172289,13.194667977580872,11.774779855308028,13.201814410222442,12.104971827172976,17.782338081373858,15.877805255310683,15.393841299477096,17.531388149849057,9.372067997214511,10.529961106054762,14.516740466055976,20.75859703157779,18.626241535287647,20.69522529373117,22.36063112416217,21.81290710118401,21.42233950276881,22.561503689548807,24.3875899751146,24.8596933885486,13.641957596448783,12.56582416523319,13.014627581042609,16.01583399021944,14.751200637574458,21.796024995847496,20.00829843606761,18.83954830224776,13.449243929806538,10.5263236760152,7.553789704944714,4.425892164992161,,-0.8367700276954526,-5.45925176300613,-2.877512828355582,-2.4296560061756605,-4.269100760118393,0.6608398628439769,4.514866093605567,6.702411544121118,4.781386279309652,1.6907156647995567,3.530342230727078,9.833101695197628,18.34705609787081,13.485679551288976,1.6888791922166342,-4.999900536120791,-3.7782997455471,2.737545927223378,9.744131672974602,16.847290651342554,18.394638299808307,19.85171001289728,15.133834212454362,12.980157096036466,13.68849345225003,-0.7309044759264243,10.976147605988048,9.882996840941304,15.023131382000466,-0.2771965283670017,-14.187640749381885,0.1722760219574989,1.7907103094855028,-0.4145292584283115,-0.1225158724221753,-0.4328309798027714,2.17610577877897,,,,4.339599855709574,,,,2.7987144775493267,3.3472229852984885,0.4458912738001909,1.7003442639378985,3.3725849772043244,9.40712287486888,20.123966786148927,24.528311306645456,L7
1999-11-08 20:46:58+00:00,,,,,,,,,-1.025469716843254,-5.792917911736224,,5.44244966678896,4.4102171627848605,10.006618142805443,12.753062358198015,4.558102351060484,1.177481940460563,8.057366970875918,8.690784997355284,9.755349013732776,3.357881790186582,3.860229698787073,9.201752919645475,7.765183290394365,8.007819194725549,7.366093917703527,7.668785786789343,-0.221700808259797,4.5110723536731925,12.732165685597629,13.165367562751875,11.5990192737044,23.016847526976743,20.62948265389992,16.442056631878415,19.7221480710354,20.766639588985647,14.849254642972085,15.791057005008234,17.154681614746252,14.993339298995751,18.404497148510384,17.901996339761055,19.88676244158667,14.05030224155724,21.671842406695284,19.870075080381746,21.20888789334049,23.39814425285546,24.912990541910723,26.47911278744245,30.30213522878426,27.50349427224744,27.814167570137627,11.616862877459177,6.498034289815326,9.193719150752248,12.44580001383042,13.963078143417045,24.996919677609707,19.80412381391396,18.248590574458127,13.244209861033127,9.83263119531151,7.162165487349416,4.928473466580087,-0.5080695540454164,-3.3519354529043284,5.187748127462953,1.0290942910386858,-1.3637689734987857,-4.580408964804708,0.7156389904292412,11.219342387440738,15.140920929838266,15.902542370705468,15.810203219285754,19.400598309006387,20.11071390699199,22.60676239423116,8.569458301245415,1.7368706652438348,-0.1755395234111744,-0.4829814621218311,7.600375854456171,12.771632586742244,20.460928808466896,18.46796235390851,12.90799356170479,5.582675853016642,7.55911620124121,6.756950848071451,-1.16417266897594,-2.820556053922541,16.377148944028797,16.626489038190655,0.8914212782499792,-10.712896166835568,-0.5113207483284156,-0.9826556464635772,3.474194910765206,4.130123971205535,11.957614499265752,6.13664247955202,2.073284512190735,,,,,,,5.409265227131076,-5.22846371110998,,,,,2.807832053010419,,L7
1999-11-24 20:46:49+00:00,0.6587191470765645,6.937642385502252,8.630003943941984,14.511218747797049,11.83888429619502,12.352456056029832,11.508864673559325,1.316529482305399,-2.2221563470677976,3.1790479272067573,2.9755707639631384,9.909849166698669,8.184134272688262,3.4644311288257343,8.775319916753942,4.422418020076077,-8.691154708212931,4.275298719729645,9.947646188755732,11.14559230203974,10.236108293392556,-0.6326539880642905,-2.4864008356643934,7.096758174666317,14.814738331835985,15.827001564235465,12.538190660086306,14.660808550368769,8.319557706622987,10.010864560521853,14.607448732955485,9.53556316420162,12.629857276207302,20.390205825536324,13.535741785691147,17.218824259909614,19.8380813153337,14.966062388294578,14.435846248341871,17.11540223512983,14.290896931368987,11.848903995842791,10.744438194178825,24.32557148390337,19.635766965444247,20.67695793914228,18.46286543470217,21.16643611326003,22.0409689077808,20.74764803383189,18.488865597673183,21.918609329931225,25.457412339689217,30.40171437820188,17.42806839124953,5.517153160720643,3.561106402659456,9.167419726748276,14.234692374886276,24.912866567409147,18.923591558562347,21.285718830551684,20.54954155712184,15.959458227438189,9.524662546293587,5.945831087973727,1.5649088404943867,-0.8091458114561398,-6.170497680831233,-4.895037414442075,-0.3749335295777947,-4.117640880571254,-3.663795355110355,2.127577477415145,5.309874046201814,0.4867701074487598,-2.254518823183175,2.806426050345423,9.985168732533886,17.015940027372384,5.918770684261241,-2.316101404889291,-12.312557407437367,-3.625379050373364,2.8453895565137204,7.550366369685872,17.57336567782852,18.676200122025616,12.083663356361209,4.271873396657392,4.53872268942255,6.771874532462143,-2.6192710572582056,3.962465133542275,9.460558400300377,13.602014060108775,-7.613716942499026,,-5.407925877894695,-0.8995847921139088,,-4.436665017174387,-1.201013786865601,1.9137669673009623,,,,,,,,7.146248787493858,4.4504741307744,3.598467144664867,-5.470890983949819,-0.9978859539115768,7.212495934862191,23.431433796810577,21.491336811227644,L7
2000-02-12 20:46:47+00:00,4.952272314606655,7.736497236288175,11.139381089049603,14.361061134696476,11.53142863841956,11.607593608440007,11.18943151622718,8.034740535403524,6.140689829421443,10.43422900035385,17.024967227671752,17.97917046561816,12.961657166435344,14.050006235672866,16.31090778256651,6.859653621650984,-11.700655245623407,-7.237968463210575,-2.078667692603873,1.0787116743306755,6.897076194271274,2.64388531437148,0.9915452508775562,4.501965959811751,14.562809264443608,17.155292805261176,16.447695702110856,15.6503859945317,16.538535007889017,13.210778835330208,14.900275322349897,13.271651112856048,14.456274455762092,17.193852196873557,14.429069315929864,22.57895514065485,22.490781903086507,19.60565870258596,19.689633500641417,18.12090259894115,17.04137116212634,15.234519847990752,11.70359941412084,27.38464618048669,21.556376962152388,22.002943552937342,18.722489642257884,20.648061096488977,22.300160738860896,20.8670577351286,17.8543495587884,21.74692171361788,26.32900267417155,31.776106860049488,22.92151956920776,14.216993863853764,9.926495850415025,12.767635484355903,15.786712260146556,25.219981008827475,21.90952807785227,25.674046471781985,24.22536694163664,21.081964343103685,11.094134642480515,7.237846931480855,3.104579889201715,0.6222680973060288,-3.926432053599723,-1.8854389306490529,0.1987212836508819,-0.5187951865859735,1.2779933339042615,5.568685502298542,6.392263371052102,2.336649155204454,0.2616802228940205,3.937417235159624,11.275936240183436,18.98685080023381,10.51294637346048,1.267474758473944,-3.449675496501741,-0.9419368045151952,2.9034579320778304,8.326975409036619,16.8161772823832,20.34732560957107,20.27619538606139,12.398968813158032,11.172836351687264,10.721460024517972,1.7297695319161888,2.1139707152232345,14.637510068548032,25.357124554356524,1.8310869413497977,-9.421016712721013,3.1322731904847485,2.951784611516365,-1.5290568805110225,0.9539258569133816,6.022773702286989,11.110616685752683,-1.3531737513393882,,,,,,,14.965683240639796,5.795058601628436,4.510224476356469,3.333598558070512,4.899843491536802,11.577822268583487,25.47355980518457,24.557953923768338,L7
