dates,oahu0050_0001,oahu0050_0002,oahu0050_0003,oahu0050_0004,oahu0050_0005,oahu0050_0006,oahu0050_0007,oahu0050_0008,oahu0050_0009,oahu0050_0010,oahu0050_0011,oahu0050_0012,oahu0050_0013,oahu0050_0014,oahu0050_0015,oahu0050_0016,oahu0050_0017,oahu0050_0018,oahu0050_0019,oahu0050_0020,oahu0050_0021,oahu0050_0022,oahu0050_0023,oahu0050_0024,oahu0050_0025,oahu0050_0026,oahu0050_0027,oahu0050_0028,oahu0050_0029,oahu0050_0030,oahu0050_0031,oahu0050_0032,oahu0050_0033,oahu0050_0034,oahu0050_0035,oahu0050_0036,oahu0050_0037,oahu0050_0038,oahu0050_0039,oahu0050_0040,oahu0050_0041,oahu0050_0042,oahu0050_0043,oahu0050_0044,oahu0050_0045,oahu0050_0046,oahu0050_0047,oahu0050_0048,oahu0050_0049,oahu0050_0050,oahu0050_0051,oahu0050_0052,oahu0050_0053,oahu0050_0054,oahu0050_0055,oahu0050_0056,oahu0050_0057,oahu0050_0058,oahu0050_0059,oahu0050_0060,oahu0050_0061,oahu0050_0062,oahu0050_0063,oahu0050_0064,oahu0050_0065,oahu0050_0066,oahu0050_0067,oahu0050_0068,oahu0050_0069,oahu0050_0070,oahu0050_0071,oahu0050_0072,oahu0050_0073,oahu0050_0074,satname
1990-09-20 20:13:50+00:00,-8.079972268082361,-1.0508606215035947,1.5699057861892876,3.210915947151997,2.0367214232788573,-3.694968794244322,,,,,,,,-3.7263185780675454,-4.170067944094911,15.257762109797396,12.046431158162171,14.949437861461004,3.298474558957661,3.402494991929955,5.870631282339354,4.364608239650443,,,,,,,,,,,20.86622484307002,16.256913558035087,11.403542651561258,8.416089948861094,7.287738854197603,4.811393361682942,4.202723046528715,5.598427080555541,1.0174976896884165,-2.336725013323239,-2.748084848563975,-2.520958633304887,0.2157038408001026,0.7530672363217492,-5.216569985246657,-5.057612124601162,-2.2757537485880928,-1.9622010069423912,-9.023789686148788,-12.030260716579836,-11.828455982613368,-17.371832308841537,-8.557294090024467,-15.713821546378949,-14.809893686493178,-16.183013602026083,-10.884473962684964,-14.19515230430317,-13.888908250300544,-11.490324093801757,-13.380396278341014,-15.715685646354782,-16.668747978266904,-14.472393896341758,-8.900616403568735,-8.19897352735881,-11.922236173376266,-8.927693656769758,-1.4784022893071118,2.35102570433924,-0.9814714425077382,0.5817540030901724,L5
1991-10-25 20:18:11+00:00,-11.615074992547235,-9.079136284539585,-5.517092288941252,-4.944487448513959,-8.927379685197648,-13.298714182050473,,,,,,,,,,,,-4.829069702768843,-12.68322719363495,-11.44389297847451,-6.008304886586462,-7.264634393046817,-13.043416906850714,-12.308869301683002,-7.05316385867572,-3.3338933494867167,-9.188449455905015,-3.42432747663801,1.925672275067526,10.047929582816955,7.133467258455863,,,-9.53923365969366,-22.887992206667555,-23.89315015592578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-11-10 20:18:16+00:00,2.3939806754328203,2.340784479030684,5.505047486356935,5.647629240369701,3.571474126288764,-4.208905085579626,-9.37330022474068,,,,,,,,-10.44099410044405,9.896763141665616,5.157401967190446,6.8081253737424605,-4.576058916427221,-3.751012274649469,3.039746771130203,6.908051151357101,0.4742313519776435,4.806164458356753,11.714208077456972,9.457499919039488,4.673184203687589,10.74368278079566,13.74872853217516,21.089481756701883,19.87320506092642,20.12849728691995,14.944938137043264,10.656379517551658,4.456318881615207,3.370511339145165,-0.6496725146869589,-4.980163904869248,-4.932430674836357,-2.2014276403826054,-5.615779830392614,-4.461321289138554,-4.3097253176700905,-4.610581166487803,-5.807149323066187,-4.485345238106089,-8.18394063575972,-6.82725137699556,-1.1244694058271114,-0.6299022251847068,-6.57072350930319,-9.342946526333227,-9.195339266989182,-13.88877726705252,-5.15880397494676,-12.201441891360298,-11.922251467907014,-11.411777586579774,-7.0776348428201175,-9.213111672075252,-8.86849603381909,-11.759433191332088,-16.709906869948746,-17.747347010294906,-19.342794201092865,-17.426719602992087,-13.23044626687577,-8.972865510936785,-16.203445236502986,-13.94793740673822,-7.651887051588575,-9.034148352574078,-8.483312533024609,-7.379118337700258,L5
1991-12-12 20:18:31+00:00,-3.28645632435038,-0.0415803313279108,4.351803978751789,4.937727980011097,2.473960840222289,-3.320677346493432,,,,,,,,-6.120218030640899,-7.448302112630595,11.765033670149611,7.77538737523628,8.775036806925131,-3.051592478426192,-3.004564478438628,1.6395871308554433,4.390541992726498,-2.785788806275114,-0.2376289562650718,4.818323827640087,6.4448005164280975,1.9969221325077235,6.821643212727207,9.705095355293562,11.701918815922385,13.186741069043329,11.733564990182488,13.039245084951345,9.553597751991315,6.209456567493837,3.4810131384288883,1.6390345672781654,-2.428255633177658,-4.885311899357988,-2.9578974897150734,-4.534303417830686,-3.4010488752765418,-2.654851025173023,-5.4860205015661485,-4.644614645267032,-3.2433393825689296,-8.713237554990755,-10.223382292614453,-7.973310969050278,-7.987080053338341,-13.888949647562946,-16.97738994896215,-16.687075337652796,-19.125245797829,-7.57797712212451,-14.353319739242028,-13.895400245117182,-12.00971046879205,-6.649552517226995,-9.202258611994074,-9.471884177800526,-14.47352869304162,-17.072098460203538,-17.333617413516357,-19.14363359708996,-19.83886392157376,-18.126599314341103,-13.156389430126296,-18.30821039880465,-16.925327837818156,-11.04557927234613,-10.01315263607821,-15.554380617241302,-18.11796979362796,L5
1999-07-03 20:46:48+00:00,15.676624673455724,13.288167467304216,14.650153210880523,15.645086688942026,13.911045193189612,10.974290856832468,7.725700558433757,7.188534784884834,11.500618006241432,23.1901339492806,4.049462217136701,-1.681221937867374,0.6987983808694147,8.864996175126148,7.424513179534128,26.08450551572089,17.40665637960039,15.85590264005981,4.897192011317824,6.133804735140903,12.406863520122164,14.14179905892212,8.680473564852104,10.047387805232006,15.258762478338928,15.699016617782627,14.478231696782451,18.85705436102385,20.63566640619339,24.55235460584276,24.679464226482576,,,21.57372715174205,15.386349412629084,11.186060807755537,6.613231882214463,1.8765781219926247,1.4900709517157114,2.0063215474823988,-4.860399475832901,-5.564579769212376,-4.864899046874324,-2.8460019264768026,-1.15349154089394,-0.1126633531548906,-8.003275951480774,-6.956976374679966,-4.087786629087377,-4.217584766156609,-5.830227704489964,-8.695003424285522,-7.87938087144559,-11.698515060166166,0.4649573131475426,-6.395092952386982,-6.104370154632624,-5.144343895669888,-0.1802954065752606,-2.84647246828774,-4.9550654950108655,-5.3072877430558405,-5.532637362209206,-7.807508275036152,-12.088263780914154,-10.047429028942137,-7.357668484749126,-4.086045842760589,-7.288667808232559,-3.083961324115961,,,15.154426196361609,14.014779563374931,L7
1999-09-05 20:46:59+00:00,10.72847109825959,12.599692410666202,14.79474962094204,17.841066500927838,16.299584203486468,11.525106768851948,6.7778611126623485,7.068114409299888,7.191124346659768,16.833853944145147,0.1087962842817034,-9.1654964706521,-5.001854151958611,3.803537303948157,-0.8928967291774748,18.29778966451272,13.612988544311884,11.590942423208752,-0.5210502547191163,0.0125098988123113,7.487112653189232,8.727336425301532,2.124463907094492,5.464383299426291,9.10586998581904,8.662132566654066,4.385329588217292,11.169793772980755,20.87851861367652,26.39681771090491,26.37255109958541,24.66550535774623,18.55625486213015,14.396251449710908,5.372593388159622,4.8191236630789245,5.295355790365688,0.4640920353305691,-1.5381617824837464,-3.9510605282722095,-7.073729110609616,-5.679517644110598,-4.600351157235226,-0.5267687795987279,2.766393274781225,2.448634115687638,-3.603978622269054,-2.4787001218079694,2.576534388078595,4.709530181739297,-0.961762317442632,-3.611648539867058,-2.8206275363340203,-7.558371783568958,3.782502178045474,-2.5257249936199773,-2.5809394984719742,-1.7177646830091828,4.337464812995018,0.2610947803998349,-1.6071403892733265,-4.206492001699834,-4.185251292889815,-5.470373692641964,-10.321914921654404,-9.317661179504793,-4.498271398216739,0.160714217649855,-2.831495481404953,1.905532945586589,9.590228870315006,13.017094316515692,10.59407948279248,,L7
1999-11-24 20:46:49+00:00,1.54082717944781,8.40881091661856,10.53257661634367,15.11056792531156,14.947037483559988,12.2650742889326,6.902178784323482,7.686341140651316,9.885859706207452,20.85170368578598,2.3172571141086995,-2.551064905990978,-0.0670210404736967,7.906816616788922,2.724595490148196,21.89645915941816,14.771648209826662,10.419265011492133,-1.2288130567082578,-0.3795691658173114,6.565718292510266,11.21151330703618,5.200919315846139,6.042711975156458,13.244297264861686,10.79658158968286,6.324393902619925,12.489041990541178,18.41286749646969,19.73168793192366,14.67334747836986,11.135540819212284,5.85258162753196,1.519562173209219,-2.2715251672804864,-3.02252287974898,-0.8293898362987936,-6.772927021086645,-11.393906129773272,-11.496626338810035,-15.65642280098129,-13.842388196955511,-13.926784977746491,-11.850074693629972,-8.47118938118957,-7.6376108515745,-11.199400656993769,-9.327778585865456,-2.7147964996612046,-0.1215849633060918,-5.245138288704303,-7.936618876800789,-7.125320366620281,-13.56146185883075,-2.3593509336012146,-9.230644342788626,-7.246570670401346,-4.235908000616545,1.1644610981649328,1.2201980984924838,,,,,,,,,,,,19.68015410401324,9.003770296778352,6.140559739352087,L7
2000-02-12 20:46:47+00:00,5.142174894443548,11.337054404853198,18.54590308264018,22.40333415833673,19.52473022536176,16.649118265162496,12.984845857928615,11.9204135289088,12.121271728633351,20.165024910060893,2.697245186088064,-4.728130770446539,-3.196043465736777,8.929437212775078,8.701356303837812,26.659685084269075,20.75659841933676,20.11650066436475,8.920663071295335,8.53266374063078,14.407140556676625,15.707627355850438,9.386185543615715,11.000909685218154,18.73099562327371,17.82390328739465,18.158158497511863,22.53075691064228,22.987127765704848,24.869726838595668,23.82752906193537,22.77302524827835,21.337653511152663,21.74653358692153,17.859584741937564,17.065422422551002,10.465493791821665,7.186006906451447,1.138579176263268,-1.427985796337664,-3.660304374825712,-1.2280270210465638,0.3310006758876268,2.56352982464624,6.845996535393115,8.57627632113773,4.366611299300192,3.2514937281349163,5.15920261530323,0.8490036064130712,-6.340643200131353,-9.110614677098368,-5.736208473716901,-11.749338022304377,-2.6159872351185087,-8.653294516396686,-8.906055296461131,-7.865089818403194,-1.6068758982353386,-5.262030812933865,-4.365605780838621,-9.727948517518794,-9.30544432359222,-9.83481964077408,-10.356578635868733,-6.78462631673154,-5.690909807254569,-6.193042136548125,-10.410554833409291,-3.547953485413394,-1.0118001803178285,4.733431695843275,8.615681569324034,6.635902242632837,L7
2000-02-28 20:46:42+00:00,,,16.049913505213702,17.451226457788025,20.42365333877068,18.991304693906105,14.99527247648213,12.302278023556775,13.143646596166413,19.59028998429214,0.2162707753238684,-5.492349832056281,-2.331596496554144,6.939035346266215,2.50270844997862,20.23620640746271,15.103315649263976,14.161513319224603,2.4850982749350488,3.5086197944945328,7.601778152983691,8.291754185302466,1.1439432247641244,3.77688916575312,7.511881983899082,11.680099885869367,5.119137567932498,18.470830190211284,21.14270484619443,20.803156522037035,25.34403761188953,23.861370718333,25.1929532050124,22.62255751911592,17.669177238715267,14.4806167134133,11.957294793772885,9.844905403098991,4.032483533465966,-1.2272787692989664,-0.8010566100903366,0.5077858460982797,3.061973933388344,6.103361667259553,9.671762251823264,11.984569622549264,1.8971521984381208,-2.8984811084687445,-3.4773979003697546,-5.788016972701909,-12.920884400232936,-16.515771943332197,-16.559667700355874,-21.6111310182603,-7.659145786172738,-14.403630666394662,-14.107817725400846,-13.85313202385588,-9.009975762814738,-11.153410725804168,-9.167603154140595,-7.975362401224438,-7.424880342089072,-8.060395557239156,-10.564564013177096,-17.75137203018115,-11.483072464173862,-7.647811590194681,-12.054136317279175,-8.0599827845381,-5.853059847227004,1.694134599976696,5.745068201694162,3.1222930142061567,L7
2000-03-15 20:46:37+00:00,14.38487990483214,15.462726664336262,17.72089109481747,20.720041506076075,21.26227639965469,22.23469089687348,19.104694748617963,19.5679294782786,18.38964991343672,25.532856709586014,6.842050169114032,1.0486654009483498,3.411193860784126,11.40165253011469,8.647792352393934,27.54215912890241,23.29392184101152,22.228677694344185,11.21542407459021,10.067733091173643,14.697225205618954,15.78900094227796,9.020930754381444,10.886487243261994,14.800714363224644,15.8662670217262,16.26351930692982,25.547431403029385,28.909056252473693,32.44037907220745,28.310829570589515,28.505692093978627,,22.276472225832176,17.86240061459245,16.834617951029337,10.77482776658656,7.916742849649809,4.638518987889147,0.2019913765136807,0.289981432409467,1.3771867750396942,4.557147103204679,7.221852275915666,11.143918414345398,13.522561639188758,4.563881051405358,-1.35624054181902,-0.712150809225133,-1.1304950242252232,-6.305330725504426,-9.522413217673623,-9.735902452004469,-4.497764193198082,5.440089006245794,-1.1647181327412992,-1.052916443997868,-0.0531344499398614,3.562800536034399,0.0687504243546803,-2.943539867610769,-3.9079520536608894,-3.82890590549338,-5.163502704628506,-6.6005078053258,-4.831169129547891,-5.00162086070782,-0.3740048179887874,-5.533968133323286,-3.959026534570391,1.2900713281887302,19.350339379387705,12.267201393228662,,L7
