dates,oahu0056_0001,satname
1990-09-20 20:13:50+00:00,11.929670819651678,L5
1991-10-25 20:18:11+00:00,14.813272850322416,L5
1991-11-10 20:18:16+00:00,6.954211040106184,L5
1991-12-12 20:18:31+00:00,,L5
1999-07-03 20:46:48+00:00,18.69069245768188,L7
1999-09-05 20:46:59+00:00,18.69900963551928,L7
1999-11-24 20:46:49+00:00,37.9466308135397,L7
2000-01-11 20:46:54+00:00,,L7
2000-01-27 20:46:52+00:00,15.197877795802734,L7
2000-02-12 20:46:47+00:00,32.016005084200735,L7
2000-03-15 20:46:37+00:00,20.012039076034824,L7
2000-05-18 20:46:08+00:00,21.83844825351869,L7
2000-09-07 20:44:48+00:00,27.890711381446724,L7
2000-09-23 20:44:31+00:00,32.34106972932388,L7
2000-11-10 20:44:23+00:00,4.490121045447408,L7
2000-11-26 20:44:25+00:00,16.93213469786899,L7
2000-12-28 20:44:30+00:00,33.49869364738314,L7
2001-01-13 20:44:32+00:00,2.381152041379637,L7
2001-02-14 20:44:29+00:00,,L7
2001-03-02 20:44:23+00:00,17.331403996143596,L7
2001-03-18 20:44:17+00:00,29.438923054436493,L7
2001-04-03 20:44:06+00:00,13.806784327306715,L7
2001-04-19 20:44:10+00:00,26.470659214810013,L7
2001-07-24 20:43:19+00:00,17.523895392334683,L7
2001-08-25 20:42:49+00:00,27.862495232213448,L7
2001-09-10 20:42:38+00:00,6.131048139204122,L7
2001-10-28 20:42:21+00:00,5.96986046129887,L7
2001-11-29 20:42:36+00:00,18.74083516351034,L7
2001-12-31 20:42:36+00:00,16.282126065580854,L7
2002-01-16 20:42:50+00:00,20.56775496154525,L7
2002-02-17 20:42:54+00:00,8.341040579485107,L7
2002-05-24 20:42:43+00:00,24.71801154602312,L7
2002-06-09 20:42:36+00:00,22.520687197881504,L7
2002-06-25 20:42:29+00:00,18.00017481087383,L7
2002-07-11 20:42:27+00:00,28.2830211080688,L7
2002-11-16 20:42:04+00:00,27.85936974501747,L7
2002-12-02 20:42:19+00:00,28.55734512612463,L7
2003-02-04 20:42:40+00:00,32.071108754872974,L7
2003-03-24 20:42:41+00:00,17.985854777606097,L7
2003-05-27 20:42:45+00:00,17.90459101964086,L7
2003-07-30 20:42:30+00:00,10.831028773710791,L7
2003-08-31 20:42:24+00:00,,L7
2003-10-02 20:42:13+00:00,31.470562376765333,L7
2003-12-21 20:42:54+00:00,5.418373047705515,L7
2004-01-06 20:42:58+00:00,26.813262527913928,L7
2004-01-22 20:43:05+00:00,25.778318359709747,L7
2004-02-07 20:43:10+00:00,19.66249087618308,L7
2004-04-11 20:43:15+00:00,,L7
2004-04-27 20:43:12+00:00,14.41762831051319,L7
2004-05-13 20:43:15+00:00,17.37573929637906,L7
2004-05-29 20:43:12+00:00,22.791036725778746,L7
2004-06-14 20:43:05+00:00,27.3230831095103,L7
2004-07-16 20:43:01+00:00,,L7
2004-08-01 20:42:53+00:00,,L7
2004-09-02 20:42:47+00:00,22.42802100871954,L7
2004-09-18 20:42:41+00:00,,L7
2004-11-21 20:43:04+00:00,,L7
2004-12-07 20:43:13+00:00,,L7
2005-01-08 20:43:27+00:00,,L7
2005-02-09 20:43:37+00:00,14.063063923534097,L7
2005-04-14 20:43:37+00:00,6.6253084658935935,L7
2005-04-30 20:43:38+00:00,28.99308568408702,L7
2005-05-16 20:43:40+00:00,24.76211478092669,L7
2005-06-01 20:43:36+00:00,,L7
2005-07-03 20:43:28+00:00,22.550336635293643,L7
2005-07-19 20:43:29+00:00,10.282318128604423,L7
2005-09-21 20:43:08+00:00,,L7
2005-12-26 20:43:45+00:00,24.795675443997425,L7
2006-01-11 20:43:54+00:00,17.283036075609576,L7
2006-02-12 20:44:07+00:00,34.617872551970684,L7
2006-03-16 20:44:09+00:00,,L7
2006-04-01 20:44:07+00:00,11.91076387706161,L7
2006-04-17 20:44:03+00:00,6.295347776399852,L7
2006-06-04 20:44:06+00:00,23.76498642586788,L7
2006-06-20 20:44:01+00:00,16.556805740255662,L7
2006-07-22 20:43:46+00:00,25.820031270782565,L7
2006-08-07 20:43:44+00:00,12.103529753571582,L7
2006-09-08 20:43:38+00:00,23.797129568171496,L7
2006-10-10 20:43:27+00:00,,L7
2006-10-26 20:43:43+00:00,8.03547622078192,L7
2007-01-14 20:44:16+00:00,38.13815192431022,L7
2007-05-06 20:44:29+00:00,19.387666297490263,L7
2007-06-23 20:44:19+00:00,,L7
2007-07-25 20:44:13+00:00,,L7
2007-08-26 20:44:01+00:00,,L7
2007-10-13 20:43:49+00:00,,L7
2007-10-29 20:44:01+00:00,,L7
2007-12-16 20:44:22+00:00,4.105741531318974,L7
2008-01-01 20:44:24+00:00,12.340192556155644,L7
2008-02-18 20:44:19+00:00,,L7
2008-03-21 20:44:12+00:00,,L7
2008-04-06 20:44:12+00:00,17.933342131917207,L7
2008-04-22 20:44:09+00:00,11.377275331666109,L7
2008-05-08 20:44:05+00:00,,L7
2008-05-24 20:43:59+00:00,25.571060087331944,L7
2008-06-09 20:43:51+00:00,23.175426075292787,L7
2008-08-28 20:43:07+00:00,20.187854691122173,L7
2008-09-13 20:42:59+00:00,21.53111319640965,L7
2008-09-29 20:42:49+00:00,,L7
