dates,oahu0103_0001,oahu0103_0002,oahu0103_0003,oahu0103_0004,satname
1991-10-09 20:18:07+00:00,,,,,L5
1991-11-10 20:18:16+00:00,,,,,L5
1991-12-03 20:24:42+00:00,16.364917962427377,17.937445488735296,13.770149368833303,7.830902882926745,L5
1991-12-12 20:18:31+00:00,15.744771662031471,19.277027080460247,17.95478776569128,14.108815526183822,L5
1991-12-28 20:18:23+00:00,14.487352283616785,16.00503812625016,21.65274482534096,19.926779178399432,L5
1999-07-10 20:53:01+00:00,6.076325397075046,13.12221257359269,8.718912785611078,7.569913253747104,L7
1999-07-26 20:53:05+00:00,6.902092084423268,17.746230148995146,19.38623896384895,16.465333797898857,L7
1999-09-12 20:53:05+00:00,30.2096851768594,24.76876701972597,24.619088641228416,22.776341070163124,L7
1999-10-14 20:53:13+00:00,15.627616161926513,17.281240752491772,19.02273000450924,10.133462700165296,L7
1999-11-15 20:53:07+00:00,19.290149372881363,22.499965434623064,26.43308295169528,24.931371231830088,L7
1999-12-17 20:53:11+00:00,30.23063378356948,29.58625616278611,28.0187200448922,26.5330550264845,L7
2000-01-02 20:53:03+00:00,28.443249506623907,26.87920473106855,24.51001146428649,17.05669612013651,L7
2000-01-18 20:53:00+00:00,12.132958005592004,22.40791763210867,17.582929645417664,19.983348757836232,L7
2000-02-19 20:52:54+00:00,32.28422758900948,35.3893299103045,25.89903284345121,21.55346391865074,L7
2000-03-06 20:52:49+00:00,11.332387859452238,20.85987580650134,23.55116860786598,14.723313195709473,L7
2000-04-07 20:52:39+00:00,18.01743930440656,21.25944415716955,24.10007234360485,23.302725416212844,L7
2000-04-23 20:52:33+00:00,8.389226248661208,13.713740537559556,17.280032497454766,14.221085841019384,L7
2000-05-25 20:52:12+00:00,21.18883268312283,20.30957958622509,18.498104054695105,11.572682736371368,L7
2000-06-10 20:52:06+00:00,12.430403785062998,17.047553625816604,17.076779541642164,13.403901376014648,L7
2000-06-26 20:51:56+00:00,11.972429795479798,17.160155050116376,19.35341030776652,16.556545512513406,L7
2000-07-28 20:51:26+00:00,9.977181538729043,20.487312844909063,20.754801519583527,19.538791965226533,L7
2000-09-14 20:50:50+00:00,7.890671206528089,17.349957675120088,21.27861250150124,20.853850514398165,L7
2000-10-09 20:44:25+00:00,,,,,L7
