dates,oahu0083_0001,oahu0083_0002,oahu0083_0003,oahu0083_0004,oahu0083_0005,oahu0083_0006,oahu0083_0007,oahu0083_0008,oahu0083_0009,oahu0083_0010,oahu0083_0011,oahu0083_0012,satname
1990-08-19 20:14:00+00:00,,,,26.42945754302143,,,,28.233317015483856,11.979353771386318,7.320434211808245,,,L5
1990-09-11 20:20:05+00:00,44.10407844889937,17.997263895556888,22.697587292822806,16.490229046861746,4.576994848466171,1.0760091854721554,0.2096664216849852,,,,,,L5
1991-10-09 20:18:07+00:00,42.60953582744683,25.182394275375376,27.0504867707076,20.34927136870673,14.88288181542308,14.839692595998672,13.410729010051586,3.566590793042568,,,,,L5
1991-10-25 20:18:11+00:00,43.83725798428213,30.062265679867263,28.95644451339137,22.1880325080745,12.38587824886126,8.700900181489763,8.281840402613382,2.978842363303381,-0.1641298003632462,2.5781820223551564,,,L5
1991-11-10 20:18:16+00:00,35.50780230592359,16.592597878091013,20.53023292930937,17.831568717599687,8.073343003619502,5.645281263753411,6.50052574831761,2.74213736653892,0.9388786248214168,,,,L5
1991-12-12 20:18:31+00:00,45.059697349341256,33.45701502019878,32.492402092879665,24.162097857007563,11.455764369295707,7.840191950436876,8.666875128124532,4.906530337664123,3.804246814224777,6.780804272960802,-4.127290607820291,,L5
1991-12-28 20:18:23+00:00,39.97059264113975,27.44833112583264,30.273684874911385,20.76956067192773,10.742454333882362,8.069876017730115,8.153967340674624,3.22290367773905,1.7824862672922943,1.6494848169020475,,,L5
1999-07-10 20:53:01+00:00,,,,,,,,,,,,,L7
1999-07-26 20:53:05+00:00,,,,,,,,,,,2.832020995338271,,L7
1999-08-11 20:53:07+00:00,,,,,,,,,,,,,L7
1999-08-20 20:46:55+00:00,33.725698742056245,32.77477406400657,31.656155969443216,18.11352481080857,6.9284501755513,4.545830945147123,6.301025420236292,5.144634739547025,2.9149920080990794,,,,L7
1999-09-12 20:53:05+00:00,37.22766188060255,24.56060295411189,26.35785700914291,20.50619617496892,14.754135645968102,12.197561582265172,10.476857610228087,5.748449209759103,9.840708954975176,13.425037553638507,1.64199187559286,,L7
1999-09-21 20:46:59+00:00,39.393709536879655,30.17158413131053,33.34422104581696,24.36673207284037,13.299686889827006,10.069055351561191,10.469210867122351,7.7314439983232734,11.625350093975934,15.4573740165683,3.654712430678755,,L7
1999-11-24 20:46:49+00:00,28.15971692573413,29.146075202707955,27.48390976077467,18.69450756500622,4.461910208433469,0.7196076855932494,,,,,,,L7
1999-12-01 20:53:02+00:00,34.303356969076624,29.62615616601762,33.523990534990666,26.80151350322652,19.77240292231338,20.72107201632381,16.732889219408452,11.50519822876362,13.563641442377811,17.563985180115022,4.289547688298089,,L7
1999-12-17 20:53:11+00:00,30.85644645739853,16.437707800549397,18.416813945511898,10.182279945946664,,,0.3878309957440276,-3.1805483472416585,7.7064611409305455,9.899394881011077,2.0135742735486977,,L7
2000-01-02 20:53:03+00:00,40.74422563539654,28.98154819182854,29.677583156409305,24.18495161756665,25.693748948180467,26.656531103297635,21.866108892872333,9.456892034608808,12.103995146370242,13.339829405273871,-0.0749038305576664,,L7
2000-01-18 20:53:00+00:00,35.284417163800164,30.73967041816678,30.873097326571965,18.43406848908259,,,26.90679349613073,10.219651495850572,10.731734313630897,12.645183494381774,-1.7983393863557682,,L7
2000-01-27 20:46:52+00:00,34.42799139040235,25.473900768881,29.74362300667,19.870919176049696,13.929111410600155,14.644882844593608,13.544830691194331,7.127023329902707,9.486862542197748,10.251225596936544,-0.9626041568653798,,L7
2000-02-03 20:53:01+00:00,,,,,,,,,37.02987928630756,28.066110268393235,18.33450458459149,3.34364953465484,L7
2000-02-12 20:46:47+00:00,38.90017080532908,31.085830433924,30.870133836784174,24.407661767423384,17.053293634819234,12.83018531691153,11.969296450044922,9.495728367203702,11.542790243742097,15.22117917851534,2.836723671168597,,L7
2000-02-19 20:52:54+00:00,,,,,,9.290329278272782,,,17.537878302811265,16.465661180421066,3.29622111115408,,L7
2000-02-28 20:46:42+00:00,39.52071989723994,31.078346569769057,32.30798745270945,22.429367499395145,17.4560792051,18.632334261100272,15.714451849007393,8.931816579213832,11.994649122771856,15.950048324532949,2.1681397873482746,,L7
2000-03-06 20:52:49+00:00,28.721498386708955,13.286491033797146,8.630173665075294,5.629340136795461,7.662303051772842,14.788372898811105,18.47611697667663,-0.7884517941606168,-2.0678470888959044,,,,L7
2000-03-15 20:46:37+00:00,25.321969436192507,20.79405697858972,22.722415794910813,17.558753765709977,20.322649199928424,32.823301337786766,28.78060010016443,7.505509195938066,10.705625818892758,8.804707886273372,,,L7
2000-04-07 20:52:39+00:00,,,,16.010828908208552,,,,21.83402968395177,19.256749408100475,15.442338790377017,2.877768185944656,,L7
2000-04-23 20:52:33+00:00,28.01239138313743,12.253361883296284,,,,,,,,,,,L7
2000-06-03 20:45:56+00:00,,,,15.402270578431144,,,,13.30839674751486,12.509741039430708,15.149618283540136,3.24480743566442,,L7
2000-06-19 20:45:53+00:00,,,,22.56269363288998,,,,,21.22472655706796,19.448729735297405,6.203174305671178,,L7
2000-06-26 20:51:56+00:00,28.516309377330664,16.142741744019283,14.858988493021176,15.923358555885937,12.246722544691815,10.7526387742799,10.4213433562259,7.919629959014802,7.602063369215948,8.241264884366942,,,L7
2000-07-28 20:51:26+00:00,35.19483158070948,30.74010518351874,33.97492019762825,21.06244956776301,6.684219805074724,-1.6112532860084685,8.649798461335292,4.467020651281102,6.189780386057512,6.0427681570285525,-0.4269526274409525,,L7
2000-09-07 20:44:48+00:00,41.15207438655523,30.00132197801756,31.3593530848911,22.42285863391616,10.586373692844894,8.454780670932497,9.977055531430556,7.430788891285949,11.151357552264171,17.423864125902355,5.5394648323728175,,L7
2000-09-30 20:50:41+00:00,41.166072644075165,30.28948736941564,32.16005859114755,24.153398609163983,23.233644071415032,24.66583313228677,20.992895228135044,10.288386463986669,11.191110409963445,13.470781808350669,-0.0507500216033177,,L7
2000-10-25 20:44:20+00:00,37.51220277130601,29.267448585891067,29.90508260900769,22.42639078203956,24.27398211678112,28.745912465589733,19.72321280854954,8.188158919066288,9.359696861494344,12.392296557369315,1.2165583697470927,,L7
2000-11-10 20:44:23+00:00,40.45000720751615,32.169142460845805,32.498479894195135,26.51036960937849,31.11401834383393,33.058256899600735,29.05570280162738,16.58522186565133,15.113527952854396,16.126931825320266,1.4111522649926034,,L7
2000-11-26 20:44:25+00:00,,,,,,,,,21.0755800036458,,,,L7
2000-12-03 20:50:34+00:00,36.92775358872724,29.51852823867196,30.32035508749508,22.76807026251204,12.716701401143244,11.87708408299324,12.22909771893289,7.283719442635883,10.973893886200353,13.519433704086389,1.5444247681299943,,L7
2000-12-19 20:50:39+00:00,44.226940145689845,34.078287104578486,35.104198790899865,27.48367136991168,18.227257585035154,13.843425114058704,13.339114897859467,10.346882676049058,12.414895703796592,14.804814258733645,3.866367581894657,,L7
2000-12-28 20:44:30+00:00,41.248218109603656,31.923189185139044,33.09486114342281,27.80737075480712,16.149597208323684,12.433603153226969,12.309335873661569,8.758795342425783,11.159930763582867,16.475492915697423,4.341108010391809,,L7
2001-01-20 20:50:45+00:00,,,,,,,,28.722649201029107,17.145747432455785,20.69537705806033,7.845034536337466,,L7
2001-01-29 20:44:33+00:00,37.1201643759925,30.6013032517078,29.78154475668286,21.139894636927657,13.073382953943469,11.09028286150853,11.111445492126888,7.651610668389161,9.793543573086762,15.65080495904385,4.563541210496791,,L7
2001-02-05 20:50:39+00:00,45.57232734477454,31.32973808692348,31.245275082888668,27.59887129719856,31.949872904008075,33.39371432461382,27.373552543116656,14.105654319039752,12.544214880141938,14.79152440056008,2.220826131162497,,L7
2001-02-14 20:44:29+00:00,24.81824010060075,14.481106845924172,22.73842394541593,11.436689487792584,-2.4013653283851344,,,,,,,,L7
2001-02-21 20:50:38+00:00,,,28.96373076691729,20.449790361555824,,,,21.084728988165143,13.720637792280176,15.007924049085467,1.170370467109454,,L7
2001-03-09 20:50:34+00:00,,,,,,13.108497665563608,,34.8309623811145,19.27544589481284,15.635857889223953,3.381831092140433,,L7
2001-03-18 20:44:17+00:00,42.69980352909104,35.5598130517872,34.032227844930595,22.494040248704312,27.89505472630603,34.73874505218281,24.922510439763123,8.270063673325259,6.360299928028825,6.836987597848351,1.0738081364900922,,L7
2001-03-25 20:50:25+00:00,,,,16.443966475694957,,,,22.34954388842889,14.613740882911811,13.972967809597275,0.5398144376241754,,L7
2001-04-03 20:44:06+00:00,40.82790856021816,31.35882962730014,30.10453514175901,23.28401613725537,29.88128000734138,,,16.966952289811687,11.3014725159146,15.0806436567115,2.632240623275392,,L7
2001-04-26 20:50:19+00:00,,,20.923237405444286,15.948088300069738,,,,20.284729165288287,12.092747104763925,9.24252031861966,,,L7
2001-05-05 20:44:06+00:00,,,,,,,31.533449367816942,16.48846527506026,,,,,L7
2001-05-12 20:50:10+00:00,,,,,,,,,,,2.73027196402432,,L7
2001-06-13 20:49:50+00:00,,,,,,37.36594773371399,,,,,,,L7
2001-06-22 20:43:29+00:00,,,,,,,,18.852644783081267,13.7188522995307,17.986128062676126,5.299956459258475,,L7
2001-07-15 20:49:35+00:00,27.16052043790877,12.260893200823572,20.007588343110868,,,,,,,,,,L7
2001-07-31 20:49:23+00:00,34.10687906282732,26.833482501166085,31.44944590490258,29.945533730859463,4.322679595579363,1.8855453970424527,6.236482376099573,5.781102805419387,6.592317565803377,,,,L7
2001-09-01 20:48:54+00:00,30.068827364662315,18.2855700191372,21.061406674027115,21.89925800211275,21.319180176308723,15.322109854962132,10.22258046197894,8.68068866618895,10.322821958491629,15.092157592077331,1.2186193724884764,,L7
2001-09-10 20:42:38+00:00,40.11807981607945,21.92177301061993,30.491585563207973,23.19425618263382,14.355132883983815,12.443882642720698,12.939922845845494,9.178959286076667,7.730650742732066,6.608252330215875,-0.7944755460808259,,L7
2001-10-12 20:42:13+00:00,36.92088811487309,29.108028117317385,31.443597941590305,24.00996503900448,13.18928976080868,10.280241794614176,11.137843010161063,9.143053142475404,11.94019038904842,,,,L7
2001-10-19 20:48:32+00:00,43.79158523770496,33.97998005522254,32.83322530328213,25.41258232059237,15.081414470737784,10.418678983697408,10.283132748090877,8.385531097398488,10.986386855050087,15.70599351376574,4.312095418400052,,L7
2001-10-28 20:42:21+00:00,39.649225319197846,32.074417872666615,33.58289996250269,26.56326633413988,,,,,,,,,L7
2001-11-04 20:48:37+00:00,38.28345039606882,31.031800912425407,31.533358183342404,23.07381946381192,13.9969331484718,11.37087316524729,11.135787892616712,7.6963835253357855,9.578780334914429,13.934919466657764,1.849561133002168,,L7
2001-11-20 20:48:45+00:00,35.66167116518661,16.478509947493823,28.47842921079034,21.463044516498464,15.312075150329331,13.258009684229725,12.834198216564417,9.665256066632622,11.002591184340286,12.476948972899985,0.3423365377097587,,L7
2001-11-29 20:42:36+00:00,43.29681834738666,33.520183878245085,34.50333423923042,29.22621989384029,23.709671703627404,21.08119718144632,16.740908153103856,9.658065035077522,10.416645656634657,14.912939800759265,2.820808609500452,,L7
2001-12-06 20:48:46+00:00,34.40421733491988,28.57830733622025,32.207641274651266,23.38740492701266,13.689499029736751,10.860470184296206,11.170461618625149,9.268206859835436,12.225698060808334,13.491629350230738,2.381636383087935,,L7
2001-12-22 20:48:56+00:00,39.81491353633778,29.17325208632188,32.129149874124366,26.01731267617909,16.811873835337508,12.979945256839914,12.315699564298685,8.952737244732365,12.022636424966151,16.085675565599438,3.475244877718729,,L7
2001-12-31 20:42:36+00:00,36.30597368313798,28.437686072622604,29.11060222410255,21.29368997043983,16.14530329309938,17.237547953830614,14.335286768154411,7.382627486055996,10.75170779817628,15.244783250656464,3.4421829906271286,,L7
2002-01-16 20:42:50+00:00,41.397376621294384,31.80087752886144,30.758517106499696,25.457533430019595,16.23318142477806,11.68611943414184,10.853555661946276,8.029593188131797,10.966377170816209,16.043940619354665,3.4147639931206206,,L7
2002-01-23 20:49:06+00:00,40.67819324881819,28.79193577993351,30.67055151502681,23.914539337121106,18.859444190652223,14.60190289066865,12.27585818142921,8.193099171750015,12.638262860793509,13.30971312542244,1.2034922907925307,,L7
