dates,oahu0110_0001,oahu0110_0002,oahu0110_0003,oahu0110_0004,oahu0110_0005,oahu0110_0006,oahu0110_0007,oahu0110_0008,oahu0110_0009,oahu0110_0010,oahu0110_0011,oahu0110_0012,oahu0110_0013,oahu0110_0014,oahu0110_0015,oahu0110_0016,oahu0110_0017,oahu0110_0018,oahu0110_0019,oahu0110_0020,oahu0110_0021,oahu0110_0022,oahu0110_0023,oahu0110_0024,oahu0110_0025,oahu0110_0026,oahu0110_0027,oahu0110_0028,oahu0110_0029,oahu0110_0030,oahu0110_0031,oahu0110_0032,oahu0110_0033,oahu0110_0034,oahu0110_0035,oahu0110_0036,oahu0110_0037,oahu0110_0038,oahu0110_0039,oahu0110_0040,oahu0110_0041,oahu0110_0042,oahu0110_0043,oahu0110_0044,oahu0110_0045,oahu0110_0046,oahu0110_0047,oahu0110_0048,oahu0110_0049,oahu0110_0050,oahu0110_0051,oahu0110_0052,oahu0110_0053,oahu0110_0054,oahu0110_0055,oahu0110_0056,oahu0110_0057,oahu0110_0058,oahu0110_0059,oahu0110_0060,oahu0110_0061,oahu0110_0062,oahu0110_0063,oahu0110_0064,oahu0110_0065,oahu0110_0066,oahu0110_0067,oahu0110_0068,oahu0110_0069,oahu0110_0070,oahu0110_0071,oahu0110_0072,oahu0110_0073,oahu0110_0074,oahu0110_0075,oahu0110_0076,oahu0110_0077,oahu0110_0078,oahu0110_0079,oahu0110_0080,oahu0110_0081,oahu0110_0082,oahu0110_0083,oahu0110_0084,oahu0110_0085,oahu0110_0086,oahu0110_0087,oahu0110_0088,oahu0110_0089,satname
1999-07-26 20:53:05+00:00,55.11754754529528,51.22780349373093,35.63663196991044,45.0696435204479,53.74411215149266,57.344448454553856,54.50584540050905,38.79183102056487,47.17497819201381,43.19546531658556,40.22282136081575,42.05639406350286,46.04506558118847,50.05577823699048,54.03509478202383,55.833389912388114,54.63310271290381,50.728641384072034,44.90451371868592,40.042614326242365,45.66296540523169,47.46307534353485,52.30996734113212,44.35222159878292,38.16928457859182,40.2867724826888,43.94545845301282,51.98467302062957,48.52605349285912,55.41946212996436,44.30964103625668,39.50808008057832,41.58949820375306,37.55936672508731,36.38961696533727,53.83053701052592,63.39878825588176,74.82146302583155,81.4851880784772,91.78037477499517,101.84253686022014,99.8219519378186,86.65773213176817,77.65468401624004,74.24637125110385,65.62197377000999,58.85287102173679,53.31957311898721,62.397467059247134,,,94.04716588308904,67.21821728911667,56.87438532634779,65.9037431904853,68.0691367539962,67.06170310728824,68.99543127995688,69.49483758429595,62.63873800802013,58.64694608420015,60.22798666265295,57.34814722837588,55.58444406016463,45.42298554874503,64.28990378353299,67.04515534361578,54.50409099439017,60.23308334953863,55.520552023788525,50.04719319431797,51.57486540945985,50.253675404582594,48.775905332671,44.62973743160684,41.45042266722093,45.49023808839432,24.38722908217676,34.588152999354406,42.29306627402375,45.99937481246333,49.12583950415977,50.04787788496108,48.81123714496969,44.38464736209525,44.07755908081289,45.80990177346333,46.25874774940056,52.06888739964504,L7
1999-12-17 20:53:11+00:00,30.07120420047892,32.55723651422338,34.23761628644056,37.07163529266563,35.611269917465975,34.08650450166817,29.343805442508767,29.04791459298672,32.28984543334746,33.11763625392445,33.85875289931878,32.81208253707714,32.58806597044415,43.09661618869485,55.500053165078256,59.69917976469112,62.25290290932371,55.3049679195982,55.04480414328893,44.84116892523197,45.68483701661136,47.02310011815638,49.07492956601919,43.172028579944346,37.90084207802615,35.081510824820754,37.43384834128233,41.20320759204695,36.21561776770767,40.428811574282015,34.52572972500753,30.754425367951256,32.912253217438675,39.35868883326712,37.46731897702576,46.73186923920584,56.00976601596082,65.29711051759678,78.33064279330256,82.17667733290229,84.62613732693067,82.0416878378655,58.271681704349234,48.02397816202272,48.76860274044496,55.74042448170019,52.39840378136125,43.40401971789069,37.91188153860219,37.616832774065976,41.87034505036887,54.961510221657065,51.22328081026245,42.14502473557688,47.92621842052876,51.90034181356169,53.78177662175267,50.7400449487558,47.67644532021539,47.78252917048368,46.04238651332432,43.905243359227605,36.60631739739344,33.72860272205337,26.4969601258922,51.49773224835076,54.71979882744809,44.73371512921088,49.97738356333763,50.377131402834806,42.16320315285598,28.88871683391845,26.512898495439064,29.4631554990656,35.30138309990114,38.60343507944348,61.153142845142895,30.538308746375343,35.274688097976465,41.65191736968838,44.9403912990949,44.5935158443645,47.887580328663134,50.26247484346297,47.74756819214117,44.01296062097431,33.7471539127457,30.78083457613218,37.306533100513946,L7
2000-01-02 20:53:03+00:00,34.20022300947157,42.15135726468485,38.62651906023291,49.07212552574444,50.49008972571592,45.03048340826082,32.936699242025576,32.425969830281446,33.425257039921355,33.559906522637085,33.338195829251035,35.49327714696127,37.75059036896194,44.93638782860248,50.62527238783309,49.46101746569346,46.07583758545851,48.80703016129637,46.699693260765926,41.3449087588585,41.36043728359291,36.7996206799359,41.06890081864026,38.7155899191781,34.13989666788579,34.19969927128276,35.503715856064844,38.2647509343232,33.672941136372124,44.30353929035999,39.32042127370711,36.11537108585224,42.66228615510115,45.63931214320682,40.980915384327474,47.26469353920315,55.10515036045341,64.37070615896192,76.11485195241791,80.85191255699327,84.55226632428791,85.18841067040866,66.62304981360253,64.58377798693687,61.21572169750695,55.81091421209793,53.14592454033824,41.53440879884348,39.31612592695809,35.757305510578085,39.0007909648406,62.51823366099613,55.32552007431264,40.112035538656905,44.07541195525191,49.338467512244975,56.51445802931523,57.56636408890027,53.51961791553843,53.453065716817605,52.40826732302473,56.67831530664809,54.26179826405696,51.33192753985507,39.42021273290344,49.06605771593768,56.2213550177652,41.7304529415419,43.08128719764972,44.895711182532494,44.08652484049908,34.83678835592348,33.95552342135031,39.69467746914954,43.68390709086843,46.21840999754906,54.53652839226231,23.826135607836203,32.0590232802031,38.70939434878372,41.75355489804428,44.00863018925308,45.57706826638743,48.55885686052922,44.25861637974919,42.4507101892046,35.70734178619537,27.765025281149388,29.7084137537634,L7
2000-01-18 20:53:00+00:00,48.16423989650483,46.19840595480314,38.54050313394927,39.64694364296508,46.4168515461512,52.49855099970015,47.34312839347791,40.536209885189386,40.05397974022078,42.770780628368016,37.01828217797146,36.47831929744186,40.63085749339593,51.600297010976696,52.80708021461552,54.36005503019667,51.74632565828048,46.98530605331364,40.06808073958194,40.07563757022775,42.11995933363156,44.96533873155671,52.38497710749125,52.60366971838909,49.22048995444317,49.83247194456158,54.81525960060802,52.22198162868319,46.582658375427975,55.23193450317229,45.698400380201925,46.66293953320521,44.88405854348763,46.54579354355879,41.09464157537934,49.69674556010207,56.99940039063653,68.48106475257494,83.02089574883927,90.54740196636472,95.38182740938052,92.02352855724702,76.42853416575322,72.15176213949037,73.56648416049883,61.64718677588734,56.0370284661088,45.0530297352987,51.85265583545836,71.03767796418458,89.49762733040215,87.52651811431893,62.03039796883753,47.57924906293203,53.01440941381393,58.97795826614847,63.54881391269607,64.83530557522947,61.4164732255845,55.50187241695321,55.42766691323663,58.015056176715184,51.47596444545119,52.348582659845626,42.44188441550803,59.03008937699729,69.27372400200224,57.70484424213931,58.38341696561974,54.07813198569509,50.70867370768897,45.8093220442696,47.86846005743558,48.79178422942577,50.30166233171941,53.43474646360148,55.6272144880442,27.136178260837827,32.86748218844282,38.366889428570616,42.36204017679107,48.082399016368335,51.300793742784826,50.4223715533495,46.39281667289871,43.63230370097158,41.78405707953696,35.62495640962962,39.29461117386776,L7
2000-02-19 20:52:54+00:00,38.1759998515434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99043453645459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-06 20:52:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-03-22 20:52:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-04-07 20:52:39+00:00,47.140372168767485,47.70381469754132,40.13328088302107,46.124020238792966,47.0669484980732,46.63676156194913,39.72929219267543,37.26037610774696,34.68350752439648,35.36380505483888,37.08305767178234,39.66626559695165,42.94002583461089,50.01843324346838,53.39269813999833,54.68972306313762,47.37014327304989,47.81475657020448,45.20241255637333,39.800476386407446,45.16814656160578,45.25120911720069,43.46083154905043,37.10368378751503,35.37267376518055,36.34646914568126,37.52899007161359,42.66934140153524,43.26272349687835,52.88701478589857,41.39080325243156,35.72081473430506,41.900843357089286,45.48639333559473,38.61995801371954,51.68460285099606,57.057918123681375,69.0215483463582,77.92696143509349,85.59883001258804,88.41667791502836,88.70552248796712,84.60523244779961,74.61572816857105,72.22312898088693,63.429867220205495,58.44091546327612,50.35514772899214,52.25352703383575,64.80704047006435,80.03983262805268,82.16180991008248,65.0810734405391,50.470121793968886,55.486591802078834,58.88731975041076,61.88317327791096,63.43016317726665,52.01641424619246,54.59189902036442,54.39196356052793,58.14094194547131,53.53335300382298,50.83010978582776,37.29185768264664,53.70922312403796,59.35716679532794,46.46293225446638,50.41064000421534,53.441548895982834,52.3566787147871,45.76495971594204,42.37505810776975,44.79926611685073,45.46161721370866,43.507944195376766,52.17192752026898,29.60188576901653,30.68200279187121,34.4937407889849,35.96108546281098,42.27833432561583,47.06718949059213,47.10326573061848,43.75928856896168,41.80662654774648,40.51038472042661,39.10533709462645,50.040857449137874,L7
2000-04-23 20:52:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-25 20:52:12+00:00,,,,,,,,,,,,,,38.07028405257281,44.21534142008276,,,,,,,,,,,,,,,,,,,36.11108616526314,35.385475756930354,46.91124059638954,53.90991215885729,64.1264005917013,77.8598123045879,81.33385911447324,85.38502324686948,88.72609416132445,71.0469440715384,66.77723425839778,51.81452883226127,,,,,,,,,,,,,47.10213970259285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
