dates,oahu0074_0001,oahu0074_0002,oahu0074_0003,oahu0074_0004,oahu0074_0005,oahu0074_0006,oahu0074_0007,oahu0074_0008,oahu0074_0009,oahu0074_0010,oahu0074_0011,oahu0074_0012,oahu0074_0013,oahu0074_0014,oahu0074_0015,oahu0074_0016,oahu0074_0017,oahu0074_0018,oahu0074_0019,oahu0074_0020,oahu0074_0021,oahu0074_0022,oahu0074_0023,oahu0074_0024,oahu0074_0025,oahu0074_0026,oahu0074_0027,oahu0074_0028,oahu0074_0029,oahu0074_0030,oahu0074_0031,oahu0074_0032,oahu0074_0033,oahu0074_0034,oahu0074_0035,oahu0074_0036,oahu0074_0037,oahu0074_0038,oahu0074_0039,oahu0074_0040,oahu0074_0041,oahu0074_0042,oahu0074_0043,oahu0074_0044,oahu0074_0045,oahu0074_0046,oahu0074_0047,oahu0074_0048,satname
1990-08-19 20:14:00+00:00,31.153161017060803,36.315097134105606,43.19228757820717,47.85421456606768,66.26570436329092,56.93172171683421,51.087143156598536,50.307448295138016,54.02529008860808,68.13273859282958,64.22367259502425,51.27673995417872,40.97363117356645,37.25269643933251,37.32652829620459,32.25602538667994,24.93851390347097,20.980631026212222,19.098119457415816,16.985973756367503,12.397478614161017,6.4787251983872345,5.877737510020881,3.105609585939347,2.190072813151109,4.359642879551967,8.055959502272183,2.903017314835046,,,,0.9087568686173428,8.148882129646688,16.35459423093882,21.89790090478025,27.30924190688919,34.49808857611768,42.92138701684837,47.44494100546478,45.80185395713045,43.634531251559366,39.17660346247639,36.04632311252061,33.706120528625625,38.5811905150234,44.15515549846542,43.98287401991429,10.37952333154717,L5
1990-09-20 20:13:50+00:00,36.859005375730185,35.25218210618321,38.80848066785779,44.57869741764375,64.30205274315584,57.122903118972175,51.9319006275935,50.95861059875301,53.95910662440543,66.50808723212292,63.05637849624622,50.515732515488125,39.611545455357536,37.231071392562455,37.14444525873692,34.211551905517766,30.78139103030048,29.545698841621054,24.0762722100752,16.023578515369007,11.471152226481715,11.125490274242134,20.07102328594352,24.36525847710216,18.66956857658239,13.52289912590098,14.391519214401953,11.746756921957587,12.292121320179684,,,,,,,,,,,,,,,,24.023576931580024,31.91686136010249,32.693848257363506,,L5
1991-10-09 20:18:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.329053422951219,10.923608987746112,17.079921509606613,23.411442014090103,30.10686567732165,36.18863611387332,40.59408162205998,36.984670372265406,31.844962583305165,28.11045510617664,31.16718624847935,38.422516395625856,41.57238258569508,37.12709321818357,31.70670877617101,26.399718327190847,27.677384524234817,32.549470959115965,32.57583745980653,,L5
1991-10-25 20:18:11+00:00,28.615319395826084,33.37924758299322,37.93089249231375,44.30559776007081,65.10692205047708,58.11593770234819,52.687958404483325,53.57414252372941,57.44737537307494,70.18986078704721,65.75976459897556,48.95533319255304,37.89894450006396,36.19233456869918,36.21568161075367,32.274710944241114,28.94903451798085,28.99582794199855,21.569620228720936,13.07982452543236,8.104556181217523,6.512869592435834,10.715654082062713,12.228245385115455,9.736114243489087,4.447039358218982,4.170053656136135,4.785771206647956,6.3816745825538455,9.619529788850508,15.395132724245702,21.96875022420518,27.42464530626084,30.8492972728222,30.65150322396831,28.15143083607903,26.00732407712631,23.87807866962058,26.434446169023403,30.09867448552405,29.209185717103043,28.93931274207216,30.476630532829788,33.309441703646534,37.988303950533954,41.29689644610511,39.86915661324791,3.6776497786665474,L5
1991-12-12 20:18:31+00:00,24.385799137984,29.64085720643456,35.235235276695626,39.30140638195295,59.59822806569315,52.91418614903117,51.24857436321226,52.50268753247655,56.97855517357584,70.06835452653077,63.878481077628095,45.90924994442918,36.66053960553101,35.06648025157769,31.631451091032663,30.22243067172656,29.477631668672466,29.63766911209984,23.88035965416053,14.708272838448607,7.579072651084499,5.854053733122031,9.69496979112593,5.334680131511788,1.2616916117105994,1.353079061242631,1.936794217478457,2.6547066430201287,5.545782339079368,9.812877442791748,15.751940993013728,22.241343614700828,28.349854073133297,30.78613704389102,28.725994146805444,26.454372113139897,25.49055445880274,24.691073183906425,29.906181411450497,36.68570238714403,34.31647838900073,32.275189915048045,26.924976363780168,24.96989625195094,26.520493737807254,31.38686868602465,31.91994930596268,,L5
1991-12-28 20:18:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.60117034665059,,,,,,,,,,,,,,L5
1999-09-05 20:46:59+00:00,33.00717387523081,41.14089388534264,44.30653310903424,47.4009922177006,68.38788185822963,56.95121389348884,49.85342891302208,52.40228513920658,60.87370865950236,74.53277738385776,72.52699002487233,57.068937342092205,43.2984138623542,41.77648280119396,37.36951318724283,33.43496245352275,35.058345354059696,37.081007231019406,30.35904527178251,24.13492445922772,12.667178720683404,10.203614643335394,11.538123434850505,7.067957722049886,4.260459881487098,7.308093293576798,10.644915620196617,8.52900043075586,9.687400013887212,13.184536045158897,20.36405214193414,28.31199396507616,35.675821877887884,41.49283027015824,45.80866530140334,37.82942825194012,32.51159430428417,26.873381403519243,31.729028979003,36.48929966521573,32.74392814395453,39.23946909026904,36.25184608897016,34.78396288826942,40.90212543870744,42.521076927419095,40.97883235268051,5.988661960104023,L7
1999-11-08 20:46:58+00:00,34.06586091093593,37.53811302145564,42.50079667615575,47.36809422267731,70.10593751362018,65.500763991109,61.10672293490784,59.69111696293306,67.27948560557525,76.82640908220725,72.93693320586893,60.5843820879493,42.84855848230289,41.56085960268087,45.66490369869419,43.90870617708053,35.6431351458293,33.13992367156699,27.376626509848865,23.345174191381947,18.155119728607065,10.925156618373968,15.285010237584023,20.173402963594555,25.742223926914185,26.68857558133517,16.887749944488093,15.229086383614757,11.58652251820596,14.163092338265756,21.008488257579515,28.45688098695387,35.421458190903124,42.06102825865749,46.62919325566427,38.49113809175552,38.07121508389812,34.39767082778882,32.84547255286553,42.00560684733897,45.286193609357646,42.11783290366802,42.62912662340324,35.824325239124406,33.50285392034116,35.11874887043336,36.05585374620637,-0.0507469643888774,L7
2000-02-12 20:46:47+00:00,32.04193903504502,42.48360151789555,51.26133996694327,53.49416145292216,75.99303189587722,71.61232547046775,66.5638999757237,62.77575906827801,72.49169280311673,78.69954756107455,76.75742469725623,64.79364560162989,54.58983732319783,49.91714431401756,47.461250120632975,37.88874271613248,36.04518122940953,37.104851971919175,28.61413465617968,26.434823814545943,30.84204345100674,28.06682545920273,19.99806681251352,13.368163386230137,10.541156263798817,14.015567568697618,20.074683512516767,26.52858948766028,33.24479371808346,35.73213317246695,,,,,,,,,,,,,,,,,54.30122955340817,14.797799340262513,L7
2000-06-03 20:45:56+00:00,45.454491183923736,44.518388532460605,47.23976272066518,49.655390136370514,73.85467753675039,70.21446479820268,66.80627875560569,70.46517330831672,74.10442221871502,80.43361152893108,76.14097605701438,62.12129875742854,44.83864718142218,42.49351430825405,46.70768992056029,50.61976354060989,40.14681985885544,36.81576214516977,29.056281589509684,24.951870012794902,22.36450843786652,14.363239013783094,17.819429270661075,23.86366011996156,30.333675800357145,30.06737148535716,27.149898773027115,25.342841795460824,21.94629029735909,20.84422855249293,26.715227738535308,,,,,,,,,,,,,,,,,15.215889549224798,L7
2000-06-19 20:45:53+00:00,30.5657446455714,35.58550781832504,39.494219093545865,44.659139778988575,68.96754610104449,66.03972221333478,63.2897327730412,63.6295901615858,71.19378149519129,76.6627138107045,70.9853680742623,60.47259274918717,46.62762584340331,45.33809756672985,47.76676691278222,48.8124868782296,35.265700230754774,26.628666508751536,22.7872573642559,22.793237055290536,25.2034020665078,17.932070085864847,16.56502048537552,18.979191038787928,21.11518584670956,19.19398328795222,19.74568954347601,23.66605071015328,20.59799832118047,,,,,,,,,,,,,,,,,38.33064456528537,39.66553528119485,5.847537474629429,L7
2000-11-10 20:44:23+00:00,32.522657579948984,34.950765961572266,39.29052701719131,47.56005626683294,71.39041986056394,67.77853257709103,63.97983570921058,60.71610153936743,68.14758452839278,78.30688969305784,73.38876129891635,60.14657125551448,43.152367630752885,42.61890955082914,47.55011884183902,48.39357303149043,37.69887546752239,31.56908641449635,25.96288934259956,24.23690960243525,23.652515811547584,14.72444844430104,17.164839162351683,23.10268619267832,26.25166755207088,26.831384748204783,25.055055721678595,25.10277548183053,18.33832951782027,19.04646969149866,26.570738902996272,,,,,,,,,,,,,,,,,6.254300628545935,L7
2000-11-26 20:44:25+00:00,28.26193117254765,33.16023729449928,39.65474049490264,46.45494758317005,70.67484597018044,67.14089590234329,63.57357854003216,61.3054216114886,71.01572636011387,79.88938952590718,75.76928640092007,61.71210484145252,44.62096019309372,44.05606428597736,47.48505095147032,47.160824773615246,37.04370440782139,37.04586295699041,35.15266273942624,28.0039059843981,22.56102239257767,13.813005571368226,18.091734416313216,24.038460939130605,29.684031239897067,31.907159996287938,33.40486959780001,25.79550331565929,18.13383822117838,19.01890536116157,,,,,,,,,,,,,,,,44.6770517955329,43.12744289921076,9.296023546382642,L7
2000-12-28 20:44:30+00:00,36.80140282047795,36.80294653585612,39.87589003578584,46.70848099227504,70.71627352905752,67.36046605609157,63.95614562145905,62.9103116146361,71.6799908098545,79.52220922988151,77.20389858987235,64.05021038713699,49.91050818260533,46.052971978319455,48.39157512239928,49.10265785297198,39.75194711073016,35.407158682438904,26.12907492165349,25.17476791613917,29.75886075727417,24.968313558122205,18.62154683146452,17.2905373250736,18.826010456215062,20.31883530670934,21.982271141829926,26.51056684473248,29.45668900263924,26.09007831110497,28.79281664852985,,,,,,,,,,,,,,,,,5.72841418782077,L7
2001-01-13 20:44:32+00:00,26.97784610581648,36.10190185978183,45.777128920688085,47.00071409417795,68.25033820894805,64.14392204592046,61.973869250117936,58.948514650550095,66.23403171801814,77.20378618336873,72.18568957589983,56.77913533552487,42.80572677928476,41.836966428702524,44.67759874524487,41.07776111669401,34.89949615146789,34.10292461895654,29.50519839886276,23.2760651852279,15.977098724415358,11.743842959066304,16.516446616681954,20.304564742626987,22.7462319481726,22.063564215590844,15.856980202288264,13.934749103775136,10.542464585794036,14.176014430920164,20.51148042069361,27.35380141999673,34.243390506559614,39.46943156265576,43.3652306387741,40.54644974261596,37.09323105876194,30.886020993820868,32.35323050385848,42.21843097285953,46.5624638683414,42.73287071838849,42.461901372359264,36.02760206513881,35.07330827096448,37.47658065157895,38.247648687935325,2.9693792890645416,L7
2001-02-14 20:44:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-18 20:44:17+00:00,34.379076653404795,40.40350584172303,44.81779842261471,49.8358644304675,74.3377525732619,70.58961411966018,66.07860237939445,64.4251923137821,74.81742508542163,83.24012495760017,76.15492590933947,64.00341038700819,50.31260170564291,46.67214796403766,49.53326015994256,55.66843220244802,44.93742945152698,39.050215123436935,30.31482114922746,27.919907956587814,30.52055473445808,23.20928842946644,20.82746366124457,25.521771901748394,32.18573561913622,32.7224247429596,30.114011158427875,28.13102235262693,26.91218461974142,22.664246673835827,27.034726629957493,,,,,,,,,,,,,,,,,7.712286778914387,L7
2001-04-03 20:44:06+00:00,30.43185754087413,40.98205164734441,50.722339703020765,53.30505294823679,77.33168291667585,72.11265949807084,65.78410034356429,64.8073171829265,73.33166457950325,83.37634416955673,70.73456367742989,58.65255508294007,47.08038575679739,42.03686025940801,37.88447191385325,38.31286057920825,40.21351528477863,42.647418953913714,30.353359437256422,22.928706339429308,14.60718469805128,,1.6110730324166838,,,,9.051014265136866,22.943515603392715,32.65200322067624,26.61563072420273,24.50290645883808,31.11950160535113,37.28067694338842,43.18039591959373,50.7916247426156,53.472073840493415,46.19707547911106,46.04609994898626,41.723418815420175,45.04380232521751,45.36967986291685,43.66254676270293,42.88826780342967,37.72416229650288,46.04936713190445,51.94613034773423,42.176825216747936,5.803813445319909,L7
