dates,oahu0023_0001,oahu0023_0002,oahu0023_0003,oahu0023_0004,oahu0023_0005,oahu0023_0006,oahu0023_0007,oahu0023_0008,oahu0023_0009,oahu0023_0010,oahu0023_0011,oahu0023_0012,oahu0023_0013,oahu0023_0014,oahu0023_0015,oahu0023_0016,oahu0023_0017,oahu0023_0018,oahu0023_0019,oahu0023_0020,oahu0023_0021,oahu0023_0022,oahu0023_0023,oahu0023_0024,oahu0023_0025,oahu0023_0026,oahu0023_0027,oahu0023_0028,oahu0023_0029,oahu0023_0030,oahu0023_0031,oahu0023_0032,oahu0023_0033,oahu0023_0034,oahu0023_0035,oahu0023_0036,oahu0023_0037,oahu0023_0038,oahu0023_0039,oahu0023_0040,oahu0023_0041,oahu0023_0042,oahu0023_0043,oahu0023_0044,oahu0023_0045,oahu0023_0046,oahu0023_0047,oahu0023_0048,oahu0023_0049,oahu0023_0050,oahu0023_0051,oahu0023_0052,oahu0023_0053,oahu0023_0054,oahu0023_0055,oahu0023_0056,oahu0023_0057,oahu0023_0058,oahu0023_0059,oahu0023_0060,oahu0023_0061,oahu0023_0062,oahu0023_0063,oahu0023_0064,oahu0023_0065,satname
1991-10-09 20:18:07+00:00,,42.87060259638606,,30.16137419407508,27.68503175363438,25.35021767918182,22.328174897413763,14.323915389065611,13.64749784597012,15.570960363872045,15.62147032923962,15.35456874232087,11.529644034193982,9.201801011065022,8.298222705827571,12.30258898384527,7.876811862836768,8.189028823460273,5.805354687522201,8.971731296050084,8.330736461750917,8.89066125026335,7.050293594071872,4.725469241588079,5.917874189938655,8.232130972700396,16.925067904569353,9.95898281379652,12.275143825736272,12.7231040055805,12.383526819753085,13.380867735604827,15.020606075152893,19.660676721660987,25.51163186514384,29.12763354036884,22.8025848571257,21.52792570274092,19.866459164616696,19.928949424788147,18.31286496202212,23.197196192678376,23.374685834963216,18.92804238402998,19.75846053372776,20.823580391583143,19.31750183980578,25.7780701098615,27.5961138436472,29.22201708422102,26.89810635852806,26.478411237085822,26.060475186606613,27.30370044388628,23.809373637660464,26.64902445881461,32.128641510459154,34.575358252311894,38.39082880641736,36.877815285124605,31.52352567554198,30.74913314815432,32.780821599549554,31.16701780134211,46.600713285382895,L5
1991-12-03 20:24:42+00:00,41.482381898179376,42.416567199881904,,43.90905723552047,,36.76336825846051,29.891879725857567,17.493416209393207,12.46802931228622,11.83949973614513,4.88477637861504,3.048531569722704,1.835469148477154,-0.0920318189769771,0.916423006683043,0.364395617518493,1.6514828797339995,6.013351811442478,2.2543071502011607,5.023644468727599,4.040133023222923,3.0645061473132404,3.746920721742266,3.085443605553581,4.367369463509902,5.414145997432154,10.407966130610944,6.589896704720393,3.8535461641979256,5.950078246913457,7.934674216897657,11.442239546526956,12.06989835032846,16.935402013625836,15.04175722948115,18.668056969597405,13.20198246671778,15.727419630808704,15.238550623248372,15.248445004321214,13.241314823443146,15.307055259587292,12.71970862301358,10.383094686667835,12.454827642772733,19.33268131705192,15.9713757894226,15.626567234968824,22.188455029706457,22.54164494795911,21.436792269618746,20.15347033352747,21.30865416168759,21.36552436591169,18.63469438755176,21.046666545076206,23.448255417170973,24.29538134589837,28.376761283620223,30.67414052546514,24.34735835263798,24.76105319653737,26.23043752813113,25.91516727081155,41.19341991299104,L5
1991-12-12 20:18:31+00:00,,34.21372543070473,37.62180359675453,39.94447065923305,39.97978615402414,31.92033476753826,25.79934961528541,16.34476364337312,12.379027860057352,12.700034115942426,12.774160422039266,10.807121548440346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.46727423567738,22.95635321949917,21.32745579432382,21.393012264336942,18.28350393783784,18.578960560520763,18.36617526997129,14.376974883340395,13.686236045484945,16.108351537144564,19.36290462068761,24.515324844018544,27.55734341039313,19.98497788044496,20.66290718568956,20.115932372541472,21.61081029395113,34.7175030641712,L5
1999-07-03 20:46:48+00:00,44.48764905188655,,29.549250974642355,28.62772348616162,32.35423489452178,26.23544439181301,21.395201851776925,12.085150036677394,10.708970140723808,9.928967360207356,6.585699647121811,5.570425753045996,4.415928130838657,4.15893200451659,3.7321316435991294,2.5223256443964983,4.083485489493657,7.782898739499385,7.161453751462536,9.372811727543276,7.703789259602098,5.172534627283835,-0.3572383628173319,-2.518725674158562,-0.6282771245260339,5.996578332366618,14.5063175459077,10.736728805815044,7.2138042426772975,6.234766264249868,7.208187140224264,10.144415093255706,12.988827408873972,17.46052882163604,21.675243476951373,28.352888761333105,23.658161995858546,25.81708066027466,24.66576454344118,31.12653899762096,29.43720958575069,30.10976542076468,26.026094406118222,21.46144274933765,24.9792946771564,26.74096006673662,23.44612301772556,30.504041311718588,36.10548204175692,35.28650570346565,30.87117913203865,25.851745751220506,24.54365155572521,25.481857594455736,24.219761436893112,26.555055567836675,29.09196472324104,23.726554059601256,24.02630739300007,28.118478831846208,19.77533239678428,20.18315202029456,23.99617080509036,23.65150699382809,,L7
1999-07-26 20:53:05+00:00,,,,,,,,,,,,,,,,,,,,-9.025689231788505,-10.60360311040218,-7.207103579533268,-5.368985931189027,-5.739354790848476,-7.960169868108548,-7.554980744524365,10.24897129467483,4.836596060011939,2.949370215259936,3.0705353785312965,4.415908145444464,7.206823103733096,9.409125887420563,7.523280109224221,12.657737912037012,16.044995545769556,13.067519839557985,17.92846705355779,18.305489669303903,18.07276588248203,18.79550520069613,22.96770079347764,19.119637924909647,19.03661778699296,24.900263668502024,28.705517507328995,23.32404854379517,23.69298479655362,22.939500372936298,29.055586687054195,28.21056921712416,26.687638365201888,26.277095167055503,26.88049927136899,24.337325678711377,23.68922089480452,24.402898283627017,23.19478212047349,22.008061194734744,21.68897668782212,20.18029998438281,22.58346475928144,27.91882438668661,28.806115953638184,42.119151499891565,L7
1999-08-20 20:46:55+00:00,,,15.913510454453766,18.567284999802244,21.0535182150653,18.2680440489858,16.440048040009618,5.43471285861249,0.9346673137057706,0.5716955974889859,-2.493385363793762,-2.755448731913561,0.6854059814640598,1.2622134499658713,0.7676629742058296,5.959811382234056,7.329192823409167,9.545281458486146,8.19982140357304,6.358499258359744,-4.65240397436903,-2.792665677181514,-1.952789588458017,-1.955768612122324,-1.6537209633506391,2.5643588677185614,15.096664119938447,7.510398088983511,4.615190404733787,7.024836432318372,9.59145345242602,11.505178872294692,15.168432869026972,20.35239084686985,26.893094490874176,30.193778344645526,24.34786752011637,22.87222143081925,21.69545118787948,20.0240397245203,20.75519654214718,31.72160987393564,30.413644040264845,24.44074536638733,21.940680139895488,21.76115478429779,21.787406447999587,23.32661587810441,24.871346411791176,27.01920275263565,27.847885755155428,26.248348882464366,25.27398957440722,25.631517640453133,22.555126660282014,20.50671646838887,24.31591990404964,25.995474099522937,21.96463252146471,25.81731087655357,17.426910619031194,19.07846954059536,25.445149719282053,28.491185907936416,,L7
1999-09-21 20:46:59+00:00,,,0.3182281368433055,1.6444395658631108,5.21233848761225,-1.922418295837048,-3.353163755279565,-14.011251790181744,-15.33443812402968,-13.868767496536938,-15.534331524417434,-15.160232703198067,-15.820555231279764,-19.00754075543459,-20.45410848561803,-15.097616649469556,-14.192998254127271,-16.572329510014917,-16.360316885330686,-16.68877602001939,-17.438013406030617,-19.39553817967743,-23.96614828970281,-26.916850462352603,-22.538711313924708,-16.473130539100836,-1.7014209031220409,-8.494489195226592,-14.790910429339688,-19.46849866430856,-21.23103656772529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-14 20:53:13+00:00,,,,13.789276841493905,14.178833774283326,10.193029836178358,10.473155267985245,1.1214534128193918,2.358329720916717,4.071680056456212,1.8371040297775325,-7.560635720021162,-8.391208589834022,-10.891636622515636,-10.86070286458671,-9.700889045556014,-3.9132442874486655,-6.130881990957925,-3.6149445520616688,-0.0416577476885366,-2.2781318696815376,-6.190490818431021,-5.664593316021237,-10.884443152989146,-7.857844489941921,-1.3368457865024057,11.152008614306611,3.057587357067905,-1.6639752201782871,-1.9042014407620813,0.971970271844434,6.831948167852576,9.598341448388624,9.626246436945664,15.06029020362002,18.83705184923872,13.054168824908167,14.758967464765751,13.473581732914884,16.02778552484347,14.444633228929057,13.398210933433976,9.391413839058224,8.343724043543066,11.970826998597476,12.43150365399967,7.380915929900991,13.653180925974432,16.049640629464626,17.582489051864908,16.08934821379469,14.668916927836218,14.63188228358661,19.108114506653138,15.994226992114562,18.841371046696924,20.9413748072792,16.40652578288055,20.32398843056203,23.64407289197647,14.704855419912963,14.37199197353062,17.585336189923147,24.03044220763248,35.35529534957996,L7
1999-10-30 20:53:07+00:00,,,,16.347857272068314,14.02055536025282,11.161054728198575,10.59794630022291,2.2764057430315425,1.381398996148889,-4.002313362514898,-7.200349157703776,-7.878167624334289,-9.695733305180834,-11.138505698936264,-12.6409010975567,-9.771437763443334,-6.073363473533524,-6.026057450366568,-6.357420905212585,-3.279565725269169,-7.5059041116549405,-6.92429873494833,-8.286968539037153,-13.053740563287446,-13.310819946422674,-10.453191824231158,2.7155901077797493,-5.152781714432515,-8.843580700841176,-6.530063275632889,-2.4471117467338264,4.339164404571029,7.531718651391194,11.858248004022716,15.31848864201967,15.690554959674342,10.585813605521396,11.583628634518956,11.565912218714615,13.991362504647377,13.53496193311687,14.671420424927044,12.619653624980405,9.551739300935116,11.323240813755998,11.666350227347866,8.362904956715903,15.0295651800986,16.37386742067556,16.82273409519074,14.24476244714449,9.825587731015707,8.622942668651671,7.684995697678149,5.258633467168345,7.855327323503928,13.599052979424751,13.400448522876411,14.861056529706763,18.806979084169136,14.659299415220689,17.103186565033596,17.54035462703304,19.09357952699376,,L7
1999-11-15 20:53:07+00:00,,,,17.415105405097172,18.26770984588117,11.778651737743129,11.846776728373277,3.9279946737819023,3.526584764738219,4.56717432820828,-2.5322427650354484,-2.791969875476922,-2.9909965761679187,-5.488002602513436,-5.57289887605493,-3.279059496568122,1.999209281564612,5.05265836183208,5.29939829340976,4.187581769510136,0.4248574867747217,-1.078587672753635,-0.3559560823212524,-0.9549109148084372,1.4947904960081333,5.9284577128852085,14.144671573828528,6.322517051261797,2.485306495074454,3.861335879113021,7.1063794974057295,12.439381878370938,14.312877891476514,18.664827655617977,19.65346926564471,22.89645864332541,19.23018788744436,18.12329922552432,16.993013702899916,20.3823674456162,19.86592438444619,18.75881580706932,15.837896695427954,11.089888609193622,12.897646586450929,13.500022738494035,10.513769406727766,18.732913665165867,20.45698532343736,20.74283486363393,18.0681377376581,15.832062772638531,15.8932839421825,20.303675010892213,17.485634313058085,19.02121529855125,20.610497582072856,21.725332118963458,26.151268851070267,28.79879522990161,21.695025140154133,19.801641908985708,20.76444500602794,27.831085621324966,39.71171649748834,L7
