dates,oahu0111_0001,oahu0111_0002,oahu0111_0003,oahu0111_0004,oahu0111_0005,oahu0111_0006,oahu0111_0007,oahu0111_0008,oahu0111_0009,oahu0111_0010,oahu0111_0011,oahu0111_0012,oahu0111_0013,oahu0111_0014,oahu0111_0015,oahu0111_0016,oahu0111_0017,oahu0111_0018,oahu0111_0019,oahu0111_0020,oahu0111_0021,oahu0111_0022,oahu0111_0023,oahu0111_0024,oahu0111_0025,oahu0111_0026,oahu0111_0027,oahu0111_0028,oahu0111_0029,oahu0111_0030,oahu0111_0031,oahu0111_0032,oahu0111_0033,oahu0111_0034,oahu0111_0035,oahu0111_0036,oahu0111_0037,oahu0111_0038,oahu0111_0039,oahu0111_0040,oahu0111_0041,oahu0111_0042,oahu0111_0043,oahu0111_0044,oahu0111_0045,oahu0111_0046,oahu0111_0047,satname
1999-07-26 20:53:05+00:00,,67.09530825654282,56.9631071424424,52.2409917413991,49.39334486644318,54.80778774117952,58.99567751771775,58.54775569080468,56.22613572520917,53.726287581052944,53.42387217484051,55.98936741623962,58.03016523892946,56.96818670716603,54.20948162851167,51.2749140562926,48.79413507437425,46.0276978336968,45.155566009671695,48.68714657977517,53.37596302173997,52.96071903681349,52.18617180668925,52.50966938368492,54.42671901674713,51.79793290678031,51.30680232888523,49.833807461531016,51.13019348175415,52.52033888796383,52.46578378635474,53.67820058283097,53.97007550546692,52.41618162920935,52.518717242281184,52.43210851106115,48.65795627620616,43.28916176071696,36.76410175967722,40.36113970875365,45.40142471198103,46.97565869992476,44.8389853811314,46.38644180279257,50.64886127475772,47.70518543137345,34.467244370833505,L7
1999-08-11 20:53:07+00:00,,,56.06375045735345,52.02499643983638,49.44276776298994,54.1409165451442,57.221296315529074,56.77334125706153,54.945364801591325,56.69475369690039,58.03885189676945,58.03453449682735,57.74324263029467,55.867005917848736,53.2500690216378,50.81318191597895,48.04370074861514,47.81647602363149,50.515850447358815,50.15668807598646,61.3758396857668,60.38465140252035,55.43368134163673,53.41077154101438,57.17035892285804,62.58763557853505,61.790774335567896,61.05030327649731,57.03825598477119,56.01471847562824,55.8678071622294,55.99575837362994,54.78361732937666,56.55331641046449,57.35781741025856,57.72195770873006,47.61965009069905,42.18881900556576,38.83244929078524,42.251286775204136,50.92229523386686,56.00000032434786,51.83562467719593,50.06559735944436,53.53375476733648,45.591837046482055,29.257653071672934,L7
1999-11-15 20:53:07+00:00,,,30.257493772579807,24.03561805287403,20.687912912868978,25.23670499847074,28.48702014780349,27.15045775458909,25.26817182525761,26.535232109189234,28.458287817306584,34.1043788815457,40.52403572298794,42.10070225352379,39.69501500611194,36.68082411480194,34.12069402096898,31.86963690097021,28.4600140733596,27.03955886077955,28.679193027034,31.628347859822902,38.34513120004531,48.19339942157088,51.24341935929636,52.28332427358438,49.68946837977912,39.60084573331152,37.4647347075369,36.94994017313778,39.11118304328525,49.062577559647885,50.91763502464826,53.15634785020301,54.19441020526417,54.73861836888489,52.65641853713255,43.34905820010815,34.88365848636574,37.062389224607095,40.24266334698432,45.347616103420194,45.80013953199504,47.32052383461375,51.05350960911387,45.54766732876667,28.944757339960084,L7
1999-12-17 20:53:11+00:00,74.04628999825992,67.82432186955198,58.425644230611546,54.44462740581427,51.57568330012212,57.57710178007009,61.30443868134988,60.85656962541328,58.98019206240078,56.670968109122526,57.35801220810888,59.59708014903599,60.38031771389768,59.06499998137507,57.33736694373428,54.53934814380014,51.46896393213559,49.04923283022594,49.51595380527128,52.51772840575979,52.27111104356568,52.6324050541824,47.17011863468205,45.95565940082639,48.14861620144747,49.819899959066426,45.76493457308608,43.26825162376008,42.62995981908179,41.328493707283656,41.29451502447761,42.00224338070095,42.49940272977325,44.19174172721583,42.49338756976319,43.16161611362696,41.78270675387713,36.83595728903974,33.569626022947,34.97062215100496,40.62606501522876,42.29506000486116,42.23383736528838,40.16292947165131,43.53579976821961,37.02741589133227,25.559708932864016,L7
2000-01-02 20:53:03+00:00,69.64126102707472,63.05622351072597,54.75549144360712,52.5321328885026,49.10914221324366,53.70587220894453,56.29743941030909,54.397928447726784,52.98861503615973,53.14427116912429,54.53348502997675,58.68458877701866,58.47897275371175,56.81593682504681,52.32540584014858,46.56498312583217,43.38542855313112,39.69553583325304,36.67479062442017,35.298897511629704,34.636376384585816,34.09775517282532,33.86858331321072,36.17238399864869,39.484360942208944,39.61712380513579,36.39413758354064,36.06284605897408,36.48359529475746,40.3671328843096,41.03761988255384,43.13057564922952,43.22380068932624,46.21193074788192,46.31407077679334,46.53315646317106,43.375517408188905,37.3979854696947,34.128824066155374,36.20858528065816,43.245352697929306,47.977961695462696,46.257409472001214,47.94280307293993,52.93934733766869,,27.07812086710478,L7
2000-01-18 20:53:00+00:00,72.79916492074305,64.41803910648453,52.68801335072827,47.13257839310243,45.81022576147015,50.9946267387924,55.64572074332331,55.47871089304751,54.336266721861584,52.19019406083503,52.96489183553418,53.4094111643779,54.81723020246031,55.33494486296706,52.87152609862565,50.56761018628267,47.44680137924203,47.30110475506224,44.97471073238646,43.8075620110933,43.19727221314953,42.24970881839261,46.07633204632493,46.28800535178196,48.01212514595044,48.12424444042384,45.02745256959656,44.37266148726086,43.53852451917277,43.9707875410438,45.18377459967496,50.46787169927876,52.10960303446871,55.23164793784637,57.1544132060488,51.90826464113316,49.48787484383012,46.05172260194546,40.87066528476274,46.67377766292354,50.90058807436786,55.70515459389004,53.00285065022501,49.31531388260626,53.52534048868144,46.03564237881456,31.916368170209807,L7
2000-02-19 20:52:54+00:00,87.1241484320092,69.74401767150496,59.35978129466956,54.52775192630795,52.396171467391,58.29081865421613,63.03534457894292,62.7653524952132,61.958701834125584,62.270060478804055,62.79701529860974,62.73172079828267,62.77759758113962,61.01772182568512,59.34973112436085,58.02148604093927,55.78944998810351,53.01029270991744,49.34119882376199,47.975288838264255,47.89990972348336,51.49378284935492,51.21852081407727,51.15286416563589,49.83259239140741,47.38597798745388,43.456342655744585,42.08879962329395,44.638345664705575,44.32031709764421,44.91538911271255,45.16913389717092,46.07713550632592,48.75797924452609,49.59441857274687,50.65412748935193,47.91133851463264,45.08172961564587,40.79557877158911,45.26993008949734,48.71189441611483,56.205607149895975,50.96659216698857,48.90196537916815,52.67942823426282,49.333541702365785,39.63979462885795,L7
2000-03-06 20:52:49+00:00,70.05119379890088,63.42662431666507,53.50611280350901,49.756457575287946,45.77889870049832,46.51382118755411,49.06708672542934,47.43013497025346,46.33270014063078,46.60036250936093,49.65380815524897,50.721990077705165,51.60946594377124,54.02448536574856,51.4244355794315,49.647762519446594,47.0883598762167,46.95186956665964,44.13337401200158,42.9328653563363,41.96173908611625,42.54657543373117,48.46488089976902,49.038821540578496,48.35740460999261,,34.577408293891224,20.07337651264693,19.34786098824533,18.818262267935943,19.645751781824945,20.20079868330698,21.056667742399146,16.578826468815077,15.432564140358128,14.83277252627623,7.942689928866937,,-2.7402198564801963,0.466937904477152,,,,,,,,L7
2000-03-22 20:52:50+00:00,69.85237001782639,63.767672137388494,54.16473805042826,50.28483135682004,47.30412614493687,52.07765237046964,55.97816094717067,54.16103496752113,52.98930839143615,53.22943971988856,53.71847084934807,53.38006319280513,54.39023028829194,52.43344662122007,49.97323575363512,48.25516429470815,45.48766112462474,43.178787199709326,40.38048358213607,38.554156825355,32.60997657550211,32.099793494876586,31.42410826946944,33.87347002355593,37.2801211143771,37.52072904601997,34.7640928473201,33.63913855602719,33.590727552938375,37.599626190150495,37.916231869009806,39.37179986033092,40.24708908430394,40.498205518930405,36.102090642471815,33.29459834223366,32.68026740072502,29.157889613872644,25.411102037761808,29.009239866834008,35.89721265380173,39.50865899011932,39.90899816201919,42.999770053075125,48.3607027862293,46.92049120310688,30.23955415509516,L7
2000-04-07 20:52:39+00:00,93.08864321131512,74.74443660409727,60.61561073381801,53.98460307302969,51.30555478449424,56.540856793485226,59.98331681046379,58.77439188913991,57.02958777475021,57.091194983542806,57.74586878108524,58.190627030230566,58.829585769179126,57.98832376832564,55.388309746132464,52.43399090118741,48.728307468916526,45.49459712660035,41.29085778482181,40.01438624474549,38.58086304476937,38.39702898261602,38.63330098659715,39.556171297911405,40.63748105039649,41.82860467221333,39.640632944641006,39.004424521806655,44.32837824945895,44.77877023740385,47.35710733722529,47.60671521806248,48.06300987896507,49.38876577315918,47.18078391636929,48.200361600717706,46.8830881124068,37.81139565866015,34.8385686228705,37.56423627464552,40.47932165409367,43.75761790698188,44.78140717809866,45.83310409802748,49.43018230158913,45.65546230834581,32.54910184586618,L7
