dates,oahu0035_0001,oahu0035_0002,oahu0035_0003,oahu0035_0004,oahu0035_0005,oahu0035_0006,oahu0035_0007,oahu0035_0008,oahu0035_0009,oahu0035_0010,oahu0035_0011,oahu0035_0012,oahu0035_0013,oahu0035_0014,oahu0035_0015,oahu0035_0016,oahu0035_0017,oahu0035_0018,oahu0035_0019,oahu0035_0020,oahu0035_0021,oahu0035_0022,oahu0035_0023,oahu0035_0024,oahu0035_0025,oahu0035_0026,oahu0035_0027,oahu0035_0028,oahu0035_0029,oahu0035_0030,oahu0035_0031,oahu0035_0032,oahu0035_0033,oahu0035_0034,oahu0035_0035,oahu0035_0036,oahu0035_0037,oahu0035_0038,oahu0035_0039,oahu0035_0040,oahu0035_0041,oahu0035_0042,oahu0035_0043,oahu0035_0044,oahu0035_0045,oahu0035_0046,oahu0035_0047,oahu0035_0048,oahu0035_0049,oahu0035_0050,oahu0035_0051,oahu0035_0052,oahu0035_0053,oahu0035_0054,oahu0035_0055,oahu0035_0056,oahu0035_0057,oahu0035_0058,oahu0035_0059,oahu0035_0060,oahu0035_0061,oahu0035_0062,oahu0035_0063,oahu0035_0064,oahu0035_0065,oahu0035_0066,oahu0035_0067,satname
1991-10-09 20:18:07+00:00,1.900714648235336,6.082123430581117,5.265407466889776,3.56063425956755,3.46908622546977,3.442988089174399,4.246198783823392,4.548447327706525,6.467559374090405,9.766148424578429,8.875106656128565,6.867178394879037,6.211626722728525,3.150981191192333,5.02348029337012,9.072979774494907,11.510069700146794,9.775539919331308,10.953082165092717,13.027628171005864,12.223241510294647,11.694387523554935,9.75484887727874,7.322656649258555,10.278443329070324,11.71876909719864,11.42876956836018,13.876713915419309,20.803210274071247,21.838902735019303,22.1957028479369,18.913308482655893,17.14743876035631,17.871911958848585,2.705603881210294,-1.351308895865696,4.290801095800006,8.981166735277402,15.3532562774675,15.808350975676367,18.576995743420383,17.91662650183821,12.271749248164369,8.108982282126643,8.612606899888608,6.422582847853771,7.6000203002533055,7.62903999527942,13.155496932191824,7.3053560524751795,-5.750204445465359,-1.996894124342092,1.1606659392039231,0.9235343308549308,-2.883951162461699,-5.45069844710244,-11.199811826847462,-13.522771517623752,-3.3127036698020484,14.340299003213715,15.072455827524976,19.71695131708137,17.838792098350424,16.40908182420896,11.50224347939151,6.997635235867815,-5.157203804353417,L5
1991-12-12 20:18:31+00:00,-3.3366838832625207,0.3404558679835922,-2.0724222199132294,-0.967750785355176,-1.775898962110024,-2.275787313264513,-1.5423479869832668,-1.1083641054694915,3.4546784045221584,5.729452708614978,4.125940150173061,4.006442403656759,1.6353396552036188,-3.5096354737194284,-3.13697207363088,-4.6799100438522965,-6.41819176903008,-6.418623439758057,-3.424269867481123,-1.4948990186519786,-0.3404436712464054,0.3111074942698224,-0.7949684270417243,-0.6602590911167148,0.777759354013557,1.586529378840644,4.880552202462495,5.879764429973515,10.990847447406976,13.69404597855048,5.933849021139586,7.596924665987209,8.449506737421466,7.720679004464066,-4.690035519402397,-9.61205236112479,-5.06702035687852,0.2512113817446491,4.028261321601668,7.204343349311112,10.654901226282496,12.168225268064564,0.8042234446622445,-2.0512351312326134,0.7346624255239782,1.550951572081565,5.905903765426344,7.299537304073364,6.532631540759726,1.23372593114821,-6.825178555651978,-1.992244590190215,-1.5200312753827567,-0.8467244618472918,-2.135440517051987,-5.02352029778129,-11.23081090382017,-8.305508480331822,0.1199199613383037,11.050134318903533,9.071957824485589,9.529671346045852,10.422979981221252,8.16494515885397,8.941933433918642,6.559479966823164,-11.74383663558643,L5
1999-07-03 20:46:48+00:00,-5.300870066313227,-6.485793249554122,-9.24779734613742,-8.491415406153283,-8.426457928253075,-9.38776849156951,-10.457829909940898,-11.177872200439024,-1.598030697863774,1.502243064360481,-4.056250530190425,-4.909859002481845,-5.503185578395819,-6.0291909303870135,0.3566426285120192,-0.9631690774810592,-4.522493574361651,-3.064732330600805,-1.0523714868367056,-4.387882812455612,0.5385418883505539,0.3999894399543175,-0.0844290377069154,-3.715233726179616,-7.908779473373396,-8.949304255646279,-3.5661439542151467,-1.0941818794092808,2.666662710540439,9.814418359921673,10.260190704976315,4.646541244537691,-2.307062972865897,-1.6893130218479269,-8.061147681875891,-10.970140395269205,-9.87408082771318,-4.782827823192619,6.541159474880068,8.957264453376695,12.160928233006675,10.432081051425891,2.8482782543689704,-2.0715509809488144,0.3215954553983269,-4.362226767224087,-2.992697374495453,-1.784130741433192,0.036714994260691,-3.870983832565991,-11.01522846955714,-9.0892631248371,-3.501473573760784,-6.754324810216513,-13.146040390509562,-16.14101690422944,-18.926069875398028,-20.47653703706619,-15.071131982706046,-1.7178147928971907,9.541911736529446,12.571641741347367,12.753143201119302,8.176527852731795,-3.601227555638029,-8.62422130886081,,L7
1999-07-26 20:53:05+00:00,-7.024947795589087,-2.161265630382035,0.5249115472672352,11.5357631269611,15.510329365442498,11.989023580668997,16.403234627929383,25.263478705776336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-12 20:46:47+00:00,-0.2888952001509375,2.935866067543797,-0.2090632851726165,-0.4822965093877316,-1.7383673395596604,-0.1598228001124775,1.1181320101713246,-1.102862094827907,4.532094571961656,5.306259410331835,4.920688995102138,9.80873355522898,12.103095672899444,10.066239206512757,5.6401574521969575,7.400418613865126,9.60246386638419,6.229964081737608,5.130931248776344,5.370826675465596,5.1324501471382415,9.102262125417072,6.140337196004564,2.6159598172016505,4.92092633266609,11.139502362610708,12.754267434238765,12.992352968569069,17.91890074585703,20.28409475050276,16.880941670634282,19.86355611643972,14.566409815968806,13.357609610813885,4.851205372598502,0.1106518619909755,-0.9652237691629092,6.372593143322268,15.079329117922455,18.173189829004496,20.266013737747333,19.90582004053141,13.83026249308138,10.921752216769962,12.477702521607336,12.06859532348154,9.410182214948724,8.891223970551163,9.505164358782258,3.6870871958017,-5.971822775695156,0.5540399157852092,7.207981488246959,4.715293819652073,-4.522950916828323,-5.509174493193837,-9.067737110113692,-11.07337445666247,-4.3896683484330925,9.388940106602025,9.496803445783469,10.32720981425667,11.824034850190474,10.972577650670624,8.921050961817153,5.327443806299192,-1.5910352040053988,L7
2000-02-19 20:52:54+00:00,,-0.5723939524339311,-3.250299381557256,0.5901976266846983,-1.328231525933394,-6.0620165510129365,-4.876546800165766,-2.42670539262386,3.97542426780884,1.2156738179859476,0.7284890131691523,8.28570804070665,13.643939377781887,14.292517025241612,9.11533641791918,2.636973093278133,2.7061983578365627,7.894440046864815,8.755721418248019,11.693363132927503,13.983664624284582,10.858076929230824,8.839514789841683,6.9136610775031535,4.966534275995539,13.524903325376105,17.03273816837812,21.008683563711987,24.94257808896005,27.470266608334523,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.664354013123129,-1.9029485358474865,4.395643419622733,8.274393567653053,9.049807467762786,10.923002476750115,10.75824458509423,10.906044329392016,15.875430931597249,5.478380321440582,L7
2000-03-06 20:52:49+00:00,,,,,,1.9122927226482405,2.509960442454102,1.6911064402513196,6.225537921922873,9.625561792506527,11.931649565556809,11.785879117188491,8.304097509653138,4.436385703035855,4.9464271698633215,4.649085936049778,6.212146731158198,5.568086040450099,3.381134267468818,6.202478651090987,3.70396907782977,8.814230628844397,7.490690880836363,3.3113525127968995,5.650818432005719,11.124925731267345,11.515948498818828,13.328281310500987,17.811922145516345,19.4642978307381,16.718753494455033,18.491825001237128,13.428121366551125,11.57674327587024,4.6311352866027296,6.556061480273444,5.003824762067817,12.744055424603536,18.25085272670542,15.997555621861904,14.664655782452185,17.755071146479683,12.754053724551012,15.271769011532646,12.16517864950436,7.827550635078984,9.041667462957507,8.553007538880715,5.296255819650293,-0.214746252818708,-10.292373540308695,0.4195194614793411,5.873283075200748,3.8684439688200873,-2.9872692414363744,-1.651376929527688,-6.473827139545385,-10.192568231048844,-3.310125002842442,15.592033656443958,15.185763681396002,15.991694367139536,15.444435156260566,12.486495808911265,10.958646659573828,9.655756240523315,-6.572938138587407,L7
2000-05-09 20:52:21+00:00,-19.43267192653265,-7.293217348900725,5.029228380510906,15.073452569037892,22.81034623792925,27.533390123882995,,,9.734031373414782,-2.0419545342154684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-18 20:46:08+00:00,-0.7407270931232448,-0.4282272180739435,-2.032800845163071,-2.143978462481244,0.2334185809769511,-2.711600710463228,-1.5909120589996215,1.997603375478316,6.386746062506144,11.247133466102197,13.526403041856074,7.0666544037845,4.278213189046698,0.2772242103708384,2.8609413604445484,0.3773624943556395,1.050769913667799,3.243578421559888,3.770718955287424,4.54778550952194,4.7548821383808,3.891097034168058,4.254459326232662,0.0352011678227688,-2.574530743877987,2.498019025819242,3.3646748119842504,5.454275127779797,13.398625981901354,15.967937792492418,14.143838523227906,10.334486037697282,5.404829689557054,5.276946064839861,-2.774581903215151,-6.959455520859858,-5.577364141988562,-0.5193575002806954,11.375974450921133,14.403284609349049,17.677770818180573,16.558530914868616,11.110699448238917,6.348754280357886,5.794140557330862,3.073011619508015,4.425753784099242,5.883193642217523,8.674561116974786,1.9471079505577464,-7.459377809789035,-1.8729483994617029,-2.069610143352649,-8.081219406740239,-8.915342232535519,-5.99134207781445,-17.045997515939696,-9.599567045603678,3.4958111057647363,12.823408873461482,14.664017132407814,18.79719082132019,16.199325643228438,15.02499196353718,6.797466898900182,-4.897984501989581,-21.103339792817977,L7
2000-06-03 20:45:56+00:00,,,,,,,,,,,,,0.8940180197451832,0.6161003105364253,4.401581610399192,2.8900972675432977,5.096613856335911,4.612277080474383,3.743029227820221,7.382030427070348,11.225307721066857,10.574164824715751,10.829885935782542,6.473060347082975,-0.1829611007992282,3.13131240079369,2.8203561514850373,4.2375560924371785,11.03158170089364,14.402424951206603,14.698530240295824,11.769434078432184,7.065184747080372,5.520591260848279,-4.301212308468499,-5.384134988692614,-2.407722894243104,1.1026459892213518,8.503752316120462,13.588170819340654,15.256395417508344,13.304971029674917,8.205478772117743,6.025514082581887,3.501657506720841,1.37879112763006,2.905552506394131,5.0514899165555365,8.750745340773502,3.462427147078121,-8.769604168526296,-1.3428709407954456,0.2328874685469886,-2.822762466596237,-5.588906987200576,-5.139610181020031,-11.513906106186454,-11.735071974439972,-4.614895710329296,8.460134266755968,13.355638366656365,16.667523390910638,14.918986742088087,11.489130781947772,5.924927147362973,-6.679935194770265,-19.95302622563439,L7
