dates,oahu0016_0001,oahu0016_0002,oahu0016_0003,oahu0016_0004,oahu0016_0005,oahu0016_0006,oahu0016_0007,oahu0016_0008,oahu0016_0009,oahu0016_0010,oahu0016_0011,oahu0016_0012,oahu0016_0013,oahu0016_0014,oahu0016_0015,oahu0016_0016,oahu0016_0017,oahu0016_0018,oahu0016_0019,oahu0016_0020,oahu0016_0021,oahu0016_0022,oahu0016_0023,oahu0016_0024,oahu0016_0025,oahu0016_0026,oahu0016_0027,oahu0016_0028,oahu0016_0029,satname
1990-09-11 20:20:05+00:00,29.21024863964921,19.81801555331361,19.470178402733843,21.152660862043785,23.899419112041056,20.10531631863057,24.90981544894163,27.62526751926131,40.25268950295615,42.026704614270216,44.996120136322816,,,57.13344251785703,53.90080424243154,52.36382906443952,52.71744513238431,56.24965123388736,66.1310290975392,52.702559860592594,46.48388262870814,41.495377447385145,38.32778253151741,40.86477098335794,42.27293021741559,37.816574829008765,37.95850905224134,30.92167105363917,19.2784909652272,L5
1991-10-09 20:18:07+00:00,14.113241745947503,7.751751169995447,10.219110196593816,12.682625075392629,12.35297929262486,10.124905269258791,15.496547881343773,21.11197372272086,36.26925389806748,,,,,,,,,,,48.996113933478384,42.29648806826092,32.94491406285668,24.96187193979707,19.45936213441644,25.90677496701948,30.85692440580272,31.35519556030505,22.92043454252732,6.244479513305855,L5
1991-12-03 20:24:42+00:00,17.619984390833633,11.88077835988888,12.85298315690564,13.30001137767053,13.595930171428986,12.41005846640397,13.255992306568768,11.721063012125876,9.949768985545706,6.537041506332656,2.699377161469344,4.344341788977953,1.5163209460985532,8.685245827821031,12.671201568388527,14.584442835342552,10.54820969836559,7.803209750729572,16.910564156924455,16.375698604032653,22.58968463430661,22.14614950237005,22.43667746319221,9.693837556418412,0.1802920623092208,-3.099806908653871,11.065847590647271,11.061623249788628,-2.2137574448543016,L5
1991-12-12 20:18:31+00:00,16.88362549765629,10.476074429062532,9.792102878171214,8.815731127611219,11.05266002027514,9.820795741242716,13.9153996855892,14.122942020466944,12.941945355788114,14.578884749042622,11.386417583460766,17.57125828485222,15.233100406892618,16.06001699436179,17.616648846813362,19.31802735649012,17.200628299034634,16.25721020064624,20.913037828835108,24.14497126001349,31.219263620374456,27.66964096884697,24.88159035693764,16.51919175256443,10.73221143757328,6.81795132104931,16.278814661380302,19.51458981330096,6.640268191001648,L5
1999-07-03 20:46:48+00:00,30.39955778107005,20.280435531729783,20.896431277269887,18.771512028366825,20.315880338583785,21.44794651065903,23.27224325551845,25.90496846578079,30.328710694470644,38.23147017718243,37.93454985664782,44.76536022793985,44.194824595944425,44.68559233114063,47.843304329596094,45.18898022920091,46.25169075167388,49.42127787946424,61.96171612442542,53.76734627612129,44.35428795566448,38.43588252954432,36.18169705779951,40.02719615329454,39.85676617027973,37.19384081801279,41.042662626866175,39.80711314419628,32.27874902191026,L7
1999-07-10 20:53:01+00:00,15.332610801019507,5.962371012761791,8.552934745951818,16.486089064996914,16.022319571652748,7.273597012047874,14.67467084258575,20.67742759759205,38.41810907541569,37.77668611756661,37.86612547333392,51.21067025329093,49.38141154177474,48.90918393829442,45.41424639464727,43.91832498941533,39.34498679209326,47.74661676254071,58.28532057077557,39.729511222372345,44.93084470575549,39.57342932106712,34.52535161048842,35.63081329197456,33.92531616107755,30.471086160181184,24.05388920818993,23.789520035540143,17.524514908661192,L7
1999-07-26 20:53:05+00:00,13.199278168995823,6.987555621569661,16.083487108208157,23.21285746274236,18.835228900090165,20.075128689469828,19.725909923663583,24.22096393325439,34.32496994902172,35.884711596005204,37.76093335109498,43.794134723935926,42.98006498587019,43.74897165399607,42.72101042879096,43.17537731413572,42.88166262580716,47.73513868028817,58.91555186226388,44.78224920288663,44.43913596673298,37.42804975950007,31.10460706411069,35.4005334821135,32.652417064689665,31.52746587827932,28.735553163908754,25.805250940946777,20.55268906525464,L7
1999-08-11 20:53:07+00:00,21.71501547252346,10.707488031097212,5.604697760269777,0.7621992983339761,1.536291150596555,7.331457429031311,3.675228228385461,10.227062548883609,22.66699159993763,32.42870220819049,30.08888023183396,34.00242409577802,34.476030971795566,39.13442298581366,38.92211287066628,38.91509141221177,36.743180085229625,38.35664086351908,52.046611581736784,38.30799877751523,34.92156693954486,27.1560606366223,30.32133694244271,30.566386489900992,28.02215499678631,25.60319998495621,23.719534762064217,22.79560013043672,19.473892714452184,L7
1999-08-20 20:46:55+00:00,37.35204116691346,25.13629194203561,23.68763592997364,18.482672354247896,18.81214520309601,23.849765321147487,25.20506286243468,28.654079172518564,38.921466130147486,40.31743802452152,47.986328986464926,,51.83640234339568,52.46189423592111,54.916641083783446,49.11470378758989,50.05956845043477,55.2811389960536,64.54917897714702,56.854534185158144,48.94041349645293,41.73040593461728,35.093937932126174,45.66270979553356,45.29731237689549,38.4152358814333,39.42607709498809,39.72370123037929,21.71124803245645,L7
1999-09-05 20:46:59+00:00,17.064307897254032,10.394583532177515,10.44717743932898,9.109144154984824,12.936221442083497,14.231028512618678,16.850606809891403,19.05473964815208,23.06809605092245,32.79175667165681,34.511317790406345,37.71870925625845,37.41306695009509,44.951448094273786,47.25283495473837,43.90219970154483,37.16069389418088,39.55944321355414,51.77937292853436,49.644598561098746,46.668019006895946,39.814347686818046,34.9916715752353,35.98727754521931,31.939191461152213,28.878900783408497,27.08695046464185,24.276109800896062,15.787645268235286,L7
1999-10-14 20:53:13+00:00,10.51245363898924,5.3260482928863455,11.715668381120835,16.005011409378422,10.96504140661369,12.452182257422354,13.012717008522763,16.49206817594266,19.818046739288505,21.003759046921704,23.741045699202235,32.96395290579198,26.11067573827269,27.33530087584892,32.49097070127831,29.589772184712466,24.562204829152986,20.187492101664585,34.367505849909335,29.332059717868194,34.81350573910466,31.53052003264639,26.29864525810857,23.11288582858872,25.668523015015868,27.72526749711724,28.25137455055793,23.509073290971667,21.99456612711464,L7
1999-11-24 20:46:49+00:00,,3.853431705893368,9.112951698001334,10.990674718925789,2.729834158196637,0.9012552245555084,2.59434519985325,3.042561443740424,8.73145003366247,13.388519551802434,14.63660516695555,26.52293928088392,28.62666069724635,34.068776810991594,33.40720096756449,27.698129879871672,22.18722021865328,31.257811045094467,41.77712773497741,35.887901882193816,41.67334843619234,35.14291738231393,31.64327240189129,30.39010750558268,27.23269019737119,27.73700658900964,26.32948728010804,23.18639842402518,16.373426749378307,L7
1999-12-01 20:53:02+00:00,4.978054376009529,2.8890197507382886,4.849249085974794,4.921881553520283,6.371688238593888,7.632686192757404,8.51173246834334,8.693802773506768,12.438816090709924,15.433380573862248,16.11331559155975,24.490392738784248,27.309419300118176,27.07556266339614,22.09281232375123,22.085352082901554,17.72666807673352,17.337438119574653,25.183648532771024,30.30331523891209,35.857160791403736,30.60375199024041,23.63601392631149,19.778375416565307,17.14504939108483,12.621918314707267,17.87386197165559,19.320265480633008,18.96336844525999,L7
2000-01-02 20:53:03+00:00,11.030867651628505,6.812028058295708,9.458853908993778,9.095634146866317,3.364565460760142,8.52904221969955,8.841695261856175,11.51305562036499,13.02361812508832,6.947515474888094,,,,,,,,,,,,,,,,,,,,L7
