dates,oahu0099_0001,oahu0099_0002,oahu0099_0003,oahu0099_0004,oahu0099_0005,oahu0099_0006,oahu0099_0007,oahu0099_0008,oahu0099_0009,oahu0099_0010,oahu0099_0011,oahu0099_0012,oahu0099_0013,oahu0099_0014,oahu0099_0015,oahu0099_0016,oahu0099_0017,oahu0099_0018,oahu0099_0019,oahu0099_0020,oahu0099_0021,oahu0099_0022,oahu0099_0023,oahu0099_0024,oahu0099_0025,oahu0099_0026,oahu0099_0027,oahu0099_0028,oahu0099_0029,oahu0099_0030,oahu0099_0031,oahu0099_0032,oahu0099_0033,oahu0099_0034,oahu0099_0035,oahu0099_0036,oahu0099_0037,oahu0099_0038,oahu0099_0039,oahu0099_0040,oahu0099_0041,oahu0099_0042,oahu0099_0043,oahu0099_0044,oahu0099_0045,oahu0099_0046,oahu0099_0047,oahu0099_0048,oahu0099_0049,oahu0099_0050,oahu0099_0051,oahu0099_0052,oahu0099_0053,oahu0099_0054,oahu0099_0055,oahu0099_0056,oahu0099_0057,oahu0099_0058,oahu0099_0059,oahu0099_0060,oahu0099_0061,oahu0099_0062,oahu0099_0063,oahu0099_0064,oahu0099_0065,oahu0099_0066,oahu0099_0067,oahu0099_0068,oahu0099_0069,oahu0099_0070,oahu0099_0071,oahu0099_0072,oahu0099_0073,oahu0099_0074,oahu0099_0075,oahu0099_0076,oahu0099_0077,oahu0099_0078,oahu0099_0079,oahu0099_0080,oahu0099_0081,oahu0099_0082,oahu0099_0083,oahu0099_0084,oahu0099_0085,oahu0099_0086,oahu0099_0087,oahu0099_0088,oahu0099_0089,oahu0099_0090,oahu0099_0091,oahu0099_0092,oahu0099_0093,oahu0099_0094,oahu0099_0095,oahu0099_0096,oahu0099_0097,oahu0099_0098,satname
1991-10-09 20:18:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83794472569249,24.16438893585256,28.590314373744764,30.091469343730395,30.46589982186894,30.95287665062913,32.36104077106626,33.065502398878166,30.48612863225217,25.222990824826,26.14726190208884,29.21720636965853,34.54444223265648,42.80116073904456,54.38356258844928,61.9677285920321,65.91215650548392,56.81753461861012,45.87898076649539,35.34084822685526,30.28832235978281,34.8821011504056,39.6870874293509,40.45967831725928,28.71539365989058,22.51616377562491,23.638862422700303,25.210887096994192,27.00386863424632,27.29922682766662,28.145658276004543,29.61404401225691,29.10055522203379,29.462122717410807,28.94839572949084,28.47812489296452,26.36737178939943,25.92033653331694,26.13937484551542,25.279445990498424,26.66761442471428,27.190164531870863,22.67608516137788,26.12657377078684,26.836721686066795,28.013716016382123,22.39320377946873,18.258104056902617,21.05026036868636,11.22539321080058,11.509631663051042,14.920382915173056,9.78533240223977,L5
1991-10-25 20:18:11+00:00,,35.127220696692184,33.338691803456285,30.87027989044764,31.034765080903767,31.867734065134577,28.7238417366297,25.07596312686543,22.626765481083662,20.979461670261173,20.883396437944363,22.639627043339274,24.34563094231732,27.55653666443592,26.857885387530764,26.424081534164205,21.399217855477023,20.63549537696085,21.0030733642554,19.7898785014805,21.550401961942768,22.83226843368909,24.327734462362603,24.70187376208729,25.279780662723613,26.27805874314296,25.322854272855224,19.931833034414847,18.28035752073928,17.203006094903703,27.7265269479036,28.982332969613584,29.38722469543261,30.20809443877988,29.25115499778007,29.234930168729186,28.259057806940767,26.93622763877606,28.81362016911253,29.10352891902528,33.672730713921766,33.17896874193927,30.536528637114422,25.949120296070383,22.088349656726702,20.84312679646621,23.89274475376722,28.96534082761205,33.37950419131632,34.89582136185145,34.2470862293163,34.123438323416615,34.62900411222693,31.657910239840817,25.430846613028454,26.33466627151073,29.29969765724291,31.719594824989,37.069838936826585,47.4089455299871,54.800300401915,55.16565213340402,47.23153364423033,36.75281831605879,27.99310462230872,24.063789485983552,25.43866712067762,31.842404342218565,35.22603724263032,29.70051328489464,24.99706401881204,27.39033718971961,29.2989396581578,28.715828157478622,29.044113535295168,30.381928665078668,33.138779444118335,35.667767545615305,37.031958706392246,37.514719172949846,37.31913881733415,38.52715390089888,33.65619124782723,26.964521065709427,26.00665598914207,27.986338250556187,29.6402330141198,24.869787568973443,33.09869062303698,35.37761067900949,,,,25.10874676376478,,,36.08787300926504,30.36295453841013,L5
1991-12-12 20:18:31+00:00,,,,,14.794849490693844,14.525963196527853,12.092896083808004,9.364126431357503,13.57741970597856,13.687695130854827,16.0893581674566,20.44036141241629,27.049089139582023,28.238931458984805,27.69386584640329,27.060154243738,26.86054407084531,27.74399103912767,28.33445809269263,27.05230707898933,25.53430407036513,23.43992292516981,21.5893720836036,19.73367224120406,18.173102230063385,19.081661638623487,19.26821036273761,18.46747412582277,16.490781103804288,9.822441070036088,9.486592450210011,11.75840921054827,11.792462562047644,13.268038607248904,13.642253041182691,16.816192260522758,17.262910642887725,15.798858744474972,14.778728471150364,15.904934762824771,15.942123905606172,15.43553313960723,13.601440727962308,12.46989544948656,17.1020130874077,22.478516128716613,25.657659603773467,30.910139635540222,32.945472630042225,34.37905127875565,33.233007009006805,33.41290803227363,32.628438466215314,30.15126598703964,28.07719827042987,31.59246253719516,34.08186744853398,34.81049980815183,38.63587570202663,46.73802580522406,53.8492877391292,53.84588984093011,48.0791117984161,39.45197381572259,30.12830362519385,27.16038494450365,31.731806884651377,35.935013356681004,33.07753125131913,18.888506904093667,10.194816977696062,15.685163478338168,17.95708515378196,21.564329030495013,18.20074252584413,17.48959609339247,16.557116660513532,16.2999829097743,16.578871895056093,16.684086899778258,15.000274167792371,15.678084002558874,15.00643897035112,16.675004358692135,18.582613570392617,18.286282389916344,17.409654899596347,9.190716330578402,11.35188029739094,16.638326880209146,21.75466713209731,19.095122017916207,15.071802160783069,15.72899957015148,5.713965113184773,5.443731866087399,10.202423453287002,8.505918618354125,L5
1999-07-03 20:46:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-07-10 20:53:01+00:00,,,,,,,,36.0182029521223,34.48273130675684,33.74669808573758,33.078763277473826,33.25293639734473,33.19281665802485,32.52832710532581,30.65192556110513,25.611025061545085,24.726718102803744,25.66698248164068,27.41538724375181,27.05105453958648,30.516066456623484,32.29273796748454,33.14714903920269,32.96090559128117,33.31220405825636,34.41930990855324,32.23790578904479,30.280834232111523,28.26188490354001,25.89730136099832,27.711678752182024,29.121969339118216,28.85777766943803,29.523048931912182,30.032834077214662,31.154647641032824,30.93597572513093,29.870613021601336,29.132220126746795,30.552884151478352,32.743829343512,32.05685878553864,29.928890341265564,28.154792157336587,21.80196201568826,20.45452294693973,22.7240600071609,26.09319306668624,27.804654535625048,32.10699636676376,38.34386694302915,39.46201717693925,38.50522063197304,34.1898709176602,30.58188247048045,31.7771754759261,38.0482063704173,42.23328708548791,46.49810003224592,54.10941928004842,60.01185420018638,60.41161461505136,55.110064262446365,47.2042136274849,39.31736781703327,37.46338298218774,40.67533442670675,44.03573465129464,46.35696511217286,33.936451089142686,26.599230370413245,27.652803030753425,30.889473696335,30.92667453870468,35.22669190088312,37.65549796718516,37.7614676238565,38.81214076153862,38.27842106801271,37.09749185514882,31.15954147668381,30.048618858525,30.996245077560417,30.587963735944548,32.72968155260107,33.55569991881149,34.790556728182914,26.53217490433618,24.001402158241547,26.329663288910005,31.2627576884552,35.71559712041629,29.670470727113084,33.424035671275504,24.11012998299679,27.917871794744485,31.735263813776136,27.151073531144057,L7
1999-08-04 20:46:58+00:00,,,39.93166501346728,37.12324939523471,36.652639380262926,35.577406323526745,32.59411561059193,31.376701650596686,30.543002443110392,29.96746150368524,31.085801299596703,31.663599893672394,33.22153291557653,33.88489338324399,33.99368689020351,33.78525179957303,32.527069086470924,30.83517861209604,31.595579396875767,30.672303183709,34.91664441967427,35.51337562549363,35.80013343952167,37.199049705352,37.26814524037728,38.21207805369448,36.53908613647616,32.206896136095644,30.10434110290036,26.487761613735024,25.88863472568585,27.316528190126256,27.584050565501144,30.73165805290904,32.13153296612382,34.157761171235265,33.81991388487573,31.83850162482048,31.222323895986943,30.91250139001733,30.55614398367205,29.44532774708293,27.17631548115977,12.732532396400728,11.429734088247656,15.021981128776783,28.013898235995224,37.80724207466713,40.72382551260068,44.0937093248502,44.2991989961004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-20 20:46:55+00:00,,,38.51211730064369,36.94510758527071,39.8838998024084,40.6622070234896,36.96186077633683,33.035666148963614,31.73876722591012,31.153624714244543,33.31483227514308,33.898572055252714,34.90422187766961,35.56209777807508,35.140837725699946,35.072260155959384,30.99272849442565,29.296956965381305,29.77446488708973,28.67299974661272,32.299482697236094,32.63308566696312,32.91013362843771,35.38296243084035,35.44576232599687,36.30501101715797,36.07965728063515,33.11290023474547,30.734467182798472,27.99418119172502,28.01371941928908,29.720994567642723,30.459520784992144,31.84340849991417,32.32439849477922,31.35327446071569,29.91016012425651,28.079770546069533,26.31206623226174,25.59764770592616,25.122731905426534,21.75210049291876,19.67198690281557,18.70402024559911,20.12487473194248,25.91709573660126,31.348378681183075,39.53321671405384,38.91469882375608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-12 20:53:05+00:00,,,41.81202611086314,39.84435359029355,41.70514242771132,42.007938099529,38.16190280229583,34.18319015072539,33.14194013364085,32.78940232289668,33.25833248036557,33.266806311036845,33.08810387440344,29.5127412278577,28.213876536102426,26.650193092548623,22.213193566834672,22.654586734531588,24.110223819457502,24.07579969405492,29.43382541965448,32.03554085265014,31.70223209469356,31.446405670082743,32.26497587890219,34.2706313971307,33.35642122343904,32.81837273039165,31.56694539887018,29.067070503313563,33.52949686396097,35.13531547409315,33.30806095350677,34.213033066106604,33.317935991808355,34.050696478414494,35.33494143807694,35.81227581168309,37.08716058702588,36.262375843721045,38.31580149141563,34.58038388521418,32.392111035366206,29.74008137817536,24.494252560485908,23.93923511672681,27.68733916732292,33.268968436558424,34.314391156969975,29.67503076025353,25.254920004106125,26.52504013668538,28.479978697977828,26.727565453996107,24.271392024058684,29.32516503712584,32.35232163837476,34.315828123025824,40.337817622361854,52.21181183356551,63.04233431050666,74.90862781300278,66.23920239866655,55.45223569848453,45.73443265658117,41.606148384696255,41.118774705951786,45.44205639714743,43.04597975392058,30.20846968200028,23.1721993095832,30.44067871234884,35.34579550945072,37.06345153457514,36.767768555055866,39.02240742454127,39.3560368408053,40.38658637627702,34.56602042608439,32.61790666277478,34.63967646484462,37.99788509558282,42.21589540779016,46.06008749755614,44.69153166066109,43.10787152244379,40.7340128031987,32.54071002337779,37.290391172567176,38.654456637144406,46.49394570480858,48.41877727949854,47.40954304207551,42.730067642161686,33.33400503087388,28.251689621004928,39.00222415964557,35.926991094724976,L7
1999-11-15 20:53:07+00:00,,,,38.73664106614369,39.52725348478821,41.52772802378813,42.0082743015613,42.197132894451975,41.81088553985677,41.74493416745377,42.963965540939725,41.17520561514249,45.695842107327614,44.34034873993894,44.60888706159892,44.621130749841335,43.6438483592257,43.9036733978236,41.35157084509402,38.99139036534038,39.49840940005065,40.31845080202452,41.55668410371669,38.83425245395158,38.762510746185015,40.93955857729732,39.94391524181601,37.228615117949886,39.23315225566754,32.88577827104157,,,,,,,,,,45.03788152078591,46.64590761850533,47.903010951938704,46.75872760153717,42.16121682524052,38.768093548570334,35.252758443210666,38.29537371191618,43.35507421589454,47.56626263428223,51.20543979045701,52.7022632608763,53.7948364515142,53.43178025193402,50.24799229718049,44.77739303608165,44.92004371564191,44.79715300267844,45.8233504519188,50.85936086248196,62.67601410782947,72.8719544670854,75.95995423283811,66.34835835273377,55.67165365362344,46.19498590774687,42.95308617317364,45.87830488752388,51.75928370998013,53.65646051623453,44.27768163668402,41.59458867957595,41.919085512011165,44.80575628526309,45.84006221354412,46.035991884656575,48.69611197207998,48.86992020021828,51.046072474384815,49.90844262871607,48.140268819590695,39.64060367145319,38.30259895402887,35.34390473617323,28.401468582835687,28.426894085608136,,,,,,,,,,,,,,L7
1999-11-24 20:46:49+00:00,,,,,,,,,,,,21.220644269663275,23.77074583649172,35.22647815889456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
