dates,oahu0063_0001,oahu0063_0002,oahu0063_0003,oahu0063_0004,oahu0063_0005,oahu0063_0006,oahu0063_0007,oahu0063_0008,oahu0063_0009,oahu0063_0010,oahu0063_0011,oahu0063_0012,oahu0063_0013,oahu0063_0014,oahu0063_0015,oahu0063_0016,oahu0063_0017,oahu0063_0018,oahu0063_0019,oahu0063_0020,oahu0063_0021,oahu0063_0022,oahu0063_0023,oahu0063_0024,oahu0063_0025,oahu0063_0026,oahu0063_0027,oahu0063_0028,oahu0063_0029,oahu0063_0030,oahu0063_0031,oahu0063_0032,oahu0063_0033,oahu0063_0034,oahu0063_0035,oahu0063_0036,oahu0063_0037,oahu0063_0038,oahu0063_0039,oahu0063_0040,oahu0063_0041,oahu0063_0042,oahu0063_0043,oahu0063_0044,oahu0063_0045,oahu0063_0046,oahu0063_0047,oahu0063_0048,oahu0063_0049,oahu0063_0050,oahu0063_0051,oahu0063_0052,oahu0063_0053,oahu0063_0054,oahu0063_0055,oahu0063_0056,oahu0063_0057,oahu0063_0058,oahu0063_0059,oahu0063_0060,oahu0063_0061,oahu0063_0062,oahu0063_0063,oahu0063_0064,oahu0063_0065,oahu0063_0066,oahu0063_0067,oahu0063_0068,oahu0063_0069,satname
1991-10-09 20:18:07+00:00,-26.983070246622987,,-23.389916924130063,,,,,,,,-21.69423056216429,-23.367530021756945,-21.485741685760704,-21.524357392401537,,,,,,,,,,,,,,-29.63580541029731,-30.953681561123204,-19.68778171683944,-17.188160976110918,-15.486285139656417,-15.16824504042706,-13.726149356000084,-25.132407555319,-24.873482967214105,-23.20533962300398,-24.044637057184723,,-18.925079261048555,-13.858299484925784,-12.72304552164012,-15.369151809279204,-18.284702457357543,-17.785537309713614,-21.42795242668871,,,-27.042717387978144,,-29.501203136954405,,,,,,,,,,,,-20.70521374519937,-21.15288089673988,-22.040556055400888,-22.98894436365817,-21.646346247882843,,,L5
1991-12-12 20:18:31+00:00,-17.48614904535633,-21.647503362692444,,,,,,-19.18546905471176,-17.249942822362936,-14.07396042532339,-9.57260707560924,-10.587644189742525,-12.066493723753876,-14.72821451752224,-18.049818361569017,-19.3254244782494,-20.015761009952595,-21.25637606588188,-19.85711231036812,-17.643597039572864,-20.09010897650845,-21.06598501515676,-23.749293024133053,-24.0831197827573,-21.717327682577803,-21.79801393715962,,,-13.63387743254568,-5.173566849278302,-2.553827261336976,-2.5638922156906125,-2.943188103736152,-1.9467978557843928,-11.166651532727215,-17.318665647340538,-15.31104885767151,-14.644649926189846,-17.034608840326335,-24.470554301280323,-13.88770945931657,-6.3393112763318,-8.34534980502614,-13.233385427951186,-13.928552303566214,,,-23.46980750373785,-20.873190589670223,-16.613688488415217,-19.883720298656936,-25.17815847382252,-19.0574612823922,,-7.315287247447232,,,,-28.33657160325127,-22.507230061249714,-16.06974432226574,-13.243986255614312,-11.488321394181822,-12.3703719138194,-13.49980721938886,-11.728766377251134,-11.131043911518374,-15.86741793225715,-14.415997486651364,L5
1999-07-03 20:46:48+00:00,,,-7.5348796055231,-1.4639889014503138,-6.287669715202521,-5.616818285742559,-1.5140696842686023,-0.4502637888964818,1.3821101078318316,3.2088112648078377,6.254115304604329,6.903214604027919,6.902203520592473,,,,,,,,,,,,,,,,,,,,,,,12.643941997561411,16.044011553360424,24.00559304929876,20.760796155885075,,,-9.547618627800633,-12.379734143056844,-12.536125159190773,-6.862685743641117,-7.086879836765777,-7.809402170019445,,,16.928920293341676,14.269366693390118,9.695808086207007,,,,,,,,,,,,,,,,,,L7
1999-08-20 20:46:55+00:00,1.7640756512334124,-0.5183549232576041,2.0663105908835924,-4.035254744536427,-10.6057174029296,-13.409753093627488,-12.97677704240706,-6.550154454848447,-1.7258326106173614,3.9525799377597695,5.338640020315817,3.211832849871602,4.30757559995234,6.036637863558736,-0.8228137201076191,-2.5171010111377,-3.5191793140655987,-4.443029440765206,-5.9389733200153545,-1.8670177205040013,-11.255260692271811,-13.955959949498284,-12.295845087305803,-7.252544807934743,-0.823221653860873,-4.071869831182567,,,0.5766835087027251,11.472625548249567,10.855527343028044,8.616706365765076,6.448980996353409,6.856939389301804,-0.5291192735101775,-3.2290865512304467,-2.192294679675149,-1.4547120009317471,-5.21917336524884,-4.197663914350333,0.9316289345338846,4.376264582351269,2.069714669368852,-0.2217925976847452,2.6240222397372017,-1.7663106882942292,-4.869197541216488,-5.429669082165983,-3.914207111917138,-4.619558545287819,-6.550422244051421,-8.1872510267239,7.767663270856305,11.62878047785964,17.51825351545269,,,-4.618986611722466,-9.653214792270523,-1.468038680396688,-2.2084136090569144,-1.2904144268889122,2.0413682014541,0.7881656233629839,1.3302722942840308,3.2608096024031914,5.229320533960588,2.9352651360577484,4.527906955443676,L7
1999-09-05 20:46:59+00:00,1.2211940495664286,-0.7892608422545011,2.795634792147839,-1.737523398045414,-6.908967277137752,-10.138660002061949,-9.097473459096893,-7.867131255484096,-5.46870365704126,2.228413764561673,4.776149865776801,2.9929588381419467,4.0079445295097615,5.366116995359712,3.323497112918958,0.2403875470328313,-3.700856095481656,-4.656192756423694,-2.824932284670348,2.262981870689602,1.321621495759636,-6.581541409792565,-9.218361248091623,-7.997936510410271,-0.6694565197060711,-2.051147975420558,-9.919431973398355,,,10.0440063957971,10.30995815279643,8.2891164205076,6.727667280414146,7.532283014038704,1.7736093738158043,-1.4033073972693864,1.0527411556946304,2.040715056018116,-0.926205667943637,-12.378202368756298,-2.2601758172315645,2.429692310660105,0.931296279817906,-1.8463768575039543,2.134435488950899,-2.9440195081849696,-5.141898807073265,-5.109535314545158,-3.851569680384463,-3.973090964806194,-1.9237654195628,-5.458351845128969,3.763333397056968,7.67529699193557,,,-5.018345734119535,-7.257148923385995,-8.362143973839384,-3.2705572615343206,-3.256708094971459,-0.700018675204291,1.6498329902200275,-0.8060154934524955,-1.334170347210659,1.5731047891084404,,,,L7
1999-09-21 20:46:59+00:00,,,,,,,,,,,,,0.2989413610959823,3.888220770992511,3.211645054422155,4.717825244087095,-3.7338565985493526,-5.413267789900732,-3.8178342578064415,1.6025095917104024,4.389145244231637,-0.3115989193157609,-2.995457962960155,-3.3777308514320854,-3.5991914626555737,-2.3822578238576497,,,-2.1368075135499534,11.119784717727208,9.853076725525437,8.920195984924359,8.810240873860703,9.584476232846942,1.3676051888374026,-6.110141025703103,-2.859052186210681,-1.998328819997082,-4.527261464360397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-23 20:46:55+00:00,2.3882542330422165,-0.4689119052878266,3.0258120802219657,-3.846643883297869,-8.969084341362326,-11.4763930558123,-7.249450795392272,-0.012492327471423,3.1010301600663106,3.98432097915895,5.095742493173948,9.926070814317772,12.573624570659724,15.443999220495291,15.010817472739427,11.319943542246657,9.768546384775808,8.73539697837253,9.54372804666451,14.046408997063583,5.259237099756748,,,-10.018173269600076,-8.459745005778474,-10.40936422305004,,,,16.237579349575434,18.6546419210016,18.999268902761447,17.23444072193509,9.051277065181344,-4.347981093494502,-5.801500474081705,-2.5066283368559907,0.1686442922767,2.086847693893512,-1.2737888780724842,5.7867884981952376,9.331389223290955,8.051637752587423,5.495353162644286,7.21990393217888,5.735373440637282,3.814579051241667,-0.8846461599940856,-3.093006901528568,-4.058290382506151,-3.046123915619788,-4.556490393813817,5.898476398063951,9.838232304626178,15.35472206185261,,,-1.1828940310309175,-4.184430364625438,-0.4533459803939421,3.0514926072697053,3.531982503864327,2.219688101527624,1.4406750092557112,-0.2257022029579635,1.6015952439161123,5.708517698644214,6.521224430796088,9.247713385377397,L7
1999-11-24 20:46:49+00:00,0.1220047670299829,-3.867440018880672,,,,,,,,,-3.4803532731467084,-1.490183264465827,0.3892754771027981,3.91366685493186,4.283535217088293,6.573824049495537,1.2792331119982756,0.90726478390898,2.696096961225752,7.404459761172557,0.4106885278002282,-13.066196473979552,-12.88965522268884,-11.549997508993169,-12.050686496287156,-11.734039531014728,,,,9.561556353044228,11.636152557971656,11.726983926817551,11.577755490258854,10.33870683736071,0.3886333568832053,1.6400424900209152,10.487044290594172,13.981076922011296,16.699347647156262,4.518488678671635,2.480347460968664,-0.4122308021036451,-4.896572606889617,-8.49951779638855,-2.844912646649889,-1.3031196305856023,-2.259557034992448,-3.723430561666204,-4.246383956888847,,-26.17772521803289,,,,11.871747797431611,,,-13.697763645965903,-16.065145882893322,-2.3497474116955948,-1.6501645386219788,-2.110569263131979,1.6497446556631346,0.5950460763484794,-1.0063880030848598,0.3952996667062759,1.1892087478450124,2.0526912561427286,-2.758681770318246,L7
2000-01-11 20:46:54+00:00,,,,,,,,,,,,,,,,,,-4.1483271975097455,-0.5663014340126594,5.284228544571028,,,,-13.794634025829405,-13.382268378582012,-14.574887306642358,,,,8.627794650081107,10.739431382683174,7.915163875468828,7.700233805339741,8.42496326406232,-2.524940225111866,-10.688915041758944,-6.656090768589859,-3.939643565095716,-3.7374069885832633,-16.87182485018027,-18.04053010734096,-18.21525295282595,,,,,-26.2123648837902,,-12.930888120896793,-14.274911381577963,-24.68996421659552,,,,,,,,-25.072530017627564,,,-0.1488400102964836,-0.9156113104856576,0.0475810257078278,-3.5586879096569835,-2.342734291205373,-0.6955683248450114,0.1853622586009211,1.854158859327757,L7
2000-01-27 20:46:52+00:00,-1.9326337223834864,-1.998069621783252,-0.3774976445892914,-3.0198593560998974,-8.899046024915174,-10.830838638167156,-6.432331247394882,-4.531696251860696,0.4539023673914155,6.188749378746324,8.604398955376984,6.790881986543531,6.631917601479037,9.206324646318164,8.600171276672484,10.030353944018904,6.486651227093412,6.289998786459832,7.991852693716256,12.137521839302806,13.624979070352236,,,-14.910498545440554,-18.05105569956628,-9.469157216326122,,,,6.803463228201982,12.507497164979146,11.684043768325344,10.390840819181074,10.092707339235549,6.643586422063675,4.243780082734136,4.608089117528459,4.377034741580947,2.326967503101566,-5.0513331579097125,1.9926201492540128,7.495295917237336,7.90325534153219,7.105484659414315,9.292663110337454,8.921284650173927,7.263284225153561,5.697302401619821,0.1580930442745626,-0.809334941507239,-5.150396251056431,-6.970791446771504,7.657857277468208,12.248603919903898,,,,0.0744723206967448,-2.7913650498890754,5.372137681629691,9.411046638175554,7.90654118364762,2.46048965514833,-6.30711921342537,-6.569091581428769,-3.5879657862021914,-0.1378290441108401,1.926575360858725,4.875090491255367,L7
