dates,oahu0065_0001,oahu0065_0002,oahu0065_0003,oahu0065_0004,oahu0065_0005,oahu0065_0006,oahu0065_0007,oahu0065_0008,oahu0065_0009,oahu0065_0010,oahu0065_0011,oahu0065_0012,oahu0065_0013,oahu0065_0014,oahu0065_0015,oahu0065_0016,oahu0065_0017,oahu0065_0018,oahu0065_0019,oahu0065_0020,oahu0065_0021,oahu0065_0022,oahu0065_0023,oahu0065_0024,oahu0065_0025,oahu0065_0026,oahu0065_0027,oahu0065_0028,oahu0065_0029,oahu0065_0030,oahu0065_0031,oahu0065_0032,oahu0065_0033,oahu0065_0034,oahu0065_0035,oahu0065_0036,oahu0065_0037,oahu0065_0038,oahu0065_0039,oahu0065_0040,oahu0065_0041,oahu0065_0042,oahu0065_0043,oahu0065_0044,oahu0065_0045,oahu0065_0046,oahu0065_0047,oahu0065_0048,oahu0065_0049,oahu0065_0050,oahu0065_0051,oahu0065_0052,oahu0065_0053,oahu0065_0054,oahu0065_0055,oahu0065_0056,oahu0065_0057,oahu0065_0058,oahu0065_0059,oahu0065_0060,oahu0065_0061,oahu0065_0062,oahu0065_0063,oahu0065_0064,oahu0065_0065,oahu0065_0066,oahu0065_0067,oahu0065_0068,oahu0065_0069,oahu0065_0070,oahu0065_0071,oahu0065_0072,oahu0065_0073,oahu0065_0074,oahu0065_0075,oahu0065_0076,oahu0065_0077,oahu0065_0078,oahu0065_0079,oahu0065_0080,oahu0065_0081,oahu0065_0082,oahu0065_0083,oahu0065_0084,oahu0065_0085,oahu0065_0086,oahu0065_0087,oahu0065_0088,oahu0065_0089,oahu0065_0090,oahu0065_0091,oahu0065_0092,oahu0065_0093,oahu0065_0094,satname
1999-07-03 20:46:48+00:00,14.822252357627509,19.45253600662106,21.47571698416748,19.23828739198472,22.314763478149903,16.44726704298273,13.901440253896816,11.26892543331173,-2.404278259698697,-32.22704825659599,-16.845067670570746,-4.3000391322099984,6.842881307157196,5.422272246522844,2.5999103793868112,3.026089577379953,6.700915920835887,10.20910129671669,9.690459960122787,9.835409871647157,3.353116776547207,0.8772811064204646,10.124679307208709,13.77959998552164,16.786635596050743,6.823234471511293,5.897893188587341,5.95845977484524,8.594050045206815,7.077741646877227,0.0876609729322877,-2.9634388236123823,-7.664160823183684,0.5156896244352025,12.114795616234716,8.708581830376861,9.94991356716982,1.70743515749682,-3.882413240087903,-4.561396772243568,-2.986385484889473,3.782156436202327,5.911564662776923,6.146179631406951,3.93404448325056,5.031058102059136,6.241351759202988,-6.246452795561428,-8.02712802069056,-6.400086452016884,-8.855589402433495,-8.327486773978553,-4.846623214834928,-5.624733372449663,-5.369220152948443,-4.953865735092566,0.6369203301653876,-0.308732396244445,-2.3842630614730176,-1.7024866593487051,0.9079558086596952,-0.3772576264005491,-5.210630917764765,-2.179649797973747,-13.99269742920199,-12.984290740669678,-15.64271513944974,-18.73354659486896,-13.978184753252132,-12.143627502056654,-9.490948158234016,-13.0172328077533,-14.101147967304517,-11.517308324662592,-10.237492303951152,-7.763512728468335,-11.139100167190566,-10.097802414039908,-11.309588435869882,-15.340908020978633,-14.01154577071814,-14.729902236577107,-14.34217913944016,-8.424770192122121,-5.996324547147771,-4.244028414029678,-6.451448925922199,-14.11214934266184,-14.125191877899557,-10.8738705620738,-6.06965233319931,-6.130824052067689,-6.305182677354742,-6.334979170968119,L7
1999-08-20 20:46:55+00:00,9.893769730345406,14.218776364298709,17.51103313860816,16.144094378181,18.179645215492204,8.930450828060543,8.589737125862383,6.784172642354005,-2.737162486454494,-26.30453991472974,-13.98542976038414,-3.9391748832049895,5.948732180508218,3.081425466435328,2.9244193940804,3.7481359313032536,4.674354266067998,8.878097629898152,6.162850364532098,4.609984664812942,-1.955294810533372,-4.096228129349057,8.302865654324325,10.382032908443623,7.937183018116803,0.5781786834478575,0.0563626709789184,1.7086236248489417,5.630783020771895,4.892517228529177,-2.466640407856775,-4.623555250486543,-9.227436775710425,-1.071721040875323,6.95660631862028,1.7778932430297514,2.567582754817405,-2.732732074501248,-5.907326591925678,-7.730038504084176,-6.387520180401829,-0.4293741659356751,0.9210247787382512,-2.12755598236277,-5.494959333634357,-5.024512437789159,-5.0446872537413165,-1.5461531003582472,-3.149608829479023,-2.4434191892014496,-8.161686587898988,-8.417864815014171,-8.797593109992013,-7.847868487667707,-7.385981225444386,-6.378538667724143,-0.0927869316762282,-3.071582524749095,-4.211717450327763,-5.090414871884576,-3.281813127693709,-6.24956272435292,-7.827480371299961,-4.742921413937468,-14.932688767952689,-14.03647109283737,-16.55728227871594,-15.590115988944444,-11.764091310556935,-9.924619011138686,-7.677900382117466,-7.793982458469728,-10.766775242946755,-8.514054707412686,-9.492503850979263,-8.274814346301598,-10.796668741493766,-7.691659386473402,-7.081238220078696,-11.100332987641137,-12.44717819958112,-13.234196630182556,-11.413175401787797,-5.872654982698632,-3.797417926612125,-2.1413865253523525,-2.1931489129299147,-11.918713711260247,-11.244788282297518,-9.583772728275836,-1.0951577274883932,-3.57105528907117,-3.515738241665997,-3.183105631775012,L7
1999-09-05 20:46:59+00:00,1.4461651612229285,6.373556931972173,8.25940762303322,3.247856119646787,8.341419967506853,1.1376140940816095,0.2612572283909893,0.6793382776951893,-5.469771719304588,-27.240781164367505,-16.94006108021367,,,-1.998808796338664,-3.200292802003373,-2.562938951399897,-5.310334215769907,-0.2492284720860071,1.3735534893192305,3.0212008255765346,-2.101507895990971,-5.621102573331806,3.89387790395614,7.314238893712775,4.767587182820333,-3.806228791583005,-4.633589958988914,-2.7682785122899736,-1.5438046121177786,-2.338134486948628,-12.293112536417194,-14.738902432113044,-20.28541739454404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-21 20:46:59+00:00,-1.6317850819405422,-0.5884420846579957,0.7753978685060263,-2.7560725547743714,-0.082113744338612,-6.765420560381934,-7.327203268606889,-7.964985872713226,-15.669016652464023,-34.31615585244752,-29.364932055106177,,,-13.430385208410398,-16.068899947940768,-12.506397049477592,-10.826033399267034,-8.580086335986584,-6.765228585198374,-3.6235044975101625,-9.99581375812227,-13.909267082954944,,3.632659419431023,5.819585462035646,-2.84073271952243,-7.283718618733951,-9.098950365268587,-7.531437853602691,-7.532786271865538,-12.747624503005111,-14.100832223690317,-18.457038987872405,-11.75032837103416,-3.0911286525236923,-8.445013249225655,-8.85812642504271,-13.213866873806388,-14.782597416297303,-15.871934724144737,-15.941344110485696,-10.378275063301052,-9.757640420057536,-13.808577073844504,-20.312583947674664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-08 20:46:58+00:00,,,,,,,,,,,,,,,,-17.35049896756117,-10.586902080733545,2.2102633274259063,2.6968128661886794,4.832162796427871,-1.0895088497895935,-3.293432082250459,-1.06508296601757,,,-11.388842467276302,-8.333310767301878,-3.7222590178274553,1.5913455750483136,2.654267244652216,-3.4251939994988536,-4.040448185901141,-6.09957348342394,-1.1229814463672996,4.020669907996118,,,,,,-12.25459826401544,-6.786864105805536,-7.49125273030109,-9.137983014585595,-12.414596826121969,-12.187133956669443,-12.652686287014332,-10.445914441473914,-5.837214387711512,1.0339885986112458,-1.6028141645549725,-1.8869736831660848,-4.243312382192242,-4.274028313872805,-4.388979405187804,-4.66393574658345,-0.6313689767386863,-1.7982504426452084,-1.862546820627228,0.1846231639409066,2.2768541342390822,2.2788782300239863,-4.473693435839762,-2.0076332490243463,-14.017440746016106,-16.54951794755089,-19.332899295382298,-20.75717647955179,-21.32271535070112,-21.38775199035269,-18.953542132973247,-26.192625217133426,-31.182171120313352,-35.321346302939176,-25.4332835822565,-22.627457845047708,-24.53259276217264,-22.200705247912293,-24.019692977647,-31.95088515792241,-34.03451499336569,-36.08466392624115,-26.64826468668907,-25.61806679530477,-23.81577118515117,-22.865136467308893,-25.65496954190317,-21.09733204091116,-19.285612826979413,-16.378298298418457,-4.5754997389855925,-4.0644259511712,-3.351705083350581,-4.303457784301021,L7
1999-11-24 20:46:49+00:00,16.902175944980613,21.79644563207141,,,11.429572807070375,5.060958026634492,5.586685623763402,5.67826734543412,-6.568053055257709,-34.38192605601228,-21.260060745128424,-10.502718455530465,3.942853942496917,2.590130798353985,3.109915106543736,5.288721361981335,7.807182448150604,13.22404989493498,13.20546241940399,11.759632168322335,7.360657896446979,4.028051401831369,,,,,,,,,,,,,,,,,,,,,,,,,2.995886629417625,6.09348226003452,7.18703775263841,1.6756773773368916,-4.083278698272475,-4.72055698277371,-7.811039067799244,-9.990115016628744,-10.032538865227938,-10.475276407402896,-4.064157612263443,-2.4911996435832564,-2.6581077792735943,-0.3672251428237278,1.6810767097170578,-0.0577835009520393,-5.449737559996249,-3.7657434990012417,-14.805395717208889,-16.829931813088265,-19.614423223854395,-18.28559994672731,-16.041940247772807,-14.697991056579188,-13.279403989170593,-13.357159893929207,-13.87557988755308,-11.55912722397659,-11.621604359405044,-9.846837802202362,-14.171430100190957,-10.745602907512454,-9.89208867462127,-13.60263543358742,-14.894292908777308,-14.916584642006692,-16.09065719196268,-8.895759335467986,-7.364156412850438,-6.538073455182147,-16.084092206507986,-13.977640869423697,-11.607725759563609,-9.867816989522447,-0.2711331510865908,-2.012433314627142,-1.8020654917732937,-3.8538183594075246,L7
2000-01-27 20:46:52+00:00,18.432009065931368,24.639650037911387,24.568294580642068,22.35479710489549,27.26162386806332,20.03518839871063,13.751000980457988,0.5747149438503919,-13.70322427196631,,-30.20290285231239,-20.768530363107445,-5.761538642083464,,,,,,,9.74337316371031,6.790125323059463,1.995454204742031,11.516847924475526,16.18895201759492,22.17881206768305,12.767098497718482,11.88296593400008,10.380547136313666,9.4209137957497,4.799953858057748,-0.9609875229026212,1.062237277847461,-2.036061266137984,0.4398281615480515,6.637492689885154,-4.142905995545369,-6.776974449170286,-10.97063683914993,-13.54057804622592,-11.37919345146693,-7.819516064466964,-2.535271520851197,5.910816361489773,6.770269759287793,7.872983095262201,10.306791284785731,11.937223469585591,9.281730188924758,3.3318813130664804,-2.246325636808593,-14.367782242800828,-12.349695181131024,-17.918131714282403,-19.62364189310023,-18.19692049568614,-23.22623583085089,-17.923151974481122,-19.34318624789244,-23.12868716391436,,,,-14.438893865230405,-11.36948427481478,-21.50147497879525,-20.543160562018308,-23.305482658977,-22.97025657201905,-17.474667962593635,-12.611497385395344,-10.958900302337671,-10.368620081916202,-11.876920505362577,-11.24890387163665,-11.884770812331364,-14.949405101969836,-18.75388937453609,-21.623584410684977,-21.889216150635548,-27.957956402505552,-33.64603009716251,-31.75669948643658,-22.28901007068714,-21.17456230012218,-19.663964902332907,-19.758055720938405,-18.69823524220033,-24.771360596849924,-23.15830768044721,-20.922550638865907,-16.948696964917495,-18.040221857800635,,,L7
2000-02-12 20:46:47+00:00,17.052537767574997,21.78762303942951,23.872630189350115,23.205800544880983,26.74258210994062,19.84341018638785,19.293212146654028,16.15400616675177,2.475064828830679,-27.84521649242164,-11.771682248987643,-0.666870721752457,7.84633938475686,4.7775662800280525,3.1317267423209256,3.545156494108752,4.937937349676982,10.988850744127774,13.137969527039331,14.353697328468552,7.625506564809797,5.22168808696709,13.566859289291084,16.56952777049412,14.891006888945729,8.840835287002268,8.97861062895641,9.09598573162079,12.826159289625355,12.32477021120736,4.426224448186117,1.971626425848203,-2.8153287581736928,4.029953902351442,14.033527203300736,9.815083168023104,9.70713216909916,5.990894794710268,3.932748739609267,2.538479793968854,-0.0104528115602709,4.635099720495594,6.665611251431633,6.254311948460128,5.448628619345321,8.259532119325337,8.655526336658317,8.729724225930848,6.539576653938669,7.380370523415534,2.6274069208277,0.2743455494719549,-1.928344245609513,-4.304120486069813,-4.123886168554955,-3.237508777515609,4.310708300547663,3.598461261250348,2.731019418022977,2.4841343201500097,4.113532103095801,0.6211777055895276,-4.981779213312271,-2.0477222726296525,-14.12572394943488,-14.899976892224991,-17.673454191837983,-16.299238228711285,-13.358076562804182,-12.65423894631498,-11.00621417386232,-10.31196173870176,-10.507512730235335,-7.913138423824831,-6.935703560522237,-5.3659839706865,-8.42506254606986,-6.656623212410835,-7.338202744729818,-10.743546572380057,-12.44774903949231,-12.72221676342195,-13.593388773103,-8.037530578108141,-6.078447236887211,-4.317121119247592,-9.292892905829625,-9.499172541868932,-6.897369911511188,-3.947673358242949,-0.24099673488563,-2.526595974203265,-3.528584213415649,-5.3048759761308375,L7
2000-02-28 20:46:42+00:00,15.949574371916398,20.26931411117173,25.597022170257347,21.6937112021408,26.78763386144525,21.00080730696148,14.63531752816996,13.525541386634298,1.77061316355443,-28.06228874910237,-14.3135581420746,-2.9227064693050275,7.839916587901842,7.919700218543732,7.164314383990283,7.959138411382287,8.822289833714493,12.79704174479805,12.41350734267908,13.35125972943164,8.581918923607411,6.714256637264184,14.03557842781012,14.286645928877112,16.104067344653608,7.957060082095903,7.830885256030439,7.725813521272838,10.626116091257764,8.628458844155684,1.6428428919935296,-0.0599115948344256,-4.059832703271885,0.8647071759739856,15.973848966682567,14.196073447594912,15.410738461309233,7.9898193430104625,-0.3811450110869828,-2.709778046239298,-4.712698141890588,0.6255670907744647,2.916187027869688,4.175998625408703,9.885919891483503,11.18106574426258,11.010476096936214,1.0719355208096553,-2.0207764021775905,0.3941206807989804,-2.0148615613755263,-3.316668154019898,,,,,,,,,,,-5.225959330276132,-3.589330365865368,-13.716842327477057,-14.234942906532794,-17.00092511631405,-15.862792073886968,-13.660592568378382,-12.01385854289989,-9.411946800327744,-9.480128960339345,-13.539295441935128,-9.285926217268472,-8.169390812216026,-5.643209836910952,-7.321734338103725,-8.721894997528986,-10.335035409551594,-13.608488923101664,-13.84444933522768,-14.24917544901114,-13.864056146726128,-8.752189770640825,-7.0264923779203405,-5.31064322075578,-9.375266095812997,-11.18112749076374,-9.118523572246747,-6.8260821150424364,-2.775408904729093,-3.509657139272929,-2.4368760000955856,-3.3172301670301723,L7
2000-03-15 20:46:37+00:00,,25.17416621798531,28.93655676699126,26.762662405781377,31.36853752423173,24.1734363395753,16.430577376596798,15.318610411774063,4.628195222846787,-25.24869326859484,-10.87152172032996,0.1500780790989946,14.011115708400393,11.785757784157145,8.74643717292196,8.75099409364718,8.320196831588822,13.859813080037071,14.086582899559511,16.65383337104829,10.2160495231657,7.730484669821406,14.98458242797278,15.316897536522484,21.528265766993897,11.787393972239975,9.36783122008608,10.118156376194523,12.867605102083276,12.501744461285329,4.292640336718309,1.2493598829417345,-3.523010810011531,2.1384784360835694,13.005325901250648,9.40853116449051,12.165068199191358,8.013286191033096,3.926387834270764,0.7517974156193539,-2.145485879530641,3.039281626471023,9.18314392204074,8.062432413854365,7.811854519959724,10.717519963479525,11.75000238682468,8.508793351856438,-0.8666794486587701,1.5011956279507448,-1.8604845997682893,-1.9042150679719327,-3.0333704987666934,-2.3285837468597266,-2.514966566172152,-1.0560173250084075,5.427684820857623,4.715581525092965,3.3322310452870387,2.859997228552335,4.5065492749678775,3.643426797589252,-2.530968390205448,0.4157781988762579,-10.389043422929593,-11.40795761616186,-13.524323005166938,-15.05143574492618,-11.513451128791562,-9.416290368678236,-6.392923223372141,-9.070720277870777,-9.83826998492822,-7.561441297195612,-5.828060346014194,-3.15218547119529,-5.736191499445427,-8.612618620006435,-10.19824965348374,-14.037616323141318,-15.505378196833377,-14.578120231825327,-15.695987996865842,-9.849416846992746,-8.24175543274261,-6.483808835659339,-7.172442227428543,-12.316697313470844,-11.127263397275623,-9.35887244922646,-4.427324287215136,-4.66135273734899,-4.473973945001983,-5.801196652187905,L7
