dates,oahu0058_0001,oahu0058_0002,oahu0058_0003,oahu0058_0004,oahu0058_0005,oahu0058_0006,oahu0058_0007,oahu0058_0008,oahu0058_0009,oahu0058_0010,oahu0058_0011,oahu0058_0012,oahu0058_0013,oahu0058_0014,oahu0058_0015,oahu0058_0016,oahu0058_0017,oahu0058_0018,oahu0058_0019,oahu0058_0020,oahu0058_0021,oahu0058_0022,oahu0058_0023,satname
1991-10-09 20:18:07+00:00,-8.635501083533915,-5.931683102444266,,,,,,,,,,,,,,,,,,,,,,L5
1991-10-25 20:18:11+00:00,10.423214483816668,13.36713318961194,13.30645033663087,14.805969927433717,12.27677605245692,35.43375925091049,,17.548094308240834,15.86854138245303,14.596470649519553,13.616973670457124,14.44270609873406,,,,,,,,,4.440304594975915,10.20491764416728,20.55216299541484,L5
1991-12-12 20:18:31+00:00,5.410279745314699,8.884697498880966,10.309772752439509,10.98698983404138,3.588957596203472,23.64094929009299,20.6786338670748,15.663056346306025,12.071419071352622,6.984085456914217,5.656789655766571,,17.2594658973955,26.3939912280699,22.84151603681956,19.62810427461079,,,,,,,,L5
2000-01-27 20:46:52+00:00,18.19669087588563,22.745034620881874,21.138728072545995,22.384915398655927,11.993089985817118,29.48479444000376,32.709957853864914,27.32621847847038,27.250643034658303,29.217197062027303,29.88105443868303,28.39262520691659,27.15759213611129,27.93399633466074,23.541729311400708,18.66485004938508,16.62045412160756,10.200425168345872,15.67802054028022,14.3777371002034,10.857263537435612,18.62509400477802,27.200258300778863,L7
2000-02-12 20:46:47+00:00,20.616821976917294,24.74798953374196,28.13373178908444,,26.74997970316577,,,,35.496201928939385,34.471101489784175,34.281978806370496,33.82290505251938,33.315138177851,32.949894850959126,30.72205674548679,25.349500363027712,21.335575830940112,11.619950373229711,15.33439132027041,13.489039128076278,9.601541494020095,16.093625860282,18.12515475167455,L7
2000-05-18 20:46:08+00:00,17.637255700609465,20.28925323240469,18.17671750121807,19.66537422457445,16.433498012354324,34.06864729671034,34.625042312097655,29.47639104915162,30.75321160093724,29.58233924818527,29.47411285628818,27.054560184055784,26.193535613980995,26.654075642781127,21.89248153741858,17.19825843176126,14.910101574248566,9.040380882446188,15.360804407304355,10.94644320088535,5.154238754824806,9.550935132234402,13.563254789478938,L7
2000-09-07 20:44:48+00:00,,,1.8022740053136688,3.2547256866221765,1.9177371546977888,26.03218006470524,29.439005433701816,27.71741101563968,29.875147791275687,27.24215680953136,26.127466534855643,24.56685129946912,23.81238908177477,24.199196907336432,18.49303709318708,14.771625125814111,13.157874528247689,10.296022609244991,12.836975596324308,8.708326071435636,6.0051305398950365,10.388769178132442,12.1739300672986,L7
2000-11-10 20:44:23+00:00,,,,26.14430082558773,24.515739042616293,47.51171020666792,44.88200619433999,39.60851798672851,37.00954732824846,38.05258625571903,36.36538530707312,34.02777471534122,31.27460652123914,31.353884748466715,27.551190202508067,22.2311715292096,21.934825748239525,20.31367988413504,17.499702529091337,11.04801070558498,11.193109419918432,16.056541941245893,16.860320388214042,L7
2000-11-26 20:44:25+00:00,,22.039325763618333,23.335507315607856,23.7095136048524,23.67527001892445,37.82026687751983,35.543892481158025,33.93351798943292,33.59454207077052,36.54944273570676,34.55634231619638,32.45704612757623,30.72729237452626,29.95879093110531,26.14253007831163,21.524071188577693,18.685109676721275,14.375053971000792,20.02792972623669,21.110161393851552,,,,L7
2000-12-28 20:44:30+00:00,21.490169096235388,25.913365489580112,23.68608770020997,22.947647627544978,18.938297941225603,35.54420758086439,37.26771862462691,32.23487034716693,33.40061081774847,34.23229514663519,32.87068500602635,33.372102096811304,33.255716244476375,33.11360522162426,30.67387290294187,23.1673050073108,22.59071375512068,15.92886771666379,17.304770612223024,9.563901884517811,10.658073220132335,18.428624456851995,22.93616519844561,L7
