dates,oahu0067_0001,oahu0067_0002,oahu0067_0003,oahu0067_0004,oahu0067_0005,oahu0067_0006,oahu0067_0007,oahu0067_0008,satname
1990-08-19 20:14:00+00:00,32.70225592558068,33.06096028202514,30.713471430846628,41.116908271811546,51.71090214869438,66.75633862727425,72.37678493588362,74.37610816390401,L5
1990-09-20 20:13:50+00:00,29.07069248553548,27.603763806626866,27.70650867736542,37.73867129995869,47.375450099557,63.793554403724215,68.99487629896092,70.8079964918673,L5
1991-10-09 20:18:07+00:00,,,,,,,59.58892484687089,58.29783157773614,L5
1991-10-25 20:18:11+00:00,,,,23.13598842181532,33.22299539856036,,66.30799818495528,66.23787141169161,L5
1991-11-10 20:18:16+00:00,,,,,31.839576796930505,53.17075122863159,61.42859914502803,61.22922084265454,L5
1991-11-26 20:18:23+00:00,,,,,,,60.00196537609112,59.26444762989343,L5
1999-07-03 20:46:48+00:00,11.78364321236596,15.80788031273233,22.73504638244663,36.351909861239626,46.43687593236584,56.66899944751887,64.66174632034215,63.924433609000175,L7
1999-09-05 20:46:59+00:00,19.32386824753332,23.30977268116368,29.26459759991585,37.60849861127984,44.82389307961924,53.15313756255634,60.63497848041213,63.15634586986077,L7
1999-10-23 20:46:55+00:00,,,,,48.88793568586665,,73.55406201848352,73.9672210085703,L7
1999-11-08 20:46:58+00:00,,,11.910465675517749,23.214392780430952,35.044639284955984,56.5245549901423,63.27276617396222,62.91886565843722,L7
1999-11-24 20:46:49+00:00,,,,27.141781901609107,39.54298260345944,52.42441278685584,62.06582526646285,62.9862982924646,L7
2000-01-11 20:46:54+00:00,,,,27.59561532259833,,,67.00216024168569,65.76077837043587,L7
2000-01-27 20:46:52+00:00,,,26.553954433104327,32.12813812014436,41.75274362218392,53.56675038463409,69.13926306449346,68.39894253264805,L7
2000-02-12 20:46:47+00:00,,,,28.9901353005093,45.03089687407763,62.6738858711359,68.21322050817122,66.88458307083619,L7
2000-02-28 20:46:42+00:00,33.01760544878928,38.05818598006295,39.66111538901929,45.23338868423309,56.59027386957145,70.5107218435494,76.53422555989629,80.21880857266102,L7
2000-03-15 20:46:37+00:00,24.42554761662021,26.315078229182088,26.196337837886954,37.176864444628215,47.557738455623685,60.25732317169978,68.70725646182134,68.67425437899382,L7
2000-06-03 20:45:56+00:00,16.794925024158687,20.45901679005947,21.89268672564977,33.11622183772249,40.81431209916813,50.59078238257112,60.956197962997045,60.8981148837844,L7
2000-06-19 20:45:53+00:00,8.629196108478872,13.685511028292623,19.373227826880683,33.530169151783575,43.04699875627439,52.25079154317063,60.13092928756092,60.97152142297463,L7
2000-09-07 20:44:48+00:00,21.53120366433392,26.38269493927767,22.81861742384168,32.7446458254437,42.46685044424355,54.95469373019503,59.90235909926535,62.34679755466242,L7
2000-10-25 20:44:20+00:00,,,,34.74059023820215,49.49650858318614,63.34086087895879,70.17731515267509,68.55386289283528,L7
2000-11-10 20:44:23+00:00,,,23.351375274767687,29.954353122607856,41.65504467626095,60.86695668799494,68.16603475317271,,L7
2000-11-26 20:44:25+00:00,,,21.802798056177483,30.601257010733207,39.824184299990506,,70.68608841871584,71.10306453188574,L7
2001-01-13 20:44:32+00:00,,,,,,,,60.40470697061455,L7
2001-02-14 20:44:29+00:00,,,,,,,,,L7
2001-03-18 20:44:17+00:00,19.150169674828344,22.8694872851538,24.737618991534376,35.915630075197654,48.60493148082199,61.08029380553803,69.0264348105964,70.1819748048391,L7
2001-04-03 20:44:06+00:00,,,22.08010192682717,33.12251819153468,43.50397629846633,58.18281005611415,70.44934352018349,70.6048976601232,L7
2001-04-19 20:44:10+00:00,17.129525408569673,21.654522064440915,28.2443749646099,,48.12976896683172,65.38605561688459,72.60222928779731,72.44648320040099,L7
2001-07-24 20:43:19+00:00,17.748025136478166,20.15326573460935,23.64943170343528,33.91481084121203,46.74991465965164,58.00967739605333,64.62451435046385,64.38444997066222,L7
2001-09-10 20:42:38+00:00,16.314926344308734,21.78264912946613,28.81155320635158,33.08627072210356,41.0080127422274,52.81461548386603,61.81741442774704,61.44679965081492,L7
2001-10-12 20:42:13+00:00,22.618779846183056,23.67981648955525,25.369449266904,35.95740363054159,48.97188540176693,60.27973545134191,68.6103878079391,70.64632778490628,L7
2001-10-28 20:42:21+00:00,,11.140168589575737,18.222418980572552,33.58070025683972,42.12962623570826,60.49957912831228,69.34976370403972,70.8183257668134,L7
2001-11-29 20:42:36+00:00,,,15.429555481287183,27.448124394974105,39.31531379981233,59.60976645244239,64.73822487225519,64.45496260272847,L7
2001-12-31 20:42:36+00:00,,,,21.171936784888697,,,,60.08774256122304,L7
2002-01-16 20:42:50+00:00,,,,26.9035444872724,42.57871594064553,53.13559616504075,62.94127835676729,62.65998428849135,L7
2002-02-01 20:42:53+00:00,,,19.78363394821677,27.04574603756371,38.79996833281712,51.59444584115869,61.582181995207215,,L7
2002-02-17 20:42:54+00:00,,,,,,,46.68785992458801,44.71804479837658,L7
2002-03-05 20:42:58+00:00,17.34771639827247,21.68767485686362,25.73917550863084,34.07169520717632,42.3115503628886,54.770933541090336,64.55370227139962,64.15541856814335,L7
2002-03-21 20:42:50+00:00,,,20.824802438785724,31.01182303147456,47.2267517629289,58.9725951265204,66.60294488076768,64.8412398324036,L7
2002-04-22 20:42:49+00:00,14.532745306592464,14.739325088892873,22.73029838285893,33.856602157572425,47.82026822083948,56.28641639800652,62.9623465933971,60.58034299122242,L7
2002-06-25 20:42:29+00:00,9.525758024191356,14.867114774513364,23.520532440276146,35.30295313154968,48.34175311405408,60.076053676910185,66.69349104840927,64.49397699551552,L7
2002-07-11 20:42:27+00:00,,12.209404177218236,18.44093213574845,28.65989831962179,42.00460734670187,59.0327545792856,67.44185398482024,67.4479529416658,L7
2002-07-27 20:42:18+00:00,21.88857247610428,10.619620901680516,20.39880579930952,30.42928433065541,42.088226615431005,54.25207680599457,62.184425317415965,61.47918537798751,L7
2002-08-28 20:42:02+00:00,7.454794503885395,13.394714675007556,17.767413599825492,28.1689462389753,38.40155146913325,48.16644306570669,53.586374925552896,54.23932378109224,L7
2002-09-13 20:41:56+00:00,16.606754875089905,21.341699267321115,26.628397873154608,36.37768361165369,44.34833361901556,52.08136350226938,58.84738022917897,60.92556154080642,L7
2002-11-16 20:42:04+00:00,,,,,,,,,L7
2002-12-18 20:42:19+00:00,,,,25.43773449198985,,,64.8269611223993,65.81180632659556,L7
2003-02-04 20:42:40+00:00,8.683703933034476,12.734348648844454,17.084207438271378,21.558729452792427,27.95227679373681,35.2516259135048,,,L7
2003-04-25 20:42:48+00:00,,,,,,,60.26075833933572,58.87042460751981,L7
2003-05-11 20:42:47+00:00,6.103696393546745,11.410135879750383,17.57493935259168,28.13096544781984,42.3677306505557,56.04987431952488,62.07330467903477,61.45043011147495,L7
2003-05-27 20:42:45+00:00,11.168988751532464,17.010465585641672,24.77447338775456,35.44160931730886,47.50931800833523,55.52320688553077,61.14346017006218,62.70995313436647,L7
2003-07-30 20:42:30+00:00,,,,,,,,,L7
2003-08-15 20:42:28+00:00,9.070314975213693,12.779635537621132,21.011865917772223,33.87820015771375,43.81452044956548,52.85846685886181,60.55723054940391,61.50470106062652,L7
2003-10-02 20:42:13+00:00,,,,,,,,,L7
2003-11-03 20:42:27+00:00,39.49863476955085,41.77074018073246,46.40355596708528,,,,,,L7
2003-12-05 20:42:45+00:00,,,,34.67276018672522,47.68195850725018,61.18082394164957,67.32141312187946,67.37823884314841,L7
2004-01-06 20:42:58+00:00,,,,,,,,,L7
2004-01-22 20:43:05+00:00,31.248139032424632,38.33832087100275,49.75575356398527,,,,,,L7
2004-02-07 20:43:10+00:00,,,,,,,,,L7
