dates,oahu0045_0001,oahu0045_0002,oahu0045_0003,oahu0045_0004,oahu0045_0005,oahu0045_0006,oahu0045_0007,oahu0045_0008,oahu0045_0009,oahu0045_0010,oahu0045_0011,oahu0045_0012,oahu0045_0013,oahu0045_0014,oahu0045_0015,oahu0045_0016,oahu0045_0017,oahu0045_0018,oahu0045_0019,oahu0045_0020,oahu0045_0021,oahu0045_0022,oahu0045_0023,oahu0045_0024,satname
1991-12-28 20:18:23+00:00,,,,,,,,,,,,-5.874124305357937,-0.9790994426271676,1.4902646126013783,-3.887941654974479,-16.241598501874126,,,-16.192180273951994,-13.671977076170505,,,,,L5
1999-08-20 20:46:55+00:00,9.077302375149776,22.439172229670287,37.15495731674434,51.26935271303928,60.403973046477255,70.73923551987463,78.58073737336869,76.27103933005077,72.01096035187282,71.72917817322666,72.68644466423038,76.74136322265363,81.66665110390778,78.68701522125365,78.67405608963645,76.5681248305227,68.03859155629893,59.52017141427459,64.30613451861278,61.54492276613495,58.29024426324708,58.761715727095655,49.68162412836008,28.15274415639475,L7
1999-11-24 20:46:49+00:00,3.204474598070557,16.442648692793085,23.43115368741089,22.69062615833605,34.44132532725745,40.202597238826655,54.34411411320373,56.08609405924515,48.783900731539,48.93684196863715,53.62394024955466,49.12835210262231,49.14267418771595,43.370639832498505,43.31270127855206,46.38622361773569,44.55162927698513,43.70669492283157,44.7277418765315,44.85269221604724,37.70339218050896,34.88188802484118,35.3180074828757,,L7
2000-02-12 20:46:47+00:00,15.529143168999257,18.1460862783321,22.51938793214476,25.360419990968936,31.53453991274774,41.193334929746406,54.31423333342912,46.5345383780474,41.73562161988018,40.586972687514745,43.79468009680749,39.20195262384559,30.86377222434822,33.33679926088145,37.89331705138282,35.10982183578187,35.23992624408253,37.35757722882403,42.384126526340495,48.68894164876519,49.838734934759465,50.33170937485525,53.43635676555943,31.04606530758239,L7
2000-06-03 20:45:56+00:00,7.138376716487421,20.14619789913992,32.57821995143314,44.47825138862382,49.69171605177816,59.08349943346104,64.1701118210763,58.672316870453386,53.99770462792256,52.181362878951305,57.215727309330674,52.82164622777845,46.10702168486141,41.761821089334575,37.55998317850815,34.04428208203343,31.38095770036429,23.96311774409854,25.834644162295977,25.543295194856643,23.251232297721376,24.75460082999015,33.5007732458573,27.372749818345216,L7
2000-06-19 20:45:53+00:00,3.079362849262581,13.629740968615533,22.554505525352365,33.73975875496845,44.98080892618589,49.28472879518459,56.36774222535148,54.129043273354,51.21834923286393,47.34187073199614,48.68968829858328,41.44720853922425,40.42721320662839,37.79281081003486,36.75723142621323,32.88977594652028,26.77014209698573,20.15516460412356,22.655199869470927,20.53780623047258,20.493347184331046,17.03327650370794,20.88142556906913,15.46168794610418,L7
2000-09-23 20:44:31+00:00,24.68154079888571,44.3339273185956,54.659930464265045,63.26912042739491,70.92702982521503,77.78470483342264,84.70163036861393,82.45831729025409,82.29055291897997,81.44410231532663,81.94626936518056,80.88170354852966,74.90170860344783,70.08141268052695,57.78895414525991,54.95435541517931,49.46652957684056,45.81131930622208,43.7547356685535,43.19783884801303,37.59649439767978,37.12450609596938,34.86890216343291,25.147080222228112,L7
2000-11-10 20:44:23+00:00,11.3128378685364,33.39823757447881,45.24598652238912,56.45447265049905,63.21008180335724,71.76634489214715,79.81111681469946,74.26619768614756,70.27156856625695,72.87185400099554,71.27741557248538,73.29485934507002,67.24462223847509,67.62472607132588,71.87937931767785,72.19528733517626,71.40718191505671,68.95783745350869,66.08995160615908,62.239849861944975,59.43406872934699,48.62784055371908,45.21544989751084,28.29679317937429,L7
2000-12-28 20:44:30+00:00,28.2960164178214,28.59795739262925,38.12448954821512,47.14592020919563,51.94266780019442,60.6058811587916,66.42184472715522,63.5988153858549,58.67283512295568,59.51555771846427,60.084854480227314,57.03475162662908,55.549941391574514,54.96453366421485,52.88738433683442,57.66446800498371,56.34661958525772,52.71158258008491,59.62525716185305,58.26910883177941,59.018065650778574,57.69176856172506,54.78159367749157,29.787190031549382,L7
2001-02-14 20:44:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-18 20:44:17+00:00,,,,,,,,,,,61.84344049144725,59.44077200447269,52.82543968158623,41.40453194920942,44.557563740285104,42.34844053137007,39.2966804333339,37.85812446811686,35.57709585736564,37.27246624470296,31.122664772237265,26.80182749524043,28.98513562383937,18.98364566668284,L7
2001-09-10 20:42:38+00:00,11.868728126394858,28.125984897680947,52.40584378450742,65.78630579043076,78.07622248418535,82.15435709398135,95.93487118964676,90.6849456855672,84.37769823823737,84.25149914552618,86.85899971165382,81.64714591634058,80.94255920287739,73.08130801326828,72.81473250297627,66.04400488291847,66.31150998177151,60.03311719371771,60.83855952198365,60.209084327860985,56.244522152493,48.85134998564306,47.59612575445413,29.689662353027856,L7
2001-09-26 20:42:29+00:00,1.6200344593247906,17.665478513708383,36.49041539974525,52.76826992526173,65.0913320907885,73.2414284634519,85.56757326445995,82.06064235988028,80.53374094984883,79.44353973540582,81.37098668171134,73.40115471659912,71.23352958374352,67.75052112214323,65.96339753130042,59.80001676494346,57.700551230480514,51.064289910113374,54.0188941399239,56.78293983800226,58.70350143313684,57.34228553632657,53.505025215056406,27.846395343333487,L7
2001-10-12 20:42:13+00:00,,,,49.91415123276854,58.78769454824092,70.3719564606168,81.25485987903404,78.18280574961989,70.80050948951103,68.11668738688705,69.22638629903702,70.94794874197376,67.34047955191768,64.52317320813071,64.65924542659552,58.78082643342572,52.82639306818414,46.16062835539473,44.12818066689991,46.19517683572389,43.586153528229296,45.27817137946755,43.233380132593226,31.298758095461142,L7
2001-11-29 20:42:36+00:00,6.78840402963759,19.44450113948237,28.109133095211995,40.56259649168807,48.57259064606272,47.54798347672666,54.99665078798928,49.03392760589031,48.90398384176145,47.03713663658369,49.8896583888799,45.71899146117767,44.47915105458223,43.48807952899319,46.60591828448873,50.10701771560581,50.27312740010205,51.65193232107274,60.446389903391655,62.53483625637449,59.631202175717824,56.43158326376172,54.76518260612877,32.14014505391261,L7
2001-12-31 20:42:36+00:00,0.3108691044762354,10.835529339646644,22.390230453567693,34.85127352225438,45.618910552994585,50.072365519567136,55.48368899599783,46.24431427062205,38.74644899432116,37.975883320930265,39.38509452470544,37.22510387896579,38.26660222405112,36.11888832644208,41.85940573916907,41.15506466028986,37.64894618358948,31.83502353948101,32.91201266333581,39.23267046144421,36.755036254181086,40.20621109927077,40.64059278637899,19.60444558140287,L7
2002-01-16 20:42:50+00:00,6.670336114620794,17.025133677637776,23.86750268379681,30.72136406725852,39.923420948954536,43.89970431342629,51.853966363115966,42.50130721081164,38.8527880504379,37.62601222684856,43.5172316973468,40.32510568276428,38.025602938731154,32.84320312978622,27.611133808213644,27.28355973255843,35.477732244877856,45.43988078362967,55.5747267303365,59.86181521618668,57.814392606993,51.96093424543147,42.93079334419782,22.24474743475467,L7
2002-05-24 20:42:43+00:00,9.55299969754092,19.4187480773573,29.386463439340663,41.86944415136176,51.301830595017066,58.64094295504877,64.67378226644088,68.4864756880446,66.82223119402128,70.54496185778824,73.04712700756352,62.56757693832789,56.71885909077368,49.927576529182645,45.3439093889956,43.4520064545852,39.27916251456801,37.93321882062354,39.26993087326843,43.559427871474185,40.1001021098791,41.69221768533644,41.95795457085106,28.093974559912784,L7
2002-06-09 20:42:36+00:00,3.787750520760451,17.46916801050109,29.699075469061054,45.87433703292297,53.931535235810834,62.4150914967592,68.3251750135234,65.16694492433089,59.39717028172027,57.9562995900206,61.4658139842688,57.30620438650632,52.63053303213146,55.6682272429887,56.69956563358742,54.28244950513445,54.03870597679467,52.66804985221935,56.87506572045598,58.185356121761295,59.24537982673522,56.272867624100535,50.327975227328274,27.960295915711544,L7
2002-06-25 20:42:29+00:00,2.4252782618343565,15.34336192829943,28.575354111622133,43.73768151173755,58.66991222408439,66.73231135427561,67.6287297770756,62.74568837061784,57.82314521234049,64.68899990742611,67.0540409246009,63.71268482428116,56.06632503332369,49.31300540934957,41.909090528253984,39.10260509198771,36.31624190662998,36.44649439564607,34.04237252214134,37.90366822715404,34.68635908716777,31.44073114105852,31.59728582765901,15.580153631419655,L7
2002-07-11 20:42:27+00:00,3.795838208699516,19.05534828879249,32.19166417506541,51.59385392063674,59.41011557241389,66.53014021397293,70.88398826155985,68.40294013031085,60.399272717570575,64.67174733476003,64.10684862777897,60.965877491532495,,,,,,,,,,,,,L7
