dates,oahu0007_0001,oahu0007_0002,oahu0007_0003,oahu0007_0004,oahu0007_0005,oahu0007_0006,oahu0007_0007,oahu0007_0008,oahu0007_0009,oahu0007_0010,oahu0007_0011,oahu0007_0012,oahu0007_0013,oahu0007_0014,oahu0007_0015,oahu0007_0016,oahu0007_0017,oahu0007_0018,oahu0007_0019,oahu0007_0020,oahu0007_0021,oahu0007_0022,oahu0007_0023,oahu0007_0024,oahu0007_0025,oahu0007_0026,oahu0007_0027,oahu0007_0028,oahu0007_0029,oahu0007_0030,oahu0007_0031,oahu0007_0032,oahu0007_0033,oahu0007_0034,oahu0007_0035,oahu0007_0036,oahu0007_0037,oahu0007_0038,oahu0007_0039,oahu0007_0040,oahu0007_0041,oahu0007_0042,oahu0007_0043,oahu0007_0044,oahu0007_0045,oahu0007_0046,oahu0007_0047,oahu0007_0048,oahu0007_0049,oahu0007_0050,oahu0007_0051,oahu0007_0052,oahu0007_0053,oahu0007_0054,oahu0007_0055,oahu0007_0056,oahu0007_0057,oahu0007_0058,oahu0007_0059,oahu0007_0060,oahu0007_0061,oahu0007_0062,oahu0007_0063,oahu0007_0064,oahu0007_0065,oahu0007_0066,oahu0007_0067,oahu0007_0068,oahu0007_0069,oahu0007_0070,oahu0007_0071,oahu0007_0072,oahu0007_0073,oahu0007_0074,oahu0007_0075,oahu0007_0076,oahu0007_0077,oahu0007_0078,oahu0007_0079,oahu0007_0080,oahu0007_0081,oahu0007_0082,oahu0007_0083,oahu0007_0084,oahu0007_0085,oahu0007_0086,oahu0007_0087,oahu0007_0088,oahu0007_0089,oahu0007_0090,oahu0007_0091,oahu0007_0092,oahu0007_0093,oahu0007_0094,oahu0007_0095,oahu0007_0096,oahu0007_0097,oahu0007_0098,oahu0007_0099,oahu0007_0100,oahu0007_0101,oahu0007_0102,oahu0007_0103,oahu0007_0104,oahu0007_0105,oahu0007_0106,oahu0007_0107,oahu0007_0108,oahu0007_0109,oahu0007_0110,oahu0007_0111,oahu0007_0112,oahu0007_0113,oahu0007_0114,oahu0007_0115,oahu0007_0116,satname
1990-09-11 20:20:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.53962307616784,65.26193000504422,58.32239664023288,58.774093576794336,59.617475007082575,59.82420690844636,59.004165286249474,63.47989965691366,62.39855353128873,60.58012566251326,63.25968956754306,58.72150265513247,51.39921086567994,50.66090762208393,48.982235436538886,47.86713005978831,46.88405350589274,47.01430429695461,47.932388250429256,50.33037114740069,53.83773386877199,54.18502276514537,54.54540392151687,53.19093859116289,52.91592213444856,53.53500996722544,58.31226238443233,61.195928040299485,64.7552221586745,70.66344043581186,71.570178725454,70.38318886414073,63.539342703645765,55.838504131788746,51.83595867063453,50.291700492566605,54.52549963437987,48.25862762169076,47.261669340078775,51.09470658782751,,,,,,,,,,35.34351688203048,30.3615005103715,27.58126456474988,27.059917041500505,26.13646971041475,27.61120953603191,26.960844388188686,26.82104877064684,24.70352298450107,26.896573798071845,28.48163946873112,32.92395728219646,33.62133314095604,38.75768076922057,40.03229289444147,40.67093075817052,45.55560534969756,46.93638256202128,43.90149559433816,40.42228542381971,38.88261119291617,38.20454427707304,35.33097816291103,34.429742403425266,23.97847711556241,26.143361823699763,24.832583422211563,27.48529220330226,30.75223829348742,36.14944004184418,38.25279423599305,37.44280012774945,40.78232606084183,43.0719918916536,43.56365431429169,43.79821212068454,43.463276140547485,,34.67297219065242,L5
1991-10-09 20:18:07+00:00,,60.65878447470983,61.061034270287735,60.78192565489573,62.36186959948402,61.85696826027514,56.45903201160301,58.71732625927676,65.77285104938795,64.05517303722695,58.30815165962419,55.39120022602436,49.042724603281904,52.85992306984793,57.65562989044379,59.96486350928967,64.88649505680513,67.34163146527044,69.23758084372145,73.37101911589869,76.7040477590935,,88.51318923842673,64.5200585734706,62.04554819818148,60.76997914518963,59.43845860660357,59.3221891633224,63.181999398552094,55.46442890791029,47.5381721274333,49.097855108996775,42.925797009659405,45.13611588994944,44.25072379435424,46.38945024330784,48.54904336362246,45.78747885873284,49.50210322964797,49.43408309599506,45.27335573863997,40.046707087287714,40.734955912651166,40.89344699024622,39.3705396372373,38.45737234944278,36.87655639739111,37.92905336069775,44.29868687738794,44.22924855837066,44.22428633564799,43.0769812840644,42.50035126053092,43.45793152416525,50.20444355236387,54.04953070534165,58.7515105156298,59.81918770539767,58.59224305821945,55.992267768142725,48.71781252732016,42.87297296499255,38.49053808000173,35.84051464726571,33.74414430668238,30.77492588315576,30.51036160550106,34.85297884427367,32.998839042574794,31.57564166764215,33.813221207093406,37.25682185684799,,,,18.75695932625024,21.54534447258907,21.900007751670625,21.77042439665573,21.092287322925493,23.248726562051665,24.248447792478625,23.43027566456073,23.20767763117979,20.49978997137156,17.170454778372402,17.367884312198058,18.877118801335342,20.48237693882143,17.633061367496733,17.814605991152952,16.936570550074983,14.29547027353792,15.489352048450812,21.54087833635435,21.89408042200437,22.57826005181013,22.56675762564041,24.16710693929817,27.58831684067887,34.97395610096186,35.993735727750405,37.27845599849526,34.9764780976621,33.31968081361033,33.974766941211314,39.168826444696414,40.216506338700334,37.84806451716576,34.048792651823746,33.02702080556513,28.689892992694247,27.95064720730878,29.71416452253586,23.47226225385223,29.051633750692325,L5
1991-11-10 20:18:16+00:00,74.9203087417187,,,27.71283642983247,23.754573002093185,20.18903881821095,18.97248149408588,20.50609962638752,27.83892140540715,25.6129816060682,19.992704828618105,17.119076011604168,9.953318079199562,12.794881303177018,18.20581923263548,21.661451082832272,25.69663038894297,26.546759688345347,27.31596304929519,27.991323073753406,30.34380190674654,36.10880759569115,40.80206312494885,22.896944260113493,22.88125803788141,25.668357215120487,26.39158655829191,32.34713470160487,35.718450007325345,23.75627970702068,16.424143718068912,18.68025048951177,21.97771266054911,23.03176661653478,21.515768688405707,22.91759786006932,18.010002913505822,14.192219927538714,15.422326363129017,19.814594216337028,22.503175218101376,22.984519550306867,22.821844521810423,17.38581512083777,14.577375310250218,15.913943141101642,16.892004542395217,21.46304581783771,24.08163704348005,23.521403992838177,23.437440045950765,21.943761251107546,22.2531078983104,22.920124121309748,26.79469001679161,26.422711428865902,19.095362440039747,,,,,15.771338513597534,11.489312956361578,8.87456304628221,5.805276957455465,,,,,,,,,,,,,,,,,,9.21840459758193,9.943596731742982,8.588241745461186,4.089834238388846,3.927536011947422,1.347763357173517,-0.2499042649758094,1.1805430020855967,6.831415833538864,7.884007164978857,5.506372454584161,5.002129410021328,5.665328481542264,4.611271204359842,4.834370245587135,3.4725707242154025,1.902842183383659,1.647725244460256,6.889998547495181,11.91153620249914,16.1500505616686,16.86488574079781,15.832554533311542,16.034724263508988,20.38342301834765,16.901882297186305,12.559401126516974,10.422376314874668,9.745158889179487,7.994955939408766,7.882352123315402,7.884966606844291,6.136156364585569,10.787592608102578,L5
1991-12-03 20:24:42+00:00,76.69219803800677,,,35.668717545412896,30.0123673414135,27.35180802825784,25.5205155995849,29.13498206351336,36.19699398603887,30.49376526045984,22.717062821687488,16.582028019804447,10.256778185747264,17.137141113388815,17.120353028039673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.3990165971174,,,,12.936460830448814,15.838356905294184,21.041987901427248,20.354173905966377,11.598391685222015,9.844584438488717,8.231642140717586,6.78066873416977,7.954451953425818,11.539399470342772,14.904878771979496,18.43353212190662,L5
1991-12-12 20:18:31+00:00,71.14310489078187,,,30.48110279346484,30.118072123839767,22.261097833573377,19.64348662731068,23.6063737101932,30.932461146360744,29.609183921808697,23.05699935213923,19.12262967209705,14.673757881531582,16.59037819507852,21.958099926153665,25.190953417535887,27.97905849259193,27.414352223622828,27.22023286420741,30.089314822913337,31.71518609972612,38.70612844408492,44.83741059182198,25.13336399087186,23.97385282109138,24.503764394796004,24.69080471028939,25.482142937665607,33.70194908776191,24.895246716727687,18.41166485267523,20.72033532103636,19.482653498152967,19.25126251006823,18.32674307249244,24.979584207379297,25.383036654212308,21.296799987808846,24.746572182200087,27.6325796169566,28.442071652038944,26.54257843361412,26.089676061675537,23.70476998785812,22.9255494375099,23.097202556909448,23.53291634166069,23.42845613860692,25.179035807363704,24.676744549108268,24.031565538465955,22.347398501050005,22.79986664669143,21.256198066911907,22.99536526615213,21.15424379373198,,,,,,17.75396042475546,14.136310668747878,12.064037697859463,9.5575308504471,1.5124442600494503,4.991566219251935,5.193684459977582,5.0120980113475255,4.50060743404074,3.488908518146284,4.859057639075669,7.090909084337799,4.170839171956014,1.513029285723741,6.24044209597492,6.304640580953155,0.1807278188049547,-0.7384160565868763,-1.3472556171827628,3.199118288163148,10.813676672898518,12.495653346305422,11.937250002580242,11.747295703170478,8.220715930639665,7.94520517001831,7.3546968631777565,9.37579459609117,11.631615217182176,19.34402701517285,30.05918668328729,32.80471663761984,34.498067860543216,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-28 20:18:23+00:00,57.52052666801407,,,,,,,,,19.98285821318252,17.670544233764257,18.70333916704353,12.62112079589877,16.786766298093234,14.811842481930784,18.58771575714694,23.24604510597142,27.482465137997025,30.836636610034176,33.291254799101814,33.85476961806668,39.58729394132355,43.8349903927801,25.21117783399933,23.705082500754106,23.9778042511808,24.276835558546097,23.177168005595817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.033464743137458,-6.545102853767213,-8.151398106850623,-8.10282801969839,-3.647477638776156,7.045383103285869,15.674345137930036,L5
1999-08-04 20:46:58+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.211799265379035,32.0677167443233,34.45064419724409,32.964231118495924,42.62179176621599,49.67145178346918,51.09649222442962,48.61797848033209,49.602417067478434,47.314838061568246,44.287901895135214,43.47708391976576,38.23347316140556,37.65329248610132,,L7
1999-09-05 20:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,87.55397087050541,65.55658999038216,65.14654654469771,68.31318031019133,71.65305011065041,73.2521360583041,72.6025798668078,58.43417586984394,51.03861318151543,53.30365275458652,51.57022016244351,53.2973465046801,52.46586268404738,54.59299667849756,61.424064528105966,59.29875072739449,60.56959541108888,65.07571744668215,55.04087393185886,47.11728059505888,48.39139895212542,51.02549760888553,55.190546545080224,56.99424902067411,57.771097059120535,55.270861772537536,55.87767785403263,52.19497736390886,50.84318575240644,50.99102393389434,51.14715717666646,51.5763428891542,58.778844048699575,60.810534560735775,65.57742475074204,65.90730071466528,70.9398994806201,67.99218731016758,62.62891546616489,57.35133263477341,52.858545296979095,49.966462732456,,,,,,,,,,,,,,,,37.51010650126594,26.808561536830187,21.54093644165248,20.465449222978787,18.982833484770776,21.25213810656904,22.255554607534386,24.95220208745891,28.27811745707096,32.24947373310721,32.06001694749921,36.14888264041894,37.752575885922425,35.722360433892355,41.88107635756245,48.01744952872108,,50.45918384053439,49.81870621404544,47.50108961895217,45.64983210198619,42.72311509685908,33.178293679558806,25.60780556604966,24.530843743654447,23.80879376975594,33.344497054965544,40.50457108879189,42.15375556543493,40.68194388567456,38.65116574308093,37.02825124352663,31.880230519893864,30.50417641380729,30.29182176854383,33.413581308078456,39.922220782541245,L7
1999-09-12 20:53:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.01823976620314,74.14029330475894,57.17984534833116,47.40493195128155,49.35895344714704,49.094122196190526,50.71372697912815,49.74341744570211,58.56161452027253,59.26246759325238,57.44930739954098,58.0093102936514,52.32028542370901,42.63189781662712,43.27089860609165,44.9664947206226,45.672517474883705,47.33149286077843,46.204244472548766,46.02810153074517,49.25538545878454,52.024607578033525,51.08610369680397,50.63271801359699,50.47764234546957,51.28563367510244,52.58231144714279,58.165405329555966,60.33416394003365,63.23626532930645,63.50815318486879,66.40199147267695,62.609051725096,57.44024118800344,51.89592189491506,46.97857458815479,,,,53.63520918879517,,52.505446222521726,49.53663101640517,52.473781243115184,,,,,,,,50.22824137738059,34.196277335902046,25.00143386662952,21.268766348605062,20.589631449593103,19.040121497959184,20.98547691190685,19.91234786664516,21.615116588307785,23.75655700732369,28.15689566964232,28.628386202846468,32.793848455022506,35.1462010839044,34.42438739834077,41.26393098392414,46.94432077405176,44.76205460016913,40.89328338827177,40.03587529884493,37.375923883160745,33.30374169418839,26.95981330810628,15.748995549271772,18.03545908879404,17.956459296798783,24.933168097130096,31.81760264836455,39.12845140095445,39.12552651734099,36.11838996271537,34.701433447280216,32.898645366651536,32.163702311149656,30.88497989323143,33.26007355302817,28.46517496112161,33.28685051214165,L7
1999-09-21 20:46:59+00:00,,,,,,,,,22.169861072170672,21.43727032298388,29.74236730786113,27.639654083641435,22.61846161019592,26.8020353562327,32.386804235455315,36.65181055445652,45.987867285864986,44.899150984722695,42.11640679056587,36.85603449990796,35.49492651260035,40.93825866586568,43.859489365842016,24.256713373109395,37.72388837446136,42.67770205160302,47.11732717841965,52.72694559393234,53.80380541272432,44.29943013483755,40.209782830287686,41.88246410031502,43.942716362609005,45.73059062648496,44.81282796771945,48.91807592237655,44.59678760860338,40.92333420807072,42.60292299987281,45.1440924563148,47.61575223784598,45.774516931053775,43.34658391346549,42.82086195208639,40.69904309174832,36.08843749987548,34.54245866335123,37.07646317559096,39.27010284924116,38.783981905175374,36.432411001184775,35.04086814505377,36.36527038363226,37.08004690765228,42.29631049094797,45.38777879259606,50.03532849326651,56.13501619892969,60.187950246257735,56.45895016368927,49.06509018259249,40.97730928456707,36.80320831507717,34.03900412513502,36.644785274865576,32.46861388590522,39.384565142037104,42.81746858402334,42.90789303731502,47.32058791843365,48.93061090298932,,,,,48.58509345896047,44.97915739623687,41.158024397562805,32.92297013667296,28.327075637284427,25.51624549567381,24.34624792078064,25.36140222796169,25.68384740836424,22.45430234519237,22.18223332804911,21.573147701470813,20.849122721662496,19.43914654503768,23.091680095248005,28.368000196835897,28.92855174019798,27.19525385743274,30.405948001029085,33.55839803497306,39.92790255111312,39.507491157244935,38.45572795460046,29.13563468923721,24.31076674785338,23.4811603991953,17.066532634618326,20.662290797653263,21.06030836306874,24.28549070126297,30.12388621132152,36.13509925171455,36.45260923927183,32.63884128261633,30.01284045312297,23.573091074161105,17.352842915667512,19.160729992101817,21.605738839493583,23.27745043141901,31.28427990997537,L7
