dates,oahu0095_0001,oahu0095_0002,oahu0095_0003,oahu0095_0004,oahu0095_0005,satname
1990-08-19 20:14:00+00:00,,,54.79551395245349,43.31565362546846,30.520416585687947,L5
1990-09-11 20:20:05+00:00,30.69234113842116,29.34969952827018,28.319619075887385,28.33408196114928,15.80671410494614,L5
1990-09-20 20:13:50+00:00,50.73793943117804,42.14498725836871,36.00336353676895,32.32806720880601,18.76379988283102,L5
1991-12-12 20:18:31+00:00,22.426293199055475,22.074116993714448,23.123378226221725,27.61996782478714,18.74326702497847,L5
1991-12-28 20:18:23+00:00,23.418205683408736,22.99899781462525,24.403411981582657,27.507306484080583,16.143745150103236,L5
1999-07-03 20:46:48+00:00,37.23287423129797,29.027473159231608,23.898692453577176,24.26705918090549,13.4163121488866,L7
1999-07-10 20:53:01+00:00,,1.866351297374537,11.851450452655673,13.649169575129806,2.636074135713036,L7
1999-07-26 20:53:05+00:00,34.03079255717444,25.78794248975605,22.53696899681135,20.12766491657488,8.3704136021796,L7
1999-08-20 20:46:55+00:00,25.33724059242145,23.130958487253626,18.37637946590534,19.257121259306185,12.45219833352474,L7
1999-09-05 20:46:59+00:00,18.87273805647472,18.25323565426849,17.322728023449365,16.651221014576205,12.22340064395966,L7
1999-09-12 20:53:05+00:00,31.147434607573576,28.176046191987364,24.32121886323706,22.99707048740296,11.952160541757705,L7
1999-09-21 20:46:59+00:00,22.601687571668887,22.908349233245183,21.923708428661246,22.458015518276472,12.536875310153382,L7
1999-11-08 20:46:58+00:00,23.59985518784605,20.65356202148209,18.53143263779672,17.888124828829717,8.621541701632061,L7
1999-11-15 20:53:07+00:00,39.42995605258422,35.17892844210413,30.86108996736606,31.66535805982935,18.85621677123688,L7
1999-12-17 20:53:11+00:00,33.8922788574384,32.25737535386435,31.422050784663,38.5231399482136,31.696905820524503,L7
1999-12-26 20:46:52+00:00,19.08164063506259,20.287467723728327,20.72847273438783,22.24843265747502,12.650473580288892,L7
2000-01-11 20:46:54+00:00,23.25529548171169,27.368936220699943,30.239420318013654,36.15827167095608,27.56344872113198,L7
2000-01-18 20:53:00+00:00,,34.27994286563181,31.61046326190602,40.84203497124818,34.85828235400799,L7
2000-01-27 20:46:52+00:00,21.70014670178796,22.783074368274143,21.473798063122786,20.262324537399586,12.213455702191416,L7
2000-02-12 20:46:47+00:00,25.76957572518233,27.83309646997624,26.816892570118704,29.16332136989488,17.735887125793766,L7
2000-02-19 20:52:54+00:00,50.28336505285271,46.18151739210949,42.35640520512997,43.20803147765904,25.930690122072345,L7
2000-02-28 20:46:42+00:00,24.7081558767502,23.741171521418007,23.09019661139394,26.93200184459947,17.892916754996214,L7
2000-03-15 20:46:37+00:00,27.25936173019377,27.16680961716842,26.043355182921776,29.405345632451706,20.97291257999382,L7
2000-03-22 20:52:50+00:00,48.4353321990677,37.249507589516135,30.708040991088,36.04090816412329,22.57544867768671,L7
2000-04-07 20:52:39+00:00,39.02791993230972,29.49517961502142,25.831466798423502,32.98774205728551,23.39894407963717,L7
2000-05-18 20:46:08+00:00,46.52865803591752,34.67277092868842,25.94434150244217,25.91566175270764,13.802608491924415,L7
2000-06-19 20:45:53+00:00,52.87629350349295,35.01907515513011,29.86216855815737,32.295951304472354,19.969648262552248,L7
2000-06-26 20:51:56+00:00,15.579666658285076,19.01685868006308,19.41425837242598,17.41326377237914,2.9917910123224343,L7
2000-07-21 20:45:23+00:00,34.37765437900616,31.582235783347897,26.878541344735403,29.80149143805102,20.186000815725976,L7
2000-09-07 20:44:48+00:00,,,,,,L7
2000-09-30 20:50:41+00:00,47.643955249023946,37.98962813517947,32.58208712365968,34.332461592381364,22.464320198562763,L7
2000-11-10 20:44:23+00:00,,48.29744438750633,35.21151045981849,36.41940825397217,21.393740081204704,L7
2000-11-17 20:50:34+00:00,41.289898972786254,35.602650940763496,31.684574214515447,34.751544256825504,23.997874319389226,L7
2000-12-12 20:44:27+00:00,46.67611705804288,36.187412573179294,31.21006078702193,29.628319230169648,16.533224861857644,L7
2000-12-19 20:50:39+00:00,39.32092097285266,36.68180979901445,33.695837439138096,37.60716692452177,27.575048256621184,L7
2000-12-28 20:44:30+00:00,44.7286581121488,38.07740568754839,34.019538335451806,35.10288840851742,24.26860180767584,L7
2001-01-13 20:44:32+00:00,19.786029090571127,23.805943667732183,25.429300727349062,26.464447695025907,15.599524341984884,L7
2001-01-20 20:50:45+00:00,54.91640408342435,52.356462526119394,48.953657675954574,56.07898650196716,43.47893312589797,L7
2001-01-29 20:44:33+00:00,55.761489737215015,54.45992419118313,51.880489301947925,51.60987854838272,33.757546419623374,L7
2001-02-05 20:50:39+00:00,,,48.50452240075405,55.990375961012944,41.89999774435814,L7
2001-02-14 20:44:29+00:00,,,,,,L7
2001-02-21 20:50:38+00:00,29.692937934033385,29.84206220880783,28.338347893912783,28.473006162747584,16.009139405783277,L7
