dates,oahu0052_0001,oahu0052_0002,oahu0052_0003,oahu0052_0004,oahu0052_0005,oahu0052_0006,oahu0052_0007,oahu0052_0008,oahu0052_0009,oahu0052_0010,oahu0052_0011,oahu0052_0012,oahu0052_0013,oahu0052_0014,oahu0052_0015,oahu0052_0016,satname
1991-10-09 20:18:07+00:00,,,,,,36.30451785777306,37.2418101235195,36.55247103103525,35.031231621405254,25.77016170717085,19.0244407175444,19.16845587753289,29.219969424604763,39.32098258895292,18.16678569998584,27.14445631849347,L5
1991-11-10 20:18:16+00:00,22.730018161214566,22.14153109222381,21.93066644236648,23.28340713628767,23.487086226020946,24.640085153044588,25.94280212648792,28.628046393089143,28.688568897166945,12.87006809672259,5.660182730546777,6.187971967498744,9.750799258377336,18.93396027638549,-2.410681448908481,4.497856671222783,L5
1991-11-26 20:18:23+00:00,25.40118093606707,25.680455624163542,22.797506628939285,19.71842526322876,22.9077994396157,24.687925807898008,29.227201767365543,30.95400775173779,32.35578510013807,15.269405875600777,5.437131857608345,2.384294180185192,7.604217659514231,16.486403955762118,-11.109180816205445,-9.685096122575944,L5
1991-12-12 20:18:31+00:00,26.87303564251669,25.70268524385285,23.242044150910854,27.27482421478245,27.07510520594024,29.110606575763445,30.25962469757137,29.82182427762608,31.46638183388605,15.313534348913132,5.122018103588524,5.714709319500572,9.902567000461907,17.38307559276715,-5.0690395210199855,-4.241163121737312,L5
1999-07-03 20:46:48+00:00,35.371986010788405,34.78130808771657,35.111867167065135,40.00480951402369,36.426978668634334,38.55624813405819,39.72743198443565,43.23156821313358,41.12742297842143,25.36049205142193,20.067585206105008,17.90478152028424,27.91504196600953,30.936442248160795,8.029983359088309,13.747100439011158,L7
1999-08-20 20:46:55+00:00,,,,,,,,,,,,22.49924013795344,32.88736648270572,,15.75421393085677,22.261988710652982,L7
1999-09-05 20:46:59+00:00,,43.72577363505228,41.67539267160757,,37.12657260435546,40.76698034446304,39.36068066518574,42.413184569621535,,30.205917903778733,24.534003490205528,25.81420751543738,33.260754632982064,39.16045822102211,11.990570802327978,13.933054179100322,L7
1999-11-08 20:46:58+00:00,,34.7366049351907,33.07784864201654,38.8116394809647,38.49320286991546,38.621535828962585,39.12503955096631,41.70608350301365,41.45119743482167,25.225783375910463,14.177844413969057,14.821056666109603,17.476381330535883,,-5.668893333469575,-0.1097103758372728,L7
1999-11-24 20:46:49+00:00,,40.03252854888831,37.98230885645868,39.56726461231359,36.67599898574489,38.48551576477188,38.76268017089665,43.99334581539731,43.00187638197959,26.587199650023017,19.75998728231447,18.7639001147462,28.96277777638085,,5.696100695464061,8.263129434400321,L7
2000-02-12 20:46:47+00:00,,45.10481988104577,41.82991813203152,38.36318432176656,37.99417407503852,39.77042153977264,40.60065366008901,46.02395264538499,,,25.21268146394148,28.29882142295322,33.869004906844026,38.56204658811183,13.872595694639008,16.557764059989037,L7
2000-03-15 20:46:37+00:00,37.68421958997721,37.383858953372695,34.2824671091635,39.0877559771338,39.16443478221846,39.48376214447427,41.346841914836325,45.21284174386809,,34.95780064934689,25.0312219002495,27.97492622001647,32.92390936090237,,9.46139441655696,14.67950032969886,L7
2000-05-18 20:46:08+00:00,41.05328329660757,40.39057101212281,40.68388126826089,42.05062559653718,39.34153472764679,40.05073545824162,40.935584584303534,46.739748588448016,46.592846585157744,27.99651754703856,20.33512493472063,,23.03807622503116,,1.602333865458177,9.881389832269583,L7
2000-06-03 20:45:56+00:00,43.94870897445783,43.78037238808008,44.23256384759412,45.7107356543516,42.22070556266222,41.04875993739956,42.339748294578825,46.28696018715945,,34.477990362377255,24.50061387436948,28.10192909406988,32.53850357202768,,10.326831105091106,15.13662141755843,L7
2000-06-19 20:45:53+00:00,,39.98683763250866,41.34791438879035,43.42366628893058,38.85567946762886,39.23121628191908,39.55922894252405,42.56966971439018,,,19.50887211316812,,26.02074897281012,29.8233690567724,5.9847232619238895,7.672968299375393,L7
2000-08-06 20:45:09+00:00,47.02093858293707,45.75498113964159,45.81564861170343,43.11092921563189,42.18285372273043,41.98994245059367,41.78719238118322,43.58405103404127,46.98475046037841,30.39958760392976,23.504932037679247,23.86158402280413,32.349466181479336,41.0085664422062,11.067764378069452,14.294376620095218,L7
2000-09-07 20:44:48+00:00,,42.34557020151552,38.42258510605319,39.62635210544462,42.01414185382875,42.04826498894368,42.09912424982101,46.31281896568446,,31.833613324335666,25.81160185172856,24.98629860638593,32.62261172542514,37.87443352390578,13.03598930320046,12.083317443902027,L7
2000-09-23 20:44:31+00:00,,40.1545564237798,39.13492292833116,38.59857600776726,38.35865364454728,41.3512383736236,40.08056789600237,44.17302929345563,44.21499292405244,34.30376765617388,27.32640729723313,30.12668326548882,34.67886300899178,44.23635781905158,18.588802516356346,26.33413568666436,L7
2000-10-25 20:44:20+00:00,27.45849156929925,31.9138904398492,31.138612341897574,35.30723997419177,38.764685048548486,38.28188233157877,38.79374110284402,38.70786404469228,38.64095870520845,25.02797661971006,15.228340462440556,16.54029986344798,18.726025287149344,22.884281725719912,1.3895062650986354,9.447419485903902,L7
2000-11-26 20:44:25+00:00,,40.65930576982375,40.05710030189841,40.07280244914118,37.556107662008266,39.31759785106858,39.8557376941842,42.56101852039122,39.84324168835013,25.223139259310983,19.622553766110187,18.357877805082538,26.797808165361825,32.96952020168399,6.064421940370943,6.642147569977689,L7
2000-12-12 20:44:27+00:00,39.01551221127694,37.6546920836814,36.558566100607536,41.68982099218501,42.27962894667548,41.13206451217946,41.59794156767403,,,35.774046470075305,24.857822223788222,,29.50446433115238,,4.396536742176783,9.15820349000133,L7
2000-12-28 20:44:30+00:00,33.267604713159855,31.902737530028613,30.447521174652387,33.61344583277129,39.02325084525046,38.45956783260287,38.2758600250702,40.82740075657415,47.93839470652604,31.77610397323306,25.382688541011664,26.64303943322338,30.572637956016223,36.365883318036566,13.70833002855289,21.45732540727628,L7
2001-01-13 20:44:32+00:00,,,,59.00587341066512,57.45543247275168,,,,,,,,,,,,L7
2001-02-14 20:44:29+00:00,,,,,,,,,,,,,,,,,L7
2001-03-02 20:44:23+00:00,46.54640384679065,45.81566245628446,44.0582478329795,46.90925693144252,49.25577371391328,49.16466224369872,48.95937548596673,50.62364526004527,46.95168853002402,33.89808035780269,26.87650568475499,,32.18635947798844,,5.015357388524875,9.91942314897144,L7
2001-04-03 20:44:06+00:00,42.79824953305986,41.57596618702003,,,19.333596384382616,23.81927166127478,24.34458008719908,,,21.523798477879183,15.855131934906302,10.056873207820518,13.763212519017054,23.882388539204737,-0.4521546495717363,2.9290498608918165,L7
2001-04-19 20:44:10+00:00,39.06052286187406,36.1685069018763,,,25.102475643986207,30.55963076975265,28.04021308913957,34.60152998839483,,19.60121715648438,11.315810546307793,12.972940840449228,18.15541705855224,24.483154794176905,-0.7073176920459572,-1.0775683902746132,L7
2001-05-21 20:43:54+00:00,,36.76235859419961,26.898597436496,31.31110032117146,35.45614130183401,36.91303211008186,35.690213222360285,39.95665063597672,,28.51777733677532,22.3320285571355,24.16566067589502,30.0471803104212,36.22885609145229,8.324399717742283,6.745526211266765,L7
2001-06-22 20:43:29+00:00,33.60910473188037,38.46674596866005,38.126443847422,41.15451185939139,37.62486236705308,39.05133273062218,39.44652373091769,40.86724956039824,38.40333495517776,23.08423504855873,17.400230121091536,16.02264941472945,21.92414448144836,28.89216523365688,6.8077769537951,14.375906203878069,L7
2001-07-24 20:43:19+00:00,44.84211742078052,43.601189459180986,,,33.09484319176565,35.018465457218376,33.86870413599553,37.38278395086369,35.01510305575589,25.625777352756124,17.40248848313502,20.35206499388099,28.47647760361293,37.07897688821611,12.22397746869786,19.389413771877187,L7
2001-08-25 20:42:49+00:00,36.26085240724546,35.73260500459438,34.176964300198655,39.0856891216593,40.497905430954674,40.620453921435605,43.78824962233596,,,31.25001719796365,22.909768173689105,21.802553927067567,26.9080584232057,32.91905577880199,8.655400235881153,13.61180890762192,L7
2001-09-10 20:42:38+00:00,40.27161798576271,39.40235201827428,39.29363969075053,44.42068376830009,46.60169510318058,45.6413256242549,46.51395131200319,,,,29.04778613983209,31.463906990573484,37.83269280142145,,13.061299507800417,16.51927320209623,L7
2001-09-26 20:42:29+00:00,34.14813999079466,34.59713011074908,35.50268748312849,42.96046021749347,43.74061122110594,45.64010510408084,47.344224681995534,52.27752012765134,,36.01700301626625,,,,,7.561032747915224,9.562932328193767,L7
