dates,oahu0081_0001,oahu0081_0002,oahu0081_0003,oahu0081_0004,satname
1990-08-19 20:14:00+00:00,,22.164375459065308,25.559946020519074,30.14497750678933,L5
1990-09-11 20:20:05+00:00,,10.663891131786311,15.817159156106388,21.689840866661864,L5
1991-10-09 20:18:07+00:00,21.622091161618147,11.300304248986352,16.185956762394834,21.26739515409301,L5
1991-10-25 20:18:11+00:00,28.736548023821147,13.417624506065874,17.634156705295577,22.524056786721044,L5
1991-11-10 20:18:16+00:00,,31.232625144854826,34.70561126432986,41.465971290772366,L5
1991-12-12 20:18:31+00:00,,23.057109031626634,27.01490028072668,33.509749901348606,L5
1991-12-28 20:18:23+00:00,44.15908159687712,22.772360372435227,29.97911259292096,35.89028157483102,L5
1999-07-03 20:46:48+00:00,,23.801317532361978,33.697856539975064,39.12880329632848,L7
1999-07-10 20:53:01+00:00,9.93537395265285,4.687914390777564,10.451333338616775,11.705465624616997,L7
1999-07-26 20:53:05+00:00,8.572359702294422,4.290603153019552,14.525609850296332,20.26040992741717,L7
1999-08-11 20:53:07+00:00,,13.013384510314989,20.55325318810844,24.3338318574134,L7
1999-09-12 20:53:05+00:00,,17.253268171186647,24.126093813622703,28.297884795228303,L7
1999-09-21 20:46:59+00:00,42.18286915200031,17.55659062883995,23.53778983880322,26.34916641218892,L7
1999-11-08 20:46:58+00:00,,,,,L7
1999-11-24 20:46:49+00:00,37.12092454173756,7.046830552106268,17.284622504565675,22.859509484910323,L7
1999-12-01 20:53:02+00:00,,20.950447163552013,35.95370787591689,46.27907628943469,L7
1999-12-17 20:53:11+00:00,,35.016900073514286,42.45598339347431,44.344834551632765,L7
2000-01-02 20:53:03+00:00,,20.579613548186085,24.74940671934516,28.27946901554473,L7
2000-01-18 20:53:00+00:00,34.988932352331474,21.78980248677388,31.057061975594383,35.753565907125534,L7
2000-01-27 20:46:52+00:00,37.92749028846079,12.639661552838389,24.991428320825783,32.615086535802405,L7
2000-02-03 20:53:01+00:00,,25.718850616518147,24.24570456820321,26.696217687524065,L7
2000-02-12 20:46:47+00:00,,23.95272522068563,29.00314753745549,31.34865257300721,L7
2000-02-19 20:52:54+00:00,40.07688362867997,24.327989970418663,37.83693256798807,46.37059926654988,L7
2000-02-28 20:46:42+00:00,,18.83195010567828,24.7942185803906,29.044902277758847,L7
2000-04-07 20:52:39+00:00,,13.66825975378056,24.44494462205894,30.119807407510965,L7
2000-04-16 20:46:20+00:00,,26.43848621857317,32.965603168048574,37.00631018143452,L7
2000-06-19 20:45:53+00:00,37.88662848326327,19.320950220151303,31.83463400878356,40.23700496514892,L7
2000-06-26 20:51:56+00:00,9.543386198950362,6.346781338393384,15.5205495025215,20.43713173961463,L7
2000-09-07 20:44:48+00:00,37.44182466638581,9.320110488095782,21.39340856650263,28.80374233487046,L7
2000-09-30 20:50:41+00:00,,20.234110453981152,29.585144104750484,35.680029228751835,L7
2000-10-25 20:44:20+00:00,,14.76675449519868,21.41651056503288,25.01131647327288,L7
2000-11-10 20:44:23+00:00,,23.4596327140693,31.60807401426946,36.83162931143599,L7
2000-11-17 20:50:34+00:00,,10.477641057956282,21.39409686703775,28.149575018717133,L7
2000-11-26 20:44:25+00:00,,24.98749217346672,35.70450536772843,42.81712684871693,L7
2000-12-03 20:50:34+00:00,,15.103973715456489,26.27131724626885,33.055036110032454,L7
2000-12-12 20:44:27+00:00,37.43413849318328,21.56605262434128,30.77650832165953,35.97218439319326,L7
