dates,oahu0048_0001,oahu0048_0002,oahu0048_0003,oahu0048_0004,oahu0048_0005,oahu0048_0006,oahu0048_0007,oahu0048_0008,oahu0048_0009,oahu0048_0010,oahu0048_0011,satname
1990-09-20 20:13:50+00:00,10.030669922126265,9.684851725043655,7.369838451844804,10.309145440842313,7.776296966258873,11.540392198381582,10.629520249319445,12.374993778436115,20.793731700737908,,,L5
1991-10-09 20:18:07+00:00,-5.553324394780222,6.880056515022294,9.964310871440077,11.715017157313124,8.332290111161093,8.289255716995996,7.615204778851319,11.532857195582192,13.432865166137956,10.262814314433223,10.621614678032772,L5
1991-11-10 20:18:16+00:00,-6.105407746514097,5.971020554107125,7.633235402678307,7.232527131671127,3.860931067168144,2.456280757942804,5.639282172343813,7.57019696229595,8.040324109982814,3.6770098942112712,4.953337243716786,L5
1991-12-28 20:18:23+00:00,,8.50535927550342,8.112321713154529,4.257035791794614,-1.0974826524814958,0.1779757721923084,6.177337926802892,3.6413793477191057,4.8366668766663565,20.13429554197128,6.234455551029065,L5
1999-08-20 20:46:55+00:00,-0.8114091191337687,5.364257258611047,4.682316381085,2.828178550393168,7.70597158715358,9.975108970570025,9.523500820294474,10.388748683646511,17.488640803100516,11.42628080608866,13.621352460298777,L7
1999-09-05 20:46:59+00:00,,-1.506251489569809,-0.3787938885122162,1.2602159183299335,4.720159248183446,1.4508896712715829,2.3847695312294346,8.11615267251575,11.6914769267431,8.175823876410309,12.48519412773349,L7
1999-11-24 20:46:49+00:00,-16.896881445198854,6.908081250313736,6.882386373743011,5.116826310957536,6.1692659460617465,2.843689572077513,3.957437933186598,6.611891841256797,10.46876144140648,8.387515402096376,12.8372203134167,L7
2000-02-12 20:46:47+00:00,-6.565014426046098,11.657141151378186,11.329672442663233,18.144273983123004,11.589972510129032,12.312737682084382,11.822786219023593,13.38824989819046,19.67127784725672,18.573426673317297,15.27113637412392,L7
2000-02-28 20:46:42+00:00,-2.3924120006536325,9.016158472466298,10.73037482529569,14.749218475133477,12.198269801578473,13.581340405577242,12.288740704001636,12.343895184839957,15.840587241478172,3.141598542741898,10.94235903276162,L7
2000-03-15 20:46:37+00:00,1.028466721785382,9.079238790092596,9.801867289768868,9.988816865351405,9.78134347817981,8.829237705136809,10.59233418906028,12.548771959344649,16.34706710244894,10.999743166350124,11.557841468360824,L7
2000-05-18 20:46:08+00:00,,-0.8502026813793664,2.512916352013628,9.609757263781946,7.730961812619776,9.134459737434764,7.0276419317951255,9.284294168102678,13.88563810821768,3.9113653317315897,8.974701905396257,L7
2000-06-03 20:45:56+00:00,,26.536796923464497,15.242325282153974,21.44714540243687,15.366529646699195,19.14343152517839,19.24760865720389,19.49936458233439,19.515466523861647,17.052676130045196,14.06094346783441,L7
2000-06-19 20:45:53+00:00,10.605674676739142,19.712726368977727,14.454805880356696,21.50808456074968,15.599885530464665,18.391233015391016,15.924018136746536,16.935276055826968,18.049683181673792,12.823188141966575,10.932978158586891,L7
2000-09-23 20:44:31+00:00,-1.910006540346853,9.413502559677104,10.385306121612464,6.422958155109155,10.84346755112506,15.985805101341514,14.374193465738598,9.225136589258684,2.726707878507726,5.479477044202495,16.140267993571605,L7
2000-11-10 20:44:23+00:00,-3.1095418388094616,4.642821333172238,4.769015171500973,12.076279842292818,10.583841301639955,9.950028664691017,7.20728844635247,9.84940524685063,14.17561843890679,5.224382789613214,9.545916967029722,L7
2001-01-13 20:44:32+00:00,,,,,,,,,,,,L7
2001-02-14 20:44:29+00:00,5.770751452194793,2.6150694671750605,2.517653129483036,1.5945523143761011,-3.547430963681415,-12.123588758999494,-4.0809690818182505,-3.636248554358819,1.801500011413032,-1.4681843217939603,9.062211805197622,L7
2001-03-02 20:44:23+00:00,6.45911842761476,10.906678080244491,10.25001787627034,18.086380396504627,13.268656934859914,15.508703821337445,10.679966655763929,9.854866986947304,10.75100720051242,10.609303042392584,9.349125958638425,L7
2001-03-18 20:44:17+00:00,,,,,,,,,,,,L7
2001-05-21 20:43:54+00:00,-19.459054503549897,8.27540420745148,8.930707409389036,19.984886910601908,14.645289913291483,20.22287673200992,19.829608172575465,15.38172737736646,17.44036129272758,12.034205779281583,14.654525615407088,L7
2001-09-10 20:42:38+00:00,,6.243123532123415,6.068161817509536,5.7915240657209806,8.223167056822621,5.952718313905062,7.229833324199081,8.52091810165501,7.180131005433579,5.938826394281583,10.727826350960743,L7
2001-11-29 20:42:36+00:00,2.171735530604668,10.38682471298454,9.565310729994096,12.592151024028064,10.667456497517453,10.069383849643527,9.935413245234836,11.170016134226248,15.250885210275037,9.84287159262714,11.150176631714908,L7
2001-12-31 20:42:36+00:00,7.927786963052865,12.199101647313324,12.34259260192248,18.555113827730537,12.827979579215803,10.380131276433556,10.028595517233368,16.7098650451457,20.936617476915583,22.02457017561129,17.576530378438076,L7
2002-02-01 20:42:53+00:00,0.0123857204935697,12.598702966980133,9.607308327221997,16.990398650995786,10.838789412244228,11.997358555018224,10.121904538033473,17.47980917619481,20.81388829049971,14.340197633920273,10.22766395626564,L7
2002-05-24 20:42:43+00:00,-3.650281956436411,6.78333882584567,9.309932031963855,14.662717162499725,13.348276795734131,16.468671402768962,14.728852630245571,17.957635414463148,20.09059676011784,10.191778773638497,15.662134191253784,L7
2002-06-25 20:42:29+00:00,-7.428398611185576,10.90716363052473,12.101583868218656,17.99188391523587,11.009413392755144,9.385088776281265,10.690767221392148,10.19441401162552,16.14655351565964,12.511431105488478,11.304973485474749,L7
2002-07-27 20:42:18+00:00,2.519443114327555,12.057626063221718,12.426084062499696,21.373645916708178,16.00458039950599,18.22901038404936,13.491796123563551,11.55830274853792,16.12529309888395,9.707545060766895,10.8756864272315,L7
2002-09-13 20:41:56+00:00,13.947759396096902,5.4863079700036135,5.109799103983415,11.683979666974512,10.24200383759119,9.07544877540454,9.046707370136629,11.202076688762425,12.795376362320184,8.554663854822325,13.814510500057697,L7
2002-10-31 20:41:52+00:00,,5.841873000544439,6.163423869379056,8.904400919641951,7.644571576136968,9.02132434657226,6.953467093532016,8.497125466802505,4.995648671870992,2.6860671048561104,7.805286984593639,L7
2002-11-16 20:42:04+00:00,-18.554389412140456,0.8930913305007875,5.061044344810579,3.1036044268323515,3.156879846852359,1.968458044856792,6.10361630446927,8.781962960279639,9.825184371090184,2.8721807388998744,6.194539634114449,L7
2002-12-18 20:42:19+00:00,,,,,,,,,,,,L7
