dates,oahu0102_0001,oahu0102_0002,oahu0102_0003,oahu0102_0004,oahu0102_0005,oahu0102_0006,oahu0102_0007,oahu0102_0008,oahu0102_0009,oahu0102_0010,oahu0102_0011,oahu0102_0012,oahu0102_0013,oahu0102_0014,oahu0102_0015,oahu0102_0016,oahu0102_0017,oahu0102_0018,oahu0102_0019,oahu0102_0020,oahu0102_0021,oahu0102_0022,oahu0102_0023,oahu0102_0024,oahu0102_0025,oahu0102_0026,oahu0102_0027,oahu0102_0028,oahu0102_0029,oahu0102_0030,oahu0102_0031,oahu0102_0032,oahu0102_0033,oahu0102_0034,oahu0102_0035,satname
1990-09-20 20:13:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-10-09 20:18:07+00:00,14.777763602589443,25.02223442451753,39.5229403074052,41.22151751648303,46.87501292584737,47.82188021429226,44.464347467059895,61.12439324574001,59.76330053068233,54.34447383780956,47.12016644742823,43.60652750798064,35.070282252453005,44.22135354484071,42.57911973130461,31.07769410064395,23.50125961493392,18.62300129218702,17.082580762011556,14.846619221302204,11.542810275445948,10.894043613956448,15.05697404987876,19.34033572156085,14.70028237373145,11.759558877178709,8.113287107920137,11.113737281835462,11.812532938012016,15.488060388035844,24.33894105563396,,,,,L5
1991-10-25 20:18:11+00:00,13.114370630190011,17.82806838053329,34.33557201169274,36.441736658210765,43.30282075702892,43.30635026566678,39.59484677093367,57.08851965226757,57.64472858092269,53.02360457456943,46.874426195381886,41.01649692869579,29.880180206357203,36.33986897570784,33.895863620411696,25.30089649942748,21.4518832315104,16.57540725394353,14.752035500730296,11.707158483712895,7.146373243837961,12.179554431138335,17.768930478720467,22.425373797854814,23.699374255077394,19.5671173831235,24.06289472506604,,,,,,,,,L5
1991-11-10 20:18:16+00:00,,,,71.37053416229409,60.375814455960985,48.02368947345239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-03 20:24:42+00:00,17.853069640455764,31.25819670587895,42.49594321545012,44.3291068469345,48.98298590773253,48.58208587917444,46.08107742022117,68.9768487198735,70.20967150412153,61.28002478267768,55.29924611695308,47.93288770374344,38.80729704535052,43.01069967059809,41.944403743085424,36.4111007767475,28.543693180501634,23.19086507423782,21.8908744142905,16.464056586600442,13.562402660721586,13.814113511427584,14.363412863882848,17.01185167718036,24.80292191274908,20.86666172963774,15.363334704354008,13.811695737509762,14.14364035296878,17.927225378625202,24.194208119174554,26.35180477584288,28.95516441482033,27.39806755179869,24.973205975236688,L5
1991-12-12 20:18:31+00:00,15.685382585704303,22.062407383608903,40.71127185327558,43.58869025839971,48.24497629349848,47.980557424157176,44.997838655547405,62.45535181330321,62.33092496838282,59.133001297900826,53.41990003754121,45.94186111324775,36.51997240404329,41.16046415497196,40.0898167874919,33.03442915555963,24.032582966221103,18.10959084542206,13.026796424946353,9.831347669836983,8.854473515702445,10.219360119148822,7.102976948622117,9.530702426913642,14.472785976900024,12.406934637864936,5.780892867580785,11.01953690045177,12.190810032695136,13.677521439980085,22.815052841745604,23.96669649190116,22.618005570048386,17.317724294270132,15.102310882924616,L5
1991-12-28 20:18:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,10.418759102853016,17.86300379608545,15.524137102375889,17.287885303627313,20.13029491829688,16.599975809273054,24.28502171091032,30.9546965048326,21.99432184841297,10.913769526630954,12.034640704076669,L5
1999-07-10 20:53:01+00:00,42.63530291470075,46.74728846456901,49.34352931772173,47.197219294323645,54.20512598795514,54.07181594371494,47.82002670523957,66.30672903907559,68.6461090182941,66.12411594907213,58.52711169996594,50.92256296795465,43.36759119653823,51.70733524514198,45.70923244811476,31.15203262544344,21.7563517373018,16.372122633486647,8.406769211152326,4.656870488046547,0.3715772991581085,5.140086332390403,13.745491704241363,15.283564783001196,15.324158839572949,10.838406571495536,6.165620986603326,6.033000576308016,4.342788348637559,11.588615890948637,19.43323141399827,24.15506044624704,28.524630223482163,32.060765688372484,34.42680005190292,L7
1999-07-26 20:53:05+00:00,40.18535284413083,47.27571461230213,50.41191619249881,48.09624266306847,52.37283980737257,51.95001635730745,48.1681277181732,67.63847267697895,65.52672363540805,58.91063744627293,53.05015152983032,47.12683070413408,39.665432339135485,46.12605033540305,45.253929469763,33.93425786701972,23.517272317832536,17.70505055851949,10.62469579738584,9.42464846005208,5.182822061380464,7.597410310180522,9.943168830404336,15.148621439725376,16.762846777355918,12.936035633206645,7.833426404681494,9.48564671155486,8.18925561743265,13.41865559628254,24.075636839159813,33.85964066460704,32.810365428527206,34.32898883180509,38.80644512231052,L7
1999-09-12 20:53:05+00:00,,,,,,,,,34.64126713216914,32.22510509561157,,33.88663996826137,27.069629887068523,33.46211317155062,35.077191740409724,27.59228758158456,17.59873441234099,15.030650001119303,18.82699677135509,13.367535008102251,14.473658301618094,15.979200085032907,25.46387565443254,28.67839690328882,27.27028361463531,21.07002102138005,10.905425700539102,15.475596394867251,19.3381547790952,19.623775454426493,31.099522527469205,41.414259795568086,40.90861654178225,43.280099452345546,47.70808732378995,L7
1999-10-07 20:47:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-15 20:53:07+00:00,40.61888108322776,45.95071571831572,55.35140272916541,55.43327484518892,60.9691431566595,66.7239130835191,58.61316236964018,74.54980001859452,75.02225293147782,63.42827181018497,57.07026801076856,52.63288650343373,46.71656555907637,59.8573782194639,57.3172182717622,44.15411887109261,32.98272012480776,24.84324251589309,22.487087369096884,18.838634500767743,16.303361684829163,16.23095973800205,24.205235825164003,25.797917042130106,24.44114917390444,21.549229765786286,18.92815092011529,13.399261198661142,9.561080994782063,16.802672732998225,27.695906511989588,26.909733374188846,34.486729709118514,43.17936284202356,44.57775436794184,L7
1999-12-17 20:53:11+00:00,47.0422911789944,49.577184191350085,56.603880409835725,58.88296489437684,60.92198495238355,60.47543070971287,51.37640952615385,71.93373592705284,78.24797856670256,74.63651580057865,67.98933544533415,62.251194589764495,52.42257056864922,55.81439209947111,55.82407272731544,44.85965999086096,34.16349454604301,33.95330134102752,28.49801274731524,19.504229561109035,16.601896194393333,21.952484780729847,30.28161099479621,32.140390087923215,33.30050825171981,27.221133717745367,19.963231908199383,24.717495314927405,26.092266131499148,24.581220563613428,36.13139809446756,46.25563404521448,41.73292273297209,43.15455303814164,40.39099380797895,L7
2000-01-02 20:53:03+00:00,41.85599401690455,49.371571386961904,55.55186610842725,56.1621038837086,59.016450616806885,58.8702949435949,49.447951894464936,69.51957708178406,66.7266356207751,58.86418016149111,54.368454222869374,50.98229102010528,45.00915225388283,57.30660142088168,55.49548156604878,43.34621832683688,32.48277683986193,28.983477487828832,28.4290284484352,18.93301265046969,13.19948672228907,11.697467883965505,16.87852527525588,22.14301661240351,23.554450107522687,21.708201606612032,15.201124258204214,20.611091258271944,34.16169292011928,30.12136846395759,29.58955692725677,34.7530951731026,38.20494200056127,36.28379721705108,30.49180452302406,L7
2000-01-18 20:53:00+00:00,41.26651819650281,48.32864786739753,55.663546078602025,51.7859030756144,57.90338219049221,57.841085941562426,50.61624904635569,71.87258266641739,77.2496005101833,70.5665842145643,61.11522373863384,52.70478734617488,43.44343030217888,53.61093590178929,55.84249457374821,43.80632710093021,35.45846958603857,36.63312330559129,31.23033746499204,21.03610731901385,19.614609826346022,18.83258901197881,22.993732885182776,23.39285708834236,34.52969933195155,28.974493204275017,22.589679508355275,21.061318742900724,31.45086032973281,30.81183212489289,34.39307263768167,39.88254489508899,35.92080067133779,29.43941236268952,24.697373707254755,L7
2000-02-19 20:52:54+00:00,53.72488396380427,56.93028369453388,59.53968583291616,60.04109019134013,60.41497329921452,64.95670502745132,57.027719729994566,73.44320026972136,77.70104793935478,73.51889869645323,61.88061587524456,53.6515598337299,44.68718262206315,61.84872889004698,57.99147843351192,45.818667512569,37.598144069537774,30.800642682963176,31.2498742755002,23.020750573369124,23.101160305162903,22.10789233132483,26.84481400864476,23.86498555166361,33.37657354016029,29.39173725383723,26.65934822529436,22.251909451794216,30.96914981448268,31.684624023979456,35.416264842240786,44.31978851852603,36.738608609948,31.244646747297946,30.349640501592475,L7
2000-03-22 20:52:50+00:00,46.84839597786558,50.12024714212544,53.2051767179767,49.91071568511953,54.87027638011631,52.14780006733831,46.37236924637864,67.82882345678854,69.20401451543663,62.77251922586642,54.98944580602559,48.38509642862238,37.55059501504643,43.955605131265145,45.32395062893421,36.45422922081494,28.177650388810896,23.12227122238884,18.21041532201289,11.024683423844415,4.156701850700449,6.243657525599906,7.16915569130987,13.9725538665245,24.146285908453702,21.349439297904937,15.75372064518132,17.262412136834072,14.816090881260076,17.612672611402374,,,,,,L7
2000-04-07 20:52:39+00:00,49.88981210108464,47.60541743614851,52.098393833323605,51.72673529230909,54.9420315822484,52.8932814095866,46.7326513883676,64.75021737969392,60.65870816437295,57.18123556297193,52.85176120544218,47.7001085348459,39.80976094108613,48.62165997323374,47.1506471015828,40.05272289765039,31.05191015419037,27.10063834415742,23.066426485186664,14.241750783796029,6.743230337865612,5.005455400339884,6.009135384527114,13.93525892375308,27.970011272348245,24.51626052220875,21.29245630147125,21.73746420297955,18.67946124945295,19.220770975881127,30.610076047803805,36.59205392118941,33.17044730996224,33.75706671126721,26.76098267243757,L7
2000-04-23 20:52:33+00:00,44.08346351431934,46.09526541386429,51.93353902215005,54.34687657704806,55.79320146274417,53.873895698080936,46.63190308669068,65.72967363211221,64.99549730694953,58.95204674317068,54.089126023622455,48.93166550871195,42.58785506299945,50.679312845081206,49.00096493039228,39.85218375745091,29.02473326358725,25.78255297738868,21.07577784864035,12.704631958597991,8.05405249063212,8.432188438735446,9.922852970377932,12.95263436002664,19.20911517988255,15.282863200003794,6.960205849208313,13.54149609681397,17.413843357649263,18.22836518907288,28.924261535276017,35.835938254230456,29.30518979666083,25.910901854823777,23.318692729249904,L7
2000-05-09 20:52:21+00:00,32.77653396484344,38.22065724139072,47.469762267682434,50.92635048388221,54.652505999862704,55.25767110834549,46.11803399428919,62.19551435655814,57.73935388897339,52.42634909412556,48.71941176376034,43.30726916722278,33.54973463886315,42.31819647377345,39.8660449192456,28.948230197202765,21.927397678394488,11.522429323004529,10.405508630783284,2.91051594887734,-4.337701798163678,2.0521898560821867,10.499049558210013,7.10960968709545,9.795670117415426,3.839643761807544,0.2467280228379357,4.419814484205649,4.112343790121692,-0.2349153837023219,7.007171679299109,20.20294869347952,,,,L7
2000-05-25 20:52:12+00:00,32.45748182038215,39.72929651761417,48.2750709227338,47.86454113687911,53.0291075910331,52.9616172769304,46.78935775880967,63.6520570009498,59.5836708211876,55.63664596386108,52.39305399249028,47.764311805355405,39.89080960663377,48.190182720109554,44.11799962395081,33.89857737325216,26.57811089401596,20.218428731431725,21.183079882935164,9.97457740165527,5.53204021767606,6.105983194826192,12.220901941622843,14.440454914950603,14.208776001785662,12.774256972830262,9.60585724797168,12.183918434520908,17.567619269774784,19.85075289785661,22.937632848359595,25.14988631888321,30.73991094845577,30.29141248800924,30.3922635629932,L7
2000-06-10 20:52:06+00:00,,,,,,,,,,,,,13.401591821631984,,,,31.827592820375948,,,,,,,,,,,,,,,,,,,L7
2000-06-26 20:51:56+00:00,28.12936682269351,35.13383445552534,39.56722910947265,40.60530538173692,46.89340082182672,46.01455807925267,43.46618167541183,58.73872387062317,57.68500808211021,55.08534878994527,50.87114567022231,46.40443355205701,36.73044612620358,43.1417237636077,40.67021023505191,30.660510955734985,24.86967133358294,18.771030750999444,11.821712089340604,9.364881436685804,4.502764993897571,5.8999201639124905,8.78172961851358,8.079570238831725,15.345929907068944,13.756991177040568,10.169446395872688,8.07656279199922,6.123962740110343,11.345358484479036,18.066265706137592,21.34748861959238,28.919329774590267,34.93997271545732,37.34072060077308,L7
2000-07-28 20:51:26+00:00,41.07908704681383,43.53054844254383,47.1881454202242,44.88572557188368,50.78873592068654,46.745827911939,46.789035894315326,68.66567718049208,69.28089578786383,62.02256936885674,56.03340406313041,49.54153875927568,39.78692732551729,47.00667491989547,49.55873153324881,39.781127964256775,29.914976644134377,25.125404598852658,19.185243047758338,14.747957416159563,9.73494834376548,9.99438613446672,15.971728584038038,20.509271548608385,25.4905597575269,18.87832067393615,10.14145285308066,14.687038778999122,15.932684808398482,16.041928199992306,28.220096410011752,38.565744960466674,38.17253407133271,36.07602304163113,35.028761609486445,L7
2000-09-14 20:50:50+00:00,52.143091760722925,57.23720338806284,57.74878189978197,55.15263596024552,58.57409119210442,61.14546970774468,53.64323377841906,71.99836852014217,76.55971730578264,71.11805780788501,60.358805077317655,51.88862163364231,42.39206840863112,51.363318473710095,51.36442175011536,40.21052525667409,29.034004582603902,22.934944413777444,19.3919197631067,14.673997954501417,11.820357153526729,13.749190817749216,24.31907171460936,26.811078155148515,24.554147626228765,16.92786745928266,7.868862277771361,10.862876299514326,8.754471494283433,13.58265581576294,27.249565543045406,38.98190916818727,39.27182967161824,40.86713987138658,43.28183890771208,L7
2000-10-09 20:44:25+00:00,40.7949840463888,56.91474578667341,55.94406542900337,52.80118245135583,55.666687762767936,56.39112443121894,46.44070275958859,74.06840347548186,72.44243990403547,59.610461243971365,54.43628980568947,55.00882022763341,52.44140741288961,63.72598095074433,59.81625303355175,43.76689517776894,37.28686188009154,17.995321956373168,20.766145168094653,10.512397126782124,9.924696598987692,9.917730903932387,22.66941343784769,17.348023668804366,17.404024319384952,6.54582121217481,5.518231896741258,11.177103037521777,24.38243065998048,9.976844292549426,47.309276430677954,,,,,L7
