dates,oahu0021_0001,oahu0021_0002,oahu0021_0003,oahu0021_0004,oahu0021_0005,oahu0021_0006,oahu0021_0007,oahu0021_0008,oahu0021_0009,oahu0021_0010,oahu0021_0011,oahu0021_0012,oahu0021_0013,oahu0021_0014,oahu0021_0015,oahu0021_0016,oahu0021_0017,oahu0021_0018,oahu0021_0019,oahu0021_0020,oahu0021_0021,oahu0021_0022,oahu0021_0023,oahu0021_0024,oahu0021_0025,oahu0021_0026,oahu0021_0027,oahu0021_0028,oahu0021_0029,oahu0021_0030,oahu0021_0031,oahu0021_0032,oahu0021_0033,oahu0021_0034,oahu0021_0035,oahu0021_0036,oahu0021_0037,oahu0021_0038,oahu0021_0039,oahu0021_0040,oahu0021_0041,oahu0021_0042,oahu0021_0043,oahu0021_0044,oahu0021_0045,oahu0021_0046,oahu0021_0047,oahu0021_0048,oahu0021_0049,oahu0021_0050,oahu0021_0051,oahu0021_0052,oahu0021_0053,oahu0021_0054,oahu0021_0055,oahu0021_0056,oahu0021_0057,oahu0021_0058,oahu0021_0059,oahu0021_0060,satname
1990-09-11 20:20:05+00:00,-14.196910653347569,-11.078578340034476,-1.3034745820257938,3.759864807906626,8.421821712980899,8.43077038439983,4.226127267600608,2.725729704196168,2.9600809144938567,12.55048908326719,3.6781268397403104,0.6154503790287138,-1.278670281502874,-3.641970243506982,-3.259273147105048,5.274901037212478,7.673237924639183,9.689746096830726,18.11976188123737,37.53149681539206,42.845827211082906,35.82311229340392,28.036020010709905,20.90662638148093,11.84364798283753,2.2267070355270584,-0.1399879261883554,-2.437184310753904,-3.0530605859966964,-3.845508705446732,0.386748811703383,8.431828763848193,13.241592992493738,14.033119253807843,13.000316117021937,19.912284655661875,20.533771412900155,25.91764215069491,38.04400987568462,43.99202451041269,35.604048485559915,,,,,,,,,,,,,,,,,,,,L5
1991-10-09 20:18:07+00:00,17.427565144357892,17.869611701189534,23.10364931205335,26.71620949683108,28.91850907118677,32.35172266566863,31.636120258434936,31.35753313649672,28.12366896728721,31.50020248805088,32.45143331077664,32.12715485312183,26.651957978822537,23.94164877223132,19.36650638058671,24.67947360680917,31.22009924442179,32.96888866231128,45.30407217542058,52.564341057982965,59.4578678217725,57.22834374849953,54.809049001277806,46.7374006944676,42.39101555680649,34.64066735305983,27.861748707734435,23.083047179578195,25.357075217303187,25.8289885782848,27.15415688869897,32.50139415335128,31.151307453943488,32.95058768651775,35.015731353800376,36.29833014122758,42.689815512828446,53.07733466765475,61.4986908879002,68.4713307249266,63.51138627506069,55.23184514164124,53.05468866158068,55.19829656678093,50.433075150603,41.35804946210708,38.09133478763259,41.12350335123192,41.953902045203485,40.16451907502407,40.86868528925668,39.2344512276089,30.150290583016705,30.658874272851094,34.06317253974319,33.9228879741762,36.85845609186775,41.53769722079451,44.65498586370658,49.82738691947639,L5
1991-10-25 20:18:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.11684212400471,40.8188031518478,43.13704599388173,38.51849564310842,32.10639260455731,27.86277766441316,30.08629007127764,28.60509277099063,28.70392412232742,27.455232828864112,29.13416939883756,17.78220624103232,19.079622956180664,22.75438561152413,20.71260517857491,26.20242480356104,22.38132031665353,11.914702952180107,27.104825464651626,L5
1991-12-12 20:18:31+00:00,-1.2719765626967894,-0.1383363192536465,9.34514294394216,18.705727481783548,20.983632770284345,18.941878529690804,21.452932269898326,20.030250986311728,18.43558414197896,20.970646081508026,20.49943279728864,17.559424609862198,16.458794365874127,15.441656156006884,14.92400342670834,23.798561492444925,28.397804828760044,23.50963560816852,26.324885984928272,35.906260254526984,39.118815019637466,36.6128120522174,32.89510878171068,28.04720263579906,25.95421451354117,23.339546254413463,21.95485875334853,19.20122661143565,16.277298907084948,16.142307691952993,14.20224224059234,16.54764236856829,19.22505611727732,24.867393023782697,27.71016235747556,27.51167515577413,30.828371825404098,40.911574133604695,46.919222384219175,50.1880139823963,44.37953258790275,37.1076693803481,38.60600642892883,44.13863145710721,42.20718423218253,34.90647880065135,30.199113923844507,34.361205682311976,35.19480949568875,32.17526377199717,31.627298334859777,32.916304676401424,20.80246268540772,24.54097790488648,28.52509161082672,30.736946022141414,27.31476005463528,24.798927649624623,30.34885676420322,53.5175384512985,L5
1999-07-03 20:46:48+00:00,19.974364660650643,23.903873591529543,23.687142991528848,29.109645929384243,25.75787536647136,21.37415506902249,25.608648333048688,21.82180641916425,22.40985666043177,21.387806276854803,25.558550586572963,30.502926813211847,26.536822094169107,26.993848361025744,22.238825065773977,29.334903107778043,33.37905642202839,35.06778453029223,51.95245539138713,56.72082886810748,61.458496075756045,57.87958436587169,63.19188180109427,65.36722732851526,54.91937470883728,41.64202674882991,36.13583883828411,35.84169960561013,34.6386383833707,35.30322574486587,28.54437261669421,35.39327354377577,36.49626625852395,43.05319148963007,45.11179181831488,40.135307761468816,35.24751582698857,48.04074745759113,52.38933013503483,56.85931264675108,50.01122558994072,40.40112373068935,45.89417047284611,48.46443206088156,45.83551296029431,39.11170589394147,35.86186948029795,37.90770230194475,45.02831054069343,44.18757710227858,44.5346042123507,44.46554466952353,31.1651657959594,35.00015804714118,34.99791475460078,39.27076645222871,40.228836355984285,43.25339462091259,43.960960662229056,51.14072276271413,L7
1999-07-10 20:53:01+00:00,-8.743935344708584,-8.45917004481764,-6.085380835057411,0.0503234768182367,3.1864310092346546,4.765016648960925,9.33296238304185,4.999273945341647,6.610219935626487,13.29951217266487,9.087114505756576,4.159128650396875,3.761243114569391,-1.5131762594807354,-1.8137929342552137,5.1677938015045495,12.546989779934425,8.601147845194534,16.406265038667883,40.6397571471947,49.6380785949831,43.97933962210501,42.45913306376028,33.54418259628453,21.221431351843123,9.346221454614524,8.620716727275594,5.581870310412269,7.991201151212964,11.194337279255372,8.130831010402416,15.89220414351708,17.918201503452188,22.35964782684121,22.464109229701165,25.59017608815764,26.34569913436905,35.960372973538966,42.23820077046737,48.21157275661695,45.156231731738345,36.0364190141936,36.652943359625,37.304456892249725,32.61616305987943,21.87271198596428,16.562114178259655,21.49920952361064,20.24516107278781,,,,,,,,,,,,L7
1999-07-26 20:53:05+00:00,3.5692343017920773,5.168666545447026,3.630859399665612,8.347454609928667,14.571775670078836,15.31862228449842,19.63772948804107,17.22992323942338,17.113271280290228,23.92341644456544,21.46479108507621,18.245962100500428,12.517268850784427,7.6686234977543055,10.6561239961813,18.67572572457012,23.3408095897324,25.385789262084725,48.08777851603421,54.77451215930199,61.317345300407744,56.97168783854168,55.83407024664651,47.672182581596935,39.564218741376735,28.03552813263581,19.43259625187088,12.274550087409132,13.672624769751978,13.175636545245547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-11 20:53:07+00:00,11.357473298619324,16.749820554913143,10.545130840947174,8.489135108125211,11.496667566448302,9.461153256019903,11.184238024638155,9.143047755286627,11.29784789044128,16.25894698860356,13.47300339925074,19.810660144579955,13.336040085876816,6.30017788384118,7.262058802612827,10.959280360105293,19.109185629479448,18.60554743845221,32.76119040184642,49.06078928216163,56.64523386873928,53.43673455774184,52.36524456125212,47.15904577641167,44.06523364681528,33.63800392154044,27.09507294084432,24.642009229910208,23.547878565232388,22.687355873852688,18.694267919929832,25.193477655405594,29.59042531917189,37.28431486628907,34.706123212105844,28.099069702081444,23.702633977120414,32.655764065630095,37.39198649870037,41.28022299924476,35.5644661493926,31.25447180023813,36.391335398737056,38.9828643522802,37.044268585403806,24.93884039696869,16.706192881290633,17.977173216499914,25.70834135818702,31.87582959183097,30.18530713183629,32.73554742543623,16.368227022599484,-2.816748514909004,-0.3823168622605939,,13.216670193246795,,-1.5114929317306671,14.755771321368172,L7
1999-08-20 20:46:55+00:00,6.778844790342147,3.983940177942953,7.381399408356524,14.483625179213565,16.561244137022825,16.00381357831226,18.62405166630002,13.07466087662167,14.560314743350258,21.29712639464408,18.86207202720397,17.38035255580688,18.07863249385048,18.04707162455193,20.47409230236813,19.69453362949169,29.009751543706884,31.66635083170455,56.32010955172105,61.85637403055227,70.05428675106059,62.062116698840605,56.79257955163836,44.53428264719136,33.317678076517986,22.17317313692333,18.38680095358562,12.534041410828202,12.292363691475211,18.218456301474937,14.567944096242352,19.28963360725501,25.275261547084373,28.987537163999747,32.76804918558307,33.32738096368947,34.008379283397886,48.46715747697315,53.35601172559569,58.4977580775467,55.13574302977175,44.589418043989646,46.77619911931289,48.2345330809298,44.57161099656219,33.46802274851294,28.87201698407876,33.649647038026046,29.491454986411867,34.923994785019964,38.08775814439228,38.08364738126726,22.807684562048333,22.08496678759513,27.43740803743031,29.180988314309307,36.52077255442494,44.15918822528676,47.54737933045337,63.64226761964684,L7
1999-10-14 20:53:13+00:00,5.519279744876743,6.014898883883616,8.08158530045124,14.28545770891059,16.122705739027165,13.667360266836535,12.334912494461388,11.907097180225088,12.134559556023264,15.819505005967605,18.65973393945303,19.75375658656672,17.616259040779514,22.209839682341148,18.82126130064481,18.51930597249676,22.46157240386827,22.617063186010927,30.09111120025452,43.082050517418665,45.55508485793211,44.51569524665764,41.9559315658116,34.62564707739936,30.490505518489613,22.489266119687382,16.79447292922381,11.403470994372354,12.61298411365501,19.045958648653748,14.39588768044352,20.65509697474993,23.55395888680753,27.5758336919398,30.03456129350001,28.2914332959336,29.8475971053698,40.32759754256785,47.12909879460593,53.92215880069231,55.49168938614968,46.3270489213177,49.1790839521204,49.70864033707226,42.354080361647874,30.13612646697941,25.13941033199924,30.382370379709275,28.50862877492475,30.646186362324737,28.48923601833159,30.529952955175062,19.989135637970143,25.39935406561867,28.80444469526249,22.0787902944414,31.4504784307196,30.50699833561072,26.187590024547067,45.92947798178397,L7
