dates,oahu0030_0001,oahu0030_0002,oahu0030_0003,oahu0030_0004,oahu0030_0005,oahu0030_0006,oahu0030_0007,oahu0030_0008,oahu0030_0009,oahu0030_0010,oahu0030_0011,oahu0030_0012,oahu0030_0013,oahu0030_0014,oahu0030_0015,oahu0030_0016,oahu0030_0017,oahu0030_0018,oahu0030_0019,oahu0030_0020,oahu0030_0021,oahu0030_0022,oahu0030_0023,oahu0030_0024,oahu0030_0025,oahu0030_0026,oahu0030_0027,satname
1990-09-11 20:20:05+00:00,10.272936163093922,11.28329097576961,6.349426741118259,-0.6978497794950749,-4.579793528079865,-1.5979391228955024,1.116408622641044,1.739370077006773,2.1567351826078407,1.39132114478342,-0.7480459825638648,1.6075637452344984,-0.4141040147275725,-4.18998920500761,-9.173800481598114,-6.912154880938157,-7.681365017549012,-3.3903699998107,-6.7141138133653175,-7.767286807265121,-7.122784570652705,-8.207273328544897,-9.205708039280587,-10.59652701644482,-13.76192632484212,-14.791683986516883,-10.924518616263365,L5
1991-10-09 20:18:07+00:00,6.61480378899884,7.869796767144274,3.047614826643146,-0.4044023677588072,-5.912348735357831,-4.822277661794866,-2.50926084719274,-3.081725755358318,-4.028530543434963,-4.113557741431231,-2.3624179480402723,-0.0074357850501926,-2.6414205821414867,-4.038242266702914,-1.1075423187296507,2.8907023686809965,10.273490002003532,13.61955758573581,10.500359274581418,9.840738609924136,7.212239913181894,2.2386592569479853,-3.307708427162664,-4.983401435170535,-1.992009299612382,-4.169761427389135,-7.43580816112101,L5
1991-11-10 20:18:16+00:00,16.63875328551723,3.2383476867257377,-4.876237351801681,-2.7558010147225698,-8.094967353192233,-9.413270310685547,-2.5107703547073945,-0.2437473557638278,-3.2145897727897874,-4.460955943325832,-4.700149844462095,-4.223546842220632,-5.80135759714706,-4.72865776333111,-1.5900673972917596,8.47205280796402,17.09129566955431,12.786045310782171,3.984403127246518,-2.132361728442754,-5.949278822121201,-9.120521551685515,-11.508506103868845,-17.63488432497022,,,,L5
1991-12-12 20:18:31+00:00,3.5811903107446774,2.43450416146554,-0.0824544794827735,-2.621324732512843,-9.90410316774114,-6.677319837968456,-3.3017916227192217,-5.063358543824938,-8.315523225461963,-4.453074642869151,-0.3189779344200507,-0.0005299289519446,-2.9949000897683886,-4.7326250187217855,-2.047074940472662,4.30859164888173,9.708837867384291,7.359507211105871,1.1442545043440904,2.848854707532197,5.096645675099399,1.7944904984128132,-1.6118882658300426,-5.39008650579785,-7.219098905782832,-10.9301989410887,-12.06449054197174,L5
1999-07-03 20:46:48+00:00,1.8897453590789184,2.4634763208350554,-0.3561691033942837,-3.5759005409040947,-6.335480384401874,-6.263385233404923,-2.768274333471852,-2.683309617937579,-2.435529443035713,-2.861904942566388,-4.039698751526786,2.9079202145896685,9.079404226160388,12.040144535255187,15.855627840974297,14.597066887826363,20.15070420752327,16.987687048566524,12.883603068206384,11.350762104284534,10.541006080556166,4.601103132025719,1.412184624959795,0.421709214760674,1.7355463682365304,-0.3467076437286178,-6.035618316373463,L7
1999-07-10 20:53:01+00:00,1.2147927262232268,8.269453201062607,3.653140597291461,6.423774703436305,2.944948539974167,3.8989197747444746,4.890691710134263,11.4397792553672,8.024649608609103,-10.038330448324183,7.136848137922918,8.222890508208877,10.926638474743008,11.707569639014826,20.33653671939016,19.41052755745536,20.55112757640518,21.561590768432296,15.400387783225668,10.222231683221434,6.042684319465753,4.730413281689927,5.354932557469202,7.5726219751895485,7.483872601587894,5.783083777780426,0.5235935222537587,L7
1999-07-26 20:53:05+00:00,9.766190889898295,16.846468933885784,11.36140560840089,13.527556715888752,8.796381082595325,11.032041217911122,9.698260527405353,12.563899759202323,12.585110334021554,10.376131195311814,10.585457877910216,13.499577453617004,18.11484039484043,18.32184820205357,19.92028911896008,19.54194300368756,20.964862442867467,20.56085618327931,14.306195845853852,12.41892276880366,12.432411404394449,10.779254672850346,6.005906720541675,4.641947303129904,6.810059848346403,4.259198641083246,-0.4433969347252137,L7
1999-08-20 20:46:55+00:00,5.3299377234127405,3.7522262217797575,0.7827428447118482,2.593097557862248,-1.8225171261134496,-0.2081235455854437,2.9710292010749595,4.7088585466851605,4.560588946710222,3.959679840403389,0.8511725918738551,2.18846475138836,2.1065887980823064,4.524814668679873,6.037564113045665,9.00549227478895,12.073673814391505,11.909380693850988,5.431171204927523,1.6412027913348055,-0.1789572252626246,-2.15450972649612,-1.6977486560539246,-6.9601575428550735,-3.697334509066101,-2.9629325645963345,-5.170263739920898,L7
1999-11-15 20:53:07+00:00,11.197775927644704,12.221667324143889,6.916031945285039,7.245909206502067,2.6061180045255847,6.296458500803863,7.726849720744927,7.981971628384675,4.024693604874305,3.5973865951557267,1.9265090693688165,2.8465565127092107,6.17737244953548,11.246252928596348,14.960241320649851,14.824606989686178,18.91050135134513,16.162951245391124,6.687721255544187,0.195909871087015,-1.8175725072145348,-2.796010373774103,-4.431670859468043,-3.1277785068108583,0.5519913670593943,3.013836816869728,2.900674307381608,L7
1999-12-26 20:46:52+00:00,8.49934126345452,10.219500735921388,6.32128478738464,-3.1184610409398967,-7.81355925328414,-9.044382317499547,-3.867424013622256,-7.613300630969613,-9.805611268988637,-12.84634184616888,-14.228622726538932,-11.19247886632838,-13.022838279300084,-7.443776094865035,1.2567771935615664,3.58295334401158,8.846901821510185,5.303939201147243,-3.9532808827520025,-7.8318432810267105,-7.04426144135595,-4.64478987151792,-7.129533430106038,-8.56802112462713,-8.622792901579835,-9.903621124613336,-10.752640403581548,L7
