dates,oahu0022_0001,oahu0022_0002,oahu0022_0003,oahu0022_0004,oahu0022_0005,oahu0022_0006,oahu0022_0007,oahu0022_0008,oahu0022_0009,oahu0022_0010,oahu0022_0011,oahu0022_0012,oahu0022_0013,oahu0022_0014,oahu0022_0015,oahu0022_0016,oahu0022_0017,oahu0022_0018,oahu0022_0019,oahu0022_0020,oahu0022_0021,oahu0022_0022,oahu0022_0023,oahu0022_0024,oahu0022_0025,oahu0022_0026,oahu0022_0027,oahu0022_0028,oahu0022_0029,oahu0022_0030,oahu0022_0031,oahu0022_0032,oahu0022_0033,oahu0022_0034,oahu0022_0035,oahu0022_0036,oahu0022_0037,oahu0022_0038,oahu0022_0039,oahu0022_0040,oahu0022_0041,oahu0022_0042,oahu0022_0043,oahu0022_0044,oahu0022_0045,oahu0022_0046,oahu0022_0047,oahu0022_0048,oahu0022_0049,oahu0022_0050,oahu0022_0051,oahu0022_0052,oahu0022_0053,oahu0022_0054,oahu0022_0055,oahu0022_0056,oahu0022_0057,oahu0022_0058,oahu0022_0059,oahu0022_0060,oahu0022_0061,oahu0022_0062,oahu0022_0063,oahu0022_0064,oahu0022_0065,oahu0022_0066,oahu0022_0067,oahu0022_0068,oahu0022_0069,oahu0022_0070,satname
1990-09-11 20:20:05+00:00,,-2.2606808401912986,-0.991404428115938,,,0.1362118770975566,-1.4224065427813768,1.5301286423328235,2.7590273858399934,-1.3076688425886327,1.492079331525256,5.713573874026277,9.914099658893084,11.47769836126516,9.224392240077291,7.586203678931613,8.181154862008766,7.765010565385386,5.622039204929411,2.365837243782829,,,,,,,,,-15.703668863980395,-9.942094968064335,,7.41396981334684,2.9285715656708105,-3.414631170406216,-6.827966093488399,-10.132133805390144,-7.826704819054516,0.6777252688450859,,27.132051817380432,25.771813966123588,25.602570571183303,24.454054498152463,23.56781461634017,19.32247307475373,23.970128081090618,20.760411244481148,19.495898428544084,16.82155014458809,14.512052438174836,13.636488031328335,,,,,,,,,,,,,,,,,,,,L5
1991-10-09 20:18:07+00:00,25.723990842392343,25.16578448546421,21.49506546627464,20.890903133155167,19.083427846874613,17.286495639702945,20.34718558335691,18.714103444447137,18.687669901204963,14.209952781366152,15.084702801177697,22.758347699387976,26.48586948048457,28.641710171448374,27.414799382045427,25.26367250571452,24.42589537416984,24.164753485659265,26.253270845841133,22.03157103446962,20.348247940430188,23.110561163830862,22.44837705854525,24.16035067357534,21.05543345072271,20.735107861620573,18.876230437321727,19.523772996536685,19.36805533435535,18.583264787977352,23.51862095370961,23.4562408038021,23.9230175903588,28.66108452753065,31.66381709727029,27.62495964182513,26.031424519914903,28.398513303667432,30.70470702764643,35.413886136095115,32.23007483395357,32.26085345976551,28.83173308097817,25.143288509134177,20.963435365633256,22.75769050639857,21.44564483579325,22.517409441213584,26.80888021030391,26.771774517448133,25.13560932031253,24.06442073106439,22.155016349608804,23.155520073685583,20.451067927667733,19.19465286744857,22.724558908875085,23.886094279140988,20.866936299943664,22.674704711881805,23.10405308272197,29.45910622115926,35.79159927851399,38.386827038747526,,,,,,,L5
1991-10-25 20:18:11+00:00,19.647191803524976,,4.7425363538318095,1.2539051749888324,2.667482526834808,5.204173236196802,6.768989813151264,10.827335576896296,11.83901481370439,7.319294834081586,8.358811141213494,10.138091288508551,11.968291739581217,13.779374957235044,12.854408567374623,10.516406991368497,10.107072652625192,9.31705733946927,9.462895967120792,10.081130248383884,7.690799278453386,11.421283357537474,13.757376899440205,13.908152108493193,12.339210374592998,8.272691005161288,7.210723112737407,9.153857160825076,9.711844336411412,10.246155260892587,12.581323718383372,11.947968330902734,13.129713449285497,14.319632024202871,16.701144994780577,15.027017704190044,14.43769318103099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-11-10 20:18:16+00:00,19.251561354544776,12.607129146103274,14.00020058577385,14.05310883114268,14.761316654828274,13.50734159762718,15.115424044166792,,,,,,,,,,,,,,,,,,,,,,,9.870941408103436,11.102727967272251,10.483998319038628,9.0206471797179,8.883292673176951,12.647388768998104,8.801127422742011,11.22715384968729,15.273988427795713,17.060316810150326,17.638836983192974,15.600910224833967,18.23582702637536,17.890963139628116,17.9736418723552,16.158755285302956,16.296881968469375,13.341823102902238,13.188909708766603,16.17188574248853,16.395957166101333,14.942471516021016,14.707368666735093,16.316254648371448,,,,,,,,,,,,39.14616060343651,41.26248179042833,42.10015604632827,,39.18911585476185,41.47848747488368,L5
1991-12-03 20:24:42+00:00,27.40200836992388,22.03553014284346,23.63566262828908,22.752332970249338,14.269521285949736,11.30735012573873,10.99345793486603,13.539306640826355,15.662484829740494,15.060059022922657,13.809253716576093,13.532197054595256,9.009178730470842,8.689701013821258,4.761237341832543,3.1813378608888594,3.2009523694541664,2.4002752293464584,1.7397064565793872,,,,,,,7.052467053568363,8.256612297619379,9.65029144321632,8.730336401608396,6.034511661445732,8.932758387114383,8.723395299452823,7.442144294413544,11.375260355531845,15.228534019982236,11.28703635092986,10.986302378509093,10.866613882656624,13.984338241437456,13.535411636019438,9.783879214703594,18.32187278814217,17.817535592261635,16.48803855850372,13.078716484913835,15.72025939605927,15.869080800489796,13.609541099218395,17.882733382699627,16.04545159438609,15.035632123734285,10.442696433818131,11.959957808391753,13.046515985428,8.969339578042247,4.016152684433994,1.2214758231645269,5.519850727467047,3.30122670732745,4.64893915091318,9.93186518353194,17.51650766060658,30.25581583052552,37.16653505975335,38.5352884035421,33.436545891899186,32.284964717798296,38.00908757781695,,,L5
1991-12-12 20:18:31+00:00,20.330132369064103,16.888278757242535,17.04616653241703,16.027760249048605,14.77582382007174,12.99793892125192,12.362765396987408,13.85922055818714,15.744051848082483,10.737967536624703,8.707498563196573,6.435915117734327,5.188517430217725,5.050496303473452,2.869181089495334,-0.6398915325377026,-0.0206895964606232,0.2106807105816587,1.0619577337722153,0.6098812340227497,-0.9131309949782144,3.846948717543839,5.743688741900611,9.09599732380292,6.687963134426469,6.805100618926035,8.541910506556889,9.530797363589642,9.938512112417502,8.624927130917275,9.68531963369144,7.647979998392302,6.224669518450305,7.223652787842352,6.093108256411601,1.71649092642982,-5.991606724267912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25517422975415,,,L5
1999-07-03 20:46:48+00:00,24.00914298599093,17.908650094406234,19.840871706036257,15.794486900361708,14.727135371999577,12.149251671784413,10.48245516712415,12.745701979775696,12.93300020201576,8.557449244636492,8.750941992059655,11.15150971628654,11.24570361393817,10.70677167096319,8.09866245201581,5.740179582234154,6.729213876263106,7.357892354326472,6.263652945921969,4.254200934777256,0.504677299760087,1.2842998482993853,1.623926662948847,2.4142218754478364,0.1667751011712783,0.7747532270512716,1.966635477933501,3.39599407094744,4.373660381898479,6.0010932461453805,13.66361976483051,17.041183380460808,15.627152536407202,17.199328343592015,19.6653753975156,17.077603632721523,17.93583921373843,22.82001002485581,24.692138790740348,28.287965909226443,28.364725369917643,26.62229197568384,19.988588400431965,16.694731570806077,13.063384340969256,16.913606535060904,15.02354954602951,13.835245588696113,18.617395215358087,17.103855953438277,19.255397795391826,18.46182168082593,22.37336916424957,25.219235590149843,22.86719752129238,25.49274196044423,29.75597424369905,30.53156820774922,27.88802930702808,22.64526370503009,24.04227210463872,29.96972730210936,35.89378795682582,36.07320807094611,31.999162157922274,31.868521615599835,,,,45.34102920911337,L7
1999-07-26 20:53:05+00:00,,,,,,27.6195496791388,29.275563553805384,22.249242831491458,23.73580470914685,22.902729012927825,34.30460570426068,35.934951106147594,35.226927083643254,31.631420801804424,28.680007504019795,27.134385880689845,28.8099351623952,27.83318488293949,33.23810951897577,30.06707782245444,26.41086123375478,27.79882978080457,26.820789234940136,24.83510123082908,25.28679655765924,22.259854022020303,22.8083606413464,26.311523273532885,26.84084624980004,25.970508094998628,35.34687846454295,,,,,,,44.0285337343004,,,,,,,,,42.87601296664607,,,,,,,,,,,,,,,,,,45.55771919394281,,,,,,L7
1999-08-20 20:46:55+00:00,20.86763122583231,10.591725996629464,8.441515616170406,7.990360317563542,5.993612508191634,4.62259573332677,6.740052874181049,10.573559718420436,12.022872960474274,8.050008537994163,6.509182751050798,8.66053398645381,9.31344511784392,9.87152668767204,6.73878028656526,5.140506843015181,5.029967452010939,5.848435451851476,5.211318087238368,2.641374490849352,-0.6655982170872969,1.0140812074521406,2.63105195456361,2.060486287424532,-1.165327387146495,-2.196281265197025,-0.7384830593105913,0.7666038599397675,1.4261856088013538,0.7343398971033591,6.7759502320958624,14.134966869553274,13.86991788087774,18.03235281653948,25.40732515581845,21.51373434959815,20.979022783841007,21.51996042511908,23.78805973824343,26.328269580157976,22.460347128414984,20.50459061529224,17.08597877789179,15.834656688378342,12.501086436291958,17.729058006953814,17.483052437829482,18.61009291768716,21.045352477777424,18.87079101085465,23.064368015431054,21.549297185882065,25.14312572642489,23.17684074996008,20.83729462904752,15.554042983658356,,23.491135118063426,22.693583388427783,17.877870769285,17.85927849407486,24.0310551134586,30.372058212974974,31.47007880544388,,,,,,,L7
1999-09-21 20:46:59+00:00,,2.754647165515108,1.8628491174243773,3.090457432720341,1.6999504610290346,0.4808813103481921,0.8841504399729727,4.236582925460464,5.38277482297155,0.8310272201428441,2.2064964778582685,3.088508882095521,3.791152073105124,3.449595924642054,0.6277676975534789,-5.402238975590948,-5.875426800105151,-5.737679877886695,-3.195752725192831,-6.422221471147967,-9.086882194446154,-6.650911275448449,-6.721089625144133,,,,,,,,,9.640612735476088,9.89738354871526,10.489954538864083,16.22885975029357,17.274537237956928,16.41832326063598,20.60017089451594,22.76340411239556,23.57602385571181,18.80816586254537,16.05097388315589,12.51599929884966,7.153474548909786,6.173350141624662,11.408861399566971,11.1717765565969,9.239864990684202,6.931846449578534,4.504088661957265,3.932547962855008,2.945473202705029,6.407589444757996,9.61756342419578,6.915997535498375,5.781250766433654,9.307580792923678,12.838897369441788,10.476224930494142,9.133807203534356,13.792070020733773,19.331074119327543,28.51304365096191,37.134527083433646,,28.221192341726272,,,,,L7
