dates,oahu0006_0001,oahu0006_0002,oahu0006_0003,oahu0006_0004,oahu0006_0005,oahu0006_0006,oahu0006_0007,oahu0006_0008,oahu0006_0009,oahu0006_0010,oahu0006_0011,oahu0006_0012,oahu0006_0013,oahu0006_0014,oahu0006_0015,oahu0006_0016,oahu0006_0017,satname
1990-09-11 20:20:05+00:00,-2.322864866937836,19.670988722011906,18.25095371874867,14.894601878297095,18.55944164733942,19.994024290098565,18.023937231103723,19.34410703997637,19.22300943273902,27.656361181465115,31.4474332356168,37.53774912980097,53.26325188131924,62.0461039997488,60.84575798629805,58.41423265761029,69.69306030132736,L5
1991-10-09 20:18:07+00:00,-14.08654058638457,2.47726971023639,-2.058821951748316,-9.458868934656426,-10.993518215726647,-0.7885368621768574,2.653858175322186,9.999344644797572,3.372848231914597,9.419595261778516,17.899866835498575,25.77320392459952,38.74500437105112,45.429473320458776,45.26912246948822,40.019273939659946,50.79842732722005,L5
1991-11-10 20:18:16+00:00,,,,,,-10.455011400395431,-9.83703054927047,-8.621138978876177,-7.832595967917849,3.687289107684484,4.399338656215354,5.9903893306602845,13.738250550320853,24.080314345935605,27.481626820542328,23.636430376611298,34.09767351369712,L5
1991-12-03 20:24:42+00:00,-19.42824672033348,3.513267697111194,-0.8041875367159567,-9.718630825424114,-5.552435193912037,1.826114775792786,-0.4847641208830876,1.808865141618172,7.182879040792074,10.65854987475161,8.183846430644492,14.706250802669883,23.212516436976163,29.4152854574634,34.226173383777386,30.208254445729025,38.33981013558412,L5
1991-12-12 20:18:31+00:00,,1.4244312211048151,2.826165205087766,-3.5446048002115407,-1.561789185577772,2.806518462406697,4.828471672517449,7.074011227094911,4.02054243603152,8.939094017767353,8.924622244601213,10.286951062628422,21.41010657378456,36.62547528226918,41.74166066429933,32.76094328220925,45.43662396635544,L5
1991-12-28 20:18:23+00:00,10.167741791778656,13.6521463441836,7.811675194463596,8.056150413985282,17.756799851206985,26.21722772003241,32.27345423846215,34.79080204908422,39.90700223601779,44.62250437078048,52.79806082244245,57.5680580921363,63.4386952416188,69.3443429109624,63.955264627448855,62.36935352481988,85.84399750895531,L5
1999-07-03 20:46:48+00:00,20.4369258707603,17.668231088817954,18.575082246691995,23.69504034775486,27.025844555251663,25.57915562461944,21.21013732624,22.31974990831545,12.330195749097868,14.386698823959474,17.904514349974793,23.13947618887148,32.2748926694645,40.33996742028974,41.42748531353198,33.494912248012376,,L7
1999-08-20 20:46:55+00:00,,,,,,,,-8.184828941862012,-13.689099486500718,-7.713873486044035,-7.08241736706308,-2.233236694543855,9.415827840905514,16.856507872222597,39.38036752393488,33.33927984096276,40.69554803052155,L7
1999-09-05 20:46:59+00:00,14.054892752200182,25.692006481099224,25.15032763729792,25.181586858142666,26.57348097036052,24.292615846432824,10.624526798296532,16.72583668687168,11.96205125084435,26.45753685728214,33.52563484407174,42.49437026903687,57.45366045962973,64.45030373718676,58.946923854512015,50.23617943690958,61.07835957918107,L7
1999-09-12 20:53:05+00:00,14.534468798056308,21.3921472030206,19.72331167630282,21.197046593003364,24.79420373022405,22.13448942388924,9.916843097660228,6.518879498898505,3.392548143328652,21.518453829963363,27.3113148048645,34.75579793872704,53.70913670008665,63.03258230342686,57.60009416542794,51.73186537743671,61.63141720478068,L7
