dates,oahu0033_0001,oahu0033_0002,oahu0033_0003,oahu0033_0004,oahu0033_0005,oahu0033_0006,oahu0033_0007,oahu0033_0008,oahu0033_0009,oahu0033_0010,oahu0033_0011,oahu0033_0012,oahu0033_0013,oahu0033_0014,oahu0033_0015,oahu0033_0016,oahu0033_0017,oahu0033_0018,oahu0033_0019,oahu0033_0020,oahu0033_0021,oahu0033_0022,oahu0033_0023,oahu0033_0024,oahu0033_0025,oahu0033_0026,oahu0033_0027,oahu0033_0028,oahu0033_0029,oahu0033_0030,oahu0033_0031,oahu0033_0032,oahu0033_0033,oahu0033_0034,oahu0033_0035,oahu0033_0036,oahu0033_0037,oahu0033_0038,oahu0033_0039,oahu0033_0040,oahu0033_0041,oahu0033_0042,satname
1991-10-09 20:18:07+00:00,,,,,,,,,,,-17.801381421983976,-9.67677587684604,-12.421355910105614,-20.01831089179629,-20.11034266626033,-11.7216908511112,-7.57801572030192,-8.14259887623286,-10.93953581004943,-15.71581394460877,-17.19240724892741,-16.95662267007795,-11.333974658817944,-4.405198873259563,-2.5609690609717304,-3.8514490302991873,0.3307692889191346,2.827922607523784,4.341693667526192,4.185774882829877,0.9785304462104264,0.1798397410095858,-1.7680236273158108,-2.468457550708413,1.482969489768506,7.638319616573669,12.77007449682535,15.238715780678268,14.970477138769809,12.904756968841587,12.522846538642389,6.5737458666579816,L5
1991-12-12 20:18:31+00:00,,-18.50209610702529,-14.699104288029478,-13.081285658572622,-11.536016938141422,-9.045053099698285,-6.355637707982298,-5.4275586127769095,-2.096462857461596,-8.053441238654584,-16.48979668223619,-14.487532908425251,-15.958418513999977,,,-17.861984992588745,-12.353402365517272,-11.341458449190238,-12.384710485278427,-9.181330631243306,-6.3924378829042325,-2.570779733255129,0.2178966194281991,1.4781139530608236,-1.9678995187599209,-5.315067563865769,-1.8841778496679744,4.1345899287398495,7.972509302016501,9.476584070468988,8.468859872877903,6.426101441461547,4.315221042690897,4.6947953234033335,7.483720518540952,12.948195515743812,18.100739985563536,24.60577288964945,24.09639572191646,18.91777297141123,10.963530446383508,-3.03692437549131,L5
1999-07-03 20:46:48+00:00,5.738592244268205,2.2180857732468704,-4.002753407347448,-10.590715273714649,-9.479704788981277,-7.270819297465153,-4.642801240592763,-2.3284113196420746,0.7808075630040192,2.7572651338434904,2.552434491104802,4.5967548418148825,0.8829071588209603,-3.108093527730431,-3.320980641962392,-3.2372107453275083,-0.9165585986416568,-0.8868909765668702,-3.1999339416275907,-0.3235535234662365,-0.973847269361822,1.1197751466574717,1.0497579905485894,2.01076753258213,2.8854771886221444,1.5887915302405142,3.3490002622732584,6.504389812214012,7.790729288347589,5.207243087040024,5.026245561578954,0.7012549938304575,1.5979517187122427,2.4589646937083467,5.676528488662791,10.427007034740877,13.373855310025178,17.16704983187676,22.536170390959608,23.04951146281365,23.79229269406339,14.877056497914978,L7
1999-07-10 20:53:01+00:00,-7.346343183553898,-1.6470409541927271,-2.6938788131768643,-8.40930300769811,-3.398606094176438,3.035963213125152,9.94474992464148,9.702247732925684,14.090741820934914,10.8593558334315,6.196837158173379,12.235143826567397,1.0808007417280567,,,9.08042507108966,13.376505809372707,7.310504863536236,,-6.575281532508445,-7.204597697367468,-11.97986797584812,-12.218403287804811,-6.700219556244736,-11.198496396184687,,-17.82508519248333,,,,,-17.072226764623906,-15.694782824930128,-9.70679584314898,-13.953643708448793,-2.161176972909548,,,23.74233557740719,25.20363028829708,23.95119275897645,19.283945441449653,L7
1999-07-26 20:53:05+00:00,,,,,,,,-7.568757887604155,14.505763161760145,17.030871855763397,19.58018639205424,20.165124131377866,14.431482162923318,10.461316239465376,12.983969888025571,19.868286599414223,20.308365545638114,21.50789944948083,17.014427098885097,16.09552782844865,21.122316258485213,24.991932018959908,21.835097034506774,23.582675809579225,32.81140759324295,30.80662772287181,30.489947677594504,31.184247148715297,32.97698360138399,30.39498834619614,30.41845766895157,23.849850067666704,,,,,,,,23.09625656574781,25.25488955996258,28.88922055164593,L7
1999-08-20 20:46:55+00:00,7.111600903642647,4.777861439286036,4.5741171622961305,2.1587371922559067,0.3057998020070842,-0.4280136549755675,-0.6878408638839941,3.71588281589639,9.145085016120865,9.366990821249836,5.675055298151962,7.241030615029023,3.3525825046444284,-0.5808820549366045,-4.116560692291077,-0.3846582547329964,4.090647327521047,3.737637354083046,3.418019709353758,8.477706412077982,10.208870524637668,10.866465622722265,12.170344501717643,12.981195493709452,12.139543659431071,11.077537843698703,14.836838291454278,17.26497796642888,19.14216726634092,18.47038034142306,14.658731254375104,9.211707919862974,9.508889580059565,12.581770142699206,14.902304127767096,19.232204849806266,25.586669378572207,32.69327313143866,34.54489638437351,30.48703824913317,25.906042540544348,12.61219367751954,L7
1999-11-15 20:53:07+00:00,-14.793230830274656,-11.221818254502535,-12.011946245643063,-9.254726942330093,-2.415931013541819,4.954029784984723,12.8264717262614,15.916833985127594,17.412999998210232,20.16368845919881,13.87064404787732,6.944371478097811,-5.738534100496713,-17.40494283601229,,-9.527980934115613,-0.2804930034626274,0.5106988318961889,-1.1832936300207173,15.74733449930254,11.92310181975968,7.275212861235996,7.49501399918617,13.430141074524286,12.813169892887371,0.2737975757844071,13.782185250988007,17.707277277466105,21.83766838643289,22.513402699496496,15.249193960883836,12.122460860829928,18.7702689583476,16.039268172712816,17.548040347886698,24.043257618992783,33.827386909774646,47.78755907810641,,,,,L7
1999-12-17 20:53:11+00:00,20.760750659204284,19.97013132932362,16.641540743999172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-27 20:46:52+00:00,,,,,,,,-20.087434791444725,-17.12469378304349,-8.518952191288424,-7.873728782216448,-5.743471939744737,-8.40523143822877,-11.823039643570596,-19.857240121290925,-11.97157965039626,-8.636960782286081,-7.055302516964783,-6.549415703076166,-4.620424669163995,-3.770496520502872,-2.1412740233912304,-1.7708866278331086,3.0170949729699736,3.422844716792548,-2.920075246283192,1.9999572565152608,4.473949596035224,7.693986346617502,6.505635092122235,6.30848211702005,1.2651115118870728,1.467591923907824,4.99798376226107,9.123612172599609,10.286970100584602,17.48072223940185,17.629392054890147,16.370694753078425,14.51537930363473,10.51244019381515,-2.120975057753577,L7
2000-02-12 20:46:47+00:00,1.7854984780277183,-1.535933968266222,-0.0859958571422341,-0.9566261717165156,-0.8945887554955485,0.2256155462608076,1.7955358530236678,2.1110073288254823,5.862178257888998,8.454972212115187,6.555437937751527,8.622753386444597,4.735140577435668,0.971009962153043,-1.8846648063288187,-0.1373620809951862,2.6447540070668176,1.5532889373356928,1.12236679456809,3.398280720233603,5.192024049517708,6.267670319309658,8.043356386895915,9.4097016064457,9.089792976982883,6.542741560365076,9.86928242514039,12.372775524417737,15.468803306049054,17.341296568950607,10.996314916971563,8.16139379687025,3.566428348350459,3.360739416438615,7.613185803157935,13.591833113299906,17.550378539492186,22.301965785906848,29.074057154038755,27.285779793925578,23.43873321804829,9.198369716837613,L7
2000-02-19 20:52:54+00:00,,,,,,,,,,,,4.477910227462661,7.057727352601318,2.276252457535388,-4.855207774962991,-1.7988503860981315,-1.3762440715371054,-3.812691134591795,-5.202403634288488,-6.205239543474414,-2.311617858805708,-0.4078732189243444,0.4261055245411563,1.1087430927413702,0.6307503954683357,-3.294245229972344,-14.358544106386802,,,,,-17.469391995019986,-7.65410367354069,-1.586237840977344,3.11614753250987,9.545129787844166,13.69143420667356,14.742246510672462,16.03588954671311,16.32519678760846,14.131527395222223,2.707740287551015,L7
