dates,oahu0042_0001,oahu0042_0002,oahu0042_0003,satname
1991-11-10 20:18:16+00:00,,,,L5
1991-12-12 20:18:31+00:00,179.91039261344127,172.70103107295316,175.7737339303454,L5
1991-12-28 20:18:23+00:00,172.4556233971115,171.82134050141977,167.07047774162334,L5
1999-07-03 20:46:48+00:00,173.27688439718665,172.16838499713674,171.59515698175906,L7
1999-08-20 20:46:55+00:00,178.56892209577208,177.71255453384978,176.36307954478522,L7
1999-11-24 20:46:49+00:00,175.87313417323344,175.97081419939823,175.22510463666345,L7
2000-02-12 20:46:47+00:00,176.5513062419217,175.37191058704892,165.22208045249212,L7
2000-03-15 20:46:37+00:00,178.71226065884932,180.88669885559648,177.35999364483527,L7
2000-05-18 20:46:08+00:00,171.21209853914544,165.77511550089417,163.0795814437692,L7
2000-06-03 20:45:56+00:00,172.79858106204446,172.92280969682488,170.81911219157095,L7
2000-06-19 20:45:53+00:00,174.8491780443482,175.53816134996046,170.0994180855759,L7
2000-08-06 20:45:09+00:00,175.520813788194,171.7753876655406,174.66051410335768,L7
2000-11-10 20:44:23+00:00,174.54186070626818,171.2720862931846,176.54236859862087,L7
2000-12-12 20:44:27+00:00,169.10330914385224,167.0326481133988,159.4513559296229,L7
2001-02-14 20:44:29+00:00,,,,L7
2001-03-02 20:44:23+00:00,182.57933869923568,181.91988584702167,176.97542753413654,L7
2001-03-18 20:44:17+00:00,177.12162890450338,178.96865815743638,174.31128233840866,L7
2001-04-03 20:44:06+00:00,177.00397874370103,178.1264295699547,170.45123586680182,L7
2001-07-24 20:43:19+00:00,174.4468143757457,174.59250699390455,170.9780559858323,L7
2001-09-10 20:42:38+00:00,179.24627759175695,179.0497673691458,171.8261720133077,L7
2001-10-12 20:42:13+00:00,178.25871881435808,177.7625223868466,179.3587246227589,L7
2001-11-29 20:42:36+00:00,176.36202044407497,175.67735793451513,170.89600117927412,L7
2001-12-31 20:42:36+00:00,171.83105393498087,165.8136748739361,168.51408320634508,L7
2002-01-16 20:42:50+00:00,175.43239560300057,177.55838228230286,176.4787969567415,L7
2002-04-22 20:42:49+00:00,174.64218213307828,173.4552123293544,166.67363227510438,L7
2002-06-09 20:42:36+00:00,171.52056524892993,169.26251217275197,160.47617478607512,L7
2002-06-25 20:42:29+00:00,172.24938788276202,170.0633178954964,168.88343259381728,L7
2002-07-11 20:42:27+00:00,173.81559665971525,178.47447076396904,174.7307107818993,L7
2002-07-27 20:42:18+00:00,172.71637592483876,171.45970753153358,170.4525478118909,L7
2002-11-16 20:42:04+00:00,169.5932653413467,153.9695431691268,159.75632757584208,L7
2002-12-18 20:42:19+00:00,178.02426453940006,180.9218830920481,178.33591540811602,L7
2003-01-03 20:42:23+00:00,176.65672062728595,176.17580692512956,172.87039645555333,L7
2003-01-19 20:42:32+00:00,,,,L7
2003-02-04 20:42:40+00:00,,,,L7
2003-03-24 20:42:41+00:00,172.02836448619198,167.06184186401032,169.8961900465001,L7
2003-05-11 20:42:47+00:00,174.9135091384574,172.09945696788228,171.1758714036927,L7
2003-08-15 20:42:28+00:00,169.55758304270287,166.21588194963192,166.98104327613973,L7
2003-08-31 20:42:24+00:00,,169.7352790055274,168.99361608836995,L7
2003-10-02 20:42:13+00:00,176.3890231334888,172.39232706843586,168.47772186982,L7
2004-01-06 20:42:58+00:00,,,,L7
2004-01-22 20:43:05+00:00,161.98078922845585,156.13403168579447,156.18418847979217,L7
2004-02-23 20:43:09+00:00,,,,L7
2004-03-10 20:43:17+00:00,,,,L7
2004-04-27 20:43:12+00:00,170.043159173877,166.30508510694847,168.08205262454152,L7
2004-07-16 20:43:01+00:00,167.42384540945545,163.63341214987923,163.9469054895812,L7
2004-09-02 20:42:47+00:00,162.60360743611466,160.54195103939293,163.24097404132007,L7
2004-09-18 20:42:41+00:00,,,,L7
2004-10-20 20:42:46+00:00,171.07347878291807,168.59377632556584,170.20573663167076,L7
2004-11-21 20:43:04+00:00,,,,L7
2005-01-08 20:43:27+00:00,,,,L7
2005-02-25 20:43:43+00:00,,,,L7
2005-04-14 20:43:37+00:00,,,,L7
2005-04-30 20:43:38+00:00,169.2013845531637,164.9919611133584,166.81730821542797,L7
2005-05-16 20:43:40+00:00,170.60258671571634,164.84970753243277,169.32501665834187,L7
2005-06-17 20:43:29+00:00,,,,L7
2005-08-04 20:43:26+00:00,175.0119505791312,174.50367339588826,168.66355361213854,L7
2005-09-21 20:43:08+00:00,174.875101345135,173.1171138423465,170.60588952277456,L7
2005-10-07 20:43:03+00:00,,,,L7
2005-12-26 20:43:45+00:00,,,,L7
2006-01-27 20:44:02+00:00,,,,L7
2006-02-12 20:44:07+00:00,173.1509839542879,173.92008587299836,164.6731447383173,L7
2006-04-17 20:44:03+00:00,172.74274716057965,172.70297761214053,168.10936456990405,L7
2006-06-20 20:44:01+00:00,177.28388017016255,172.55052250217753,171.5260129113991,L7
2006-07-22 20:43:46+00:00,169.74154378693947,165.43904073818734,164.97632344880876,L7
2007-01-14 20:44:16+00:00,173.33294375463902,170.16096552689154,167.72408332568884,L7
2007-03-03 20:44:33+00:00,172.75641528721422,170.0744345998158,174.62263795970483,L7
2007-03-19 20:44:35+00:00,171.23354988554465,166.4821024553492,170.2016963559889,L7
2007-04-04 20:44:35+00:00,171.9753573716401,164.64766614727506,165.2953529458627,L7
2007-04-20 20:44:33+00:00,171.76482453171687,164.19988907023284,,L7
2007-05-06 20:44:29+00:00,169.02644482677866,165.97732989874223,169.02732041756968,L7
2007-05-22 20:44:22+00:00,170.209192639234,165.36914313822805,166.1522398692056,L7
2007-06-23 20:44:19+00:00,176.1993437554869,174.59548990510245,168.21414638683103,L7
2007-07-25 20:44:13+00:00,174.58516497352832,167.5455150422781,169.60362672888752,L7
2007-08-26 20:44:01+00:00,174.1597617877733,168.56757282546,174.70102259871422,L7
2007-10-13 20:43:49+00:00,,161.17593638042115,176.6481814889695,L7
2007-11-14 20:44:10+00:00,174.23902424482202,168.072176305789,171.8624761655915,L7
2008-02-18 20:44:19+00:00,,,174.1950461511858,L7
2008-03-05 20:44:14+00:00,,,,L7
2008-04-06 20:44:12+00:00,174.2532607216791,175.77816325379337,173.869363269392,L7
2008-05-08 20:44:05+00:00,170.14807292613804,168.7799423212847,165.12397339125192,L7
2008-05-24 20:43:59+00:00,172.9117891067267,172.47867858240414,173.69186969769763,L7
2008-06-09 20:43:51+00:00,177.94789930863146,175.46015796519305,167.88399403592115,L7
2008-07-11 20:43:30+00:00,175.9145787078068,175.37476113068394,174.82012727576532,L7
2008-07-27 20:43:20+00:00,171.90837935939257,166.6209344222159,163.86671623483858,L7
2008-08-12 20:43:14+00:00,,,,L7
2008-08-28 20:43:07+00:00,,,,L7
2008-09-29 20:42:49+00:00,174.85180146852943,170.3205345587898,168.9484613585553,L7
2008-10-31 20:43:00+00:00,173.2794850061085,173.8401689759873,172.24763044042905,L7
2009-05-11 20:44:29+00:00,,,,L7
2009-06-12 20:44:29+00:00,,,,L7
2009-07-30 20:44:18+00:00,180.2275143207176,178.51716632711438,172.15199819151746,L7
2009-08-15 20:44:13+00:00,,,,L7
2009-08-31 20:44:14+00:00,174.91989243754767,172.7763416936495,171.35998285843954,L7
2009-10-02 20:44:10+00:00,,,,L7
2009-10-18 20:44:15+00:00,176.62684069064974,175.98681063913676,176.87384535359269,L7
2009-11-19 20:44:44+00:00,,,186.2368033736108,L7
2009-12-05 20:44:54+00:00,176.25664546346044,172.37371636280432,170.30408680830286,L7
2010-01-22 20:45:41+00:00,168.32672354022384,166.77479717035826,171.84473440774403,L7
2010-02-07 20:45:53+00:00,,,,L7
2010-02-23 20:46:03+00:00,177.881067923273,174.674994853406,176.26086469895978,L7
2010-03-27 20:46:15+00:00,175.18674762364225,170.3800355659638,168.3708711552254,L7
2010-04-28 20:46:15+00:00,,,,L7
2010-05-14 20:46:11+00:00,167.24257024547177,165.85881055900322,168.14104890436096,L7
2010-06-15 20:46:12+00:00,171.76504318730923,171.81441667756098,174.1781577614481,L7
2010-10-21 20:46:30+00:00,,,,L7
2010-12-08 20:47:02+00:00,,,,L7
2010-12-24 20:47:09+00:00,173.97375201783476,166.21074957243195,166.5140806283225,L7
2011-01-09 20:47:18+00:00,,,,L7
2011-01-25 20:47:25+00:00,174.52356136650374,176.94136187921563,175.41175526718868,L7
2011-03-14 20:47:37+00:00,,,,L7
2011-07-20 20:47:34+00:00,172.29757404756012,167.79086644954444,168.22212181048806,L7
2011-09-22 20:47:19+00:00,,,,L7
2011-12-27 20:48:01+00:00,177.25538723642308,177.54316069219223,176.6918487614846,L7
2012-01-28 20:48:05+00:00,,,,L7
2012-03-16 20:48:10+00:00,,,,L7
2012-04-01 20:48:10+00:00,168.5476387564941,166.00214272912038,170.00953607974168,L7
2012-04-17 20:48:07+00:00,173.32061054930034,169.81076204544686,170.21627433408165,L7
2012-05-03 20:48:34+00:00,176.26784237613992,172.30692726210873,174.07582901728205,L7
2012-07-22 20:48:55+00:00,173.28477110978824,169.23598750248289,173.06318693521143,L7
2012-08-07 20:49:06+00:00,177.66965518796448,180.8410621947213,175.70952335683265,L7
2012-09-08 20:49:27+00:00,180.52369619929405,182.68751505831463,180.31947919693005,L7
2012-10-10 20:49:43+00:00,173.87817319301348,172.6551569781467,169.21436263185424,L7
2012-10-26 20:49:53+00:00,178.14113772303193,176.96062929467726,178.71653823324576,L7
2013-01-30 20:50:16+00:00,172.19104524868038,174.3708978481202,173.17859916865584,L7
2013-04-04 20:50:06+00:00,165.86811000094414,,,L7
2013-04-20 20:49:59+00:00,,,,L7
2013-05-30 20:56:07+00:00,166.68724786117323,161.08686003260652,161.72938620432717,L8
