dates,oahu0084_0001,oahu0084_0002,oahu0084_0003,oahu0084_0004,oahu0084_0005,oahu0084_0006,oahu0084_0007,oahu0084_0008,oahu0084_0009,oahu0084_0010,oahu0084_0011,oahu0084_0012,oahu0084_0013,oahu0084_0014,oahu0084_0015,oahu0084_0016,oahu0084_0017,oahu0084_0018,oahu0084_0019,oahu0084_0020,oahu0084_0021,oahu0084_0022,oahu0084_0023,oahu0084_0024,oahu0084_0025,oahu0084_0026,oahu0084_0027,oahu0084_0028,oahu0084_0029,oahu0084_0030,oahu0084_0031,oahu0084_0032,oahu0084_0033,oahu0084_0034,satname
1990-08-19 20:14:00+00:00,20.15201034136505,15.58020044165815,12.974545128656487,14.322940709176567,14.76546189473978,13.055374006996855,10.292389542372923,5.7624212993487856,2.626235375405929,11.417146308978191,12.901089233394382,15.483789618863316,15.193038353492604,11.351290032366196,10.858575000890532,12.757181431864725,12.168787890366715,7.988348135828389,7.382530957551989,10.793471377026236,7.223244106313194,4.609725479159523,15.374615852733982,19.07579970258837,18.13833907840964,15.989025051177194,17.349191723551723,16.615070126433878,20.300733702515736,20.39089519547079,13.028686929498912,14.05846513486466,11.075281111524296,11.529637616270849,L5
1990-09-11 20:20:05+00:00,12.072666605776972,14.017460201419542,14.68375581609386,15.931453274067255,13.219564520116528,10.846151472060594,7.553207478588237,3.69038622257942,,7.593419203415872,11.924812730849936,17.148184640144603,19.086827667423407,18.802222634159524,16.6102435185833,17.21031553175635,16.14914444792133,12.473098758806668,12.052651746846934,13.976273753067565,8.654066353618905,4.1727184620014,14.025890279018412,15.68508455845739,13.523754536826402,16.702517421802185,15.703430914570266,13.994447744131676,15.74940944116359,16.431551697530832,10.499881343272474,10.075264617433554,7.628444109958691,6.990532732672862,L5
1991-10-09 20:18:07+00:00,3.1521953089373955,0.0159474692172388,1.3024661803469055,1.1454425912803867,0.5562284328478015,,,,,,,,,,,,,,,,,,,1.8709069808224763,1.1548400284347975,3.2775073346864056,6.508998048927701,0.3605786126440664,1.303080634179271,4.145939092446126,-0.5835619911658827,,,,L5
1991-10-25 20:18:11+00:00,3.213564504422934,2.013772936135589,3.2438110515003995,3.4755537705038013,3.614052017911846,4.09076174518777,1.7930329947906398,,,1.0946656669183443,0.1394255794136908,3.3891976265013737,7.474424124440173,5.990675732311949,2.633174309693068,2.852513490836418,0.5946531739739047,1.3762380909237537,-0.1252052104495828,1.19824908807659,0.4806100344987047,,0.7814262506394523,4.217657049054873,3.818136428048057,7.242385787680929,10.604843056686134,8.408844043592069,10.12329024236426,10.43435044869659,4.459083476782219,3.4370860768229776,2.0854539788245607,1.7047011619179542,L5
1991-11-10 20:18:16+00:00,,,,,0.7560542091971566,,,,,,2.0358953014386527,6.705089919248148,6.979222402783694,3.366037842231744,0.3086946465493733,6.118913338048978,3.56002523740835,1.3536958338868286,,1.507226928858651,2.039570604288001,,,3.098051542901628,2.058945740671154,2.786110659842197,2.814639673815834,,,4.0836464740286,0.74801124226734,,,,L5
1991-12-12 20:18:31+00:00,7.396290028401953,5.303077890891296,3.772552516663268,4.061941083439252,6.379426938491195,6.388133307766256,1.3334042348218325,,,3.942139807046516,5.637530686824452,9.621849923231172,11.270839761604543,7.982523303928403,6.804718187671673,10.318991411029808,8.801645294698549,5.4619431827595735,4.876418651718092,8.12407181797146,4.853218583477913,,4.319850481992025,5.613447812781262,2.849992169159881,3.874859622193954,8.093767694300317,2.660091691041754,4.774092533336109,6.491805248247497,2.4336515029229653,,,,L5
1991-12-28 20:18:23+00:00,1.1248545177980955,,,0.4223677881582046,4.0086467454350085,4.421717051251599,,,,,7.457196088623039,16.16350148092543,17.65654440238597,15.413097285709783,8.399067653484625,5.918578094401561,3.74332414974585,,,1.735692989272775,1.6470934964823152,,,0.7242817483258426,,2.184853869197913,1.385381209144497,,,,,,,,L5
1999-07-26 20:53:05+00:00,7.294760925373494,7.812099026357816,3.7956936631233176,3.3590775619953623,7.171193586455758,7.840850388776297,7.027082657917101,3.1978627131956827,1.6187735650814663,20.84804293477056,19.34864897914245,12.34945767494719,10.474645983957668,9.63207002597608,7.579762256092014,12.64619854174219,9.516968488494562,3.890713662671679,3.081110157289011,11.83811986060744,10.105719257052984,7.464571885719976,14.2913876975218,11.45215538799276,10.860630315642576,15.025007409528929,14.762252150813708,12.321320279262697,13.925049595782724,19.61755197870107,11.620404363311843,6.018244613487519,3.994687893992877,2.760599515453193,L7
1999-08-11 20:53:07+00:00,,18.88396523028586,7.853347131527291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-20 20:46:55+00:00,,,10.204378563819322,7.342927737399417,11.239032890133252,11.028192572617012,11.252494667464704,10.088727943853602,7.11025621887173,20.38648276958555,22.90918402996256,17.650186178996684,16.860453989907008,15.678850334298025,12.431160858181826,21.17928226389091,22.7845059026594,17.68884914608848,19.50405748756438,,16.637594368466324,14.245887285039451,,,,19.30150440868643,12.310576522076811,10.895642124835517,17.99495310273568,21.715963160095853,15.37608889883414,10.538682915132648,8.569559901999735,8.479747282563466,L7
