dates,oahu0070_0001,oahu0070_0002,oahu0070_0003,oahu0070_0004,oahu0070_0005,oahu0070_0006,oahu0070_0007,oahu0070_0008,oahu0070_0009,oahu0070_0010,oahu0070_0011,oahu0070_0012,oahu0070_0013,oahu0070_0014,oahu0070_0015,oahu0070_0016,oahu0070_0017,oahu0070_0018,oahu0070_0019,oahu0070_0020,oahu0070_0021,satname
1990-08-19 20:14:00+00:00,37.32614067011531,53.58478201874718,45.24568293624379,37.76140568298453,31.768468135987625,26.03782643041225,24.377269073480065,23.75658606341145,22.410551734099585,23.33904573944568,34.35479687100629,42.56656523215732,33.236790565505586,33.85150785124976,43.65389051011154,44.75115382009892,41.05897320119636,41.15829232321629,36.290130219935484,28.732841363111085,,L5
1990-09-20 20:13:50+00:00,29.38072124438549,45.32206904919622,40.06173349215575,32.1451131267596,26.73794873258064,27.32122640878688,26.52658393887172,24.45748259974553,23.74316161492065,24.2447323741516,30.907612611812844,35.152067902033416,25.799539713557184,25.002710621809285,37.81766998075232,42.715468420043095,40.84056602575251,38.69064319863693,33.72738925765575,26.39207206132772,,L5
1991-10-09 20:18:07+00:00,,,33.38682053276406,24.644462320912083,17.472674290780116,14.378249160396663,14.962724840096532,14.227886136417172,14.484314536723442,15.02254715893772,23.9456554167492,30.828062185062336,18.339103920365915,17.21239550210114,27.31433351134036,29.85995923152763,27.400771780769908,29.381328817772257,23.955250433546727,,,L5
1991-10-25 20:18:11+00:00,32.514734885214025,48.435196808547765,41.302668402774,33.12178391000734,23.502567128770217,24.23078375784685,25.61424680791307,24.881749359877578,24.253404211726423,23.85975907411844,29.25882941798466,34.73643781704001,25.27155435709123,25.144348239536303,37.43401605032618,40.06131576514235,38.577992863553646,39.60553837213863,33.45233967683552,26.180670603929386,,L5
1991-12-12 20:18:31+00:00,29.71128354937793,44.96838081224221,39.22126950073481,32.46843769245654,21.604873427320804,21.07680333925418,21.41211766437761,21.15996517695206,20.720644125806466,20.45817420913033,27.163841839861902,35.156518064229765,25.195020376370174,25.371507495427583,35.63345718346481,35.28180990805907,29.86171980274652,30.911919497472567,30.50292149115536,,,L5
1999-08-20 20:46:55+00:00,39.91637970920996,53.696569507904336,39.75618620702426,31.92297323122269,23.861527938376657,20.67936014509901,14.68075887247624,13.878876281217568,12.118220542310446,11.367972450926132,18.893555921576983,29.951473430903555,25.10731898470036,28.76891781430604,39.47364307034968,42.66234143993135,36.7975431588133,31.32836643836171,28.77362952346877,21.981889533599063,17.272772105132756,L7
1999-09-05 20:46:59+00:00,34.12036082200826,49.72771448796427,41.6903762834219,27.477480227754874,20.963168492347155,22.785095771794666,25.04862510541478,24.2957529745508,25.567013076135844,18.810688318757283,24.195075951593736,32.76816930801424,26.26048488051636,28.458171154420533,38.86490138569243,41.50392754719172,38.26527577202248,35.59153687726263,36.96194254946188,30.23507072762526,,L7
1999-11-08 20:46:58+00:00,41.60884953943694,55.160216545768726,46.74193411565068,37.35754275942381,30.860101382371788,22.29375062984416,21.10601379242884,20.341648994521574,19.833424608966247,20.89049041743841,28.227911930153528,37.85688459124146,26.703562397302303,26.240838583856146,36.33976247481162,39.81251105257517,38.63289289504471,36.35637860330745,34.24541590607613,27.91461714196114,22.78621952299651,L7
1999-11-24 20:46:49+00:00,45.105523345396215,55.05778811902233,41.16341323831189,33.607599315457705,26.880748424578083,22.477272589737915,23.663877323999145,24.24963361304182,25.497441650965484,24.51922836166944,30.15380157115205,35.99624769130543,27.13787132885724,27.60861701622176,37.870561554804105,40.37138654039467,37.86406237850403,36.092093903818125,35.077451764868144,28.400955775548105,,L7
2000-02-12 20:46:47+00:00,46.215169038728526,58.866708152130975,49.418709492394605,33.91991532291294,26.62546044009045,22.810795571578645,23.700211892006465,24.07495641223733,24.82361872473025,26.55825439173008,36.101715626589375,43.2518476891633,33.78617687051757,33.5716485148997,39.89228942477738,42.66581973796167,40.237361285251126,37.94665865197573,35.59421650012778,28.91595617329955,,L7
2000-02-28 20:46:42+00:00,50.02493022032279,58.12984450887742,42.880527404590495,34.36095130942215,30.081223437990754,28.56702156005777,28.81700775736364,27.419634872683773,26.833049822295614,28.523458010423976,37.74347479860981,44.91677124671207,33.798484340188544,32.18240979249053,42.365715112271566,48.68321574118504,47.653776418226016,43.57325272681344,38.12874191638783,31.34960720928349,26.66615059137032,L7
2000-03-15 20:46:37+00:00,47.58614288116148,58.86345819442439,46.46967219017954,34.29216581162094,28.194069547520563,27.512507700663505,27.79277991232665,25.947389459266013,24.62698813928841,26.4460822747101,40.30236710802719,49.02666708248643,40.46449982764,36.35912003129938,45.75047463086404,47.8297477801159,44.446416918027616,40.17891368894679,36.23986745536154,30.733512057388253,26.189710105457703,L7
2000-06-03 20:45:56+00:00,19.76948028975289,36.20078148042816,29.952795584988458,16.335317508163133,5.860675889267688,5.956753213304673,7.269199775439043,11.145345012154204,14.40877696651988,20.186198729280928,30.20692998119925,38.01465303552951,29.56860856398396,27.010194008626154,38.18402667585358,41.526265474476205,39.425999584835296,35.784844374734135,33.02275494328378,27.557171277790925,22.340476183186976,L7
2000-06-19 20:45:53+00:00,42.85508764643582,55.767096095150855,47.265538345210885,34.64486017148589,27.65720431304928,24.71863591776393,22.56809120066812,21.65948802401462,21.63196667172397,22.94477574765744,36.25432635169312,43.94572009533556,34.73609897624887,32.52857428303699,39.77161516962848,43.0521718069856,40.4868733759701,37.06027639414206,34.73186243758051,27.99659708708478,23.416474138924965,L7
