dates,oahu0019_0001,oahu0019_0002,oahu0019_0003,oahu0019_0004,oahu0019_0005,oahu0019_0006,oahu0019_0007,oahu0019_0008,oahu0019_0009,oahu0019_0010,oahu0019_0011,oahu0019_0012,oahu0019_0013,oahu0019_0014,oahu0019_0015,oahu0019_0016,oahu0019_0017,oahu0019_0018,oahu0019_0019,oahu0019_0020,oahu0019_0021,oahu0019_0022,oahu0019_0023,oahu0019_0024,oahu0019_0025,oahu0019_0026,oahu0019_0027,oahu0019_0028,oahu0019_0029,oahu0019_0030,oahu0019_0031,oahu0019_0032,oahu0019_0033,oahu0019_0034,oahu0019_0035,oahu0019_0036,oahu0019_0037,oahu0019_0038,oahu0019_0039,oahu0019_0040,oahu0019_0041,oahu0019_0042,oahu0019_0043,oahu0019_0044,oahu0019_0045,oahu0019_0046,oahu0019_0047,oahu0019_0048,oahu0019_0049,oahu0019_0050,oahu0019_0051,oahu0019_0052,oahu0019_0053,oahu0019_0054,oahu0019_0055,oahu0019_0056,oahu0019_0057,oahu0019_0058,oahu0019_0059,oahu0019_0060,oahu0019_0061,oahu0019_0062,oahu0019_0063,oahu0019_0064,oahu0019_0065,oahu0019_0066,oahu0019_0067,oahu0019_0068,oahu0019_0069,oahu0019_0070,oahu0019_0071,oahu0019_0072,oahu0019_0073,oahu0019_0074,oahu0019_0075,oahu0019_0076,oahu0019_0077,oahu0019_0078,oahu0019_0079,satname
1990-09-11 20:20:05+00:00,22.274884274826587,32.568182401991976,41.456754948700606,54.45256113586349,54.35117173277438,49.307032670475216,42.618137882143365,54.07659005807279,54.0166952046677,47.02885454570471,44.45755100968637,44.66280480796778,37.20896045978643,27.221135654386263,23.5649511188052,24.86193417165691,37.608048686333625,40.312507914930855,35.41059355319014,35.514668660688805,43.06772127145748,52.43235487613735,51.03736671788148,37.57926315582018,26.25524236349573,23.16597636960527,27.506044803180654,32.67487415103008,35.16919086280436,30.75861063917589,28.896242990964165,27.947717425863694,32.13188355724621,43.96450724519209,46.09358391286103,38.02838817974041,38.62743783946582,43.55906024938696,39.70683552490239,37.176707940864986,31.75189757980177,44.62062771853426,53.33246085535489,51.07425249896527,47.91862992389012,44.30120227017247,42.94487455720339,44.320607530375774,47.29489804211769,49.38140304577998,49.15973035226832,49.99205210328608,48.90408159246386,47.02625969004728,46.73144714379922,38.737900977272055,37.84634549480111,40.8301736877697,39.10774075885859,36.03374202311044,38.29920498730719,43.290213023746695,48.95357243312632,54.91355955026391,61.90758302676946,59.8095915327488,61.52720632474807,74.5497055945838,80.46037786732985,75.52293888952865,63.9455009129911,44.5441358379226,41.12999541580885,48.69810333521422,51.99862581947514,48.13539507075067,29.796665154685552,,,L5
1991-10-09 20:18:07+00:00,34.229413300571764,40.41819691236508,45.8116479388524,50.28320939340927,46.6735875363993,47.09115455327544,45.57423201434929,47.55007931319446,52.0975468496506,56.69076920119565,51.61699177982156,47.82959378584256,36.97248314649252,31.24459764861234,30.773625613934005,30.20799223450968,37.43174177537909,40.27047286028847,37.60052038055494,31.59548298543859,28.81832158309814,34.997334264063966,37.26798803474602,34.603727010609845,28.75242210191429,25.217221345650803,23.90073113828971,23.55634107807712,24.81996393422672,28.648913588141426,30.210002020604257,24.68774845890493,28.57320385374934,30.32748611584024,32.84372947251471,31.218898264313616,32.219309948757164,34.46185594686487,38.683009516224224,41.120159855107694,39.622579812564254,47.25678433535326,55.29209384629799,55.00041402656037,54.52162397788349,47.61658200056843,47.34029574617235,50.65116843178299,48.02795993138493,50.1500882261184,53.32298447797278,53.53513000385642,46.28655604575611,40.93715898810639,37.83408820192081,37.62693889020909,39.637434124234574,45.30066108349956,49.56393709996176,44.24586548006448,41.02925261412391,40.81332936128516,44.15914600290702,48.809379361688194,53.704917532884224,55.83314968641267,57.74923730538104,69.81595024098458,84.29618072839675,81.42427435855255,65.89325772412985,48.79161836004995,44.39475153973459,48.61027576400022,52.23866414482994,54.94899601935265,38.5298732734729,37.21559534081863,30.37766860815788,L5
1991-11-10 20:18:16+00:00,,,,,,,,,,,,,,,,,,,,,,20.7197261027025,17.387864173891373,9.54304231379689,5.167615647944733,11.61405125302325,13.055599474199877,11.34801829312003,14.084252207498714,14.936522441514526,11.652231127920052,6.939229635988505,-1.6311626231586145,-6.291557835351418,0.3674024406991497,16.74217504252973,4.238575645064228,10.143792601637845,15.888374281997478,15.970516634613874,11.627148150792271,17.80202191681967,23.99118509738923,22.19847198502125,19.65376395911925,18.26324374119302,21.763268378533983,22.08581983166404,17.34124569682337,18.2711595406636,21.081942779640062,20.7846337711524,,,6.53456264085353,10.420203645325438,15.95449436670572,23.812006313681007,27.38377365437545,28.249355041831777,27.446338803969056,29.54012767116573,29.19396080000108,28.0328869512644,25.63192993426975,27.64180315311628,28.0546451571941,28.221199168057943,,,,21.83268966244588,29.85510352197541,40.86119217267145,42.59075580572352,43.14473572105613,24.028400326356405,8.834735167415579,9.833910016198848,L5
1991-12-12 20:18:31+00:00,17.54986831071509,22.795744816082937,33.36852041118474,45.38635731759039,35.9710199315191,26.80915189133715,18.844124718053,14.80609723620914,,23.232887424632526,32.163363086898265,36.1130367877645,21.212333854640963,12.598666538927048,10.230752248491957,19.169729839003693,25.127480327169124,23.988369304686444,27.25811989385901,29.526733121314244,28.39957926840912,24.04506383880964,15.376395632027553,12.364780912149628,8.425662403130815,8.29781712177465,12.658428751158098,13.405343169283633,13.943756349536711,12.643265577637228,7.367182233478414,4.847998623893269,1.0610318474764575,-1.9551123156911667,8.475858740616516,10.651277014235063,13.0931042694398,14.345551692845936,26.28123291287033,32.230649607045805,26.49652710572624,25.548407943229524,27.20320203280344,23.129628772274856,20.632220483720303,18.72503652979899,20.654158904001964,24.208461264102056,25.498282165902136,32.48155238430006,32.97202579310374,27.864244626610585,21.61819060115669,21.88166560855945,22.499343320498923,22.754156378185463,27.44924962607892,35.92869317467411,34.68520161426023,27.87130863112567,25.909523511349565,26.202153318341164,26.949228895665783,25.521872289333466,22.76089169880749,26.921653460067787,29.664207142042912,,,,,20.04609475601629,26.849489222298427,35.68108343660643,36.577365620981375,37.02583491925003,25.113861284602244,18.53273896163526,21.466180417249063,L5
1999-07-03 20:46:48+00:00,29.95554198969424,44.40067379787239,48.02156891468407,54.051900003553726,52.914848190822624,50.845272191085726,48.25503378130684,50.33857937387333,49.504374465158406,52.4862990476854,54.80108085917029,50.052778882006976,40.92466508795524,34.55968742925088,26.91036686693708,36.49386915569714,44.55978662706076,49.5922434398549,43.8856100580951,39.82552695420527,42.86467332740867,46.4003672649979,43.620504995455065,32.5849819160349,24.613760588872942,23.22907490749237,25.02945925150385,26.930849504069872,35.38112848835807,37.66709573737608,38.69799389785407,36.51819429224061,39.22335372763521,38.25530164554485,38.14238991866825,34.97282144369818,37.19339030910993,47.438128516221134,45.115237958757135,48.95624940334768,46.005805900696046,48.45094992163753,56.51432604851088,54.63752123133999,41.7113662611229,41.957058648782265,46.1171862364081,50.49462100062215,50.568381581366,51.18572198301274,47.632918476412094,47.63069046077874,45.987214551450535,47.15290834186678,52.34152290695453,49.72772535155515,44.058894700504055,47.08599519588644,46.70728491839533,41.19419904819825,46.42345941710813,48.027796043468754,48.7086199306022,55.07077998726047,59.45402900466104,57.34195099434999,58.03512784899263,79.386496762098,82.52963684081857,74.00515094307542,64.13322291205247,40.42206635967132,38.77897672918409,49.34518307292112,54.98658745672549,55.92186623295471,37.348848836547496,33.35147561392903,45.78645800995197,L7
1999-07-10 20:53:01+00:00,,,,,,,40.30437520379712,47.27058165548269,45.03471331534153,41.72796685738208,44.40917801003855,42.66901529757974,30.45497543263931,21.63779552719747,17.293212693708696,21.382926992755937,37.57016414602551,38.591852719022384,31.78448204812595,31.2051166889822,36.048554822557264,35.87358286671693,32.5496846401411,28.432313554789246,22.559095423845665,19.564739436506343,22.59526691171708,25.182659051822576,25.282154646772028,22.604370846909468,23.15594716501743,24.39325821534045,29.44187475312568,25.61250677326492,32.82015867844614,32.90732657403826,29.84791714347928,37.477679732355305,39.1887761150151,46.41668192257784,37.99176852623141,43.54651584185345,50.31853601546907,46.87833966802328,40.4486566340806,36.74254091884658,34.40003427694942,37.4903220911525,45.64495156596638,46.2968559229518,46.02634545009533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-07-26 20:53:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.35199922429797,34.08377727785294,37.54385549861453,38.32586694012426,30.6314841617978,32.096670515174544,38.76879744151367,38.14470482508261,43.88078709999097,48.86326616125284,53.18002392864607,41.92129975714795,49.78871960093196,57.69754978504709,55.58425485247244,51.69291637586991,49.68391107618921,49.54090105786244,56.40303598371881,51.59697912999579,48.58409031849393,49.23657536926777,50.17761108700084,44.4863333873611,40.4084623286195,40.06679707510957,41.05639422026427,41.93952907531094,49.57653148091933,52.89514690092317,45.48550453568989,41.42081045351424,44.90238750869335,47.648976813028334,54.34951254260558,61.77512119678392,63.91347523927756,65.05723234675432,72.64850552210842,76.81240124457139,73.82953342120922,60.31231485636131,46.58000829782653,50.005261582247954,56.73668777124159,58.53107068785629,62.1071760872794,35.44866043853916,24.67372670855944,24.646493585770507,L7
1999-08-20 20:46:55+00:00,,,,,,,,,,,,,,,,,,,,44.79484707895703,52.5468527769545,60.05475855220149,60.015226334589215,,44.9990909609542,33.81077565470876,30.74722533691684,33.02113277260074,46.01018107337167,47.68309216861879,41.54779710989419,47.12193841577479,40.904518933520464,36.991393958827,36.33741174392335,36.54860933087676,30.140719533636886,47.42258928506211,50.60019670283163,53.83825471075428,41.885300964401495,49.88321576467313,58.24053164779844,56.47507655590224,48.13373780680194,44.91450300877303,47.88207383607685,51.866202473363614,50.61041826912899,57.64755730778317,60.6814857693358,60.41022645439892,51.26744102142994,39.059419632962246,36.481488938652205,34.759566262847265,36.62901192286218,46.08396142491564,50.32794239604926,42.519965906006895,42.79009884565815,45.09718585806349,43.744377818012566,45.45291064453466,63.67855806637001,59.136808839763,60.909670684354815,84.67127323741002,101.27861944819216,81.87980577226601,68.51278972336729,39.970960620863714,39.73713483714996,44.18019645892321,53.27562073293624,53.06643502833415,37.06723509192827,34.3718184230668,38.26833363416258,L7
1999-10-14 20:53:13+00:00,23.96119839023944,35.206225912303566,40.730518553355424,53.08379210352501,52.61991426941259,51.688930545950384,47.70014688375067,48.83335144548691,48.11311910069951,47.93670105552323,50.546047015031135,49.729373639969694,40.46061463664455,29.2776830580239,26.201629951714125,33.676473555971064,39.86916880244704,40.66459579365223,37.35493958686307,37.03021824425553,37.49829482824182,42.06856274196074,34.783947975668326,27.146075615570734,20.47340138243416,18.49370911162208,21.84059963656244,24.10650379565687,26.77669127037023,32.24710792931102,30.24707840464268,26.69653194565799,29.92133470977568,31.81755096104614,36.95757159420724,38.628048783527554,38.52589691389728,43.88953688551743,42.58744420331526,37.71282482746521,28.40477977530833,35.01559777125154,46.24214061573678,39.85851650806296,39.53831276469548,41.66524686058371,46.20649073078839,49.26285177821687,47.31815281304635,49.36898351130401,47.46015691467176,46.36769832083647,43.02758481846538,46.220839815226654,46.37909441009586,37.34419129495285,34.58997252640118,36.59454654656896,35.864651762044744,37.63817744339462,36.95668388030216,35.27563119826545,33.58407567336929,33.44013282496919,33.63735952841838,36.51043359132272,36.95278063368938,50.23194191053881,63.36079106677997,62.08674590813492,55.75939428037846,39.20248145834356,40.46318484090648,48.02539575673946,51.33134556094021,47.05361063821056,31.74161326215112,28.67897635755183,31.89716389083723,L7
1999-11-15 20:53:07+00:00,,45.26384099283796,49.071698972808576,54.97060554565776,49.95598490583789,44.25509649643634,45.14316495975038,48.21395639104509,45.62237683722552,44.01737913239254,45.91938004922967,46.34056078364158,40.00391537406566,29.354770328661537,26.315604397793003,36.43942445509298,40.935864287541406,42.59619892513008,39.861934242800615,41.04114343100773,45.029443737085344,47.83382482351007,42.257243495728105,30.99654464117124,23.4460087613599,22.142789738085,23.634481866910743,25.497668248122185,28.9302449674446,29.95590071993724,27.1530727565416,21.80193238839078,26.386221197979857,23.43056395364072,25.7993598938642,31.950783871112584,32.881222024625124,36.52113773333736,38.63225637924542,41.421646501277614,39.25409942698091,44.75052825985109,47.23214580062606,43.07624889541624,45.58847600183651,44.508809516236965,46.220706537946384,49.63572267012361,48.56148439928192,50.11083827713759,50.20954266085337,50.56803411710398,47.05211312575757,43.48256375849746,43.46233507680112,37.73713403642498,37.88545565003275,46.232847390414165,46.67052937383046,42.74241040254086,41.43820098479715,39.548263886968144,39.173850696975016,38.755788384626655,36.99336669690403,46.22976115315859,50.53087272545386,50.94321172481615,47.825973845411184,68.91083834088765,61.06478879681215,47.14894449556289,40.63089654344094,19.489108589726904,27.422162284636947,,,,,L7
