dates,oahu0107_0001,oahu0107_0002,oahu0107_0003,satname
1991-12-03 20:24:42+00:00,37.82269684473048,42.97639809309062,41.079192454352366,L5
1991-12-12 20:18:31+00:00,61.40231455943246,64.30725971046313,60.32942542149585,L5
1999-07-10 20:53:01+00:00,,,,L7
1999-07-26 20:53:05+00:00,,,,L7
1999-09-12 20:53:05+00:00,47.54598158547636,54.993225248739456,54.5262394056958,L7
1999-10-14 20:53:13+00:00,58.87971023553143,62.05906061662833,56.029907827561615,L7
1999-11-15 20:53:07+00:00,,,,L7
1999-12-17 20:53:11+00:00,,,,L7
2000-01-02 20:53:03+00:00,,,,L7
2000-03-06 20:52:49+00:00,,,,L7
2000-04-07 20:52:39+00:00,,,,L7
2000-04-23 20:52:33+00:00,,,,L7
2000-05-25 20:52:12+00:00,38.605771581817336,39.99757824748776,36.77243454951292,L7
2000-06-10 20:52:06+00:00,48.60437656786659,52.33318169063806,47.72701113595973,L7
2000-06-26 20:51:56+00:00,44.36637171841344,47.38808370280746,45.666923417238266,L7
2000-09-30 20:50:41+00:00,,,,L7
2000-11-17 20:50:34+00:00,45.23922520188697,49.57879685900389,48.16161194457229,L7
2000-12-03 20:50:34+00:00,59.27890348118407,61.89465453845669,54.9960477232226,L7
2000-12-19 20:50:39+00:00,56.19815590642365,57.39575012050152,49.92021149825784,L7
2001-01-20 20:50:45+00:00,,,,L7
2001-02-21 20:50:38+00:00,,,59.32820270534668,L7
2001-03-25 20:50:25+00:00,,,,L7
2001-05-12 20:50:10+00:00,58.17356857819957,62.22447591517369,57.40897091372934,L7
2001-05-28 20:50:01+00:00,,61.46666121107465,51.8347818041897,L7
2001-07-15 20:49:35+00:00,51.597702708233314,53.76694622204781,47.62114498930645,L7
2001-09-01 20:48:54+00:00,,,,L7
2001-09-17 20:48:42+00:00,42.589544510837,45.9236720202463,42.97582935652067,L7
2001-10-03 20:48:30+00:00,,,,L7
2001-11-20 20:48:45+00:00,31.897654500486475,34.58985335545069,30.603817806710502,L7
2001-12-06 20:48:46+00:00,,,,L7
2001-12-22 20:48:56+00:00,,,,L7
2002-01-07 20:48:58+00:00,29.92565585093177,31.42960042092632,28.37966083160188,L7
2002-01-23 20:49:06+00:00,,,,L7
2002-02-24 20:49:10+00:00,58.75311500234488,63.09642512321606,58.65178374048558,L7
2002-03-12 20:49:08+00:00,,,,L7
2002-03-28 20:49:03+00:00,,,,L7
2002-04-13 20:49:02+00:00,,,28.222951775527875,L7
2002-06-16 20:48:45+00:00,57.57283137843822,63.16409701772264,60.06840390630654,L7
2002-09-20 20:48:01+00:00,,,,L7
2002-10-06 20:47:56+00:00,,,,L7
2002-11-07 20:48:07+00:00,,,,L7
2002-11-23 20:48:24+00:00,39.86221628027193,43.58929810245461,41.72960833273842,L7
2002-12-25 20:48:35+00:00,,,,L7
2003-01-10 20:48:36+00:00,41.07817867921153,38.49105864748755,38.73501758370021,L7
2003-01-26 20:48:44+00:00,,,,L7
2003-03-15 20:48:58+00:00,,,,L7
2003-03-31 20:48:57+00:00,,,,L7
2003-05-18 20:48:55+00:00,56.734657211979446,59.36532413375901,52.49798743979471,L7
2003-08-06 20:48:37+00:00,,,,L7
2003-09-23 20:48:25+00:00,49.10481470826899,57.22589435943613,57.53522465081756,L7
2003-10-25 20:48:36+00:00,,,,L7
2003-11-10 20:48:45+00:00,,,,L7
2004-01-13 20:49:09+00:00,,,,L7
2004-01-29 20:49:18+00:00,,,,L7
2004-02-14 20:49:21+00:00,,,,L7
2004-03-17 20:49:30+00:00,,,,L7
2004-05-04 20:49:25+00:00,,,,L7
2004-05-20 20:49:25+00:00,,,,L7
2004-06-05 20:49:20+00:00,,,,L7
2004-06-21 20:49:15+00:00,,,,L7
2004-07-07 20:49:14+00:00,,,,L7
2004-07-23 20:49:09+00:00,,,,L7
2004-08-08 20:49:02+00:00,,,,L7
2004-10-11 20:48:47+00:00,49.1147174153348,54.53826757600331,51.64827594212159,L7
2004-11-12 20:49:10+00:00,,63.38237708466927,57.32808611295172,L7
2004-11-28 20:49:20+00:00,,,,L7
2004-12-14 20:49:25+00:00,,,,L7
2005-02-16 20:49:51+00:00,44.98551320509304,49.75744369580087,46.58731701696598,L7
2005-03-04 20:49:56+00:00,50.95427039650717,56.637284397130514,53.564633629214754,L7
2005-03-20 20:49:56+00:00,,,,L7
2005-04-21 20:49:46+00:00,55.8412564386422,59.27335698386191,53.52734902691213,L7
2005-05-07 20:49:51+00:00,,,,L7
2005-09-28 20:49:18+00:00,,,,L7
2005-10-14 20:49:21+00:00,,50.35977225703739,48.47401623325469,L7
2005-11-15 20:49:44+00:00,,,,L7
2005-12-01 20:49:50+00:00,,,,L7
2006-02-03 20:50:15+00:00,,,,L7
2006-03-07 20:50:20+00:00,,,,L7
2006-05-10 20:50:18+00:00,,,59.92447491360249,L7
2006-06-27 20:50:10+00:00,,,,L7
2006-07-13 20:50:02+00:00,,,,L7
2006-07-29 20:49:56+00:00,,,,L7
2006-08-14 20:49:54+00:00,60.95304531465596,,61.32557670932622,L7
2006-11-02 20:50:01+00:00,,,,L7
2006-11-18 20:50:12+00:00,,,,L7
2006-12-04 20:50:21+00:00,,,,L7
2006-12-20 20:50:26+00:00,,,,L7
2007-01-21 20:50:30+00:00,,,,L7
2007-02-22 20:50:42+00:00,,,,L7
2007-03-26 20:50:46+00:00,,,,L7
2007-05-29 20:50:29+00:00,,,,L7
2007-06-30 20:50:29+00:00,51.41503397670457,55.0016606627836,49.348625921863054,L7
2007-08-01 20:50:21+00:00,,,,L7
2007-08-17 20:50:15+00:00,,,,L7
2007-11-21 20:50:24+00:00,,,,L7
2007-12-16 20:44:22+00:00,,,,L7
2007-12-23 20:50:34+00:00,,,,L7
2008-01-08 20:50:35+00:00,,,,L7
2008-01-24 20:50:35+00:00,,,,L7
2008-02-09 20:50:32+00:00,39.932487568870165,43.42307272367074,42.1148519681683,L7
2008-02-25 20:50:28+00:00,50.953071391454046,56.98383962552842,54.2796505191705,L7
2008-03-12 20:50:22+00:00,,,,L7
2008-05-15 20:50:13+00:00,,,,L7
2008-08-03 20:49:28+00:00,,,,L7
2008-09-04 20:49:14+00:00,,,,L7
2008-09-20 20:49:05+00:00,,,,L7
2008-10-22 20:49:02+00:00,,,,L7
2008-11-07 20:49:17+00:00,,,,L7
2008-12-09 20:49:41+00:00,,,,L7
2008-12-25 20:49:49+00:00,,,,L7
2009-02-11 20:50:06+00:00,53.68855574976035,54.68247730648266,46.11611909195872,L7
2009-02-27 20:50:16+00:00,,,,L7
2009-03-15 20:50:24+00:00,,,,L7
2009-03-31 20:50:30+00:00,,,,L7
2009-05-02 20:50:39+00:00,,,,L7
2009-05-27 20:44:30+00:00,,,,L7
2009-06-03 20:50:41+00:00,49.2255130317963,51.73319844551396,45.60101585629796,L7
2009-07-05 20:50:36+00:00,,,,L7
2009-08-06 20:50:26+00:00,,,56.87487250840096,L7
2009-10-09 20:50:17+00:00,,,,L7
2009-10-25 20:50:33+00:00,,,,L7
2009-11-26 20:50:59+00:00,41.94599442738724,44.05186088578506,38.43993723343909,L7
2009-12-12 20:51:11+00:00,,,,L7
2009-12-28 20:51:28+00:00,59.74310383792824,,,L7
2010-01-13 20:51:44+00:00,38.85155199161967,41.70594154489192,39.525733798209245,L7
2010-01-29 20:51:57+00:00,,,,L7
2010-02-14 20:52:09+00:00,55.36352888759769,59.477121621130685,54.65805884653434,L7
2010-02-23 20:46:03+00:00,,,,L7
2010-03-11 20:46:10+00:00,,,,L7
