dates,oahu0031_0001,oahu0031_0002,oahu0031_0003,oahu0031_0004,oahu0031_0005,oahu0031_0006,oahu0031_0007,oahu0031_0008,oahu0031_0009,oahu0031_0010,oahu0031_0011,oahu0031_0012,oahu0031_0013,oahu0031_0014,oahu0031_0015,oahu0031_0016,oahu0031_0017,oahu0031_0018,oahu0031_0019,oahu0031_0020,oahu0031_0021,oahu0031_0022,oahu0031_0023,oahu0031_0024,oahu0031_0025,oahu0031_0026,oahu0031_0027,oahu0031_0028,oahu0031_0029,oahu0031_0030,oahu0031_0031,satname
1990-09-11 20:20:05+00:00,9.911785104229194,12.846485404396098,13.264519176704727,12.08245062252803,12.999142609294042,22.30978530576688,26.60927218669797,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-10-09 20:18:07+00:00,32.21593022007205,32.38430874816257,32.81811591024399,32.764754127319826,31.487824279757834,38.43647004494028,43.48925280283053,45.608129591915606,52.75791802568184,61.69128512248907,81.43378131684376,86.43516639181868,64.46706213814652,43.56858532236655,33.60974781776266,29.92351331872728,29.315667410955708,28.13731955674325,24.640118514692173,17.971033515859585,12.439488659721032,3.479398677621752,4.534883690033051,6.340718540495163,8.292390575355999,12.441275011574948,14.143473994334729,14.335097725910268,13.56992139034829,13.892941478082966,17.06548492568262,L5
1991-12-12 20:18:31+00:00,6.916858163017136,7.980011938199894,6.2886717523832525,-9.612640095067082,-0.780300068535346,14.351368302932322,11.14978788929957,15.179638571628129,24.87714742836025,37.78739071639003,42.69265345979712,41.0923932995412,16.99998598137706,1.1047210044168103,-2.763339498005553,-10.38796709235545,-7.745992863897512,-3.86310153918286,,,-13.0368428898066,,-15.05140506214446,-14.012225614949374,-9.990198925994708,2.4311732478301886,-0.5766708151956471,0.8902977102102739,0.051992288605338,7.62469230045673,10.460040379888442,L5
1999-07-03 20:46:48+00:00,25.64215511165568,29.9165957383437,33.1558757150187,31.54452430133592,31.30608031897008,33.161139610281566,39.38238983876324,36.98699731202704,41.73964800573515,52.575009165980106,67.16699842601824,64.84000866990108,52.44010896149527,37.71222447564347,26.64675202760703,22.65319952356126,23.59192351297229,22.04878736282369,16.24919722324532,9.254217740803714,8.814327095324732,11.238143224478986,14.69481289733876,17.6344988474734,16.68969099126053,17.13730903442801,22.56194159182284,20.91157109430937,24.96237780677911,34.042567541340794,43.05564643308063,L7
1999-09-05 20:46:59+00:00,26.488289945434108,28.79278364729929,23.74273194122901,28.54873956716362,24.33455008008145,30.68618132524317,34.810063081003165,33.35002272454948,38.37146954182808,47.25863879216975,56.62182325006909,58.07878707873787,37.14924655275536,8.349835516052517,3.65249645951934,2.554219568726704,-0.0695506199049038,2.435917110207664,0.9123818330137384,-0.0238927178431231,-0.0598738697640128,1.3338743511731033,4.628848474635169,9.734465977328368,12.578072164961434,14.33556932641519,16.759503239487234,22.24115413145564,21.59998674662508,25.01669213225942,33.864557452362384,L7
1999-11-15 20:53:07+00:00,19.988024455122083,24.28428115428754,22.89615802580995,26.354863681218287,19.89583588811303,24.68297063731567,32.027924924502464,34.642239722257656,42.01580593218645,54.00325031858634,65.91139440932974,63.51704539607225,46.54501221097402,30.85849675937358,22.277943535014668,23.10301573361625,24.27781708350221,18.79245028281748,13.20385174960386,9.895674493112889,,,,,,,,,,,,L7
1999-12-01 20:53:02+00:00,18.61708484358225,18.45864185135037,16.250098526461954,18.77340274430332,14.78626407622081,16.337709805417983,15.322143051138978,18.99034176575472,26.484729665722664,35.49204183689923,50.03528437383459,54.14949921290373,33.93406829865522,7.229479981512492,0.6649320543226742,-4.677730505488617,-0.6934586349865257,-1.5535773356491256,,-10.46329948059036,-17.06842774650444,-10.500682852909486,-10.659060049870924,-5.873481899178323,0.7768114192058789,-0.1608974537864169,-0.9023601041558772,3.980363374154686,5.102634046960953,7.977349731584587,5.053217157577853,L7
1999-12-26 20:46:52+00:00,24.048034580758515,25.82393695407949,21.663507938648344,20.215196734611457,19.18261930653296,24.96571204607663,29.0883807900132,35.85870897792705,38.45996377842756,47.8071981008264,53.286715279642,,17.42342319219001,4.478683489551839,,,,,,,,,,,,,,,,,,L7
2000-01-27 20:46:52+00:00,23.86858638393291,24.93174862375272,20.925211815707403,21.29607035142564,18.993240904132204,24.59829847569253,26.54151067853805,32.1471023480044,37.70797982138346,49.47576553379564,70.65347455620379,66.94164810583321,33.65413510802585,14.324225839091609,8.664008294692309,7.068141910637124,1.1437347912787428,-4.078854100469194,,,-18.492079189524564,-14.424181453716637,-7.845424281437877,-4.905905040356815,-6.667154211322718,-13.301238692872598,,,,,,L7
2000-02-12 20:46:47+00:00,31.12825547622571,32.914855114455506,32.99932106801496,31.677442351684924,32.896490698882765,35.15994183225681,45.7358002909114,43.05310684832287,53.99863891139285,62.3623465855486,79.30417428732115,76.46832382123824,56.19793304276308,37.11833112653274,24.13513651817924,20.876756633495223,22.79491764797677,21.60355763092793,15.894348370690428,10.01914083364377,7.6812696751403795,5.723949483228386,7.13520865332193,11.529802027093636,15.2646858360606,18.060986906447848,18.017849225019926,18.810389561348767,21.954766894455,28.999765133332968,31.46684077466813,L7
