dates,oahu0108_0001,oahu0108_0002,oahu0108_0003,oahu0108_0004,oahu0108_0005,oahu0108_0006,oahu0108_0007,oahu0108_0008,oahu0108_0009,oahu0108_0010,oahu0108_0011,oahu0108_0012,oahu0108_0013,oahu0108_0014,oahu0108_0015,oahu0108_0016,oahu0108_0017,oahu0108_0018,oahu0108_0019,oahu0108_0020,oahu0108_0021,oahu0108_0022,oahu0108_0023,oahu0108_0024,oahu0108_0025,oahu0108_0026,oahu0108_0027,oahu0108_0028,oahu0108_0029,oahu0108_0030,oahu0108_0031,oahu0108_0032,oahu0108_0033,oahu0108_0034,oahu0108_0035,oahu0108_0036,oahu0108_0037,oahu0108_0038,oahu0108_0039,satname
1991-12-12 20:18:31+00:00,,,12.00765741044746,3.909615901014798,1.847041055705709,12.450720267332708,19.65875633904564,16.64050696652233,15.568659782382271,16.122933266658485,20.17219791258108,34.21164273502479,42.44393921391659,53.455110642074,59.96250686924486,63.88987924510306,65.86323620915894,72.27060891472206,77.48927729746859,80.48038283629484,75.32094701440987,68.56510326795305,60.039719678356,,42.46599837933197,29.64796123520329,22.73599917771241,14.643157444055792,13.151653142877237,9.041282766136998,-13.774848769942531,-21.14228676794069,-15.400859979333177,1.002307221127469,10.716636499581185,10.95281613008332,5.36164974618046,2.442408356272042,0.2305504935108577,L5
1999-07-10 20:53:01+00:00,,,25.74070039144197,15.568841279596956,13.845244645553755,24.75534793054705,23.528036602829506,24.11508921280728,23.41359107902735,22.144618485682955,25.89379744216238,31.55991936078496,38.2305265106782,53.14263018394295,60.38876987574706,66.40506407724601,68.46770401407055,68.35670408995558,73.17720301387092,74.12111358670289,69.86935591562934,66.794297868705,66.22372930853243,64.64451167315667,60.28320180827602,56.38364556443786,48.530194295037205,37.21739143074721,33.22489221096672,23.670066468881835,0.9054603279947552,-12.217294322662932,-7.044932389687223,6.465573723454064,9.112427909379065,10.20965700875673,5.441729361258255,2.6598026618114665,0.8737001150415612,L7
1999-07-26 20:53:05+00:00,,,26.873530562640408,14.96014014137629,12.334764008164203,21.590600824150115,23.459521638404663,25.61501095309108,25.786323727102623,22.775701898217907,25.51218424744444,33.58135205720064,40.35844081264965,51.94036425899159,59.8214014055453,65.10388608877346,68.10263065367101,73.40827368547997,75.55921205147231,76.6323474260718,73.90314209403118,69.44237113170433,70.62013090459136,66.30465382733298,59.63662965879912,56.51258767110343,49.43926642573633,37.8783581145039,34.822108932827334,29.21438652584108,8.307373360560772,1.3923938483906202,6.438456916166195,12.61639142144396,14.91140280615096,11.40399979228842,6.101042091203753,7.405779474469265,3.307471217669365,L7
1999-11-15 20:53:07+00:00,,,22.8124417524666,14.298804493332511,15.68507379724122,29.02173703722673,,21.041942250091843,19.270521331115773,19.26146453848841,25.09124756743685,31.777284376697395,42.88115949632699,52.34682766426898,60.208325690937166,66.78586492269116,71.9898273480553,77.81993144536825,78.13911835931866,84.56126446792429,83.09690021386886,80.55881012948679,82.98394267145639,72.84653293276574,64.23441608290081,56.7936643573655,47.65948095732863,36.775534563249884,34.26552977829438,29.021212349975933,8.67533881147314,-2.0605860454706884,-4.347311259845506,9.361950296122004,11.37609396195558,17.384918163517007,14.778464504015528,12.356544601173615,8.791057274871202,L7
1999-12-17 20:53:11+00:00,,,18.649965387672715,12.2040380391514,10.101836870203924,20.773409390693825,25.61593837990761,24.986118662075217,24.49090246904179,25.829192154951176,30.43710309857742,39.71107848639008,44.23886226000096,49.5476234277954,56.92683315539831,63.13048111231189,66.6481508861131,75.16289001659443,76.95009309937464,78.15223840231637,74.86592017615284,67.88720991887591,69.27903252882015,63.68120934185186,56.56118207719849,52.323055975354265,47.41176287720533,38.3373318196082,36.50194948289301,33.01372514571376,11.582863554071755,4.116009471973257,5.814822061491912,13.803740515829974,14.419127352775028,17.797292321141317,15.144664220536871,16.669038489928,13.810582410955496,L7
2000-01-02 20:53:03+00:00,,,21.673749439682748,20.42896283863833,20.7037889882262,31.29667445957781,40.10049366728085,42.676856552313154,45.096569784762,47.508114470967726,51.18303388148845,56.35946927992486,57.65519767017083,61.71467544328495,68.32855537577443,70.31058517324576,75.98715379809423,80.01046364476649,83.07324905618704,84.29978480557276,81.90201998730343,75.41282789306518,76.61783208797948,66.84560783720408,,,30.42360951093273,18.832099469401427,17.677251464358065,16.808333302905822,2.019859367410799,-3.3652658507424213,3.325339923278704,17.95550287890451,21.400621057657087,26.04998373777453,23.077317455172924,19.054242965207767,14.861897139367276,L7
2000-02-19 20:52:54+00:00,,,27.967107531307622,23.212138710907134,29.4112167380706,41.3456231342231,51.97059093670877,,,,58.25084439005518,62.05783636503819,63.43549230864187,70.05040510427635,75.02288676826828,75.66843530370492,81.07505185036639,81.81678977629228,82.57338853605334,82.6656923045591,79.57964561838277,70.0269842710509,71.31976174260292,61.80871985687132,51.96360713640654,46.43572962631671,38.11649163278126,29.52137720057604,30.41318863778757,30.88390804865016,10.03428020949473,5.112900526833712,4.335371614367548,18.870797905410456,19.88661442408987,18.97602321490029,20.476227007982818,16.13875055488537,12.1848220354893,L7
2000-03-06 20:52:49+00:00,,,,,,,,,,,,,,,67.53474643580854,68.31576013368098,65.08947532493457,63.12346226759494,63.82953759495161,67.04466907052132,64.18969407806675,62.249432427309976,64.01812920820716,65.27779876091161,62.09844137395836,,,,,16.691922724376493,-6.602425321965097,-15.214411371189277,-8.311849094426483,7.149058908582031,15.027916344625648,23.709341948262843,21.16746776275772,16.390415006107556,12.958867776126098,L7
2000-03-22 20:52:50+00:00,,,17.99451848275002,12.156084221026347,10.89804954915634,,,,,,,,,,,,,,,,,,,,,,,,,,-1.907145514730188,-12.241847016219678,-4.148422678562636,9.735455083986306,11.801401361046766,16.307915589699665,16.476763389887754,13.946067386531878,12.52189735912514,L7
2000-04-07 20:52:39+00:00,,,28.082401854917453,21.296830789733743,19.80792861726473,30.77915821510326,32.93130282232097,35.14767599425726,41.068334538722034,43.87437407691765,48.150233410687214,58.48855679789881,61.64795885476788,67.56042916665619,72.63876734163223,74.75050158055544,77.44786930340607,81.46617553122007,82.23037372995181,80.32503318450937,74.37252060369173,63.191521267689446,55.37140081092118,50.30187792240661,41.27817868840612,32.30261567028653,27.145495669665703,19.61132144259188,25.36589340627347,24.59815338557727,6.038442999508517,-0.3485852385507362,4.262927334865395,18.532299368787783,18.761605355805067,26.53666443184506,20.866596761888943,18.04544107114487,12.657955954169802,L7
2000-04-23 20:52:33+00:00,,,21.845264575961178,13.168292676927644,9.787908020918282,22.74170765433756,18.41749935998603,22.244220139968508,24.14743777388488,27.978588190824404,36.07854595332684,44.70973515003,52.360464765066,60.67854125214708,67.87696767976817,70.07698944309044,73.23282966475627,74.33958705298555,79.63939254026707,79.2330118137889,74.5092273550064,64.41293626563326,63.54576353732257,58.43847833116298,45.79578317739588,37.53925875920712,25.80937652928172,15.460307651050872,12.943749561278407,12.908966560444387,-3.555313826007831,-9.482436853087014,-4.532140273151198,8.228548324559789,9.324024716326706,10.566365859699044,7.489213027500922,8.731875819864305,5.690933806904209,L7
2000-05-25 20:52:12+00:00,,,15.710949827799276,11.726063828437788,10.069870960203907,25.27616035627563,16.828737535547333,19.003376899742022,18.838714870702784,21.4672352699646,27.103976568237456,40.45594797963682,50.60299162922172,57.54117023933765,64.14868551790916,70.27139699783088,74.20973617621615,76.33147835650158,77.23686903295786,78.66929162937916,75.6286920917321,68.35529606604948,67.98579208420753,64.16320902493074,59.62307886165696,51.53039931248744,40.08777432913906,31.39807267659879,29.10076245794032,23.60134336696111,1.9703164911905549,-9.957272868702605,-5.662607354806161,6.799857679358471,9.561356242639404,9.05903081316316,14.477121942438217,10.570462894722905,6.854014364971778,L7
2000-06-10 20:52:06+00:00,,,21.21716256170173,14.14796406093673,12.374277844444215,23.60003458073637,21.945346208643667,20.6803588448072,21.000545475424502,20.51814275265827,25.59399017123024,39.18474290493902,49.38602270897262,58.22452699441973,65.50137469329832,69.73724876927777,72.88976497378484,76.00095663042465,78.51168362430015,77.71895617228394,73.66569219309424,69.63213959919462,70.46563649743975,64.01668723428651,56.10890766545731,51.616262732914606,46.47312872392383,36.10351438987125,33.43302034907803,26.61021837707348,0.1318390523313656,-11.556491009129418,-3.9142858782124734,10.47187314042145,14.102239736103185,17.722935679655084,14.17864015210472,11.212990156264675,6.179838361354178,L7
2000-06-26 20:51:56+00:00,,,13.625604299472975,10.882739382084363,9.249895108819764,17.008874343623496,12.233921896358364,12.220378765285332,11.203146121822304,13.492886429368196,16.291324805066633,,43.676617017600506,58.39703933276429,65.85300546558209,72.2940300059493,75.63638821712733,80.11210328223038,80.79814059294385,81.23691504164992,75.54101322260298,71.62860436536066,71.57584259996618,64.07355959911413,57.311885637959605,54.22489087524762,48.03172765971142,38.15379502433792,37.21398822511149,29.84400913464604,5.024687231080915,-7.900888907853136,-2.383463304405865,10.324460357539756,13.104487519717123,20.25354566030928,18.55583502689269,14.252696330374569,9.661838157525684,L7
2000-07-28 20:51:26+00:00,,16.34016949523515,,,,,,,-7.604892432440767,,,,,,,,,,,,,,,,,,,60.34974144996941,58.697564797003366,47.08953851387472,18.13268855500527,3.675681369255714,6.220426230305131,20.569342074559643,23.80530419264941,27.217655182928247,19.13327397951121,13.915538744258372,10.41053510062883,L7
2000-09-30 20:50:41+00:00,,,20.26286949823036,17.41969200428743,13.798619717628412,,,18.646614525715027,17.565866080240966,21.880099944449928,35.12012524143447,48.22630267161394,52.19895956914039,63.387326132451065,77.93962996561457,82.28628567515302,89.83132579160733,91.90448843577605,97.2526487933468,100.38717520040912,99.73261357929827,94.74203605244456,95.7531474558044,,,60.79614771074156,52.892818399218406,40.08635472880237,38.55483853058862,34.19969031620217,12.966790450102188,5.250815445878641,6.352528441322374,13.841219072183598,15.26278570388082,17.873298181891137,17.063969009853686,14.489125475691427,13.541547036471492,L7
2000-11-17 20:50:34+00:00,,,17.54826724776541,12.498969049541618,10.778916266551656,23.07551565221897,24.605535359504884,23.44060644070844,22.90045729818165,25.25005521720771,30.445675946903272,39.98673606402448,43.2849275792248,56.688622549392136,64.80773653122979,72.01684301697134,77.04515896370135,86.90003914995819,91.58563796615488,91.19913834382656,87.9427328865173,82.77048956404451,83.62434252276003,69.27754040476967,,50.53768991042527,44.22248416429793,32.86869900702576,31.935636826313825,31.915337354253644,9.890264784084298,4.761801102837285,5.420331367361775,19.2619155600505,18.416051103253263,26.04416209144363,22.23851413318507,18.115318360475506,14.040256179875003,L7
2000-12-03 20:50:34+00:00,,,31.18107450173017,24.92251249105059,24.71570995913848,35.26530418361344,38.27612287476327,32.64393045354812,32.711916535832174,33.93447180678216,38.86480543041064,46.43628759340126,50.9447538506948,60.71830568056178,68.89721687379927,69.8647768143559,71.94375262583898,80.18399282941691,84.05707823007805,85.60502066256345,82.7371511472981,76.08642043973522,76.809222002997,68.03149041713786,61.7306529047911,57.75241533181736,46.17822436037539,32.72780052563131,31.139151146962256,32.618446842937686,11.675793217039187,6.570868666589094,9.71032956977704,21.939018799755285,28.226820216409937,32.88814635930229,26.722542275807328,20.53927427962589,15.265169345042878,L7
2000-12-19 20:50:39+00:00,,,15.762165189269613,10.995953489484735,16.70534395320126,28.64068763066137,33.94952482118514,29.670545695989546,31.077219399113144,35.32489273148652,41.20519411876886,48.14678384243536,52.76294026897073,58.35941184557495,66.90423390915849,70.20704691922458,73.7898268861632,79.91740866593497,84.59599480746192,84.6628777609772,82.03391439478321,73.1518550218321,71.84669349174787,63.024415183498775,52.11602664119204,44.6021885597501,37.4500468193585,28.337592463689862,27.74019115000834,26.660212282116103,5.800401677301626,-0.7946871428181305,7.775449428211611,22.290983704681448,30.332547178238205,31.173684547594952,24.50617607522833,13.262420410347342,9.493637783744628,L7
2001-02-05 20:50:39+00:00,,,,,,48.391315275217686,57.07442803110807,,,,53.4077926426447,57.72614694148918,59.48600259557279,63.01046514717466,69.03046438574924,69.4650042653964,71.63390028884778,73.21715570890134,72.56734647542321,70.78027297886749,65.24741351841273,60.36861970367108,50.05111003755064,46.3972223978578,33.71448399759709,22.339198571111595,,,,,,,-27.183000356750107,,,-8.420226313005186,-12.995866783429866,-18.77552800386882,,L7
2001-02-21 20:50:38+00:00,,,33.97627747367663,27.114143287012105,25.30174229630033,35.47306011431599,41.513586659235365,39.625099601599125,40.25762443548796,49.14223324654606,53.52289035588506,59.694748296909566,63.546238508684745,67.29638071508388,70.867003890984,71.03527319602027,74.608650580194,76.89061498105188,76.26420071536948,73.01674020296002,63.82778080911364,52.694791910615656,45.64548042862503,43.30551578531605,31.68055798915823,28.341668127800475,19.19954810002463,11.971942089428444,13.27203878070243,15.903729052870178,1.9762863165583875,-3.176333148610987,3.2534721173877825,17.813738311480122,19.88008779548103,19.092560341451,22.071226863464616,17.16533751862336,14.486255180224786,L7
2001-03-25 20:50:25+00:00,,,31.55119894043056,27.57180995472536,25.862452018359903,36.05882723998861,44.91132805952187,48.23622426649518,,,54.17682110106459,57.655661714360185,59.78018458595261,64.53766646149691,72.14832143069059,74.13399593096388,76.83098755082337,76.80425623109458,77.07948355474154,75.99361677600604,72.81537190292387,64.56647079307685,58.84528983553668,54.63638959700966,46.0240689780772,36.78850549062194,28.20556180860017,21.00717954305508,17.708564815567954,15.080068514260509,7.7285681298654385,1.7876483996387715,8.977103368893419,21.71434056100444,24.34446239845136,24.74676604314188,21.366756267810736,18.27944999323836,17.052695466390468,L7
2001-05-12 20:50:10+00:00,,,14.91035679333878,11.395753452492183,,,12.394442398598231,13.333374835100466,14.687979871234338,16.837011755511647,21.43695225911289,33.78185772558928,43.28759623765852,55.63887505004503,62.7250301440264,68.4062713274849,73.934735999378,76.54483660099294,80.00889768330266,78.89863833804526,75.40317482344673,71.06699061063206,73.49691643688786,70.76687827855149,66.18385926663392,59.5667408681256,51.14268690225864,41.25027610303786,38.99335780871448,30.529533261139207,9.278568366832202,-1.6300154367555346,2.880870024123334,8.818886094481122,9.40258849860174,-1.372453656445102,,,,L7
2001-07-15 20:49:35+00:00,,,19.50751049498908,13.371411524250028,20.559081941150524,32.30280099767275,27.53722290434249,24.431734935988374,22.11431779205031,12.126676629332025,22.51257254041253,28.452615326636664,,57.20864268255915,,,,,,,,,,,64.16182086663639,60.669250693850586,54.61078217374863,44.5094614809598,42.06407014802871,33.30482590571142,10.69284020799742,-5.627898979609821,-5.357605057690897,7.496789099028877,10.278090070578203,7.875975808181023,7.584402673229327,5.800062883529115,4.301077966860171,L7
