dates,oahu0040_0001,oahu0040_0002,oahu0040_0003,oahu0040_0004,oahu0040_0005,oahu0040_0006,oahu0040_0007,oahu0040_0008,oahu0040_0009,oahu0040_0010,oahu0040_0011,oahu0040_0012,oahu0040_0013,oahu0040_0014,oahu0040_0015,oahu0040_0016,oahu0040_0017,oahu0040_0018,oahu0040_0019,oahu0040_0020,satname
1991-12-12 20:18:31+00:00,163.92968218946675,166.93322298307763,170.59027268284416,172.01520286577238,173.1147666482556,170.66327575703457,174.076318573216,173.50107394689852,181.01731291673005,188.11358111704067,187.94717092105896,183.39571472707647,179.65696867863724,183.5831187977612,183.9920447990517,169.31383260953956,36.254973824655686,33.033394468998715,29.71603384312508,26.22808119146452,L5
1991-12-28 20:18:23+00:00,169.3642116562758,166.17698281350837,169.8416665637717,172.97765702854102,172.0805515795573,164.56344256489234,163.9016070703166,170.75150512182714,174.9433158678452,170.6400744452674,173.1645754755578,173.20967419007363,169.54791510585812,166.5998836250384,162.8532348161222,154.6725802648925,28.71869887771369,25.40567688563831,23.04912297016505,17.660246986181217,L5
1999-07-03 20:46:48+00:00,159.1324899010886,160.9385707250457,168.1262047084625,164.9442729898177,164.61575656879285,156.32911003671651,154.981641517977,165.85281255534505,175.49909775252252,169.96545461897944,174.60151084056824,178.8210597139515,182.59782883745487,181.97759515174124,182.0472568821538,175.3682886952003,39.89745335829781,39.24177153492977,31.79958106601615,23.22534377574849,L7
1999-11-08 20:46:58+00:00,163.4627634924037,161.11827877744494,170.05325244412762,168.2008278583588,170.4544973468902,169.4647176736077,176.6439305219388,175.33313252359946,174.2349187438174,166.3173059453406,169.7413568128088,165.36999319541715,169.64632896895597,176.7252237736857,177.124964855894,164.86481334686556,33.563617074550564,30.76987960575043,32.01600684403653,30.860872994353908,L7
2000-02-12 20:46:47+00:00,163.5820409060975,162.4849954235133,170.3066591745251,166.43555022388864,166.87385935926167,165.48261147403736,169.80252918740916,170.63578846213096,171.17350904531534,163.12692304766932,170.9416446509836,172.7762852702781,169.26472680556742,172.57602790908356,173.14125926911265,157.079113154847,34.34347884851206,30.482915147341348,21.06161082131436,19.08064986922726,L7
2000-02-28 20:46:42+00:00,165.2344061645299,166.8175165256897,172.2687071247213,171.60777731688435,170.88473634250107,170.0959955355083,176.8874079071164,178.51817237311448,177.64789396613176,170.5339014513628,178.46549314354178,176.216119409971,173.25895199583726,176.89965380218064,175.79982680083413,160.33868839049262,37.749092294915535,37.919467946269066,29.073840598997485,22.92610629951208,L7
2000-06-03 20:45:56+00:00,163.07978460261918,166.00000954891794,171.1722546489314,169.5840652805746,170.2110481540602,168.96579448987185,171.27838992696755,172.7064425226323,175.47730430689748,167.65020672055977,165.8656969169668,166.7270998366843,173.25764907067574,184.4398962935549,187.00464249064856,168.48915349118,41.5644667342575,37.81534929822052,24.469126523582347,20.46684435518509,L7
2000-06-19 20:45:53+00:00,159.8548754230172,161.46648570594104,167.8193077244127,165.09092899946793,164.7410260878839,156.90242796345743,162.37294321055182,167.9574944387983,172.2868909285494,160.35169479963082,156.59622221682895,161.92475719317616,166.1480258379489,175.94355752308346,177.86740639206005,158.79175757366775,37.4294125743424,36.95109728879219,26.27030748803055,17.817924385315674,L7
2000-10-09 20:44:25+00:00,168.42799414157415,172.33517051873974,176.64247816070068,175.7745131488114,169.00926550140534,163.9575396836617,174.70802484301035,174.79611077648482,178.26859109987814,172.35431167706665,178.62760214288443,179.2328308034807,173.586240497226,170.78019285423713,168.85071337841336,153.69900822626695,40.209800360225,42.63802935757615,28.56684792530072,13.997128137240743,L7
2000-10-25 20:44:20+00:00,166.866797986734,174.2580941601481,174.14919675237755,170.5544220043713,165.69430247515243,158.6478697678049,168.52481267731466,168.59790753501665,174.5107415844012,166.98621360278713,173.22886696675124,172.23282513373323,169.35702275906172,171.70863555866322,172.50940593315306,160.48403369199184,39.113437631240494,42.60824136314913,41.68204391011218,41.04484633914237,L7
