dates,oahu0002_0001,oahu0002_0002,oahu0002_0003,oahu0002_0004,oahu0002_0005,oahu0002_0006,oahu0002_0007,oahu0002_0008,oahu0002_0009,oahu0002_0010,oahu0002_0011,oahu0002_0012,oahu0002_0013,oahu0002_0014,satname
1990-09-11 20:20:05+00:00,60.79676061792033,40.62588865701175,36.69716398671832,33.74856408687384,34.11619968088122,32.72920471370917,31.751418422893853,30.460170107598564,32.15782155281954,32.40863531295615,35.963565828733174,38.40836249094184,42.095271816577,45.36030194176159,L5
1991-10-09 20:18:07+00:00,54.577284999134896,38.00284006929488,35.62599765355325,30.92012392356457,29.37151592247835,29.951754056313337,29.331673074862945,26.863018294341973,24.28942582767869,25.46435692873649,27.710019844559344,28.69472777819689,30.710031101489296,33.39545379734177,L5
1991-12-12 20:18:31+00:00,39.17277119664257,21.571959295294448,15.167069425518475,12.927968406244505,10.322912474710453,13.01483469430922,14.75798598346637,15.128833694819342,15.244101779745463,17.800810984579506,18.211828855193964,18.45274471300364,22.298637870459928,26.34512013316676,L5
1999-07-26 20:53:05+00:00,44.74797195609452,25.72755941625697,29.06789604391446,26.944883750781017,27.81771259945832,27.676964900587656,26.47984732781805,27.07010631409266,26.72109257356392,28.06220787874936,30.29362658910137,30.719993158331075,33.00083299674143,34.42338112888094,L7
1999-08-11 20:53:07+00:00,54.42154257778182,36.73953774192177,36.49391524902492,32.1624013599328,29.67711468025092,28.929687344941616,23.13210240719852,25.18506121457544,32.5149486035132,35.21469511281808,41.37896293407916,34.55696111759124,31.15828984472694,28.090602160143018,L7
1999-09-05 20:46:59+00:00,57.53150731958883,38.06547127767679,37.96528786889407,34.28567460440843,34.87575432231075,34.122661364936576,34.10801184813299,34.88700448242405,38.93504261584639,37.56235295261107,42.4047170548776,41.07565977486752,42.04902585441357,45.67102131812067,L7
1999-09-21 20:46:59+00:00,49.57296247552439,32.549176238893274,32.938535527927904,30.33231944420826,27.83907015533537,30.496647148744827,31.3573175207889,30.82189991259673,32.29667285130759,32.42508186051298,35.43345148415124,35.71598769086781,36.87348772655779,39.41714099515283,L7
1999-10-23 20:46:55+00:00,,,,,,,,,,,,,,,L7
1999-12-17 20:53:11+00:00,46.38136696740082,29.071870011947347,26.807172652522087,24.664377735180462,20.97810187661374,24.53422963285581,23.522230885249755,23.846835368264745,24.6495994561769,28.628228285999427,30.94221978864081,33.02305223881932,35.95141909119341,39.34330243367751,L7
2000-01-02 20:53:03+00:00,43.424092883622166,24.837825955022364,19.309840870831607,17.25648154530407,14.76636674552344,15.624394966820354,16.16206958241682,17.00775197561022,17.9195345434321,19.69001986072324,20.659518746145096,24.50990319663338,26.6362010396913,29.020875543211865,L7
