dates,oahu0017_0001,oahu0017_0002,oahu0017_0003,oahu0017_0004,oahu0017_0005,oahu0017_0006,oahu0017_0007,satname
1990-09-11 20:20:05+00:00,21.44464038406171,34.80204056088705,49.07100117535743,65.39952124742778,80.73287783300896,81.04944605750288,,L5
1991-10-09 20:18:07+00:00,20.9736021642743,31.367030565373856,43.71193834957927,60.73967172280181,77.76049056758917,77.96185804381967,86.59194400622854,L5
1991-12-12 20:18:31+00:00,2.589481441982976,9.645495993788847,26.235902832627502,49.75261968533044,64.6145005548646,64.23155839810472,68.54842807099112,L5
1999-07-03 20:46:48+00:00,30.682365973973152,39.53488191035138,48.95370123356279,61.01077303271742,81.78558377387404,77.98057669066236,,L7
1999-07-26 20:53:05+00:00,18.58658530018676,24.56465501652796,41.843110267200295,59.167742124895234,75.33707766194775,74.48296935506711,80.11905041625977,L7
1999-08-11 20:53:07+00:00,19.936940275316,30.336914065113856,41.43860875588419,50.28524913876789,62.53832922746636,64.69263715853631,76.16646066360747,L7
1999-08-20 20:46:55+00:00,26.6287137733798,32.706929722924784,49.6950938705623,61.59330918564412,79.57607656923558,77.97284277086246,,L7
1999-09-05 20:46:59+00:00,15.625629958712626,20.90576395568756,42.78478004401985,59.79485893901934,73.35755747567465,73.59683875696673,81.56727189505295,L7
1999-10-14 20:53:13+00:00,21.86423016425251,32.14923299397962,45.46071759858463,57.52533268595296,70.10831557620139,72.11993096934114,80.88764180294518,L7
1999-11-15 20:53:07+00:00,,38.16136650709453,52.54563149761158,73.24154701809135,84.91187226007519,77.28247059541906,84.7748072264903,L7
1999-11-24 20:46:49+00:00,13.004416658656824,23.386331327447493,42.53164627035382,57.86272070041642,76.22704861697395,77.16160774322881,84.78497852027083,L7
1999-12-01 20:53:02+00:00,4.181133132512563,15.387370123934678,,62.47250566009559,84.12015435212012,69.6768513762469,55.99915228938488,L7
2000-01-02 20:53:03+00:00,23.07537166788141,22.176019706848862,33.06085961499551,51.767298512124135,63.07704631355779,67.38081013513816,79.96693075661328,L7
2000-01-27 20:46:52+00:00,7.275114404034348,39.93631360620454,50.84776856509051,59.88131499628975,76.12272921119308,75.32555395565768,,L7
2000-02-03 20:53:01+00:00,25.44933926987649,39.319000233639066,52.37964262626934,64.65123120571502,86.73949972537667,82.54408805258416,,L7
2000-02-12 20:46:47+00:00,25.996705293844165,40.92384911275583,51.37585800000513,60.5440254076087,83.79729446413714,78.98276862786088,,L7
2000-02-19 20:52:54+00:00,28.70511290123676,37.97292025499787,49.863170438895416,61.17397650502101,74.15131971095387,74.61959119214447,,L7
2000-02-28 20:46:42+00:00,29.55275843407817,38.54011007596724,47.08538916097934,58.56615858092669,70.20109700855664,72.80964062101543,,L7
