dates,oahu0062_0001,oahu0062_0002,oahu0062_0003,oahu0062_0004,oahu0062_0005,oahu0062_0006,oahu0062_0007,oahu0062_0008,oahu0062_0009,oahu0062_0010,oahu0062_0011,oahu0062_0012,oahu0062_0013,oahu0062_0014,oahu0062_0015,oahu0062_0016,oahu0062_0017,oahu0062_0018,oahu0062_0019,oahu0062_0020,oahu0062_0021,oahu0062_0022,oahu0062_0023,oahu0062_0024,oahu0062_0025,oahu0062_0026,oahu0062_0027,oahu0062_0028,oahu0062_0029,oahu0062_0030,oahu0062_0031,oahu0062_0032,oahu0062_0033,oahu0062_0034,oahu0062_0035,oahu0062_0036,oahu0062_0037,oahu0062_0038,oahu0062_0039,oahu0062_0040,satname
1991-10-09 20:18:07+00:00,-1.4867820433654502,-7.057247344477418,-0.2749510768138515,6.011711214491901,4.808795821572695,3.281535231078452,1.1964489851307412,-1.063085179301885,-0.4155809100254922,-1.3836802065553564,0.3801715158836648,4.850456593068484,6.2522830327725005,6.121232659285508,5.5464161916920505,6.478395750131143,9.144501969671625,11.591211861088958,15.54754646694589,19.50090084904433,20.20619551386755,22.573809961759565,25.564862643963576,24.11934646952819,26.85369658070177,26.59347247865649,28.169166058638687,25.011713879251275,17.643385244660735,13.642466981242883,15.683099741294637,19.22843774886981,17.842257131884132,19.114139740936896,17.07681949925572,15.536853520768974,13.746845871895026,12.882050249975416,18.4650413127902,17.347941424634463,L5
1991-10-25 20:18:11+00:00,-1.27734861472344,-2.7368453216557143,7.183224054345182,10.31386716212133,10.594944320159636,16.293736178366427,13.489214876700547,6.9154817987539765,1.0490616488721891,-4.01292945527409,-6.265201836376864,-5.406365478223602,-2.886429041334523,-1.3786817976640435,-2.241633981646647,-2.230892357613097,-3.1313335747486164,-3.6959563350268816,1.7304625822209765,4.108391595576716,7.521632096511354,11.815994938620252,16.582607456922535,16.72473477784278,21.283324928048803,21.57713173090385,20.74443858955185,15.656503101172124,7.290675828515514,5.395004418572245,8.139159472233715,12.23870641293922,11.934371498800932,11.379157823855662,5.832842643635761,3.1376931632860874,3.4747619492907944,4.7494517540488985,9.439688355238117,6.830260195292357,L5
1991-12-12 20:18:31+00:00,-5.38468821271433,-7.147120853578674,-0.7196243304606806,4.915184824247591,5.386133248552161,1.5292734642931318,0.7555042340641993,3.639262385287042,5.23987590388125,2.412637416436416,0.2533480276417368,2.247898263174852,3.725399755248304,1.7167096558350412,0.5429476443764099,2.598265985759367,4.228562296744217,5.602019137447984,9.927023680044664,11.06640187031965,12.15570977681711,13.583253149211052,18.430477210398244,19.9034945567633,24.44799262312442,23.929018803277344,25.8564665141339,21.16533838435593,16.638065376190532,12.503628320269064,13.600515345271369,17.198290003515844,17.53270575729455,18.391507516849188,15.98736187524904,12.385365706905644,9.568671039731376,9.662453330700556,13.471037338960851,8.572657379815317,L5
1999-09-05 20:46:59+00:00,1.0948230110002648,-4.019993443338646,0.4539816017507221,4.548367475129616,2.713072177308063,2.445908718555656,7.383557444966406,5.978371658460694,3.33277963392765,3.793776333059564,5.65988565740946,7.4554376877718225,8.93245535872746,6.213201922865973,-3.292021726663621,6.489436966339006,8.462770719443025,8.610686068929798,11.954360117762802,11.768790686939116,11.582284803728935,14.071097751739249,17.54347248625951,18.010967401146715,19.7210927377468,11.046439359463744,14.6133908955227,20.896329120289515,22.61937108851499,16.398018098448475,13.785364243012229,18.655868585393137,18.35870205798905,20.07520565602365,,,,,,,L7
1999-11-24 20:46:49+00:00,-20.872695220711165,,-13.048753024706226,-10.040897573991195,-12.411268441284882,-16.233371809345414,-15.156789108615184,-16.563502099064177,-14.9277629591231,-9.509809942269106,-4.124231940395792,-2.078660382963109,-10.423295158184295,,,,,,,,,,-3.5001110788230902,-1.9352183823138325,0.3363989944455584,-4.160238467281688,6.888954946067599,7.321222315125936,7.012041761957796,1.9202479885735948,12.270834343061576,24.51624739533601,21.83798283828921,23.9984348683587,23.02631099057861,22.57099222367124,23.62093608174056,24.68662804662528,29.502905744783668,26.41489173604831,L7
2000-01-11 20:46:54+00:00,1.1243832741263675,-4.137043926060069,3.878756154323385,7.95495912981402,4.0425329821797735,1.142219196650698,5.503625365263398,7.311797637811166,4.622992819996442,3.16109417887,5.982033253047442,7.997706314378716,7.636935610722505,6.06585722919238,4.943587191841411,22.09780452463577,24.62892726270957,18.049501117009683,16.35630295578535,14.85045193257366,14.646567938403448,15.342320656695817,18.673873480380323,21.072900507835907,27.40878020735887,27.849100407263244,25.97023166194173,21.54264120369722,22.40307478168616,12.71706178990233,7.340640491605585,13.726753807036424,12.824357045659507,11.73289808082636,11.849361269085788,10.52759118952208,10.352588046911368,14.813746273992832,24.960726398543684,27.82412261906281,L7
2000-01-27 20:46:52+00:00,3.2053727849870355,-0.7662552443242336,4.543883643273873,7.836261418319915,4.319510511809313,-1.794348924200483,-2.038368413718841,4.048941733921038,7.059130498960042,5.579719280816751,4.37326830661543,5.505784174876717,7.056520903132808,1.631582586674328,7.818762376762838,10.191969437287463,9.838219855589973,9.007938828734174,12.038928567396228,15.535938319374283,27.129757572447588,23.52255987967928,23.808984034321664,21.776546270824326,26.936973666779743,29.27762469322999,32.0471526837674,24.521752070985343,24.12029300895928,21.58885526067204,16.638191878683863,20.323933160059863,20.54282901146579,23.373493929235096,22.17561185588392,21.566672073082188,21.70381080074278,20.31646882606169,20.28582555754805,11.555474530888004,L7
2000-02-12 20:46:47+00:00,6.147812238437025,-0.2283067884465683,8.043733899403536,8.065305910094187,1.9378618468478723,-1.2420303767573324,-3.521496051165608,-2.964564796766725,-0.873184760151952,2.6504610637962305,4.173144625782536,5.301122690458618,7.7803916999807345,5.541092017523924,11.059321676752091,23.451921602959008,21.809874737333825,13.247656177634932,12.981469760938326,12.941302240815055,12.72535583658106,14.917924373343554,19.11322659031276,20.714038561363672,26.17647004076529,25.45661693238016,19.53894314395012,22.015829626376867,24.980818848539908,26.534678822466702,26.69823339074724,30.416313426121985,28.034073927853058,25.16225641984589,24.397271102478268,22.73817403804516,23.035516506312,23.967170689254868,28.394960248491056,27.65016378690794,L7
2000-02-28 20:46:42+00:00,,,,,,,,12.085933263786622,9.872135489216795,7.357534486054398,6.552850881705158,7.668348231166203,9.753595592496222,7.179206443841434,8.414488649542417,11.72143327467684,12.499816543027926,11.505255051023566,14.897803619278015,21.200478642271005,28.153810476324765,25.545842174283862,22.06830589259701,21.54658103582036,27.81510258768884,30.085245796088785,36.23609678377127,28.63020786920709,24.986462498380284,22.048418029540763,17.781653154961177,20.077299559199403,19.95285245524823,22.3406443804366,22.66043438867856,21.872700255311404,22.814220026166183,23.57066772756357,26.515670277113017,13.359593516341604,L7
2000-03-15 20:46:37+00:00,-1.4988246720029832,-4.328514033525145,8.146819827714895,11.399678851568568,5.654384239922923,1.0839239500547384,7.738545473416695,12.005323226215165,10.161087429297254,7.318281104188325,6.879730969596401,7.790379744910402,9.14489945136833,7.346416875145382,7.910486016370675,15.446666520506325,20.667482621537765,15.44068045496237,15.826515441934854,19.75230686414229,18.03984421355897,18.221148066342504,18.558892349739526,19.60111110191568,26.651407801209967,29.53524261439528,36.4379570649604,35.341590773848324,29.58801491754868,22.57979126848661,12.336009468474474,17.08539732038732,19.2553635952878,22.14626958856213,22.62008238870981,21.56397225458245,22.70584275322243,23.48364396870189,28.31815220185705,21.448696853153013,L7
