dates,oahu0078_0001,oahu0078_0002,oahu0078_0003,oahu0078_0004,oahu0078_0005,oahu0078_0006,oahu0078_0007,oahu0078_0008,oahu0078_0009,oahu0078_0010,oahu0078_0011,oahu0078_0012,oahu0078_0013,oahu0078_0014,oahu0078_0015,oahu0078_0016,oahu0078_0017,oahu0078_0018,oahu0078_0019,oahu0078_0020,oahu0078_0021,oahu0078_0022,oahu0078_0023,oahu0078_0024,oahu0078_0025,oahu0078_0026,oahu0078_0027,oahu0078_0028,oahu0078_0029,oahu0078_0030,oahu0078_0031,oahu0078_0032,oahu0078_0033,oahu0078_0034,oahu0078_0035,oahu0078_0036,oahu0078_0037,satname
1990-08-19 20:14:00+00:00,-3.130808685341292,-0.8790986483703327,-1.24633208034731,-0.0123272780883445,-5.448207079671631,-6.232141032087966,-1.8395466644895413,23.69501321900453,17.749009443448703,14.721934007831193,12.34507577634906,15.580458047079976,16.419051188050812,16.438654464796567,15.6142465367081,12.513308335106982,9.82322706865066,9.360016887661011,8.230978165437032,7.590056268635843,11.67673993612039,16.733117280799743,8.321809170220119,7.584059214683874,14.21726652008219,26.412573230068244,7.760432614638942,1.9523031546882608,0.0503007040530059,0.8599146072067347,0.262804197074713,0.9064152673689396,12.462844551723505,-3.2703300406087923,1.2054828158206108,-4.273114990502021,-20.646796368374225,L5
1991-10-09 20:18:07+00:00,-16.70311198504667,-15.107535745081034,-14.375773968039049,-18.27695675911592,,,,,,,,,,-12.03041488714,,-14.682250734141745,-15.803203679718049,-16.71242653345264,,,,,,,,,,,,,,,,,,,,L5
1991-10-25 20:18:11+00:00,-10.529240480015025,-8.63470226589206,-8.399165980935503,-11.276163947318178,-15.840540021176611,-15.586663810003769,-8.46608612004891,10.520801125633817,,,,5.133470938287261,8.759457817736328,3.7264587738603336,1.4417276123382623,-1.0621771200586132,-4.940976107317224,-3.455574292993894,-4.666359944383401,-4.317118201565496,-1.9342778057891965,0.152592111865062,-8.014943950561117,-9.95613709424162,-9.314888448738785,-6.411083014441799,-2.700423675013216,-9.065178679088389,-11.249758342301124,-9.286379492774133,-9.059919832254494,-15.012347819604592,,,,,,L5
1991-11-10 20:18:16+00:00,-11.371846670637565,-10.055802132326535,-10.917894484629462,-15.9557925040273,,,-16.974071017901903,,,,,-1.5902323053090406,5.327872922577324,,,,,,,,,,,,,,,,,,,,,-7.601806125726316,,,,L5
1991-12-12 20:18:31+00:00,-7.155951281343733,-1.6429574030741252,-2.0464054842862263,-2.9281979438561274,-9.271831082647523,-11.90662373439205,-5.883357415190729,10.588545588415151,,,,-4.173309629332006,-0.7881793454279958,0.4817644575197973,-2.251752949129096,-3.164731143358208,-6.563002872427568,-5.218371776754284,-6.261693554043737,-6.02127415105094,-3.6884284996874905,-2.749754034416836,-10.008920185360214,-10.74379455199676,-9.52908159353588,-4.903412761651668,-12.507996253524418,-15.476503083455007,-15.249994788821525,-13.211771259337317,-13.858385522453894,-17.123927153072458,,,-11.631676194925918,,,L5
1999-07-03 20:46:48+00:00,-2.6417759647095123,5.169809695437523,1.2134196663097832,4.820251932347344,-4.92709625258987,-3.554290489941901,9.18865384383728,27.60650077112941,38.37169916889507,40.66356051374332,35.43505769892631,32.177240785699134,24.870264376902725,19.321391357806903,27.13663727541663,16.87029224813504,19.92447783950999,17.409336759867582,19.66230211431687,31.47874319108852,46.31939863304461,44.64709933115957,31.792476949911023,6.488632812811962,10.061536009775054,25.72086764429219,,22.74629270972064,15.380124939089132,16.558331005886725,25.69274841365264,32.44122370182497,30.656851684866226,9.858282605705568,5.782886164872125,-0.5242933916329051,-18.25050870483333,L7
1999-07-10 20:53:01+00:00,-19.01548629146526,,,,,4.571533943868005,,,,,,,,,,,,,,,2.095933303407769,-0.1399610246087584,-8.645750816556326,-4.114017897704957,2.484002466293458,13.970264014117705,,,,,,,,,,,,L7
1999-07-26 20:53:05+00:00,,,,,,,,,,,,,,,,-12.31930315068022,-14.897979498858556,-13.951070295675944,-14.890482361797316,,,,,-17.67089994465417,-12.884384185966391,,,,,,,,,,,,,L7
1999-08-20 20:46:55+00:00,0.2577688162208222,3.2602784390359405,1.009763457629256,-1.5006289415061314,-5.153852853912004,-3.7519528547610568,10.070076807874155,38.56471840326655,39.13124893236643,35.21474223517879,18.05623516271468,16.343389194087056,24.88604129326013,13.710885630920563,22.94637059530476,15.817715132802595,15.225101985525122,15.362697038293884,17.912306187801544,26.04885693477767,21.953257051103,20.897271144529928,10.931396628809171,6.558585726129708,12.765424644763824,27.98769088021597,,11.235067186999268,9.684683235846654,6.932054782526522,5.44167056702002,6.87021070622586,27.69419827303059,13.356212616357215,16.211554517396454,9.846093337207629,-9.261011957840587,L7
1999-09-05 20:46:59+00:00,0.5966856058893903,5.320180998594856,2.932656084591236,0.0816479972594834,-4.829058849592653,-4.029263152588228,12.567214098542149,38.14440629182673,40.116585000679024,34.44232141536567,15.98825126394206,18.88972097406659,29.251930819397337,23.519937879777107,19.018516787956123,10.40848091553989,4.17137003799796,12.64397777853739,11.546329147917422,11.327334175686314,16.04581685352023,15.959229312167238,9.049743050214008,5.291780489345808,12.234258092638232,27.81667440280573,,-0.8510254222585736,3.93557933989545,5.471162715385442,4.192519789866753,6.574938607212853,17.21835684881379,11.182724472758348,8.541387549327634,7.052146330665397,,L7
1999-09-12 20:53:05+00:00,-4.088406770393269,2.921405939680885,-0.228779117173931,-4.206146254104655,-9.360313047364054,-10.139614115736553,-1.7297786939258148,34.244249299550624,40.31340409121482,40.7617437890982,34.38559634249007,28.85811678533988,22.04706565458024,19.60665557840603,24.38772037609323,15.985238645801614,19.00812317832029,14.166598513964656,17.434842000897742,15.400573579182618,14.194613053761987,11.725767076639931,2.1307239775001685,-0.1778547175450728,6.770591512345232,19.20992652094974,17.638652701647533,1.0635720969053015,3.4048352452827624,2.463814691915684,-0.8016866808936516,2.8892655507637395,9.275362100498205,-7.671175991435111,-2.683106991074829,1.888939133705276,,L7
1999-11-24 20:46:49+00:00,-4.005955961315071,-3.168973955342616,-2.460770145627511,2.360690024145746,-6.795130738383228,-7.351373245949543,7.479013259501836,33.934188514049794,39.63998206189929,34.20465898213041,22.151149912961625,22.423850220923345,24.177267364851776,15.67422742398487,23.40470025809459,16.522044964004213,17.49959980179835,13.47628042779936,15.038914091306484,21.098352349479057,22.06170469158869,19.265065865923827,7.187184754222506,0.414369230351908,6.574698526801149,23.364829116211464,,22.322754404403163,7.619734114930934,5.434627330397773,6.03913439070888,19.948919354506188,29.616381790627823,12.228469218635748,9.083308537664315,2.5587993894896486,-20.54210810735936,L7
2000-01-02 20:53:03+00:00,-2.8662284118943897,,,,,,,,,,,,,,,,,,,,,,,,,12.81563703844576,5.058782595629079,-3.637015411983888,-0.9653899048992076,-0.4602801547014931,-4.361375608264906,-4.910337736469245,-7.175987431121182,,-5.177265008430197,-14.082952023296478,,L7
2000-01-18 20:53:00+00:00,-7.19235716992258,-7.9470096085843345,-8.425605825784796,-5.336225316307184,-17.357727168726424,-17.607268467159876,-13.97018456002853,11.257178162529648,11.494284671801624,13.223936350833858,15.539757474286116,22.52673721652921,22.31923760907489,14.883957434210531,17.943336892221208,11.584211443239036,3.786026304204867,7.017166334690614,3.041568022994614,9.498007934010468,13.130526387879993,17.150812279869786,7.1332730914109135,1.582165927768873,9.795504786839391,25.94525742364828,15.405321254568737,-1.7679224070508397,4.291541958535404,5.6621153846922105,4.620388588985211,5.57982237742868,16.157937922543557,12.818926374655051,19.482352519249407,6.134058593802735,-20.37962807505538,L7
2000-01-27 20:46:52+00:00,-1.032411057957737,5.68056721067654,2.2575718589102296,4.129963251113204,-7.476322709252943,-8.169126434146365,-1.1559202534986597,14.79727245112617,19.394264545323104,20.976307205153777,31.517121260414136,30.848906573830483,24.831285044501342,23.299682342835624,25.913141857235694,17.78466801453338,18.806808393528296,14.032002208388649,13.366446145470649,25.06129387765501,24.201000251405908,25.903502734485407,9.619013576225598,6.59691988583505,11.820311621296536,27.85081584128705,19.094168389702944,11.62200416264011,8.569841295014337,5.473744876865898,1.955992572398494,6.629766740951468,16.338805996818444,2.385804833543806,8.10573749505246,-5.214047680898246,,L7
2000-02-12 20:46:47+00:00,-0.3544047294754709,6.131777072467253,2.435317590276179,0.6625515285557828,-8.684790248399029,-8.902611531789981,4.276417296120178,41.21425361835836,42.297114958334056,42.2922223304223,35.96363835197285,24.78929073539086,23.10307088076452,16.49661241343952,24.95652310508964,17.527020864739754,20.37313461401017,18.20060431908774,19.357850680755163,22.36935286817421,21.54846765545093,27.14764930214785,12.340200229995846,11.383896679507846,15.862367658809406,28.570441371400825,,12.18028209526979,8.154253295047093,6.339913263016308,2.971657542388817,4.29231644685885,17.84971076774982,10.947512370901206,17.75495945999686,9.924861162151254,-12.22474456091319,L7
