subcell,transect,min,min_month,max,max_month,seasonal_excursion,Warrick_ML_ranking-based-on-Kmeans,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
KEIKI-PIPELINE,oahu0012_0024,-5.375526262,5,6.5574633,1,11.93298956,1,11.93298956,5.355851186,5.966530139,5.743567204,0,1.815900356,3.223659831,6.180318201,6.442579167,10.47798864,8.219706868,2.403418675
KEIKI-PIPELINE,oahu0012_0025,-4.703050405,5,4.616879856,1,9.319930262,1,9.319930262,5.453366249,7.045032851,5.216850758,0,1.178867934,2.510630008,5.012891204,6.167773097,7.95680465,8.128569358,1.21641378
KEIKI-PIPELINE,oahu0012_0026,-4.953008561,12,5.507644664,1,10.46065322,1,10.46065322,4.392877632,6.074611423,5.847816173,0.124770654,2.755955748,1.879320901,5.453965324,6.406897279,6.845631381,5.667036861,0
KEIKI-PIPELINE,oahu0012_0027,-4.11244236,5,9.196719929,1,13.30916229,1,13.30916229,5.082887302,1.254210851,5.086013586,0,2.872693363,1.024529051,6.152644438,5.932905259,5.046462097,2.850927201,1.226226161
KEIKI-PIPELINE,oahu0012_0028,-6.920074637,12,6.466097611,8,13.38617225,8,11.7043689,6.554389901,5.932620582,5.714058368,4.015776194,6.206839883,4.033487694,13.38617225,10.32350484,8.642636398,3.182802977,0
KEIKI-PIPELINE,oahu0012_0029,-6.062064501,12,8.261845679,8,14.32391018,8,10.84881792,5.339512498,4.791681551,5.745613283,2.088334945,4.977708383,4.01790819,14.32391018,11.77931111,8.315412414,2.578595541,0
KEIKI-PIPELINE,oahu0012_0030,-5.633168486,5,10.65246444,8,16.28563293,8,8.682321141,7.042193068,5.542726029,4.181287016,0,4.10455549,6.266107958,16.28563293,11.41642716,7.010371923,4.133159087,2.042581141
KEIKI-PIPELINE,oahu0012_0031,-4.466577247,5,12.9870492,8,17.45362645,8,5.203630884,1.225615025,4.615578021,0.880108372,0,3.644739273,7.389228475,17.45362645,10.86999335,5.488184029,1.336881415,2.150582733
KEIKI-PIPELINE,oahu0012_0032,-7.421559047,12,11.85730607,8,19.27886511,8,8.056640187,5.011871049,8.972958524,4.305023535,5.079493573,8.591801611,10.8979069,19.27886511,12.5420448,7.633425818,2.535789523,0
KEIKI-PIPELINE,oahu0012_0033,-9.489977047,12,7.795772024,8,17.28574907,8,9.263552681,12.12920835,6.292777112,4.773971823,6.777126994,12.82721772,14.54244833,17.28574907,14.54399686,7.7700098,3.093738394,0
KEIKI-PIPELINE,oahu0012_0034,-8.849539603,12,7.909113708,8,16.75865331,7,6.535787245,5.532031998,5.108425663,4.987791744,6.091314219,13.79375762,16.36217798,16.75865331,15.7671252,9.959498434,2.25864789,0
KEIKI-PIPELINE,oahu0012_0035,-10.53545561,12,10.21512555,8,20.75058116,9,6.010524127,2.503730239,0.87622361,7.814397664,8.698431736,19.02229104,19.6621311,20.75058116,18.82179567,13.22838792,5.406758785,0
KEIKI-PIPELINE,oahu0012_0036,-15.27812622,12,11.27722825,9,26.55535447,9,5.258918067,5.915682605,0.337435351,10.11734596,14.81276057,25.66986956,25.6620819,25.82653875,26.55535447,24.12033417,12.17360078,0
KEIKI-PIPELINE,oahu0012_0037,-15.7165726,12,10.9163939,8,26.6329665,9,1.085214908,2.735067146,1.308226608,7.922839104,16.19501968,24.58644803,25.63483839,26.6329665,26.40612848,26.48416685,13.65118148,0
KEIKI-PIPELINE,oahu0012_0038,-15.60400663,3,14.15069689,9,29.75470352,9,4.435422564,0.594505136,0,8.37554009,18.2586671,23.68216278,23.64016622,26.84650293,29.75470352,27.39860186,12.93537514,2.76279876
KEIKI-PIPELINE,oahu0012_0039,-15.43026443,2,15.02899723,9,30.45926166,9,3.205907877,0,0.170823145,10.38707357,19.29560573,21.0914864,21.58749156,27.82893413,30.45926166,28.18796931,12.37401645,1.47639115
KEIKI-PIPELINE,oahu0012_0040,-15.41203566,12,14.1440868,9,29.55612246,9,2.959883445,0.542815375,1.084656978,10.02846963,18.3442441,20.19555571,21.9973626,29.23629102,29.55612246,25.77157528,10.23945871,0
KEIKI-PIPELINE,oahu0012_0041,-15.18206595,3,13.87901838,9,29.06108433,9,2.163193379,1.323436655,0,8.792909022,18.39262138,20.20194387,22.7711506,28.44081016,29.06108433,23.98478649,9.357125301,3.154438166
KEIKI-PIPELINE,oahu0012_0042,-15.37989346,3,13.63260564,9,29.0124991,9,2.699334876,1.903169257,0,6.868992695,19.41509665,21.49687012,23.2105112,27.75549382,29.0124991,23.81136297,10.87021735,2.502271251
KEIKI-PIPELINE,oahu0012_0043,-14.13053508,3,14.50126413,9,28.63179921,9,0.591693167,1.345704849,0,5.184695118,18.42897387,20.2894059,22.0943548,26.97199425,28.63179921,22.39653585,10.3454938,3.476185668
KEIKI-PIPELINE,oahu0012_0044,-16.46146983,3,14.48584699,8,30.94731681,9,2.500134497,3.531776283,0,4.735410541,21.3385912,22.56708538,25.13623004,30.94731681,30.64161116,22.59358588,12.21324364,5.129915584
KEIKI-PIPELINE,oahu0012_0045,-17.26083964,2,14.00912669,8,31.26996633,9,3.66513967,0,2.181517075,5.724578518,22.24563481,24.13545917,27.1763001,31.26996633,31.26145514,23.54634865,12.84201491,1.121594537
KEIKI-PIPELINE,oahu0012_0046,-17.3297652,12,14.92937869,8,32.25914389,9,9.994634504,2.927926721,4.46933025,5.429119011,23.53531628,25.85456443,28.78909212,32.25914389,28.70132724,22.92794114,12.14782527,0
KEIKI-PIPELINE,oahu0012_0047,-17.35779908,2,16.57551215,7,33.93331123,9,10.21260484,0,0.143033135,7.216519889,22.7650019,27.10031441,33.93331123,31.22755983,27.43350939,22.78953929,8.894403829,1.222258466
KEIKI-PIPELINE,oahu0012_0048,-18.14879639,3,17.06078,7,35.20957639,9,7.891321439,6.416882468,0,6.530492452,21.215917,28.09561668,35.20957639,34.63975153,28.81518698,21.99050188,6.167580674,3.431014261
KEIKI-PIPELINE,oahu0012_0049,-18.11742289,3,16.68072016,7,34.79814305,9,9.422516692,5.101317192,0,3.991579841,22.47895009,27.79512371,34.79814305,32.93297318,26.56770104,24.2768584,6.796265266,3.858761662
KEIKI-PIPELINE,oahu0012_0050,-17.49124518,3,15.22265438,7,32.71389956,9,9.213317977,10.930243,0,6.838603268,23.48809261,25.40657488,32.71389956,31.13965071,25.2767816,24.44719542,10.18607113,0.658614478
KEIKI-PIPELINE,oahu0012_0051,-22.15631526,3,14.13881144,7,36.2951267,9,15.41210921,30.56318994,0,14.84011776,26.21369159,29.04114903,36.2951267,33.68741803,26.08828956,25.81407604,11.8200663,7.855966205
KEIKI-PIPELINE,oahu0012_0052,-16.28774093,3,13.9890992,7,30.27684014,7,8.672849777,10.78178544,0,13.91297176,20.83769146,26.0131799,30.27684014,24.66246175,19.89084486,13.46650404,9.161248419,3.70550094
KEIKI-PIPELINE,oahu0012_0053,-15.07767617,3,10.52669724,5,25.60437341,6,9.124444799,3.44025242,0,17.9344005,25.60437341,22.64032027,25.04670524,21.64583134,16.99677156,9.447538159,3.593189959,5.735713567
KEIKI-PIPELINE,oahu0012_0054,-29.26248545,2,10.66097007,7,39.92345552,6,22.55330203,0,16.02430276,32.57362185,39.33003704,37.64595043,39.92345552,33.96903604,29.66514759,25.29082017,22.85927745,18.708964
KEIKI-PIPELINE,oahu0012_0055,-12.96829997,2,9.982742191,5,22.95104217,6,6.781294409,0,0.298009962,18.92373505,22.95104217,21.09192668,21.3827268,16.9260111,13.3089756,8.049229845,6.796195371,11.78739835
KEIKI-PIPELINE,oahu0012_0056,-7.475608696,1,7.260374797,5,14.73598349,4,0,2.002090487,9.575396993,13.38081598,14.73598349,14.70663333,13.73695721,8.04987676,5.706692806,2.430212047,2.101621801,6.335187324
EHUKAI-PUPUKEA,oahu0012_0057,-14.85031086,2,9.423993388,3,24.27430424,3,9.489755228,0,24.27430424,22.20507715,22.74795415,23.09960228,20.54394095,14.51061399,12.25500879,7.654924729,9.163760563,12.71580323
EHUKAI-PUPUKEA,oahu0012_0058,-8.352781216,1,13.80380358,3,22.1565848,3,0,2.710769274,22.1565848,17.8770968,16.24349992,15.05524427,12.66808008,4.088285422,3.165214515,2.541114536,0.124218949,6.640873532
EHUKAI-PUPUKEA,oahu0012_0059,-8.662147796,11,11.10067002,3,19.76281781,2,10.05197797,9.097983376,19.76281781,18.65152171,17.41237295,14.50181218,9.468442653,4.215599162,0.95725888,2.474608187,0,10.83589313
EHUKAI-PUPUKEA,oahu0012_0060,-9.100216888,11,18.85097085,3,27.95118774,2,9.217427947,13.14062992,27.95118774,21.77328846,17.44806424,16.7476982,8.176680363,2.034573131,0.682193062,0.995306097,0,10.40732397
EHUKAI-PUPUKEA,oahu0012_0061,-13.07621717,11,19.09949367,3,32.17571083,2,17.61268793,21.19829103,32.17571083,25.8309612,22.32216791,21.30059847,10.0456334,2.39173676,1.412930206,2.577146229,0,10.43905259
EHUKAI-PUPUKEA,oahu0012_0062,-15.33170913,11,20.41992342,3,35.75163255,2,23.32589499,29.76558089,35.75163255,28.57365174,25.27200909,25.07983839,11.73789219,5.099388734,1.578776595,1.587193712,0,8.786827394
EHUKAI-PUPUKEA,oahu0012_0063,-16.44240276,11,20.16117117,2,36.60357393,2,26.09948363,36.60357393,36.4385969,32.53329197,25.55998339,26.11107042,13.79372564,8.406877327,2.556963914,1.865822458,0,11.85181559
EHUKAI-PUPUKEA,oahu0012_0064,-17.19801666,11,18.9850451,2,36.18306176,2,29.94619695,36.18306176,36.11402522,33.47801559,27.39015339,24.09669681,13.15034573,5.14580602,2.190152382,2.621109325,0,9.899243547
EHUKAI-PUPUKEA,oahu0012_0065,-14.98671645,11,19.56489395,3,34.5516104,2,26.93242789,34.01456606,34.5516104,33.69669782,28.1919277,20.74142688,13.51006396,3.861578665,1.825092643,2.729034934,0,4.993602487
EHUKAI-PUPUKEA,oahu0012_0066,-14.41053434,9,18.89550757,2,33.30604192,2,23.07098232,33.30604192,29.89117641,26.07124941,26.64078068,20.24843624,10.08208382,1.365873082,0,2.090150893,1.331529676,5.756521543
EHUKAI-PUPUKEA,oahu0012_0067,-14.47201034,9,17.90303268,2,32.37504303,2,18.73737296,32.37504303,31.82099172,28.32810811,28.25199482,21.22402615,11.14797896,0.835304506,0,3.685468796,4.428093123,4.613598698
EHUKAI-PUPUKEA,oahu0012_0068,-14.30669316,9,17.68433083,2,31.99102399,2,15.96931909,31.99102399,31.26025996,28.09174024,27.46813199,21.69287759,11.45646963,1.556373667,0,2.701146637,5.994016013,6.091763748
EHUKAI-PUPUKEA,oahu0012_0069,-12.22733726,8,19.108624,3,31.33596126,2,13.84422495,26.62190639,31.33596126,26.73389013,27.28603543,21.44602053,8.12602351,0,1.95050741,2.220435539,4.375949287,3.171673116
EHUKAI-PUPUKEA,oahu0012_0070,-12.97012953,8,18.7848665,3,31.75499603,2,13.82859411,25.31356034,31.75499603,27.20814758,27.14543912,25.23766572,12.20473826,0,1.703827938,3.455165735,2.073838918,3.323316402
EHUKAI-PUPUKEA,oahu0012_0071,-11.90386154,12,16.70100149,4,28.60486303,2,9.860429755,25.80928673,27.86778388,28.60486303,25.41880143,22.98827348,9.688566472,0.946607941,1.740909881,2.630387484,1.596601702,0
EHUKAI-PUPUKEA,oahu0012_0072,-14.37390438,11,19.10709467,4,33.48099905,2,12.65581394,24.29644682,30.43994502,33.48099905,28.61134588,24.63724414,13.02714893,6.467513121,4.505865432,5.69091506,0,0.470379844
EHUKAI-PUPUKEA,oahu0012_0073,-15.38499562,12,15.6030063,4,30.98800192,3,9.808003743,21.36063991,28.00694037,30.98800192,30.68898609,26.57042782,15.92590821,11.71347592,8.419799004,5.693252058,1.007005714,0
EHUKAI-PUPUKEA,oahu0012_0074,-16.11825947,12,15.68150711,4,31.79976658,3,8.498041199,21.74105551,27.36485373,31.79976658,31.6115272,28.26932731,18.10674809,15.20493546,11.09989497,6.193173285,3.229292287,0
EHUKAI-PUPUKEA,oahu0012_0075,-14.80387756,12,14.38879289,5,29.19267045,3,6.12764725,15.22551498,25.64499304,26.88846575,29.19267045,25.9543933,17.28778736,17.32812536,12.46065548,6.294631024,2.658728287,0
EHUKAI-PUPUKEA,oahu0012_0076,-16.28793243,12,13.90189779,5,30.18983022,4,4.333138979,14.51762205,26.84940372,25.64277262,30.18983022,28.98371898,22.51519205,21.37101484,16.16315366,10.7105406,5.515009394,0
EHUKAI-PUPUKEA,oahu0012_0077,-16.16502741,12,12.15639611,5,28.32142353,5,4.294055893,12.98989882,19.84450359,21.65490006,28.32142353,25.4610725,23.22554151,20.4691667,19.21867243,12.51565307,6.129901706,0
EHUKAI-PUPUKEA,oahu0012_0078,-15.03331776,12,10.69669598,5,25.73001374,5,3.707169454,8.460265649,13.57013287,19.26520881,25.73001374,25.20488263,24.14985321,19.24105586,19.43870457,12.98601168,7.218613113,0
CHAMBERS-ROCKYLEFT,oahu0012_0079,-12.89375403,12,10.66357625,7,23.55733028,7,0.903865244,2.97647753,10.87233037,14.3478537,21.07986557,21.88700255,23.55733028,20.29241081,17.60912325,13.15379639,6.559225246,0
CHAMBERS-ROCKYLEFT,oahu0012_0080,-13.36362392,12,9.44585361,7,22.80947753,7,2.360016402,2.727795429,10.14335923,13.65320509,20.26093765,19.3838287,22.80947753,21.49837627,19.7702391,15.49923538,7.133759593,0
CHAMBERS-ROCKYLEFT,oahu0012_0081,-10.89266061,2,11.92577187,9,22.81843248,9,2.219225945,0,4.97904377,11.54574336,15.34307333,14.88641971,19.9267437,19.96066826,22.81843248,16.49653858,5.369842484,0.711852328
